Comuna,population,cases
Coelemu,16845.0,1105.0
Coihueco,28375.0,2546.0
El Carmen,12334.0,815.0
Ninhue,5414.0,468.0
Niquen,11567.0,1170.0
Pemuco,8639.0,759.0
Pinto,11880.0,814.0
Portezuelo,4940.0,332.0
Quillon,18777.0,1568.0
Quirihue,12192.0,877.0
Ranquil,6261.0,461.0
San Carlos,56252.0,6001.0
San Fabian,4654.0,369.0
San Ignacio,16624.0,1277.0
San Nicolas,12172.0,1252.0
Treguaco,5696.0,489.0
Yungay,18596.0,1326.0
Alto Biobio,6775.0,1045.0
Antuco,4306.0,385.0
Arauco,38679.0,5141.0
Cabrero,30725.0,3092.0
Canete,37003.0,3965.0
Chiguayante,91180.0,9861.0
Concepcion,238092.0,25198.0
Contulmo,6330.0,711.0
Coronel,125829.0,16045.0
Curanilahue,33892.0,4138.0
Florida,11841.0,1125.0
Hualpen,97273.0,11495.0
Hualqui,26201.0,2898.0
Laja,23873.0,2674.0
Lebu,27100.0,2493.0
Los Alamos,22524.0,2433.0
Los Angeles,218515.0,25895.0
Lota,45750.0,6105.0
Mulchen,31041.0,3956.0
Nacimiento,27944.0,3056.0
Negrete,10429.0,1403.0
Penco,49865.0,6035.0
Quilaco,4179.0,402.0
Quilleco,10032.0,1098.0
San Pedro de la Paz,145906.0,14794.0
San Rosendo,3611.0,339.0
Santa Barbara,14592.0,1552.0
Santa Juana,14779.0,1669.0
Talcahuano,158345.0,17728.0
Tirua,11019.0,1383.0
Tome,58729.0,5692.0
Tucapel,15205.0,1224.0
Yumbel,22132.0,2139.0
Angol,56058.0,6125.0
Carahue,25486.0,2704.0
Cholchol,12341.0,1177.0
Collipulli,26148.0,3459.0
Cunco,18055.0,1729.0
Curacautin,18178.0,1435.0
Curarrehue,7802.0,997.0
Ercilla,8458.0,1326.0
Freire,25446.0,2617.0
Galvarino,12633.0,2390.0
Gorbea,15148.0,1465.0
Lautaro,40746.0,4575.0
Loncoche,24739.0,2310.0
Lonquimay,11049.0,1110.0
Los Sauces,7517.0,914.0
Lumaco,10050.0,1157.0
Melipeuco,6265.0,537.0
Nueva Imperial,33777.0,3317.0
Padre Las Casas,82110.0,9514.0
Perquenco,7223.0,1087.0
Pitrufquen,26096.0,2762.0
Pucon,29782.0,3277.0
Puren,12188.0,1065.0
Renaico,10833.0,1758.0
Saavedra,12793.0,1639.0
Temuco,302931.0,31690.0
Teodoro Schmidt,15786.0,1573.0
Tolten,10055.0,1226.0
Traiguen,19314.0,2007.0
Victoria,35467.0,3545.0
Vilcun,30766.0,3522.0
Villarrica,59103.0,6138.0
Corral,5447.0,752.0
Futrono,15261.0,2885.0
La Union,39538.0,5323.0
Lago Ranco,10292.0,1835.0
Lanco,17652.0,2515.0
Los Lagos,20518.0,3689.0
Mafil,7389.0,1158.0
Mariquina,23250.0,3317.0
Paillaco,20798.0,2683.0
Panguipulli,35991.0,5987.0
Rio Bueno,32925.0,3724.0
Valdivia,176774.0,22080.0
Ancud,42458.0,4512.0
Calbuco,36744.0,4810.0
Castro,47607.0,5000.0
Chaiten,5020.0,256.0
Chonchi,16013.0,1902.0
Cochamo,4006.0,415.0
Curaco de Velez,4066.0,432.0
Dalcahue,15069.0,1864.0
Fresia,12656.0,1537.0
Frutillar,20223.0,2756.0
Futaleufu,2806.0,138.0
Hualaihue,9525.0,1251.0
Llanquihue,18621.0,2586.0
Los Muermos,17817.0,2217.0
Maullin,14894.0,2375.0
Osorno,173410.0,20473.0
Palena,1827.0,184.0
Puerto Montt,269398.0,31472.0
Puerto Octay,9192.0,1036.0
Puerto Varas,48620.0,4861.0
Puqueldon,4201.0,658.0
Purranque,21080.0,2654.0
Puyehue,11787.0,1346.0
Queilen,5543.0,533.0
Quellon,29309.0,2731.0
Quemchi,8783.0,957.0
Quinchao,8298.0,886.0
Rio Negro,14275.0,1988.0
San Juan de la Costa,7639.0,1344.0
San Pablo,10553.0,1270.0
Aysen,25002.0,2010.0
Chile Chico,5121.0,458.0
Cisnes,5828.0,667.0
Cochrane,3685.0,260.0
Coyhaique,61210.0,6131.0
Guaitecas,1599.0,204.0
Lago Verde,920.0,44.0
OHiggins,661.0,10.0
Rio Ibanez,2699.0,223.0
Tortel,572.0,27.0
