city,population,cases
Anadia/AL,17507.0,1509
Anagé/BA,21229.0,1145
Anahy/PR,2774.0,408
Anajatuba/MA,27170.0,1185
Anajás/PA,30091.0,1364
Analândia/SP,5115.0,380
Anamã/AM,14292.0,2021
Ananindeua/PA,540410.0,26043
Ananás/TO,9435.0,1679
Anapu/PA,29312.0,1762
Anapurus/MA,16054.0,832
Anastácio/MS,25336.0,2648
Anaurilândia/MS,9116.0,563
Anchieta/ES,30285.0,5449
Anchieta/SC,5477.0,710
Andaraí/BA,13122.0,948
Andirá/PR,19823.0,2653
Andorinha/BA,14416.0,966
Andradas/MG,41704.0,4098
Andradina/SP,57245.0,6866
Andrelândia/MG,12189.0,206
André da Rocha/RS,1351.0,120
Angatuba/SP,25724.0,3185
Angelim/PE,11301.0,233
Angelina/SC,4686.0,575
Angelândia/MG,8594.0,271
Angical do Piauí/PI,6779.0,892
Angical/BA,13902.0,768
Angico/TO,3475.0,239
Angicos/RN,11695.0,1125
Angra dos Reis/RJ,210171.0,17231
Anguera/BA,11369.0,514
Angélica/MS,11081.0,1416
Anhanguera/GO,1171.0,99
Anhembi/SP,6911.0,334
Anhumas/SP,4172.0,384
Anicuns/GO,22113.0,3357
Anita Garibaldi/SC,6783.0,1220
Anitápolis/SC,3223.0,361
Anori/AM,21937.0,1927
Anta Gorda/RS,5941.0,659
Antas/BA,19659.0,1317
Antonina do Norte/CE,7402.0,824
Antonina/PR,18919.0,2586
Antônio Almeida/PI,3175.0,406
Antônio Cardoso/BA,11670.0,635
Antônio Carlos/MG,11471.0,833
Antônio Carlos/SC,8712.0,1684
Antônio Dias/MG,9233.0,606
Antônio Gonçalves/BA,11955.0,916
Antônio João/MS,9082.0,545
Antônio Martins/RN,7162.0,692
Antônio Olinto/PR,7421.0,559
Antônio Prado de Minas/MG,1577.0,166
Antônio Prado/RS,13041.0,2790
Anápolis/GO,396526.0,50020
Anísio de Abreu/PI,9994.0,291
Aparecida d'Oeste/SP,4122.0,846
Aparecida de Goiânia/GO,601844.0,90781
Aparecida do Rio Doce/GO,2474.0,271
Aparecida do Rio Negro/TO,4901.0,392
Aparecida do Taboado/MS,26386.0,3654
Aparecida/PB,8482.0,1012
Aparecida/SP,36211.0,2885
Aperibé/RJ,12036.0,1242
Apiacá/ES,7542.0,999
Apiacás/MT,10431.0,2069
Apiaí/SP,24081.0,1776
Apicum-Açu/MA,17582.0,550
Apiúna/SC,10951.0,911
Apodi/RN,35904.0,6679
Aporá/BA,17840.0,673
Aporé/GO,4266.0,429
Apuarema/BA,7274.0,777
Apucarana/PR,137438.0,10999
Apuiarés/CE,14742.0,1380
Apuí/AM,22739.0,1490
Aquidabã/SE,21796.0,2409
Aquidauana/MS,48184.0,5684
Aquiraz/CE,81581.0,7047
Arabutã/SC,4268.0,424
Aracaju/SE,672614.0,127956
Aracati/CE,75392.0,8052
Aracatu/BA,12960.0,914
Araci/BA,54903.0,3792
Aracitaba/MG,2056.0,91
Aracoiaba/CE,26600.0,4297
Aracruz/ES,104942.0,17835
Aragarças/GO,20410.0,3290
Aragoiânia/GO,10680.0,1566
Aragominas/TO,5705.0,573
Araguacema/TO,7223.0,782
Araguaiana/MT,3064.0,407
Araguainha/MT,909.0,29
