#city,population,cases
Berkeley-South Carolina,235987,6295977
Berkeley-West Virginia,122125,3795282
Berks-Pennsylvania,421017,14538797
Berkshire-Massachusetts,124571,1978974
Bernalillo-New Mexico,681666,19018944
Berrien-Georgia,19408,690090
Berrien-Michigan,153025,4766349
Bertie-North Carolina,18712,628965
Bethel Census Area-Alaska,18437,1220135
Bexar-Texas,2026823,75357399
Bibb-Alabama,22136,950446
Bibb-Georgia,152737,5923998
Bienville-Louisiana,12983,620859
Big Horn-Montana,13063,913036
Big Horn-Wyoming,11575,384831
Big Stone-Minnesota,4923,192948
Billings-North Dakota,890,19787
Bingham-Idaho,47202,1625332
Black Hawk-Iowa,130786,5850288
Blackford-Indiana,11782,440999
Bladen-North Carolina,32911,1189843
Blaine-Idaho,23426,868837
Blaine-Montana,6568,263731
Blaine-Nebraska,457,7574
Blaine-Oklahoma,9447,341097
Blair-Pennsylvania,121007,3911799
Blanco-Texas,12269,246983
Bland-Virginia,6239,220026
Bleckley-Georgia,12955,546554
Bledsoe-Tennessee,15223,865603
Blount-Alabama,57879,2360865
Blount-Tennessee,134751,5173187
Blue Earth-Minnesota,68241,2454643
Boise-Idaho,8065,126095
Bolivar-Mississippi,30142,1742170
Bollinger-Missouri,12111,413404
Bon Homme-South Dakota,6848,536846
Bond-Illinois,16262,679797
Bonner-Idaho,46817,1056682
Bonneville-Idaho,122134,4848871
Boone-Arkansas,37625,1376730
Boone-Illinois,52777,2265751
Boone-Indiana,69347,2254998
Boone-Iowa,26277,892402
Boone-Kentucky,135396,4621515
Boone-Missouri,182991,6537066
Boone-Nebraska,5096,186132
Boone-West Virginia,21055,645967
Borden-Texas,706,8801
Bosque-Texas,18603,549317
Bossier-Louisiana,127275,5007293
Botetourt-Virginia,33633,805655
Bottineau-North Dakota,6287,246665
Boulder-Colorado,327171,7599047
Boundary-Idaho,12656,283443
Bourbon-Kansas,14435,496382
Bourbon-Kentucky,19901,576742
Bowie-Texas,93481,2520659
Bowman-North Dakota,2986,133318
Box Butte-Nebraska,10696,319111
Box Elder-Utah,57007,1795666
Boyd-Kentucky,46516,1655524
Boyd-Nebraska,1860,64129
Boyle-Kentucky,30367,1120354
Bracken-Kentucky,8286,200244
Bradford-Florida,28593,1152954
Bradford-Pennsylvania,60221,1712420
Bradley-Arkansas,10639,488420
Bradley-Tennessee,109071,4989470
Branch-Michigan,43424,1973161
Brantley-Georgia,19202,618138
Braxton-West Virginia,13702,301527
Brazoria-Texas,380518,13203350
Brazos-Texas,232555,8918129
Breathitt-Kentucky,12550,345794
Breckinridge-Kentucky,20537,441541
Bremer-Iowa,25311,974581
Brevard-Florida,608459,15027653
Brewster-Texas,9237,329661
Briscoe-Texas,1487,51138
Bristol-Massachusetts,566765,21049503
Bristol-Rhode Island,48350,1511637
Bristol Bay plus Lake and Peninsula-Alaska,2281,78929
Bristol city-Virginia,17329,484146
Broadwater-Montana,6444,156806
Brooke-West Virginia,21674,686952
Brookings-South Dakota,35603,1373545
Brooks-Georgia,15357,543158
Brooks-Texas,6964,295845
Broome-New York,189420,5542448
Broomfield-Colorado,72236,1544170
Broward-Florida,1958105,84852137
Brown-Illinois,6546,241498
Brown-Indiana,15112,338251
Brown-Kansas,9482,416688
Brown-Minnesota,24846,934857
Brown-Nebraska,2981,82921
Brown-Ohio,43414,1273403
Brown-South Dakota,38738,1907495
Brown-Texas,37633,1495352
Brown-Wisconsin,264610,12471231
Brule-South Dakota,5254,248548
Brunswick-North Carolina,149039,3114522
Brunswick-Virginia,16037,441459
Bryan-Georgia,40755,1319343
Bryan-Oklahoma,48998,2061774
Buchanan-Iowa,21287,651173
Buchanan-Missouri,86530,3894160
Buchanan-Virginia,20613,472076
Buckingham-Virginia,17168,769778
Bucks-Pennsylvania,627987,18378035
Buena Vista-Iowa,19772,1695027
Buena Vista city-Virginia,6402,284273
Buffalo-Nebraska,50114,1888855
Buffalo-South Dakota,1956,161699
Buffalo-Wisconsin,13033,465861
Bullitt-Kentucky,82182,2410360
Bulloch-Georgia,80839,2585253
Bullock-Alabama,9976,473810
Buncombe-North Carolina,263477,5813591
Bureau-Illinois,32303,1224319
Burke-Georgia,22648,927050
Burke-North Carolina,90418,3464245
Burke-North Dakota,2118,82876
Burleigh-North Dakota,96212,5580249
Burleson-Texas,18514,753597
Burlington-New Jersey,446596,13943180
Burnet-Texas,49653,1547560
Burnett-Wisconsin,15557,494482
Burt-Nebraska,6477,218703
Butler-Alabama,19504,854804
Butler-Iowa,14333,561770
Butler-Kansas,66992,2519112
Butler-Kentucky,12703,521804
Butler-Missouri,42178,1447248
Butler-Nebraska,7960,295600
Butler-Ohio,385648,12697995
Butler-Pennsylvania,189135,5194123
Butte-California,212744,4416077
Butte-Idaho,2646,72942
Butte-South Dakota,10538,374753
Butts-Georgia,25426,1060995
Cabarrus-North Carolina,221479,7150839
Cabell-West Virginia,91589,2848363
Cache-Utah,130004,5452031
Caddo-Louisiana,237479,9880138
Caddo-Oklahoma,28684,1350501
Calaveras-California,46308,717557
Calcasieu-Louisiana,203310,8229634
Caldwell-Kentucky,12687,476191
Caldwell-Louisiana,9839,436056
Caldwell-Missouri,9051,269480
Caldwell-North Carolina,82100,3129749
Caldwell-Texas,43979,1905652
Caledonia-Vermont,29705,269180
Calhoun-Alabama,113469,5043649
Calhoun-Arkansas,5113,135365
Calhoun-Florida,14078,662139
Calhoun-Georgia,6231,231927
Calhoun-Illinois,4616,169771
Calhoun-Iowa,9473,479041
Calhoun-Michigan,133580,4261594
Calhoun-Mississippi,14241,629416
Calhoun-South Carolina,14554,464392
Calhoun-Texas,21001,832374
Calhoun-West Virginia,6945,113735
Callahan-Texas,14110,383368
Callaway-Missouri,44887,1743401
Calloway-Kentucky,39300,1215161
Calumet-Wisconsin,50209,2214074
Calvert-Maryland,93072,1393342
Camas-Idaho,1130,25932
Cambria-Pennsylvania,128672,4282323
Camden-Georgia,55388,1532250
Camden-Missouri,46414,1515721
Camden-New Jersey,506809,17738272
Camden-North Carolina,10984,215135
Cameron-Louisiana,7003,220954
Cameron-Pennsylvania,4330,89336
Cameron-Texas,424180,16409876
Camp-Texas,13060,453803
Campbell-Kentucky,94020,2821083
Campbell-South Dakota,1380,46426
Campbell-Tennessee,39837,1388220
Campbell-Virginia,55304,1447067
Campbell-Wyoming,46676,1731332
Canadian-Oklahoma,153192,5597175
Candler-Georgia,10985,379847
Cannon-Tennessee,14847,643454
Canyon-Idaho,237053,9676340
Cape Girardeau-Missouri,79512,3323659
Cape May-New Jersey,91546,2764930
Carbon-Montana,10921,304611
Carbon-Pennsylvania,64081,1852135
Carbon-Utah,20760,551409
Carbon-Wyoming,14711,536703
Caribou-Idaho,7123,237882
Carlisle-Kentucky,4692,157154
Carlton-Minnesota,35769,1109048
Caroline-Maryland,33492,787806
Caroline-Virginia,30860,783040
Carroll-Arkansas,28276,1031586
Carroll-Georgia,121633,4050365
Carroll-Illinois,14241,600187
Carroll-Indiana,20228,637598
Carroll-Iowa,19914,991497
Carroll-Kentucky,10730,350410
Carroll-Maryland,169092,3030650
Carroll-Mississippi,9732,451297
Carroll-Missouri,8554,340724
Carroll-New Hampshire,49167,691446
Carroll-Ohio,26897,621215
Carroll-Tennessee,27779,1282037
Carroll-Virginia,30074,857971
Carson-Texas,5854,164049
Carson City-Nevada,56034,2105591
Carter-Kentucky,26542,785860
Carter-Missouri,5991,198583
Carter-Montana,1235,50736
Carter-Oklahoma,48353,1958553
Carter-Tennessee,56418,2242568
Carteret-North Carolina,69558,1673552
Carver-Minnesota,106565,3241353
Cascade-Montana,81346,3021285
Casey-Kentucky,16066,515137
Cass-Illinois,11925,690560
Cass-Indiana,37388,2218998
Cass-Iowa,12817,459729
Cass-Michigan,51584,1648128
Cass-Minnesota,29928,871904
Cass-Missouri,106806,3117759
Cass-Nebraska,26232,847761
Cass-North Dakota,183904,8515370
Cass-Texas,29879,743615
Cassia-Idaho,24277,1070991
Castro-Texas,7396,352075
Caswell-North Carolina,22443,715427
Catahoula-Louisiana,9226,442125
Catawba-North Carolina,160307,6393886
Catoosa-Georgia,67996,2127671
Catron-New Mexico,3623,30888
Cattaraugus-New York,75863,1623686
Cavalier-North Dakota,3713,150158
Cayuga-New York,76029,1848984
Cecil-Maryland,103419,1996616
Cedar-Iowa,18485,629631
Cedar-Missouri,14322,360187
Cedar-Nebraska,8414,267643
Centre-Pennsylvania,161496,5028203
Cerro Gordo-Iowa,42103,1860423
Chaffee-Colorado,20661,558802
Chambers-Alabama,32865,1359883
Chambers-Texas,45590,1792793
Champaign-Illinois,209192,6962500
Champaign-Ohio,38960,1056620
Chariton-Missouri,7360,217104
Charles-Maryland,164436,3632313
Charles City-Virginia,6821,156337
Charles Mix-South Dakota,9262,466922
Charleston-South Carolina,417981,15528615
Charlevoix-Michigan,26105,481793
Charlotte-Florida,194711,4596001
Charlotte-Virginia,11820,271364
Charlottesville city-Virginia,46950,1338261
Charlton-Georgia,13430,563275
Chase-Kansas,2586,98579
