ID,LATITUDE,LONGITUDE,Mun/UF,MUNICIPIO,UF,Valor
1749,-17.74,-46.17,JOAO PINHEIRO - MG,JOAO PINHEIRO,MG,248542.885804615
1750,-17.75,-44.17,JOAQUIM FELICIO - MG,JOAQUIM FELICIO,MG,27574.2324967708
1751,-15.9,-40.17,JORDANIA - MG,JORDANIA,MG,63260.0326371454
1752,-16.9,-42.6,JOSE GONCALVES DE MINAS - MG,JOSE GONCALVES DE MINAS,MG,28204.7351241156
1753,-18.21,-42.49,JOSE RAYDAN - MG,JOSE RAYDAN,MG,24644.8487358502
1754,-16.54,-42.51,JOSENOPOLIS - MG,JOSENOPOLIS,MG,26242.2644424725
1755,-19.95,-44.34,JUATUBA - MG,JUATUBA,MG,80349.5705744331
1756,-21.76,-43.35,JUIZ DE FORA - MG,JUIZ DE FORA,MG,424479
1757,-16.84,-43.58,JURAMENTO - MG,JURAMENTO,MG,25954.601955297
1758,-21.25,-46.57,JURUAIA - MG,JURUAIA,MG,46283.5956880074
1759,-14.26,-44.16,JUVENILIA - MG,JUVENILIA,MG,43395.8623073957
1760,-17.63,-41.73,LADAINHA - MG,LADAINHA,MG,100341.487369521
1761,-18.17,-46.8,LAGAMAR - MG,LAGAMAR,MG,50430.3439412353
1762,-20.02,-45.54,LAGOA DA PRATA - MG,LAGOA DA PRATA,MG,211593.351465631
1763,-16.98,-44.58,LAGOA DOS PATOS - MG,LAGOA DOS PATOS,MG,27658.6727693543
1764,-20.91,-44.07,LAGOA DOURADA - MG,LAGOA DOURADA,MG,74875.7518361805
1765,-18.77,-46.4,LAGOA FORMOSA - MG,LAGOA FORMOSA,MG,106793.631438619
1766,-17.83,-46.51,LAGOA GRANDE - MG,LAGOA GRANDE,MG,46304.9033750267
1767,-19.62,-43.89,LAGOA SANTA - MG,LAGOA SANTA,MG,203660.33423997
1768,-20.15,-41.62,LAJINHA - MG,LAJINHA,MG,100694.418332288
1769,-21.97,-45.35,LAMBARI - MG,LAMBARI,MG,106269.24337638
1770,-20.79,-43.47,LAMIM - MG,LAMIM,MG,21066.0148952105
1771,-21.37,-42.47,LARANJAL - MG,LARANJAL,MG,36405.1857508395
1772,-17.88,-44.57,LASSANCE - MG,LASSANCE,MG,39181.1078235177
1773,-21.24,-45,LAVRAS - MG,LAVRAS,MG,473522.926992443
1774,-19.71,-45.02,LEANDRO FERREIRA - MG,LEANDRO FERREIRA,MG,21204.8511820206
1775,-17.08,-42.69,LEME DO PRADO - MG,LEME DO PRADO,MG,27591.5835826021
1776,-21.53,-42.64,LEOPOLDINA - MG,LEOPOLDINA,MG,314325.932684747
1777,-22.02,-44.32,LIBERDADE - MG,LIBERDADE,MG,37005.4423695611
1778,-21.84,-43.79,LIMA DUARTE - MG,LIMA DUARTE,MG,92456.6055941224
1779,-19.55,-50.58,LIMEIRA DO OESTE - MG,LIMEIRA DO OESTE,MG,43349.9169012717
1780,-15.9,-44.3,LONTRA - MG,LONTRA,MG,46397.3675104877
1781,-20.44,-42.1,LUISBURGO - MG,LUISBURGO,MG,31979.9434077693
1782,-16.11,-44.58,LUISLANDIA - MG,LUISLANDIA,MG,34399.9729056577
1783,-21.51,-44.9,LUMINARIAS - MG,LUMINARIAS,MG,34762.4192009218
1784,-19.8,-45.68,LUZ - MG,LUZ,MG,101991.66523579
1785,-17.07,-40.71,MACHACALIS - MG,MACHACALIS,MG,40570.4398027071
1786,-21.67,-45.92,MACHADO - MG,MACHADO,MG,211366.500908299
1787,-21.48,-44.33,MADRE DE DEUS DE MINAS - MG,MADRE DE DEUS DE MINAS,MG,29839.6451141719
1788,-17.84,-42.07,MALACACHETA - MG,MALACACHETA,MG,118192.40171638
1789,-15.05,-42.94,MAMONAS - MG,MAMONAS,MG,40343.1271868019
1790,-14.75,-43.93,MANGA - MG,MANGA,MG,128073.521701977
1791,-20.25,-42.03,MANHUACU - MG,MANHUACU,MG,383971.355994943
1792,-20.35,-41.95,MANHUMIRIM - MG,MANHUMIRIM,MG,109980.281073461
1793,-18.78,-40.98,MANTENA - MG,MANTENA,MG,190569.019726027
1794,-21.86,-43.01,MAR DE ESPANHA - MG,MAR DE ESPANHA,MG,67456.6678719471
1795,-19.51,-44.67,MARAVILHAS - MG,MARAVILHAS,MG,40322.2443435502
1796,-22.3,-45.37,MARIA DA FE - MG,MARIA DA FE,MG,95467.5615677066
1797,-20.37,-43.41,MARIANA - MG,MARIANA,MG,248103.861581711
1798,-18.5,-42.08,MARILAC - MG,MARILAC,MG,26390.8504827044
1799,-20.05,-44.18,MARIO CAMPOS - MG,MARIO CAMPOS,MG,44174.6482735846
1800,-21.69,-42.95,MARIPA DE MINAS - MG,MARIPA DE MINAS,MG,15310.1295644214
1801,-19.71,-42.73,MARLIERIA - MG,MARLIERIA,MG,24260.6487921073
1802,-22.44,-45.16,MARMELOPOLIS - MG,MARMELOPOLIS,MG,20781.2581866153
1803,-19.33,-45.23,MARTINHO CAMPOS - MG,MARTINHO CAMPOS,MG,73194.6717633835
1804,-20.25,-41.87,MARTINS SOARES - MG,MARTINS SOARES,MG,25753.8645150586
1805,-15.68,-40.74,MATA VERDE - MG,MATA VERDE,MG,42365.432746944
1806,-18.47,-43.06,MATERLANDIA - MG,MATERLANDIA,MG,33503.6955243831
1807,-19.98,-44.42,MATEUS LEME - MG,MATEUS LEME,MG,129640.295677036
1808,-18.59,-41.9,MATHIAS LOBATO - MG,MATHIAS LOBATO,MG,24550.412940801
1809,-21.86,-43.31,MATIAS BARBOSA - MG,MATIAS BARBOSA,MG,77117.5738862767
1810,-14.85,-43.92,MATIAS CARDOSO - MG,MATIAS CARDOSO,MG,62241.607229916
1811,-20.28,-42.34,MATIPO - MG,MATIPO,MG,98435.7756741636
1812,-15.39,-42.86,MATO VERDE - MG,MATO VERDE,MG,87956.0456665596
1813,-19.55,-44.08,MATOZINHOS - MG,MATOZINHOS,MG,164926.126843121
1814,-19.22,-45.96,MATUTINA - MG,MATUTINA,MG,26701.084462029
1815,-19.99,-46.22,MEDEIROS - MG,MEDEIROS,MG,20030.7585591225
1816,-16.22,-41.47,MEDINA - MG,MEDINA,MG,137575.852601525
1817,-18.66,-41.4,MENDES PIMENTEL - MG,MENDES PIMENTEL,MG,40603.9663010137
1818,-21.19,-43.34,MERCES - MG,MERCES,MG,63810.2986167244
1819,-19.22,-42.6,MESQUITA - MG,MESQUITA,MG,45461.5476291548
1820,-17.21,-42.59,MINAS NOVAS - MG,MINAS NOVAS,MG,195087.364763605
1821,-21.68,-44.6,MINDURI - MG,MINDURI,MG,23772.9135343832
1822,-16.26,-44.16,MIRABELA - MG,MIRABELA,MG,66167.893596067
1823,-20.89,-42.34,MIRADOURO - MG,MIRADOURO,MG,58802.990162068
