"Município(Res)";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"Total"
"130100 Carauari";0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;4
"130110 Careiro";0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;1;5
"130115 Careiro da Várzea";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"130120 Coari";0;0;0;0;0;0;1;0;0;0;0;1;0;2;3;1;0;8
"130130 Codajás";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"130140 Eirunepé";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"130160 Fonte Boa";0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;4
"130170 Humaitá";0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;2;5
"130185 Iranduba";0;0;0;0;0;0;0;0;1;0;1;0;3;2;3;1;3;14
"130190 Itacoatiara";0;0;0;0;1;2;1;3;1;0;2;2;4;1;7;2;4;30
"130195 Itamarati";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"130200 Itapiranga";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"130230 Jutaí";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"130240 Lábrea";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"130250 Manacapuru";0;0;0;1;1;0;0;1;2;0;1;2;1;2;3;3;2;19
"130255 Manaquiri";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"130260 Manaus";72;53;44;60;56;95;95;102;106;125;144;158;166;180;236;183;187;2062
"130270 Manicoré";0;0;0;0;2;0;0;0;0;1;0;0;1;0;1;1;1;7
"130280 Maraã";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"130290 Maués";0;0;0;1;0;0;0;0;0;0;1;0;0;2;1;0;0;5
"130310 Nova Olinda do Norte";0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;3
"130320 Novo Airão";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;2
"130330 Novo Aripuanã";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"130340 Parintins";0;0;0;0;0;1;1;4;3;8;3;7;6;7;4;5;6;55
"130353 Presidente Figueiredo";0;0;0;0;0;0;0;0;0;1;1;2;2;0;3;1;0;10
"130356 Rio Preto da Eva";0;0;0;0;0;0;0;1;0;2;2;1;1;2;0;2;0;11
"130360 Santa Isabel do Rio Negro";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"130370 Santo Antônio do Içá";0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;2
"130380 São Gabriel da Cachoeira";0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;2
"130390 São Paulo de Olivença";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"130395 São Sebastião do Uatumã";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"130406 Tabatinga";0;2;0;1;0;3;2;1;2;1;4;1;4;8;5;2;1;37
"130420 Tefé";0;0;1;0;0;0;0;1;2;2;4;3;1;1;8;5;2;30
"130426 Uarini";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2
"130430 Urucará";0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;2
"130440 Urucurituba";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;3
"130000 Município ignorado - AM";1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;3
"140005 Alto Alegre";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;3
"140002 Amajari";0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;3
"140010 Boa Vista";16;5;10;13;18;15;16;16;15;15;22;18;32;29;24;26;13;303
"140015 Bonfim";0;0;0;0;1;1;0;1;0;0;0;1;0;0;2;1;0;7
"140017 Cantá";0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;3
"140020 Caracaraí";0;0;0;0;0;1;1;0;0;0;0;1;1;1;1;1;1;8
"140023 Caroebe";0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2;0;4
"140028 Iracema";0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2
"140030 Mucajaí";0;0;0;1;1;1;2;0;1;1;0;1;0;0;0;1;1;10
"140040 Normandia";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"140045 Pacaraima";0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;2;0;5
"140047 Rorainópolis";0;0;0;0;0;1;0;0;0;0;0;3;0;1;2;0;1;8
"140050 São João da Baliza";0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;0;0;4
"140000 Município ignorado - RR";0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"150010 Abaetetuba";0;0;0;2;0;2;0;4;2;7;6;4;9;8;6;4;1;55
"150013 Abel Figueiredo";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;2
"150020 Acará";0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;2;1;5
"150030 Afuá";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"150034 Água Azul do Norte";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"150040 Alenquer";0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;2
"150050 Almeirim";0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;1;1;5
"150060 Altamira";0;0;0;0;0;0;0;2;1;3;2;4;3;3;3;5;0;26
"150070 Anajás";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"150080 Ananindeua";19;20;23;8;17;17;21;25;33;34;28;36;43;36;50;48;51;509
"150085 Anapu";0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;4
"150090 Augusto Corrêa";0;0;0;0;0;0;0;0;0;0;0;2;3;2;2;2;2;13
"150095 Aurora do Pará";0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;3
"150100 Aveiro";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"150110 Bagre";0;0;0;0;0;1;0;0;0;0;0;0;1;0;2;0;0;4
"150120 Baião";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;3
"150125 Bannach";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"150130 Barcarena";1;0;0;0;1;1;0;2;1;3;3;4;5;9;6;2;3;41
"150140 Belém";102;81;70;63;102;103;130;146;125;146;138;143;174;187;191;209;207;2317
"150145 Belterra";0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;2
"150150 Benevides";0;1;0;0;0;2;1;2;3;3;3;3;1;2;5;6;3;35
"150157 Bom Jesus do Tocantins";0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;4
"150160 Bonito";0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;3
"150170 Bragança";2;0;0;0;0;1;0;1;3;4;1;5;6;4;13;6;8;54
"150172 Brasil Novo";0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;4
"150175 Brejo Grande do Araguaia";0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;2
"150178 Breu Branco";0;0;0;0;0;0;0;0;1;0;4;3;2;2;5;0;3;20
"150180 Breves";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2
"150190 Bujaru";0;0;0;0;0;0;0;1;0;0;0;0;2;0;1;0;1;5
"150200 Cachoeira do Arari";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;3
"150195 Cachoeira do Piriá";0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;4
"150210 Cametá";0;0;0;0;1;1;0;0;1;0;2;1;3;1;2;2;1;15
"150215 Canaã dos Carajás";0;0;0;0;0;0;0;0;0;0;0;2;2;2;3;3;1;13
"150220 Capanema";1;0;0;0;0;0;0;0;0;1;2;3;1;2;4;3;4;21
"150230 Capitão Poço";0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;2;5
"150240 Castanhal";0;3;0;2;3;4;4;4;3;6;6;5;5;10;8;9;13;85
"150260 Colares";0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;2;1;6
"150270 Conceição do Araguaia";0;0;0;1;0;0;1;2;1;0;2;1;0;1;1;4;1;15
"150275 Concórdia do Pará";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2
"150276 Cumaru do Norte";1;0;0;0;1;0;0;0;1;0;0;2;0;1;0;0;1;7
"150277 Curionópolis";0;0;0;1;0;0;2;0;4;3;2;0;2;1;1;3;1;20
"150280 Curralinho";0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;3
"150290 Curuçá";0;0;1;0;0;0;0;0;0;1;3;3;1;1;4;3;1;18
"150293 Dom Eliseu";0;1;0;0;0;0;0;0;0;1;1;4;0;1;0;6;1;15
"150295 Eldorado dos Carajás";0;1;1;0;0;1;3;3;1;1;1;0;1;5;2;2;2;24
"150300 Faro";0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;4
"150304 Floresta do Araguaia";0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;4
"150307 Garrafão do Norte";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"150309 Goianésia do Pará";0;0;0;0;0;0;0;0;2;3;0;4;1;4;2;2;2;20
"150310 Gurupá";0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;4
"150320 Igarapé-Açu";0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;4;9
"150330 Igarapé-Miri";0;0;0;0;0;1;0;0;0;0;0;0;1;2;0;1;1;6
"150340 Inhangapi";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"150345 Ipixuna do Pará";0;0;0;0;1;0;0;0;1;0;1;0;1;1;1;1;3;10
"150350 Irituia";0;0;0;0;0;0;0;1;1;0;1;0;1;2;2;1;1;10
"150360 Itaituba";0;0;0;0;1;0;0;0;3;0;3;6;3;4;12;9;11;52
"150370 Itupiranga";0;1;0;0;0;0;1;0;0;1;1;2;0;4;1;1;3;15
"150375 Jacareacanga";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;4
"150380 Jacundá";0;0;0;0;3;0;1;1;1;1;1;2;3;2;2;4;3;24
"150390 Juruti";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;2
"150400 Limoeiro do Ajuru";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;4
"150405 Mãe do Rio";0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;2;6
"150420 Marabá";2;1;2;6;3;11;6;6;6;14;12;14;18;27;16;21;26;191
