"Município";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"Total"
"160023 Ferreira Gomes";13574,5;15872,7;18308,0;18976,1;21308,5;24989,8;32734,0;41288,4;72794,4;69648,0;77610,7;89281,1;122275,6;618661,8
"160025 Itaubal";8947,0;11087,6;14326,0;15106,6;17310,0;20868,8;23877,3;23989,4;29894,9;32057,6;37996,3;42327,2;49147,0;326935,7
"160027 Laranjal do Jari";91964,6;110258,9;126238,1;136509,5;155570,9;183790,7;222648,0;256101,5;306346,4;322662,6;355747,1;402607,2;466826,9;3137272,4
"160030 Macapá";1546656,9;1833132,0;2198919,1;2222755,8;2494442,8;2767841,2;3364998,2;3815987,1;4282877,5;4670341,5;5215129,8;5625810,8;6453596,8;46492489,5
"160040 Mazagão";38110,0;44062,0;49566,6;52450,9;61158,7;67484,0;82661,0;94764,4;104339,9;114930,5;138012,6;150090,4;176336,1;1173967,1
"160050 Oiapoque";47133,0;62579,0;74521,1;87799,1;119719,8;142084,3;170206,4;198377,3;215279,7;230103,8;236269,2;264592,5;290832,3;2139497,5
"160015 Pedra Branca do Amapari";17856,4;20393,1;25718,2;24158,6;32175,7;41396,7;54376,3;79350,4;93511,3;104034,5;116317,8;279834,7;269988,3;1159112,0
"160053 Porto Grande";56609,0;75636,7;81734,7;85461,4;90266,5;104939,7;120439,8;131407,4;131758,7;143622,0;172454,4;188325,1;226635,1;1609290,5
"160055 Pracuúba";9330,1;10910,0;12214,3;12981,5;14475,3;16932,5;21000,6;26487,3;31527,0;32162,8;37161,9;42802,0;50289,7;318275,0
"160060 Santana";384973,2;444349,8;484982,1;570961,9;603079,4;679387,0;764917,9;879175,7;962889,7;1075576,8;1242259,5;1275631,2;1594983,0;10963167,2
"160005 Serra do Navio";22970,8;24424,2;28111,6;23815,8;23507,6;62758,9;106917,9;125617,8;145867,1;153746,8;129001,6;71459,8;101174,9;1019374,8
"160070 Tartarugalzinho";23303,9;32695,0;42405,1;38025,0;47956,5;58585,0;67215,3;87659,9;101217,9;119929,4;122823,6;124461,2;147649,3;1013927,1
"160080 Vitória do Jari";29010,3;33626,7;39994,4;43091,5;49391,4;57690,0;71035,3;77307,3;81463,5;99334,2;116648,0;122229,2;138162,7;958984,5
"160000 Município ignorado - AP";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"170025 Abreulândia";5483,8;8127,7;7336,2;8766,8;9344,5;10672,2;12214,0;14225,0;15974,6;17492,1;19109,2;20648,3;22769,9;172164,3
"170030 Aguiarnópolis";8955,4;18761,4;31088,7;29422,4;26598,8;22713,1;27723,9;34172,2;52532,2;56944,4;63542,4;68699,3;76393,0;517547,2
"170035 Aliança do Tocantins";21794,1;21308,2;21392,1;33994,3;34816,6;31810,0;32421,2;33680,2;39738,6;44606,2;52430,0;52442,1;53860,2;474293,8
"170040 Almas";15771,1;17363,3;18312,2;23271,0;27092,3;34390,0;29039,1;31471,0;38314,4;40726,7;47351,8;51829,3;56420,5;431352,7
