"Município";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"Total"
"220250 Caracol";8601,9;9382,0;13167,1;15874,9;16225,1;18155,8;18793,7;23450,5;27634,8;33393,4;34189,2;39734,0;37091,8;295694,2
"220253 Caraúbas do Piauí";5871,2;6880,2;7691,8;9518,4;10438,7;11363,0;12021,9;14943,9;18725,5;20696,2;24398,8;26755,5;26678,0;195983,1
"220255 Caridade do Piauí";4170,4;4428,2;4764,3;5730,6;7714,5;7937,2;8802,9;11484,6;13150,1;14586,8;16679,2;19367,5;20016,2;138832,5
"220260 Castelo do Piauí";23750,1;27119,9;28877,0;33404,8;37458,8;41103,1;46238,3;60311,6;70174,0;70414,5;81182,0;84519,6;90093,7;694647,4
"220265 Caxingó";5270,0;6157,3;6918,8;9080,5;10292,0;10991,2;11835,2;14759,7;17999,9;19447,1;22754,2;25463,4;25465,6;186434,9
"220270 Cocal";27474,6;30177,1;34714,5;46073,4;49346,6;49974,9;59677,9;70168,5;82850,7;79473,1;94471,2;109938,7;111499,1;845840,3
"220271 Cocal de Telha";4524,7;5111,8;5378,0;6794,4;7711,6;8906,7;9794,8;11395,2;13138,8;16080,4;17832,7;18928,8;19123,2;144721,1
"220272 Cocal dos Alves";5778,7;7384,8;7161,9;9949,0;9850,1;10003,8;11595,5;13400,9;16085,5;17442,6;19403,8;23108,2;22648,9;173813,7
"220273 Coivaras";3961,1;4294,7;4456,5;5252,6;5794,5;6621,2;7474,5;9172,0;11063,4;13021,7;14830,1;16025,8;17317,5;119285,6
"220275 Colônia do Gurguéia";5361,9;6770,2;7201,6;8545,6;9776,5;11150,6;13776,3;14477,8;17862,1;20109,4;24186,4;26783,4;28542,5;194544,3
"220277 Colônia do Piauí";8324,8;9854,8;9216,1;11165,4;12390,4;14166,8;15734,5;18799,9;22581,6;23261,5;29767,0;30290,6;30002,7;235556,1
"220280 Conceição do Canindé";8012,7;7868,4;7201,0;8688,2;9712,7;10197,9;11177,8;11478,1;14463,6;15100,7;16825,6;19466,6;21351,8;161545,1
"220285 Coronel José Dias";4686,6;5083,2;5022,9;6025,3;6768,1;8366,1;9317,4;10938,4;11725,9;14167,9;15761,6;16925,0;15936,8;130725,2
"220290 Corrente";37329,0;39411,3;40321,7;47352,4;57203,3;65101,5;79048,4;87338,0;95241,7;112585,2;134300,6;144231,8;152782,2;1092247,1
"220300 Cristalândia do Piauí";8186,2;8324,4;9132,1;11692,4;12958,8;13538,8;15923,0;19084,7;22116,2;26298,8;27582,6;29679,8;28757,7;233275,5
"220310 Cristino Castro";12222,4;12984,4;14445,6;17745,9;21771,1;23619,2;24173,7;26813,9;31708,9;36658,7;41319,0;46248,4;45630,7;355341,9
"220320 Curimatá";11894,6;12639,2;14960,2;17368,1;20282,1;22561,6;24276,7;30604,4;32769,1;40100,4;44313,1;52756,0;60589,4;385114,9
"220323 Currais";6556,4;6355,2;4935,3;10901,8;18015,6;26941,1;15745,8;14586,4;31154,0;34502,3;23746,2;39465,5;38360,8;271266,4
"220327 Curral Novo do Piauí";4423,7;4372,4;4595,1;5915,2;7404,0;7035,7;8443,0;11440,8;12926,2;14459,0;15168,6;17226,5;17857,4;131267,6
"220325 Curralinhos";3759,2;4346,5;4347,1;5170,4;6248,4;7438,3;7625,4;9023,1;9971,4;11286,4;12543,2;14482,2;13554,2;109795,8
"220330 Demerval Lobão";13197,7;14162,7;15033,0;18224,7;22048,8;23857,4;25250,6;29050,0;32048,3;34709,6;42657,6;49774,4;61105,5;381120,3
"220335 Dirceu Arcoverde";6684,1;7055,1;7124,5;8616,9;11048,3;11615,6;13108,7;14702,7;18862,7;19990,8;22325,7;23898,6;24838,7;189872,4
"220340 Dom Expedito Lopes";9519,2;9767,6;11187,6;13197,7;16833,7;17446,3;20891,0;23414,9;25528,8;31622,9;33471,5;36740,4;36809,6;286431,2
"220345 Dom Inocêncio";8211,0;8438,1;9175,6;10686,0;11943,8;14487,6;15077,6;19038,1;23416,7;25460,7;27597,4;30633,1;29956,6;234122,3
"220342 Domingos Mourão";4500,1;5567,8;5690,1;7615,8;7156,4;8896,0;10339,8;12207,1;12914,0;14092,4;15819,6;17738,3;16992,0;139529,4
"220350 Elesbão Veloso";19869,9;21523,0;24168,6;27551,3;32914,4;34580,6;36362,4;43048,9;56574,7;54124,4;60777,6;66561,4;68466,6;546523,8
"220360 Eliseu Martins";5955,9;6533,8;7371,0;8669,6;9168,8;10993,4;11638,1;13036,7;16705,8;17761,3;19895,1;21856,3;21803,9;171389,7
"220370 Esperantina";44288,6;51916,8;56580,4;66823,1;75285,4;86217,1;100370,7;104128,1;122479,3;133967,8;158628,2;172196,7;184826,9;1357709,1
"220375 Fartura do Piauí";4729,7;4958,5;5139,5;6108,7;6893,6;8051,5;8971,8;10835,0;12402,4;14209,6;15596,6;17124,5;15951,7;130973,1
"220380 Flores do Piauí";4993,6;5627,6;6482,4;9035,6;7994,3;10442,4;9629,7;11795,7;13159,1;16116,8;17619,9;18924,5;18976,4;150798,0
"220385 Floresta do Piauí";2439,2;4082,7;3551,1;4490,1;4960,1;5537,1;5943,8;7202,4;8320,1;9287,2;10176,3;12000,6;11244,4;89235,1
"220390 Floriano";144458,7;140958,2;166114,5;176730,7;224832,9;255167,3;292996,0;383677,5;392568,8;429915,3;542896,0;594570,2;656458,0;4401344,1
"220400 Francinópolis";5364,5;6190,4;6993,6;8415,5;9309,7;9608,3;11051,8;12717,8;15377,8;17242,6;19213,5;25119,1;22909,5;169514,1
"220410 Francisco Ayres";5122,1;5749,2;6308,3;8082,5;8601,5;9567,0;11445,6;13003,9;14443,9;17845,9;16854,2;19718,2;18610,7;155353,0
"220415 Francisco Macedo";2677,6;2811,6;3018,2;4184,5;4646,6;5329,8;6372,4;6677,6;9524,9;9191,1;10804,4;12226,2;11883,5;89348,4
"220420 Francisco Santos";11089,5;11027,6;10784,5;15458,9;19860,2;18555,2;21073,2;26076,2;28034,2;33834,6;36940,1;39773,5;39141,2;311648,9
"220430 Fronteiras";15250,0;36238,7;75717,4;87986,8;80543,7;99750,8;122808,2;117460,8;203582,4;164736,2;193754,9;191955,4;161729,4;1551514,7
"220435 Geminiano";5559,3;6859,9;7036,4;9071,7;10228,5;9718,6;12139,0;15538,1;21286,9;22560,3;25475,6;26426,0;30318,6;202218,9
"220440 Gilbués";13875,7;15047,2;16994,4;22600,9;31470,9;34196,1;28285,0;35241,0;59273,4;69102,7;60053,0;93162,6;82476,1;561779,0
"220450 Guadalupe";51254,7;65371,9;72625,6;76050,2;126144,2;77508,8;84794,9;73700,8;131016,5;98078,3;139966,3;207052,2;138009,0;1341573,4
"220455 Guaribas";3634,3;3678,7;4196,5;4903,1;5897,2;5943,7;6170,6;10278,4;11070,9;13089,5;13883,4;17015,4;15601,5;115363,2
"220460 Hugo Napoleão";3979,0;4567,8;4956,9;7233,4;7937,3;7154,3;9209,6;10406,6;12181,2;15028,6;15853,8;17867,6;15866,4;132242,5
"220465 Ilha Grande";9695,7;11658,5;12985,4;15277,1;17474,3;18887,2;21595,7;25625,6;30674,2;34533,4;40179,5;41567,9;42556,7;322711,2
"220470 Inhuma";18396,7;19559,7;18874,8;28127,3;30746,8;31166,3;37785,0;42231,8;47486,5;62018,5;56825,4;70016,2;66241,2;529476,2
"220480 Ipiranga do Piauí";10161,6;11176,0;11728,1;15998,5;17893,4;19027,0;21712,5;23832,9;28692,6;33584,0;35807,6;40611,0;40442,0;310667,2
"220490 Isaías Coelho";7298,6;8744,8;9398,0;11616,1;11861,9;13603,7;15444,7;17728,4;20002,0;24962,4;25716,9;31625,8;31239,2;229242,5
"220500 Itainópolis";13290,9;13798,2;15535,9;19282,4;18422,7;22016,7;26651,0;27243,1;31538,0;39723,9;41777,9;46523,6;43802,9;359607,2
"220510 Itaueira";12594,7;15333,4;17190,4;24243,5;23614,7;29200,9;28071,0;31729,3;39312,5;46703,5;53144,6;51305,6;55531,1;427975,2
"220515 Jacobina do Piauí";7404,4;8472,9;8748,9;10041,8;10787,2;11700,6;13383,3;14887,4;18182,0;21987,6;24589,2;26018,9;25145,9;201350,1
"220520 Jaicós";16355,8;18276,2;22060,0;27625,7;31112,2;35089,8;40175,5;44324,8;61745,8;64696,0;70343,3;77171,0;78659,5;587635,6
"220525 Jardim do Mulato";4305,3;5044,7;5470,3;6350,2;7778,6;7351,1;8177,5;11512,0;12563,5;14262,7;15684,1;18114,8;16667,6;133282,4
"220527 Jatobá do Piauí";4771,6;6379,7;8147,9;13762,6;9396,4;11731,6;14059,9;14989,2;17184,6;23279,4;23617,8;24341,6;23529,0;195191,3
"220530 Jerumenha";6455,5;7184,4;7923,0;8580,2;11234,4;10303,7;11650,9;14265,7;21245,0;17200,6;22598,1;21305,1;23617,2;183563,8
"220535 João Costa";3885,9;4402,9;4537,3;5634,1;6393,6;7911,5;7657,5;8903,7;10353,5;11618,2;16611,5;15965,0;14132,7;118007,4
"220540 Joaquim Pires";12470,1;14604,3;16187,9;19740,7;21406,1;22279,4;25835,0;30388,2;38479,4;40393,0;45365,6;51798,8;52130,0;391078,5
"220545 Joca Marques";3527,3;4451,6;5166,9;6617,8;7387,7;7973,5;9553,4;11868,9;13332,9;15072,1;16357,5;18484,2;18521,1;138314,9
"220550 José de Freitas";38228,1;42258,9;46735,3;55845,7;64763,0;75534,6;89086,8;99624,6;139306,3;153558,1;166065,0;200924,4;190205,7;1362136,5
"220551 Juazeiro do Piauí";5498,5;6658,8;6492,2;7234,1;8639,6;9413,0;11569,0;15079,7;17731,0;17745,6;21004,5;22584,5;22179,8;171830,3
"220552 Júlio Borges";4903,6;5418,8;5809,5;7488,4;8167,6;9061,7;9221,0;12024,1;15550,6;17256,3;19360,4;21768,8;21279,1;157309,9
"220553 Jurema";4876,5;5183,6;5289,3;7136,9;7170,6;9816,5;9890,0;11744,3;13372,7;16857,6;17140,3;20687,9;19305,1;148471,3
"220555 Lagoa Alegre";6981,7;8221,3;8930,2;10836,1;13062,6;13715,2;15353,8;19930,0;21300,3;24819,4;27537,9;29980,1;31118,4;231787,0
"220557 Lagoa de São Francisco";4912,6;6164,7;6486,9;8208,2;8651,4;10486,5;10417,2;13789,8;15008,2;17818,6;20078,2;23401,7;25125,3;170549,3
"220556 Lagoa do Barro do Piauí";5308,2;5881,7;6531,7;7652,3;8463,2;9887,8;9675,6;12007,7;13994,7;15667,0;17673,3;19421,5;19196,5;151361,2
"220558 Lagoa do Piauí";5900,1;6545,8;11638,8;11429,7;10946,6;11614,8;15896,0;17262,8;19541,0;19936,8;35799,8;47878,6;28896,7;243287,5
"220559 Lagoa do Sítio";5464,8;6197,6;6717,9;10112,5;9250,2;9694,3;12105,5;12437,2;17051,2;18903,5;19592,9;23507,3;19805,2;170840,1
"220554 Lagoinha do Piauí";2445,5;2775,2;3245,4;4289,1;4703,7;4902,3;5833,3;6549,3;9418,6;9004,5;9754,9;11262,4;11337,1;85521,3
"220560 Landri Sales";6886,4;7899,1;8371,4;10374,7;11843,6;12726,2;13127,0;15252,4;30421,1;27491,4;28673,1;31662,4;22802,1;227530,9
"220570 Luís Correia";36937,5;42357,7;44787,8;56552,7;61621,4;65886,7;72505,2;87316,4;97828,4;102361,6;125722,8;138124,8;145513,8;1077516,8
"220580 Luzilândia";25784,0;29804,3;35477,2;39204,3;42133,1;48467,4;54410,0;66210,1;74628,9;84168,7;98280,3;104578,6;109034,2;812181,1
"220585 Madeiro";5505,4;6769,0;8099,3;10818,7;11901,1;12445,9;14333,9;17839,1;20502,6;23068,5;25892,9;27380,4;26709,9;211266,7
"220590 Manoel Emídio";6007,6;8263,4;7405,2;11838,5;11883,8;16144,0;17759,7;14980,7;21413,7;28097,1;24392,4;31077,8;25624,8;224888,7
"220595 Marcolândia";6229,9;7069,6;7554,4;10633,1;11620,1;12086,8;14581,8;23778,1;23716,1;28604,6;30049,2;33109,9;35357,5;244391,1
"220600 Marcos Parente";4927,5;5330,5;6106,7;7299,2;8539,9;8645,4;9501,6;10660,9;14188,9;15198,0;17999,4;21230,6;19476,6;149105,2
"220605 Massapê do Piauí";5834,1;6026,8;6878,5;8561,3;9241,6;10172,2;11597,6;13809,4;17401,3;17571,0;19826,4;21683,0;21557,0;170160,2
"220610 Matias Olímpio";8458,1;10271,7;13618,3;13329,8;15610,7;16104,1;19731,0;23184,4;24757,6;28151,0;35340,0;38266,2;39158,5;285981,4
"220620 Miguel Alves";30526,7;33606,1;38454,3;41882,2;50910,3;57296,0;64980,8;81769,4;87710,1;95749,3;115728,4;126340,0;134189,9;959143,5
"220630 Miguel Leão";3749,8;3666,1;4342,2;5678,0;5490,3;5460,4;6150,8;6603,8;8490,6;8358,0;8792,2;9741,5;9179,5;85703,2
"220635 Milton Brandão";6400,7;7728,3;8259,8;10079,6;10712,2;11630,9;13297,2;14930,2;16672,1;18870,8;20874,7;24332,1;24762,9;188551,5
"220640 Monsenhor Gil";12758,5;14075,8;14773,8;16518,8;20510,2;21538,9;27700,7;33278,8;69536,9;44708,4;56676,8;63351,4;56338,2;451767,2
"220650 Monsenhor Hipólito";8845,8;8931,0;9555,4;12895,4;14873,1;15709,3;17840,1;19049,1;22847,7;24684,5;28074,0;33475,6;30316,7;247097,7
"220660 Monte Alegre do Piauí";10432,6;11513,6;13111,8;19266,8;24417,2;26846,8;25142,1;32610,3;43409,0;52700,2;47684,8;61748,7;56593,0;425476,9
"220665 Morro Cabeça no Tempo";4708,5;4893,2;5438,5;6620,7;6772,4;6777,9;10270,1;12535,6;12792,3;13968,9;16221,2;18484,6;18158,4;137642,3
"220667 Morro do Chapéu do Piauí";6598,2;7685,4;8310,6;10177,9;11397,0;11655,5;11111,6;15042,7;17356,7;20028,3;21813,7;25248,6;25057,6;191483,8
"220669 Murici dos Portelas";7270,6;8492,7;9482,8;12052,6;14621,7;14386,8;14682,9;19752,4;23089,2;25120,3;30717,2;34829,0;35299,9;249798,1
"220670 Nazaré do Piauí";9365,3;9873,3;10867,8;14277,8;14221,4;15607,6;16600,2;17871,1;19390,3;23634,7;26112,2;28885,4;28842,5;235549,6
"220672 Nazária";-;-;-;-;-;-;-;-;-;21404,3;29965,1;35095,0;36673,6;123138,0
"220675 Nossa Senhora de Nazaré";4183,5;5022,4;5546,5;6754,0;7584,2;8153,2;9089,0;11177,0;13466,1;14808,6;16813,0;18697,7;16725,6;138020,8
"220680 Nossa Senhora dos Remédios";7232,1;7917,2;8780,8;10671,7;12176,5;12626,1;14334,2;17841,7;19836,9;23563,1;26626,9;35093,1;35569,7;232270,0
"220795 Nova Santa Rita";4988,1;5426,5;5359,9;6864,8;7602,4;9253,8;9128,4;10345,9;12693,4;14447,2;15358,1;16716,4;16659,8;134844,7
"220690 Novo Oriente do Piauí";6914,1;7653,6;8921,4;11017,2;12121,4;12889,9;13464,4;15387,1;18066,7;20730,4;23524,8;27611,3;25948,7;204251,0
"220695 Novo Santo Antônio";4143,6;4944,0;4763,4;6482,6;5667,8;6779,8;7420,3;8815,7;10203,6;11478,8;13436,4;15487,8;14372,5;113996,3
"220700 Oeiras";49991,4;56044,3;61598,1;67402,5;76549,7;95258,5;110698,8;118025,7;127373,7;152332,2;185920,0;200892,3;210623,5;1512710,7
"220710 Olho D'Água do Piauí";3083,8;3555,2;3664,4;4832,2;5393,0;4716,4;5237,3;6185,2;9623,1;10288,2;11050,6;12236,5;11005,3;90871,2
"220720 Padre Marcos";8176,6;8589,0;9105,9;11004,1;12223,8;15230,7;16120,9;19751,8;24243,4;24610,3;26186,4;29963,6;30467,6;235674,1
"220730 Paes Landim";5530,1;5941,8;6213,9;7801,8;7756,2;8727,4;7430,4;11420,0;12609,4;14569,8;17192,7;20580,9;19827,2;145601,6
"220735 Pajeú do Piauí";3262,7;4205,7;4279,1;5530,2;5536,9;6941,5;7307,9;9540,9;11302,8;12152,4;13107,8;14381,2;14365,9;111915,0
"220740 Palmeira do Piauí";8216,0;8585,9;8295,1;11937,2;16177,0;16154,9;13902,5;16688,5;27458,7;33061,5;25399,6;36775,5;28857,0;251509,4
"220750 Palmeirais";16213,3;16995,5;17409,4;21545,6;26842,1;27175,8;31622,0;35376,0;40336,1;45658,3;46895,2;57673,5;53953,4;437696,2
"220755 Paquetá";6154,5;6053,3;6601,2;8560,5;9391,3;9582,3;11045,9;11832,0;13949,6;15213,0;15676,5;17730,3;16566,1;148356,5
"220760 Parnaguá";11839,0;12866,3;13673,7;16806,0;19067,9;20413,4;23073,6;27967,7;31819,5;35951,3;46384,6;49371,2;46910,6;356144,8
"220770 Parnaíba";346340,0;338966,4;304238,4;331833,7;416231,7;496968,2;586237,5;620968,5;677608,4;757541,1;947088,1;1040165,6;1131354,6;7995542,2
"220775 Passagem Franca do Piauí";4598,7;5365,8;6077,6;7760,2;8613,9;8767,7;9631,9;10971,9;16333,4;14408,7;16457,4;19685,0;18513,3;147185,5
"220777 Patos do Piauí";5952,0;6852,2;7884,4;9223,7;12189,8;12429,6;16965,0;17819,3;23325,3;23177,6;23766,6;25135,8;24737,9;209459,2
"220779 Pau D'Arco do Piauí";-;4874,2;5116,6;6747,9;6903,6;7836,0;8540,8;10707,4;12246,2;12860,2;14535,3;14081,8;15094,0;119544,0
"220780 Paulistana";23110,0;24806,3;28096,6;30620,9;36897,1;39105,7;46347,3;51569,3;65511,1;72807,4;98408,4;108053,7;110860,8;736194,6
"220785 Pavussu";4621,6;5032,8;5510,5;7498,3;7209,5;8230,0;9217,2;10606,8;11995,5;13430,5;14176,3;15743,3;15310,2;128582,5
"220790 Pedro II";36164,1;40094,8;43180,6;51341,5;60092,2;59989,3;75064,9;86815,0;97801,8;113781,2;138413,3;153920,9;160735,2;1117394,8
"220793 Pedro Laurentino";4231,2;4484,8;3516,5;4406,2;4720,1;5302,0;5864,3;6686,5;8068,7;9338,0;10659,2;11836,3;11855,2;90969,0
"220800 Picos";182423,6;197873,7;213490,0;229798,5;315074,5;374847,4;438696,1;454438,2;503217,7;578523,1;700302,8;747815,7;831280,3;5767781,6
"220810 Pimenteiras";13544,4;14188,2;15787,2;19894,5;22533,6;24110,1;27328,7;30349,1;38348,7;40355,3;45231,5;49236,4;46300,4;387208,1
"220820 Pio IX";21301,0;22360,6;22375,8;29272,6;39657,1;37239,9;46380,1;52346,9;74433,5;70274,0;75398,4;88561,4;77087,2;656688,5
"220830 Piracuruca";33673,6;37458,1;40979,6;49792,8;56440,7;62218,5;70387,1;80405,0;86202,3;95491,0;117713,2;128521,6;138082,2;997365,7
"220840 Piripiri";87577,8;89313,6;105295,2;112340,0;138670,6;155137,6;179363,1;196020,0;215686,7;255774,9;317131,2;343368,3;363333,6;2559012,6
"220850 Porto";10484,0;11952,8;12969,3;15623,6;17372,9;17068,4;19480,4;24412,9;27701,3;32136,5;38436,4;42616,0;43540,1;313794,6
"220855 Porto Alegre do Piauí";3632,6;3746,0;4077,0;5237,0;5596,9;6773,5;8444,2;9427,0;13567,9;15235,3;13382,8;17474,5;15511,3;122106,0
"220860 Prata do Piauí";3175,8;3444,9;3770,5;4872,8;5704,6;6022,8;6369,7;8101,0;9375,9;10733,2;12338,8;12781,6;12687,8;99379,4
"220865 Queimada Nova";9023,0;10062,2;18506,3;12730,3;14683,4;16324,7;18268,3;23827,0;26827,7;28197,5;30980,7;34660,6;34816,1;278907,8
"220870 Redenção do Gurguéia";8643,9;10554,4;11190,1;13308,5;15659,3;17261,8;18697,1;21549,2;25866,0;29913,5;31853,4;36025,3;36381,2;276903,7
"220880 Regeneração";17589,3;18747,2;21657,0;26037,3;30948,4;33535,7;38097,9;46666,5;54474,9;60249,5;69014,6;80765,5;83677,9;581461,7
"220885 Riacho Frio";6425,2;5885,1;7296,1;8933,0;10051,7;10175,5;10561,8;12897,4;14530,6;16719,2;16989,7;20065,8;19825,9;160357,0
"220887 Ribeira do Piauí";4735,6;5378,8;5439,4;7114,5;7662,2;8521,3;9070,5;10277,5;11369,5;12652,7;13990,9;16657,6;15227,7;128098,2
"220890 Ribeiro Gonçalves";9959,2;21298,1;26371,0;48017,8;49827,3;54676,8;33662,8;36915,8;85381,3;94821,8;53802,3;90110,7;85189,8;690034,7
"220900 Rio Grande do Piauí";6360,9;7448,1;8766,4;11709,4;11694,4;13605,2;13406,1;17594,2;18585,7;21424,6;24968,1;25173,5;25905,0;206641,6
"220910 Santa Cruz do Piauí";7551,7;8399,5;8222,8;9728,9;11156,5;12100,7;13082,5;14649,3;16640,3;19394,5;22151,6;26239,5;26538,8;195856,6
"220915 Santa Cruz dos Milagres";6499,4;7650,6;8127,1;10204,1;9820,7;9389,1;9299,1;10720,1;12859,8;13799,6;15892,2;18697,9;17661,7;150621,4
"220920 Santa Filomena";9748,0;11057,1;11432,9;20617,3;30792,1;38118,5;30314,5;35370,3;73933,0;71912,1;43926,0;65861,3;49853,8;492936,9
"220930 Santa Luz";5046,7;5520,5;6120,2;8564,8;8677,5;9989,9;9513,2;11952,5;14223,1;17752,6;20019,1;24212,0;23202,1;164794,2
"220937 Santa Rosa do Piauí";5556,3;6165,3;6435,6;8682,7;8837,2;9200,4;10177,4;12027,0;14394,2;16145,9;17879,3;20484,9;21084,3;157070,5
"220935 Santana do Piauí";4934,7;5575,4;5953,6;6790,9;8694,0;10008,2;10497,1;11464,3;14238,4;15979,5;18832,0;21946,2;18070,0;152984,3
"220940 Santo Antônio de Lisboa";8841,0;8362,7;8978,7;12026,7;15723,3;19511,9;25121,2;20286,7;25923,7;28602,6;31561,5;40190,8;34804,3;279935,1
"220945 Santo Antônio dos Milagres";1536,7;1763,0;2061,0;3380,9;3183,9;3503,5;3746,2;4512,6;4956,9;5766,7;7237,6;10890,6;8342,6;60882,2
"220950 Santo Inácio do Piauí";4785,4;4778,1;5198,3;6093,6;6682,4;7132,3;7853,1;9024,5;10485,0;12290,7;13568,8;16069,1;15186,4;119147,7
"220955 São Braz do Piauí";3986,3;4790,6;4704,6;6022,1;6494,9;8715,9;8751,8;10340,6;11784,6;14858,7;14377,8;17736,1;16080,1;128644,1
"220960 São Félix do Piauí";4946,2;5486,6;5824,6;7362,9;7893,0;7932,3;8670,0;9440,1;11157,3;11540,1;12577,0;13976,8;12999,5;119806,4
"220965 São Francisco de Assis do Piauí";3684,7;3989,3;4653,0;6468,0;7720,7;8664,8;9759,4;12397,1;12952,8;14501,6;17762,5;19628,4;22071,8;144254,1
"220970 São Francisco do Piauí";7041,7;7677,9;8460,3;9645,1;10897,3;11117,7;11726,9;12784,5;15927,4;20112,7;24738,5;29014,8;27667,2;196812,0
"220975 São Gonçalo do Gurguéia";3232,4;3605,1;3535,3;4501,1;5538,6;5731,7;6263,2;7219,5;8717,8;10304,3;12868,8;14326,0;14131,1;99974,9
"220980 São Gonçalo do Piauí";4826,1;5373,6;5853,7;7104,4;8320,5;8998,7;9560,0;10890,0;13416,1;15584,7;17417,1;20252,7;19863,2;147460,8
"220985 São João da Canabrava";4861,8;5256,4;5612,6;7337,1;8466,5;8974,6;11750,2;11333,7;14129,1;15650,7;16590,5;19338,9;19097,4;148399,5
"220987 São João da Fronteira";6584,9;7774,0;8184,8;10005,3;10424,2;10108,9;11798,2;15121,9;21499,8;16769,8;21754,2;24036,4;24427,2;188489,6
"220990 São João da Serra";7926,8;8668,7;9509,2;11410,8;11629,3;13574,3;15537,8;18484,2;21188,4;22342,2;25734,5;27479,8;27233,2;220719,2
"220995 São João da Varjota";4249,4;4946,2;5129,3;6924,2;7591,3;8174,3;9065,3;10340,4;12054,8;13685,5;15868,0;18399,5;16978,8;133407,0
"220997 São João do Arraial";4917,9;5722,2;6338,2;7960,8;8912,0;9854,6;11318,7;14010,4;15852,9;19992,9;22880,4;26008,5;27143,0;180912,5
"221000 São João do Piauí";27648,3;28200,1;30160,0;31612,1;39727,6;48382,7;63644,4;60134,0;71642,1;73802,6;87774,7;94260,7;107404,0;764393,3
"221005 São José do Divino";6615,6;7450,7;8402,4;11378,8;12628,3;13591,6;14497,0;16897,3;18759,9;20676,1;23548,1;27515,1;27106,8;209067,7
"221010 São José do Peixe";5406,3;5992,0;6203,6;7798,1;7924,2;8829,3;9604,2;10754,4;12749,9;15307,9;16592,5;18568,2;18475,6;144206,2
"221020 São José do Piauí";7571,4;8479,8;8870,3;11506,5;12267,8;14375,2;18577,8;18729,1;23554,5;26353,3;27222,0;30917,4;27514,8;235939,9
"221030 São Julião";7017,4;7458,8;7866,9;9547,5;10859,0;12357,1;14375,5;16333,7;22495,6;20753,2;23385,8;25752,1;25568,5;203771,1
"221035 São Lourenço do Piauí";4235,1;4556,0;4985,3;6045,8;6593,9;8044,1;8673,4;10481,9;11948,1;13126,3;14461,6;16405,6;16278,8;125835,9
"221037 São Luis do Piauí";2643,2;2958,1;3078,3;4001,9;4178,1;4677,3;5813,2;6157,4;7173,2;8443,1;9456,2;11047,5;10683,7;80311,2
"221038 São Miguel da Baixa Grande";2376,2;2671,8;2737,0;3205,6;3749,8;3803,4;4829,5;5741,8;6802,3;7709,0;9168,5;10268,5;10627,4;73690,8
"221039 São Miguel do Fidalgo";4197,4;4583,2;4488,3;5740,7;5930,8;6853,1;7957,0;8475,0;10071,6;11466,9;11737,3;13461,7;12425,8;107388,8
"221040 São Miguel do Tapuio";22031,2;23744,6;25137,3;28804,9;31994,0;34736,2;39627,6;42395,7;53076,4;56573,6;63386,3;73417,7;74842,3;569767,8
"221050 São Pedro do Piauí";15186,1;17332,8;18809,1;27712,2;30123,1;29426,2;35372,4;38997,4;43429,9;48492,1;54372,9;58984,2;63270,0;481508,4
"221060 São Raimundo Nonato";45272,6;51825,2;59022,4;71273,1;71467,8;89594,6;101927,8;118465,5;127408,0;155168,0;173357,6;203122,5;215978,4;1483883,5
"221062 Sebastião Barros";5517,1;6334,5;6123,0;8159,0;8597,3;9373,6;10528,9;11738,8;14594,5;17407,5;18104,9;19231,3;18457,7;154168,1
"221063 Sebastião Leal";6697,3;8003,9;7837,8;15701,2;20765,9;24382,7;32804,5;35571,3;48096,3;35031,9;67527,0;57042,8;57645,5;417108,1
"221065 Sigefredo Pacheco";9318,7;10592,9;11151,1;13568,1;14434,5;16837,4;19607,3;23373,3;27097,4;29959,3;34453,1;36604,3;37960,8;284958,2
"221070 Simões";17172,4;15957,1;16841,1;22117,9;30068,4;25734,0;31114,9;38619,3;44693,4;57995,1;55273,1;61257,3;67425,8;484269,8
"221080 Simplício Mendes";16945,1;16954,8;17849,8;20271,9;25242,7;28008,7;29599,5;35359,4;45256,0;47987,1;55118,7;62263,5;65582,0;466439,2
"221090 Socorro do Piauí";4818,1;5371,0;5773,7;6952,3;7861,1;7788,9;8865,0;10756,6;11699,3;13979,5;15331,9;18078,9;17967,8;135244,1
"221093 Sussuapara";6878,4;8097,4;7475,3;9388,6;10641,6;11532,5;13533,1;18585,9;23456,5;23822,2;28365,1;31636,7;32028,3;225441,6
"221095 Tamboril do Piauí";3111,9;3486,1;3919,8;5391,1;5120,6;5653,8;6807,6;7883,2;8778,0;9973,9;10787,5;12011,2;10941,5;93866,2
"221097 Tanque do Piauí";2944,5;3105,9;3324,9;4157,8;5302,1;5150,5;5762,9;6729,8;8802,1;12192,4;10765,8;12881,9;12121,8;93242,4
"221100 Teresina";2938722,1;3055000,4;3725373,9;4291340,3;4491322,4;5242875,1;5989116,5;6536373,5;7505653,2;8688475,0;10539377,7;11403516,3;12306772,1;86713918,5
"221110 União";62770,5;66684,8;82158,3;91073,8;101149,8;119738,1;130572,7;153366,7;201783,8;192833,2;227691,7;268709,3;255967,4;1954500,1
"221120 Uruçuí";46905,8;51971,9;50625,9;92769,5;137936,3;146608,4;356554,8;292282,1;434061,1;562272,9;443393,2;602568,4;650724,1;3868674,4
