#county,population,cases
Blackford-Indiana,11782,1866
Bladen-North Carolina,32911,5388
Blaine-Idaho,23426,2891
Blaine-Montana,6568,1161
Blaine-Nebraska,457,38
Blaine-Oklahoma,9447,1477
Blair-Pennsylvania,121007,16322
Blanco-Texas,12269,1290
Bland-Virginia,6239,1042
Bleckley-Georgia,12955,2303
Bledsoe-Tennessee,15223,3438
Blount-Alabama,57879,10047
Blount-Tennessee,134751,23338
Blue Earth-Minnesota,68241,9432
Boise-Idaho,8065,695
Bolivar-Mississippi,30142,6259
Bollinger-Missouri,12111,1713
Bon Homme-South Dakota,6848,1614
Bond-Illinois,16262,2538
Bonner-Idaho,46817,4976
Bonneville-Idaho,122134,18831
Boone-Arkansas,37625,6140
Boone-Illinois,52777,7838
Boone-Indiana,69347,8786
Boone-Iowa,26277,3452
Boone-Kentucky,135396,20356
Boone-Missouri,182991,25080
Boone-Nebraska,5096,685
Boone-West Virginia,21055,3352
Borden-Texas,706,41
Bosque-Texas,18603,2412
Bossier-Louisiana,127275,21485
Botetourt-Virginia,33633,3675
Bottineau-North Dakota,6287,934
Boulder-Colorado,327171,29831
Boundary-Idaho,12656,1303
Bourbon-Kansas,14435,2402
Bourbon-Kentucky,19901,3078
Bowie-Texas,93481,12550
Bowman-North Dakota,2986,538
Box Butte-Nebraska,10696,1447
Box Elder-Utah,57007,8023
Boyd-Kentucky,46516,8139
Boyd-Nebraska,1860,227
Boyle-Kentucky,30367,5244
Bracken-Kentucky,8286,1065
Bradford-Florida,28593,5303
Bradford-Pennsylvania,60221,7308
Bradley-Arkansas,10639,1943
Bradley-Tennessee,109071,21790
Branch-Michigan,43424,7078
Brantley-Georgia,19202,3094
Braxton-West Virginia,13702,2029
Brazoria-Texas,380518,58778
Brazos-Texas,232555,38183
Breathitt-Kentucky,12550,1953
Breckinridge-Kentucky,20537,2625
Bremer-Iowa,25311,3539
Brevard-Florida,608459,79757
Brewster-Texas,9237,1074
Briscoe-Texas,1487,215
Bristol-Massachusetts,566765,79288
Bristol-Rhode Island,48350,5930
Bristol Bay plus Lake and Peninsula-Alaska,2281,423
Bristol city-Virginia,17329,2212
Broadwater-Montana,6444,777
Brooke-West Virginia,21674,2960
Brookings-South Dakota,35603,5029
Brooks-Georgia,15357,2404
Brooks-Texas,6964,1115
Broome-New York,189420,23669
Broomfield-Colorado,72236,6437
Broward-Florida,1958105,352257
Brown-Illinois,6546,1057
Brown-Indiana,15112,1423
Brown-Kansas,9482,1507
Brown-Minnesota,24846,3942
Brown-Nebraska,2981,295
Brown-Ohio,43414,6223
Brown-South Dakota,38738,6445
Brown-Texas,37633,6901
Brown-Wisconsin,264610,44073
Brule-South Dakota,5254,797
Brunswick-North Carolina,149039,15873
Brunswick-Virginia,16037,1758
Bryan-Georgia,40755,6261
Bryan-Oklahoma,48998,8479
Buchanan-Iowa,21287,2744
Buchanan-Missouri,86530,15001
Buchanan-Virginia,20613,2273
Buckingham-Virginia,17168,2589
Bucks-Pennsylvania,627987,71205
Buena Vista-Iowa,19772,4897
Buena Vista city-Virginia,6402,1237
Buffalo-Nebraska,50114,7186
Buffalo-South Dakota,1956,447
Buffalo-Wisconsin,13033,1875
Bullitt-Kentucky,82182,11726
Bulloch-Georgia,80839,11123
Bullock-Alabama,9976,1517
Buncombe-North Carolina,263477,27296
Bureau-Illinois,32303,4395
Burke-Georgia,22648,3727
Burke-North Carolina,90418,15385
Burke-North Dakota,2118,292
Burleigh-North Dakota,96212,21325
Burleson-Texas,18514,3224
Burlington-New Jersey,446596,53387
Burnet-Texas,49653,7285
Burnett-Wisconsin,15557,2106
Burt-Nebraska,6477,757
Butler-Alabama,19504,3233
Butler-Iowa,14333,2033
Butler-Kansas,66992,10627
Butler-Kentucky,12703,2285
Butler-Missouri,42178,6549
Butler-Nebraska,7960,1046
Butler-Ohio,385648,50526
Butler-Pennsylvania,189135,23861
Butte-California,212744,23129
Butte-Idaho,2646,323
Butte-South Dakota,10538,1768
Butts-Georgia,25426,4614
Cabarrus-North Carolina,221479,32149
Cabell-West Virginia,91589,14318
Cache-Utah,130004,20960
Caddo-Louisiana,237479,38990
Caddo-Oklahoma,28684,5094
Calaveras-California,46308,3795
Calcasieu-Louisiana,203310,34011
Caldwell-Kentucky,12687,2241
Caldwell-Louisiana,9839,2207
Caldwell-Missouri,9051,1116
Caldwell-North Carolina,82100,12976
Caldwell-Texas,43979,8327
Caledonia-Vermont,29705,1623
Calhoun-Alabama,113469,22065
Calhoun-Arkansas,5113,590
Calhoun-Florida,14078,2991
Calhoun-Georgia,6231,834
Calhoun-Illinois,4616,684
Calhoun-Iowa,9473,1842
Calhoun-Michigan,133580,18000
Calhoun-Mississippi,14241,2771
Calhoun-South Carolina,14554,1723
Calhoun-Texas,21001,3879
Calhoun-West Virginia,6945,856
Callahan-Texas,14110,1734
Callaway-Missouri,44887,7323
Calloway-Kentucky,39300,5084
Calumet-Wisconsin,50209,8012
Calvert-Maryland,93072,5484
Camas-Idaho,1130,106
Cambria-Pennsylvania,128672,18302
Camden-Georgia,55388,7857
Camden-Missouri,46414,6236
Camden-New Jersey,506809,66665
Camden-North Carolina,10984,1078
Cameron-Louisiana,7003,857
Cameron-Pennsylvania,4330,461
Cameron-Texas,424180,64822
Camp-Texas,13060,1990
Campbell-Kentucky,94020,12727
Campbell-South Dakota,1380,158
Campbell-Tennessee,39837,6923
Campbell-Virginia,55304,6924
Campbell-Wyoming,46676,8249
Canadian-Oklahoma,153192,22572
Candler-Georgia,10985,1563
Cannon-Tennessee,14847,2757
Canyon-Idaho,237053,39172
Cape Girardeau-Missouri,79512,12853
Cape May-New Jersey,91546,12279
Carbon-Montana,10921,1271
Carbon-Pennsylvania,64081,8381
Carbon-Utah,20760,2734
Carbon-Wyoming,14711,2555
Caribou-Idaho,7123,952
Carlisle-Kentucky,4692,611
Carlton-Minnesota,35769,4333
Caroline-Maryland,33492,3035
Caroline-Virginia,30860,3752
Carroll-Arkansas,28276,4242
Carroll-Georgia,121633,16254
Carroll-Illinois,14241,2345
Carroll-Indiana,20228,2570
Carroll-Iowa,19914,3420
Carroll-Kentucky,10730,1816
Carroll-Maryland,169092,11469
Carroll-Mississippi,9732,1670
Carroll-Missouri,8554,1364
Carroll-New Hampshire,49167,3500
Carroll-Ohio,26897,2919
Carroll-Tennessee,27779,5644
Carroll-Virginia,30074,3753
Carson-Texas,5854,758
Carson City-Nevada,56034,8634
Carter-Kentucky,26542,4452
Carter-Missouri,5991,1064
Carter-Montana,1235,171
Carter-Oklahoma,48353,8805
Carter-Tennessee,56418,10330
Carteret-North Carolina,69558,8144
Carver-Minnesota,106565,13264
Cascade-Montana,81346,14036
Casey-Kentucky,16066,2782
Cass-Illinois,11925,2637
Cass-Indiana,37388,7439
Cass-Iowa,12817,1906
Cass-Michigan,51584,6848
Cass-Minnesota,29928,4059
Cass-Missouri,106806,14025
Cass-Nebraska,26232,3415
Cass-North Dakota,183904,30425
Cass-Texas,29879,4408
Cassia-Idaho,24277,3671
Castro-Texas,7396,1290
Caswell-North Carolina,22443,3123
Catahoula-Louisiana,9226,1773
Catawba-North Carolina,160307,27749
Catoosa-Georgia,67996,9381
Catron-New Mexico,3623,181
Cattaraugus-New York,75863,7375
Cavalier-North Dakota,3713,520
Cayuga-New York,76029,8454
Cecil-Maryland,103419,8413
Cedar-Iowa,18485,2464
Cedar-Missouri,14322,1652
Cedar-Nebraska,8414,940
Centre-Pennsylvania,161496,20002
Cerro Gordo-Iowa,42103,6842
Chaffee-Colorado,20661,2159
Chambers-Alabama,32865,5541
Chambers-Texas,45590,8715
Champaign-Illinois,209192,26786
Champaign-Ohio,38960,4967
Chariton-Missouri,7360,1019
Charles-Maryland,164436,14140
Charles City-Virginia,6821,662
Charles Mix-South Dakota,9262,1701
Charleston-South Carolina,417981,64235
Charlevoix-Michigan,26105,2354
Charlotte-Florida,194711,22792
Charlotte-Virginia,11820,1225
Charlottesville city-Virginia,46950,5227
Charlton-Georgia,13430,2257
Chase-Kansas,2586,338
Chase-Nebraska,3840,505
Chatham-Georgia,289463,38295
Chatham-North Carolina,75748,6604
Chattahoochee-Georgia,10551,5693
Chattooga-Georgia,24843,4509
Chautauqua-Kansas,3230,485
Chautauqua-New York,126032,12126
Chaves-New Mexico,64711,12552
Cheatham-Tennessee,41101,6912
Cheboygan-Michigan,25365,2653
Chelan-Washington,77574,10842
Chemung-New York,82622,10437
Chenango-New York,46730,4543
Cherokee-Alabama,26294,2990
Cherokee-Georgia,265274,43149
Cherokee-Iowa,11190,1920
Cherokee-Kansas,19681,3569
Cherokee-North Carolina,29073,4592
Cherokee-Oklahoma,49019,8912
Cherokee-South Carolina,57316,9814
Cherokee-Texas,52875,6741
Cherry-Nebraska,5781,394
Chesapeake city-Virginia,247011,28139
Cheshire-New Hampshire,76228,5388
Chester-Pennsylvania,526759,49165
Chester-South Carolina,32232,6270
Chester-Tennessee,17432,3484
Chesterfield-South Carolina,45606,7071
Chesterfield-Virginia,358245,38524
Cheyenne-Colorado,1795,164
Cheyenne-Kansas,2600,422
Cheyenne-Nebraska,9111,1208
Chickasaw-Iowa,11834,1566
Chickasaw-Mississippi,16951,2959
Chicot-Arkansas,9924,2004
Childress-Texas,7143,1539
Chilton-Alabama,44397,6559
Chippewa-Michigan,36958,6676
Chippewa-Minnesota,11758,1830
Chippewa-Wisconsin,64737,10527
Chisago-Minnesota,56794,8060
Chittenden-Vermont,164306,10605
Choctaw-Alabama,12418,862
Choctaw-Mississippi,8063,1329
Choctaw-Oklahoma,14646,2701
Chouteau-Montana,5699,645
Chowan-North Carolina,13815,2239
Christian-Illinois,32075,5191
Christian-Kentucky,71478,10052
Christian-Missouri,90655,12934
Churchill-Nevada,25363,3615
Cibola-New Mexico,26354,4202
Cimarron-Oklahoma,2145,306
Citrus-Florida,153010,20166
Clackamas-Oregon,421596,28944
Claiborne-Louisiana,15508,1996
Claiborne-Mississippi,8911,1305
Claiborne-Tennessee,32023,5320
Clallam-Washington,78067,4461
Clare-Michigan,30771,3478
Clarendon-South Carolina,33415,4962
Clarion-Pennsylvania,38305,4396
Clark-Arkansas,22103,3169
Clark-Idaho,852,77
Clark-Illinois,15268,2638
Clark-Indiana,119266,18315
Clark-Kansas,1963,318
Clark-Kentucky,36463,5065
Clark-Missouri,6830,972
Clark-Nevada,2315963,333608
Clark-Ohio,133593,19372
Clark-South Dakota,3802,500
Clark-Washington,496865,39431
Clark-Wisconsin,34720,4651
Clarke-Alabama,23291,4723
Clarke-Georgia,127795,19844
Clarke-Iowa,9353,1400
Clarke-Mississippi,15299,2895
Clarke-Virginia,14622,1313
Clatsop-Oregon,40423,2382
Clay-Alabama,13112,2385
Clay-Arkansas,14375,2676
Clay-Florida,221770,33480
Clay-Georgia,2866,314
Clay-Illinois,13079,2560
Clay-Indiana,26246,4155
Clay-Iowa,15976,2748
Clay-Kansas,8025,1199
Clay-Kentucky,19631,5059
Clay-Minnesota,64690,9961
Clay-Mississippi,19352,3054
Clay-Missouri,253463,14642
Clay-Nebraska,6216,883
Clay-North Carolina,11505,1620
Clay-South Dakota,14246,2139
Clay-Tennessee,7629,1493
Clay-Texas,10550,1495
Clay-West Virginia,8341,1127
Clayton-Georgia,292646,38740
Clayton-Iowa,17321,2101
Clear Creek-Colorado,9586,742
Clearfield-Pennsylvania,78612,10648
Clearwater-Idaho,8846,1583
Clearwater-Minnesota,9017,1317
Cleburne-Alabama,14967,2454
Cleburne-Arkansas,24935,3641
Clermont-Ohio,207449,27626
Cleveland-Arkansas,7957,1383
Cleveland-North Carolina,99035,17925
Cleveland-Oklahoma,287066,42536
Clinch-Georgia,6582,1454
Clinton-Illinois,37398,7060
Clinton-Indiana,32206,5624
Clinton-Iowa,46392,6821
Clinton-Kentucky,10110,2162
Clinton-Michigan,79753,9561
Clinton-Missouri,20553,2812
Clinton-New York,79778,6507
Clinton-Ohio,41921,5715
Clinton-Pennsylvania,37957,4621
Cloud-Kansas,8642,1270
Coahoma-Mississippi,21564,4110
Coal-Oklahoma,5587,1027
Cobb-Georgia,762944,108017
Cochise-Arizona,127450,15010
Cochran-Texas,2897,437
Cocke-Tennessee,36225,7223
Coconino-Arizona,142481,22054
Codington-South Dakota,28186,5358
Coffee-Alabama,53230,9161
Coffee-Georgia,43218,7845
Coffee-Tennessee,57632,10368
Coffey-Kansas,8158,1150
Coke-Texas,3323,671
Colbert-Alabama,55411,8741
Cole-Missouri,76191,12759
Coleman-Texas,8100,1028
Coles-Illinois,50383,7810
Colfax-Nebraska,10587,1727
Colfax-New Mexico,11927,1377
Colleton-South Carolina,37481,5582
Collier-Florida,392973,56121
Collin-Texas,1072069,126948
Collingsworth-Texas,2877,386
Colonial Heights city-Virginia,17205,2528
Colorado-Texas,21610,2506
Colquitt-Georgia,45542,7524
Columbia-Arkansas,23331,3347
Columbia-Florida,72654,14775
Columbia-Georgia,160377,24503
Columbia-New York,59534,4920
Columbia-Oregon,52876,3689
Columbia-Pennsylvania,64842,7377
Columbia-Washington,4048,347
Columbia-Wisconsin,57668,7668
Columbiana-Ohio,101118,13428
Columbus-North Carolina,54754,9871
Colusa-California,21558,3002
Comal-Texas,164812,19013
Comanche-Kansas,1690,232
Comanche-Oklahoma,121099,20807
Comanche-Texas,13750,2126
Concho-Texas,2827,702
Concordia-Louisiana,18914,3178
Conecuh-Alabama,11851,1845
Conejos-Colorado,8143,953
Contra Costa-California,1152333,98986
Converse-Wyoming,13804,2050
Conway-Arkansas,21037,3114
Cook-Georgia,17291,3577
Cook-Illinois,5108284,629834
Cook-Minnesota,5417,238
Cooke-Texas,41393,5021
Cooper-Missouri,17102,2701
Coos-New Hampshire,31174,3094
Coos-Oregon,64711,4842
Coosa-Alabama,10650,1768
Copiah-Mississippi,27933,4444
Corson-South Dakota,4031,653
Cortland-New York,47173,5199
Coryell-Texas,76737,10621
Coshocton-Ohio,36449,4563
Costilla-Colorado,3921,354
Cottle-Texas,1363,226
Cotton-Oklahoma,5676,951
Cottonwood-Minnesota,11242,1918
Covington-Alabama,36930,6640
Covington-Mississippi,18518,4266
Covington city-Virginia,5639,739
Coweta-Georgia,150849,20520
Cowley-Kansas,34628,5481
Cowlitz-Washington,111371,12814
Craig-Oklahoma,14194,2950
Craig-Virginia,5077,519
Craighead-Arkansas,112245,21237
Crane-Texas,4765,855
Craven-North Carolina,101233,14006
Crawford-Arkansas,63409,10554
Crawford-Georgia,12231,1117
Crawford-Illinois,18512,3282
Crawford-Indiana,10629,1572
Crawford-Iowa,16834,3374
Crawford-Kansas,38730,6637
Crawford-Michigan,13981,1230
Crawford-Missouri,23739,3553
Crawford-Ohio,41338,6099
Crawford-Pennsylvania,83697,10224
Crawford-Wisconsin,16021,2218
Creek-Oklahoma,71485,10901
Crenshaw-Alabama,13681,2428
Crisp-Georgia,22034,3129
Crittenden-Arkansas,47616,8681
Crittenden-Kentucky,8847,1148
Crockett-Tennessee,14180,3321
Crockett-Texas,3513,777
Crook-Oregon,25105,2666
Crook-Wyoming,7593,834
Crosby-Texas,5567,978
Cross-Arkansas,16142,2904
Crow Wing-Minnesota,65644,9138
Crowley-Colorado,5696,2337
Culberson-Texas,2149,385
Cullman-Alabama,84515,15237
Culpeper-Virginia,53569,6262
Cumberland-Illinois,10649,1880
Cumberland-Kentucky,6523,1190
Cumberland-Maine,298111,20953
Cumberland-New Jersey,147008,20491
Cumberland-North Carolina,336364,43865
Cumberland-Pennsylvania,255857,26792
Cumberland-Tennessee,61603,10887
Cumberland-Virginia,9933,696
Cuming-Nebraska,8798,1134
Currituck-North Carolina,29052,2641
Curry-New Mexico,48793,7209
Curry-Oregon,23305,1776
Custer-Colorado,5183,340
Custer-Idaho,4249,353
Custer-Montana,11292,1979
Custer-Nebraska,10626,1180
Custer-Oklahoma,28648,4902
Custer-South Dakota,9017,1289
Cuyahoga-Ohio,1227883,143117
Dade-Georgia,16057,2127
Dade-Missouri,7568,864
Daggett-Utah,1026,101
Dakota-Minnesota,431807,55791
Dakota-Nebraska,20070,4572
Dale-Alabama,48959,8840
Dallam-Texas,7273,1182
Dallas-Alabama,36098,4839
Dallas-Arkansas,6802,1126
Dallas-Iowa,96963,13904
Dallas-Missouri,17219,2239
Dallas-Texas,2635888,396963
Dane-Wisconsin,552536,56459
Daniels-Montana,1638,256
Danville city-Virginia,39869,6097
Dare-North Carolina,37547,3668
Darke-Ohio,51205,7477
Darlington-South Carolina,66509,11753
Dauphin-Pennsylvania,279874,33343
Davidson-North Carolina,169234,25245
Davidson-Tennessee,694176,130692
Davie-North Carolina,43286,6251
Daviess-Indiana,33505,4552
Daviess-Kentucky,101978,16519
Daviess-Missouri,8283,1012
Davis-Iowa,9051,1140
Davis-Utah,359232,52345
Davison-South Dakota,19812,3664
Dawes-Nebraska,8361,1001
Dawson-Georgia,27113,4656
Dawson-Montana,8555,1466
Dawson-Nebraska,23510,3544
Dawson-Texas,12974,2118
Day-South Dakota,5345,799
De Baca-New Mexico,1673,226
De Soto-Louisiana,27650,4695
De Witt-Illinois,15368,2042
DeKalb-Alabama,71658,12503
DeKalb-Georgia,762009,90845
DeKalb-Illinois,104491,12306
DeKalb-Indiana,43670,6208
DeKalb-Missouri,10944,1444
DeKalb-Tennessee,20837,4154
DeSoto-Florida,38520,6816
DeSoto-Mississippi,188275,31773
DeWitt-Texas,20174,2952
Deaf Smith-Texas,18277,3353
Dearborn-Indiana,49824,8123
Decatur-Georgia,26457,4759
Decatur-Indiana,26584,4146
Decatur-Iowa,7769,812
Decatur-Kansas,2776,331
Decatur-Tennessee,11601,2394
Deer Lodge-Montana,9204,1512
Defiance-Ohio,37778,5983
Del Norte-California,27968,3651
Delaware-Indiana,113454,14906
Delaware-Iowa,16937,2538
Delaware-New York,43938,3436
Delaware-Ohio,213554,23771
Delaware-Oklahoma,43136,7180
Delaware-Pennsylvania,566753,60616
Delta-Colorado,31067,3727
Delta-Michigan,35612,5492
Delta-Texas,5349,594
Denali Borough-Alaska,2081,252
Dent-Missouri,15481,1872
Denton-Texas,919324,104490
Denver-Colorado,735538,88415
Des Moines-Iowa,38708,6583
Deschutes-Oregon,201769,19356
Desha-Arkansas,11110,1877
Deuel-Nebraska,1793,154
Deuel-South Dakota,4346,638
Dewey-Oklahoma,4815,659
Dewey-South Dakota,5789,1739
Dickens-Texas,2140,244
Dickenson-Virginia,14078,1556
Dickey-North Dakota,4705,945
Dickinson-Iowa,17549,2976
Dickinson-Kansas,18266,2775
Dickinson-Michigan,25112,3807
Dickson-Tennessee,54376,10201
Dillingham Census Area-Alaska,4833,719
Dillon-South Carolina,30367,6322
Dimmit-Texas,9925,3760
Dinwiddie-Virginia,28688,3041
Divide-North Dakota,2277,255
Dixie-Florida,17057,2918
Dixon-Nebraska,5596,724
Doddridge-West Virginia,8368,1158
Dodge-Georgia,20452,3586
Dodge-Minnesota,20987,2655
Dodge-Nebraska,36222,5709
Dodge-Wisconsin,87336,15615
Dolores-Colorado,2096,227
Doniphan-Kansas,7496,1348
Donley-Texas,3308,562
Dooly-Georgia,13174,1640
Door-Wisconsin,27889,3626
Dorchester-Maryland,31853,3977
Dorchester-South Carolina,165737,33295
Dougherty-Georgia,86477,12285
Douglas-Colorado,360750,39406
Douglas-Georgia,147988,22034
Douglas-Illinois,19510,3227
Douglas-Kansas,122530,12162
Douglas-Minnesota,38328,6087
Douglas-Missouri,13344,1605
Douglas-Nebraska,574332,85220
Douglas-Nevada,49088,4571
Douglas-Oregon,111364,11713
Douglas-South Dakota,2906,507
Douglas-Washington,43560,5896
Douglas-Wisconsin,43702,5766
Doña Ana-New Mexico,221262,29440
Drew-Arkansas,17977,2848
DuPage-Illinois,917481,107150
Dubois-Indiana,42542,8178
Dubuque-Iowa,97590,15590
Duchesne-Utah,19894,2816
Dukes-Massachusetts,17461,1818
Dundy-Nebraska,1671,231
Dunklin-Missouri,28878,4260
Dunn-North Dakota,4465,658
Dunn-Wisconsin,45452,6781
Duplin-North Carolina,58794,9733
Durham-North Carolina,327306,34392
Dutchess-New York,293293,35177
Duval-Florida,966728,162887
Duval-Texas,11058,1945
Dyer-Tennessee,36693,8035
Eagle-Colorado,54929,8082
Early-Georgia,10037,1831
East Baton Rouge-Louisiana,439729,63272
East Carroll-Louisiana,6589,1572
East Feliciana-Louisiana,18882,4459
Eastland-Texas,18388,2081
Eaton-Michigan,110148,12605
Eau Claire-Wisconsin,105260,15602
Echols-Georgia,4002,718
Ector-Texas,167701,25361
Eddy-New Mexico,58418,10640
Eddy-North Dakota,2179,509
Edgar-Illinois,16858,2537
Edgecombe-North Carolina,50829,7785
Edgefield-South Carolina,27120,4369
Edmonson-Kentucky,12235,1514
Edmunds-South Dakota,3817,574
Edwards-Illinois,6356,1020
Edwards-Kansas,2750,334
Edwards-Texas,1923,322
Effingham-Georgia,65765,8805
Effingham-Illinois,34065,6530
El Dorado-California,192925,16902
El Paso-Colorado,728310,96167
El Paso-Texas,841286,146743
Elbert-Colorado,27313,2567
