#municipalities,population,cases
Angelândia/MG,8594,271
Angical do Piauí/PI,6779,892
Angical/BA,13902,768
Angico/TO,3475,239
Angicos/RN,11695,1125
Angra dos Reis/RJ,210171,17231
Anguera/BA,11369,514
Angélica/MS,11081,1416
Anhanguera/GO,1171,99
Anhembi/SP,6911,334
Anhumas/SP,4172,384
Anicuns/GO,22113,3357
Anita Garibaldi/SC,6783,1220
Anitápolis/SC,3223,361
Anori/AM,21937,1927
Anta Gorda/RS,5941,659
Antas/BA,19659,1317
Antonina do Norte/CE,7402,824
Antonina/PR,18919,2586
Antônio Almeida/PI,3175,406
Antônio Cardoso/BA,11670,635
Antônio Carlos/MG,11471,833
Antônio Carlos/SC,8712,1684
Antônio Dias/MG,9233,606
Antônio Gonçalves/BA,11955,916
Antônio João/MS,9082,545
Antônio Martins/RN,7162,692
Antônio Olinto/PR,7421,559
Antônio Prado de Minas/MG,1577,166
Antônio Prado/RS,13041,2790
Anápolis/GO,396526,50020
Anísio de Abreu/PI,9994,291
Aparecida d'Oeste/SP,4122,846
Aparecida de Goiânia/GO,601844,90781
Aparecida do Rio Doce/GO,2474,271
Aparecida do Rio Negro/TO,4901,392
Aparecida do Taboado/MS,26386,3654
Aparecida/PB,8482,1012
Aparecida/SP,36211,2885
Aperibé/RJ,12036,1242
Apiacá/ES,7542,999
Apiacás/MT,10431,2069
Apiaí/SP,24081,1776
Apicum-Açu/MA,17582,550
Apiúna/SC,10951,911
Apodi/RN,35904,6679
Aporá/BA,17840,673
Aporé/GO,4266,429
Apuarema/BA,7274,777
Apucarana/PR,137438,10999
Apuiarés/CE,14742,1380
Apuí/AM,22739,1490
Aquidabã/SE,21796,2409
Aquidauana/MS,48184,5684
Aquiraz/CE,81581,7047
Arabutã/SC,4268,424
Aracaju/SE,672614,127956
Aracati/CE,75392,8052
Aracatu/BA,12960,914
Araci/BA,54903,3792
Aracitaba/MG,2056,91
Aracoiaba/CE,26600,4297
Aracruz/ES,104942,17835
Aragarças/GO,20410,3290
Aragoiânia/GO,10680,1566
Aragominas/TO,5705,573
Araguacema/TO,7223,782
Araguaiana/MT,3064,407
Araguainha/MT,909,29
Araguanã/MA,15675,810
Araguanã/TO,5856,584
Araguapaz/GO,7795,716
Araguari/MG,118361,19659
