#municipalities,population,cases
Caldas/MG,14600,1034
Caldazinha/GO,3900,396
Caldeirão Grande do Piauí/PI,5786,470
Caldeirão Grande/BA,13452,570
Califórnia/PR,8641,1315
Calmon/SC,3325,50
Calumbi/PE,5744,782
Calçado/PE,10983,539
Calçoene/AP,11493,1682
Camacan/BA,32023,3048
Camacho/MG,2839,202
Camalaú/PB,6048,461
Camamu/BA,35444,2501
Camanducaia/MG,21831,3488
Camapuã/MS,13675,932
Camaquã/RS,66686,7538
Camaragibe/PE,159945,7797
Camargo/RS,2750,440
Camaçari/BA,309208,25063
Cambará do Sul/RS,6383,352
Cambará/PR,25569,3083
Cambira/PR,7967,1146
Camboriú/SC,87179,14595
Cambuci/RJ,15521,1676
Cambuquira/MG,12810,874
Cambuí/MG,30068,4191
Cambé/PR,108126,13402
Cametá/PA,140814,10004
Camocim de São Félix/PE,19032,635
Camocim/CE,64147,6315
Campanha/MG,16855,2230
Campanário/MG,3739,255
Campestre da Serra/RS,3402,310
Campestre de Goiás/GO,3662,570
Campestre do Maranhão/MA,14530,1144
Campestre/AL,6972,265
Campestre/MG,21052,2166
Campina Grande do Sul/PR,44072,5863
Campina Grande/PB,413830,45632
Campina Verde/MG,19759,1488
Campina da Lagoa/PR,13888,1772
Campina das Missões/RS,5325,610
Campina do Monte Alegre/SP,6088,618
Campina do Simão/PR,3831,411
Campinas do Piauí/PI,5628,241
Campinas do Sul/RS,5422,888
Campinas/SP,1223237,113755
Campinaçu/GO,3628,244
Campinorte/GO,12880,1671
Campinápolis/MT,16223,1603
Campo Alegre de Goiás/GO,7884,346
Campo Alegre de Lourdes/BA,28839,1056
Campo Alegre do Fidalgo/PI,5093,159
Campo Alegre/AL,57997,2810
Campo Alegre/SC,11985,1426
Campo Azul/MG,3830,210
Campo Belo do Sul/SC,6889,793
Campo Belo/MG,54338,7428
Campo Bom/RS,69981,10583
Campo Bonito/PR,3694,438
Campo Erê/SC,8312,1492
Campo Florido/MG,8383,1027
Campo Formoso/BA,71754,5345
Campo Grande do Piauí/PI,5987,515
Campo Grande/AL,9576,552
Campo Grande/MS,916001,138495
Campo Grande/RN,9686,698
Campo Largo do Piauí/PI,7342,506
Campo Largo/PR,135678,20113
Campo Limpo Paulista/SP,86407,6375
Campo Limpo de Goiás/GO,8087,263
Campo Magro/PR,30151,3535
Campo Maior/PI,46950,6081
Campo Mourão/PR,96102,15333
Campo Novo de Rondônia/RO,14391,1265
Campo Novo do Parecis/MT,36917,7934
Campo Novo/RS,4273,685
Campo Redondo/RN,11363,761
Campo Verde/MT,44033,6669
Campo do Brito/SE,18325,2202
Campo do Meio/MG,11648,958
Campo do Tenente/PR,8118,363
Campos Altos/MG,15661,1337
Campos Belos/GO,20124,2712
Campos Borges/RS,3272,529
Campos Gerais/MG,28908,2438
Campos Lindos/TO,10505,445
Campos Novos Paulista/SP,5028,310
Campos Novos/SC,36861,6035
Campos Sales/CE,27513,2590
Campos Verdes/GO,1526,409
Campos de Júlio/MT,7245,1228
Campos do Jordão/SP,52713,5698
Campos dos Goytacazes/RJ,514643,38795
Camutanga/PE,8592,877
Cana Verde/MG,5585,670
Canabrava do Norte/MT,4711,548
Cananéia/SP,12542,902
Canapi/AL,17715,448
Canarana/BA,26468,1507
Canarana/MT,22101,3882
Canas/SP,5268,221
Canavieira/PI,3938,199
Canavieiras/BA,30722,1555
Canaã dos Carajás/PA,39103,8997
Canaã/MG,4533,362
Candeal/BA,8109,661
Candeias do Jamari/RO,28068,3988
Candeias/BA,87820,8348
Candeias/MG,14890,980
Candelária/RS,31475,3935
Candiba/BA,14415,790
Candiota/RS,9707,1195
Candói/PR,16126,1564
Canela/RS,45957,6623
Canelinha/SC,12553,1511
Canguaretama/RN,34814,1813
Canguçu/RS,56370,4737
Canhoba/SE,4003,352
Canhotinho/PE,24743,647
Canindé de São Francisco/SE,30894,2523
Canindé/CE,77484,5632
Canitar/SP,5365,876
Canoas/RS,349728,44278
Canoinhas/SC,54558,7328
Cansanção/BA,34929,994
Cantagalo/MG,4575,263
Cantagalo/PR,13340,1149
Cantagalo/RJ,20163,3825
Cantanhede/MA,22236,940
Canto do Buriti/PI,21326,1364
Cantá/RR,19257,2507
Canudos do Vale/RS,1693,165
Canudos/BA,16832,822
Canutama/AM,15981,1464
Canápolis/BA,9694,438
Canápolis/MG,12251,1600
Capanema/PA,69828,3900
Capanema/PR,19172,2672
Caparaó/MG,5464,378
Capela Nova/MG,4616,205
Capela de Santana/RS,12183,1331
Capela do Alto Alegre/BA,11597,951
Capela do Alto/SP,21257,1661
Capela/AL,16907,1023
Capela/SE,34808,3424
Capelinha/MG,38321,3100
Capetinga/MG,6860,976
Capim Branco/MG,9896,885
Capim Grosso/BA,31055,3809
Capim/PB,6715,238
Capinzal do Norte/MA,10937,645
Capinzal/SC,23218,5108
Capinópolis/MG,16294,2457
Capistrano/CE,17830,2447
Capitão Andrade/MG,5559,487
Capitão Enéas/MG,15388,1348
Capitão Gervásio Oliveira/PI,4127,65
Capitão Leônidas Marques/PR,15887,1887
Capitão Poço/PA,54545,2314
Capitão de Campos/PI,11471,850
Capitão/RS,2770,457
Capitólio/MG,8693,1410
Capivari de Baixo/SC,25477,4686
Capivari do Sul/RS,4793,1038
Capivari/SP,56973,5976
Capixaba/AC,12280,674
Capoeiras/PE,20048,1357
Caputira/MG,9318,1017
Capão Alto/SC,2467,192
Capão Bonito do Sul/RS,1628,287
Capão Bonito/SP,47098,6017
Capão da Canoa/RS,55009,8820
Capão do Cipó/RS,3745,303
Capão do Leão/RS,25462,2687
Caracaraí/RR,22635,2714
Caracol/MS,6247,363
Caracol/PI,11009,390
Caraguatatuba/SP,125194,18216
Carambeí/PR,24225,3669
Caranaíba/MG,3150,135
Carandaí/MG,25831,2175
Carangola/MG,33022,4317
Carapebus/RJ,16859,1769
Carapicuíba/SP,405375,33397
Caratinga/MG,93124,10058
Carauari/AM,28719,6726
Caravelas/BA,22166,1507
Carazinho/RS,62413,11165
Caraá/RS,8426,889
Caraí/MG,23872,1021
Caraíbas/BA,8659,361
Caraúbas do Piauí/PI,5910,193
Caraúbas/PB,4206,287
Caraúbas/RN,20588,3097
Carbonita/MG,9423,663
Cardeal da Silva/BA,9395,399
Cardoso Moreira/RJ,12818,1439
Cardoso/SP,12371,1686
Careaçu/MG,6826,659
Careiro da Várzea/AM,31459,1028
Careiro/AM,38820,4518
Cariacica/ES,386495,45015
Caridade do Piauí/PI,5102,612
Caridade/CE,23011,1702
Carinhanha/BA,29118,1404
Carira/SE,22393,2235
Cariri do Tocantins/TO,4499,912
Caririaçu/CE,27008,1577
Cariré/CE,18470,2524
Cariús/CE,18700,2335
Carlinda/MT,10094,2349
Carlos Barbosa/RS,30630,4916
Carlos Chagas/MG,18516,2386
Carlos Gomes/RS,1327,185
Carlópolis/PR,14391,796
Carmo da Cachoeira/MG,12193,671
Carmo da Mata/MG,11546,940
Carmo de Minas/MG,15031,1006
Carmo do Cajuru/MG,22900,1505
Carmo do Paranaíba/MG,30339,3312
Carmo do Rio Claro/MG,21310,1628
Carmo do Rio Verde/GO,10299,790
Carmo/RJ,19161,2728
Carmolândia/TO,2627,276
Carmésia/MG,2660,115
Carmópolis de Minas/MG,19756,2375
Carmópolis/SE,17232,1079
Carnaubais/RN,10972,1204
Carnaubal/CE,17763,2211
Carnaubeira da Penha/PE,13117,239
Carnaíba/PE,19666,2586
Carnaúba dos Dantas/RN,8297,933
Carneirinho/MG,10103,1346
Carneiros/AL,9568,379
Caroebe/RR,10595,2004
Carolina/MA,24151,1184
Carpina/PE,85131,4465
Carrancas/MG,4052,439
Carrapateira/PB,2714,441
Carrasco Bonito/TO,4165,555
Caruaru/PE,369343,35567
Carutapera/MA,24095,1105
Carvalhos/MG,4445,246
Carvalhópolis/MG,3614,287
Casa Branca/SP,30655,3273
Casa Grande/MG,2251,120
Casa Nova/BA,73092,2918
Casca/RS,9070,1295
Cascalho Rico/MG,3108,231
Cascavel/CE,72706,6410
Cascavel/PR,336073,46785
Caseara/TO,5514,618
Caseiros/RS,3228,437
Casimiro de Abreu/RJ,45864,4863
Casinhas/PE,14395,490
Casserengue/PB,7530,1059
Cassilândia/MS,22063,3095
Castanhal/PA,205667,9511
Castanheira/MT,8782,773
Castanheiras/RO,2923,275
Castelo do Piauí/PI,19716,1886
Castelo/ES,37956,6851
Castelândia/GO,3380,377
Castilho/SP,21521,2395
Castro Alves/BA,26369,2251
Castro/PR,72125,11787
Cataguases/MG,75942,8089
Catalão/GO,113091,12004
Catanduva/SP,123114,15826
Catanduvas/PR,10144,1054
Catanduvas/SC,11106,2082
Catarina/CE,21041,843
Catas Altas da Noruega/MG,3665,123
Catas Altas/MG,5465,585
Catende/PE,43778,1370
Catiguá/SP,7905,878
Catingueira/PB,4938,334
Catolândia/BA,3619,238
Catolé do Rocha/PB,30819,4788
Catu/BA,55222,6664
Catuji/MG,6206,561
Catunda/CE,10410,1467
Caturama/BA,9303,274
Caturaí/GO,5132,610
Caturité/PB,4898,508
Catuti/MG,4944,248
Catuípe/RS,8631,1156
Caucaia/CE,368918,22547
Cavalcante/GO,9740,521
Caxambu do Sul/SC,3462,637
Caxambu/MG,21566,2029
Caxias do Sul/RS,523716,74787
Caxias/MA,166159,12714
Caxingó/PI,5477,153
Caçador/SC,80017,7185
Caçapava do Sul/RS,33476,4087
Caçapava/SP,95752,8966
Caçu/GO,16525,2136
Caém/BA,8912,498
Ceará-Mirim/RN,74268,3734
Cedral/MA,10711,210
Cedral/SP,9452,1335
Cedro de São João/SE,5929,1035
Cedro do Abaeté/MG,1150,38
Cedro/CE,25612,3922
Cedro/PE,11972,1931
Celso Ramos/SC,2709,459
Centenário do Sul/PR,10704,1225
Centenário/RS,2865,253
Centenário/TO,2966,217
Central de Minas/MG,7059,721
Central do Maranhão/MA,8806,44
Central/BA,17293,483
Centralina/MG,10343,1317
Centro Novo do Maranhão/MA,22056,1158
Centro do Guilherme/MA,13876,509
Cerejeiras/RO,16088,2579
Ceres/GO,22407,3165
Cerqueira César/SP,20391,2167
Cerquilho/SP,50631,6520
Cerrito/RS,6005,575
Cerro Azul/PR,17884,1478
Cerro Branco/RS,4720,334
Cerro Corá/RN,11182,519
Cerro Grande do Sul/RS,12579,1009
Cerro Grande/RS,2281,290
Cerro Largo/RS,14243,1748
Cerro Negro/SC,3013,209
Cesário Lange/SP,18595,2365
Cezarina/GO,8794,1104
Chalé/MG,5695,703
Chapada Gaúcha/MG,14217,1515
Chapada da Natividade/TO,3330,189
Chapada de Areia/TO,1415,185
Chapada do Norte/MG,15334,231
Chapada dos Guimarães/MT,22521,1961
Chapada/RS,9211,1434
Chapadinha/MA,80705,6211
Chapadão do Céu/GO,10797,2271
Chapadão do Lageado/SC,3025,415
Chapadão do Sul/MS,26499,5313
Chapecó/SC,227587,42455
Charqueada/SP,17539,1559
Charqueadas/RS,41705,5254
Charrua/RS,3228,378
Chaval/CE,13112,1640
Chavantes/SP,12418,1391
Chaves/PA,24175,673
Chiador/MG,2657,339
Chiapetta/RS,3684,456
Chopinzinho/PR,19083,2634
Chorozinho/CE,20286,1972
Chorrochó/BA,11221,326
Choró/CE,13608,1101
Chupinguaia/RO,11755,1598
Chuvisca/RS,5518,393
Chuí/RS,6832,560
Chácara/MG,3216,253
Chã Grande/PE,21929,507
Chã Preta/AL,7311,379
Chã de Alegria/PE,13641,483
Cianorte/PR,84980,9879
Cidade Gaúcha/PR,12939,1912
Cidade Ocidental/GO,74370,6847
Cidelândia/MA,14855,588
Cidreira/RS,16897,2021
Cipotânea/MG,6811,542
Cipó/BA,17402,1079
Ciríaco/RS,4693,843
Claraval/MG,4873,522
Claro dos Poções/MG,7478,523
Clementina/SP,8894,966
Clevelândia/PR,16344,2210
Cláudia/MT,12338,1656
Cláudio/MG,29093,4283
Coaraci/BA,16128,1890
Coari/AM,86713,9549
Cocal de Telha/PI,4908,513
Cocal do Sul/SC,16956,3719
Cocal dos Alves/PI,6180,413
Cocal/PI,27901,1490
Cocalinho/MT,5716,806
Cocalzinho de Goiás/GO,20771,2349
Cocos/BA,18835,1013
Codajás/AM,29691,2642
Codó/MA,123368,3507
Coelho Neto/MA,49804,1631
Coimbra/MG,7631,594
Coité do Nóia/AL,10594,571
Coivaras/PI,4044,332
Colares/PA,12175,553
Colatina/ES,124283,20400
Colina/SP,18601,1651
Colinas do Sul/GO,3339,426
Colinas do Tocantins/TO,36271,7893
Colinas/MA,41443,3350
Colinas/RS,2466,632
Colméia/TO,8078,935
Colniza/MT,41117,3549
Colombo/PR,249277,26026
Colorado do Oeste/RO,15213,2386
Colorado/PR,24271,2962
Colorado/RS,3088,593
Coluna/MG,8810,493
Colíder/MT,33855,5822
Colômbia/SP,6223,690
Colônia Leopoldina/AL,21935,357
Colônia do Gurguéia/PI,6545,569
Colônia do Piauí/PI,7665,448
Combinado/TO,4870,1040
Comendador Gomes/MG,3128,416
Comendador Levy Gasparian/RJ,8590,821
Comercinho/MG,6624,451
Comodoro/MT,21249,1998
Conceição da Aparecida/MG,10351,776
Conceição da Barra de Minas/MG,3939,275
Conceição da Barra/ES,31479,2041
Conceição da Feira/BA,22933,1795
Conceição das Alagoas/MG,28782,4782
Conceição das Pedras/MG,2814,185
Conceição de Ipanema/MG,4581,397
Conceição de Macabu/RJ,23561,2142
Conceição do Almeida/BA,17087,2642
Conceição do Araguaia/PA,48115,4685
Conceição do Canindé/PI,4811,366
Conceição do Castelo/ES,12887,1697
Conceição do Coité/BA,67394,8305
Conceição do Jacuípe/BA,33631,3335
Conceição do Lago-Açu/MA,16559,276
Conceição do Mato Dentro/MG,17438,3081
Conceição do Pará/MG,5558,359
Conceição do Rio Verde/MG,13729,1261
Conceição do Tocantins/TO,4070,437
Conceição dos Ouros/MG,11852,1100
Conceição/PB,19030,890
Conchal/SP,28491,2901
Conchas/SP,18138,2449
Concórdia do Pará/PA,34236,2801
Concórdia/SC,75683,17975
Condado/PB,6662,614
Condado/PE,26755,1470
Conde/BA,26223,1075
Conde/PB,25341,2931
Condeúba/BA,17113,1402
Condor/RS,6766,1078
Confins/MG,6867,550
Confresa/MT,32076,4057
Congo/PB,4787,282
Congonhal/MG,12209,1371
Congonhas do Norte/MG,5047,96
Congonhas/MG,55836,8472
Congonhinhas/PR,8896,1133
Conquista D'Oeste/MT,4163,451
Conquista/MG,6997,873
Conselheiro Lafaiete/MG,130584,15830
Conselheiro Mairinck/PR,3891,744
Conselheiro Pena/MG,22975,2312
Consolação/MG,1786,89
Constantina/RS,9903,1511
Contagem/MG,673849,48771
Contenda/PR,19082,2599
Contendas do Sincorá/BA,4025,296
Coqueiral/MG,9099,777
Coqueiro Baixo/RS,1490,206
Coqueiro Seco/AL,5882,486
Coqueiros do Sul/RS,2267,242
Coração de Jesus/MG,26620,785
Coração de Maria/BA,22391,1878
Corbélia/PR,17162,2790
Cordeiro/RJ,22152,4078
Cordeiros/BA,8667,731
Cordeirópolis/SP,25116,5905
Cordilheira Alta/SC,4585,617
Cordisburgo/MG,8903,411
Cordislândia/MG,3546,283
Coreaú/CE,23340,2603
Coremas/PB,15438,1800
Corguinho/MS,6158,270
Coribe/BA,14108,1119
Corinto/MG,23607,1522
Cornélio Procópio/PR,47840,7443
Coroaci/MG,9897,506
Coroados/SP,6197,766
Coroatá/MA,65788,3423
Coromandel/MG,27958,2237
Coronel Barros/RS,2521,456
Coronel Bicaco/RS,7213,858
Coronel Domingos Soares/PR,7538,1227
Coronel Ezequiel/RN,5501,262
Coronel Fabriciano/MG,110709,14625
Coronel Freitas/SC,9900,1787
Coronel José Dias/PI,4688,128
Coronel João Pessoa/RN,4918,507
Coronel João Sá/BA,15549,1388
Coronel Macedo/SP,4591,664
Coronel Martins/SC,2560,228
Coronel Murta/MG,9209,342
Coronel Pacheco/MG,3095,210
Coronel Pilar/RS,1602,159
Coronel Sapucaia/MS,15449,1086
Coronel Vivida/PR,20430,3324
Coronel Xavier Chaves/MG,3448,322
Correia Pinto/SC,12315,2138
Corrente/PI,26771,1985
Correntes/PE,18327,368
Correntina/BA,32243,3215
Cortês/PE,12543,244
Corumbataí do Sul/PR,3038,397
Corumbataí/SP,4072,402
Corumbaíba/GO,10012,1288
Corumbiara/RO,7052,856
Corumbá de Goiás/GO,11223,786
Corumbá/MS,112669,15492
Corupá/SC,16300,2021
Coruripe/AL,57647,4263
Cosmorama/SP,7289,796
Cosmópolis/SP,74662,7916
Costa Marques/RO,19255,1995
Costa Rica/MS,21456,3878
Cotegipe/BA,13756,794
Cotia/SP,257882,16234
Cotiporã/RS,3824,830
Cotriguaçu/MT,20717,1264
Couto Magalhães/TO,5690,518
Couto de Magalhães de Minas/MG,4436,162
Coxilha/RS,2731,393
Coxim/MS,33547,4377
Coxixola/PB,1948,109
Crateús/CE,75241,12851
Crato/CE,133913,17757
Cravinhos/SP,35858,2203
Cravolândia/BA,5352,469
Craíbas/AL,24396,1414
Criciúma/SC,219393,38951
Crissiumal/RS,13269,1205
Cristais Paulista/SP,8803,1294
Cristais/MG,13060,1579
Cristal do Sul/RS,2840,256
Cristal/RS,8121,975
Cristalina/GO,61385,4312
Cristalândia do Piauí/PI,8350,54
Cristalândia/TO,7268,593
Cristiano Otoni/MG,5161,477
Cristianópolis/GO,2962,328
Cristina/MG,10211,594
Cristino Castro/PI,10464,917
Cristinápolis/SE,18181,608
Cristália/MG,5992,417
Cristópolis/BA,13981,925
Crisólita/MG,6814,262
Crisópolis/BA,21219,445
Crixás do Tocantins/TO,1749,168
Crixás/GO,17136,2489
Croatá/CE,18201,1422
Cromínia/GO,3458,308
Crucilândia/MG,5072,521
Cruz Alta/RS,59561,9043
Cruz Machado/PR,18772,1211
Cruz das Almas/BA,63923,5478
Cruz do Espírito Santo/PB,17599,1168
Cruz/CE,25121,3747
Cruzaltense/RS,1765,196
Cruzeiro da Fortaleza/MG,3651,375
Cruzeiro do Iguaçu/PR,4229,502
Cruzeiro do Oeste/PR,20962,3127
Cruzeiro do Sul/AC,89760,7897
Cruzeiro do Sul/PR,4430,515
Cruzeiro do Sul/RS,12457,1293
Cruzeiro/SP,82895,6745
Cruzeta/RN,7968,1185
Cruzmaltina/PR,2892,356
Cruzália/SP,2021,198
Cruzília/MG,15529,1494
Cubati/PB,7866,610
Cubatão/SP,132521,13886
Cuiabá/MT,623614,112135
Cuitegi/PB,6748,970
Cuité de Mamanguape/PB,6360,329
Cuité/PB,20331,1827
Cujubim/RO,27131,2053
Cumari/GO,2820,327
Cumaru do Norte/PA,14044,1094
Cumaru/PE,9494,602
Cumbe/SE,4008,315
Cunha Porã/SC,11150,1094
Cunha/SP,21373,981
Cunhataí/SC,1972,198
Cuparaque/MG,5026,509
Cupira/PE,24237,2513
Curaçá/BA,35065,1336
Curimatá/PI,11461,1208
Curionópolis/PA,17764,2418
Curitiba/PR,1963726,216518
Curitibanos/SC,40037,5629
Curiúva/PR,15289,1344
Currais Novos/RN,45022,3956
Currais/PI,4982,386
Curral Novo do Piauí/PI,5390,307
Curral Velho/PB,2508,462
Curral de Cima/PB,5209,534
Curral de Dentro/MG,7867,673
Curralinho/PA,35530,571
Curralinhos/PI,4475,364
Cururupu/MA,32559,1640
Curuá/PA,14776,2034
Curuçá/PA,41093,2284
Curvelo/MG,81085,5283
Curvelândia/MT,5267,674
Custódia/PE,37633,979
Cutias/AP,6217,874
Cáceres/MT,95339,11875
Cássia dos Coqueiros/SP,2488,253
Cássia/MG,17741,1749
Cândido Godói/RS,6106,728
Cândido Mendes/MA,20376,114
Cândido Mota/SP,31410,4540
Cândido Rodrigues/SP,2805,142
Cândido Sales/BA,24921,2038
Cândido de Abreu/PR,14606,1335
Céu Azul/PR,11872,1575
Cícero Dantas/BA,32636,2395
Córrego Danta/MG,3168,189
Córrego Fundo/MG,6425,816
Córrego Novo/MG,2688,340
Córrego do Bom Jesus/MG,3685,474
Córrego do Ouro/GO,2254,369
Cônego Marinho/MG,7730,131
Damianópolis/GO,3302,176
Damião/PB,5409,494
Damolândia/GO,2944,313
Darcinópolis/TO,6250,744
Datas/MG,5431,558
David Canabarro/RS,4732,804
Davinópolis/GO,2094,136
Davinópolis/MA,12923,614
Delfim Moreira/MG,8007,497
Delfinópolis/MG,7146,658
Delmiro Gouveia/AL,52501,4175
Delta/MG,10994,1559
Demerval Lobão/PI,13862,3268
Denise/MT,9626,649
Deodápolis/MS,13043,1962
Deputado Irapuan Pinheiro/CE,9698,936
Derrubadas/RS,2718,341
Descalvado/SP,34097,4211
Descanso/SC,8136,1096
Descoberto/MG,5044,361
Desterro de Entre Rios/MG,7266,401
Desterro do Melo/MG,2867,170
Desterro/PB,8332,706
Dezesseis de Novembro/RS,2331,139
Diadema/SP,429550,26540
Diamante D'Oeste/PR,5279,656
Diamante do Norte/PR,4975,378
Diamante do Sul/PR,3409,510
Diamante/PB,6506,795
Diamantina/MG,47924,4980
Diamantino/MT,22311,2876
Dianópolis/TO,22704,1948
Dias d'Ávila/BA,83705,5841
Dilermando de Aguiar/RS,2991,194
Diogo de Vasconcelos/MG,3779,175
Dionísio Cerqueira/SC,15592,2094
Dionísio/MG,7493,376
Diorama/GO,2477,214
Dirce Reis/SP,1805,196
Dirceu Arcoverde/PI,7046,218
Divina Pastora/SE,5290,855
Divino das Laranjeiras/MG,4969,345
Divino de São Lourenço/ES,4236,494
Divino/MG,20020,1756
Divinolândia de Minas/MG,7655,410
Divinolândia/SP,11027,1370
Divinésia/MG,3430,385
Divinópolis de Goiás/GO,4701,300
Divinópolis do Tocantins/TO,6986,823
Divinópolis/MG,242505,21377
Divisa Alegre/MG,6946,415
Divisa Nova/MG,6039,524
Divisópolis/MG,11396,500
Dobrada/SP,9088,614
Dois Córregos/SP,27704,1824
Dois Irmãos das Missões/RS,1992,236
Dois Irmãos do Buriti/MS,11547,1113
Dois Irmãos do Tocantins/TO,7173,813
Dois Irmãos/RS,33547,4781
Dois Lajeados/RS,3410,480
Dois Riachos/AL,11059,625
Dois Vizinhos/PR,41424,6886
Dolcinópolis/SP,2108,249
Dom Aquino/MT,8087,780
Dom Basílio/BA,12281,1074
Dom Bosco/MG,3635,332
Dom Cavati/MG,5025,641
Dom Eliseu/PA,61206,2109
Dom Expedito Lopes/PI,6940,617
Dom Feliciano/RS,15556,971
Dom Inocêncio/PI,9574,320
Dom Joaquim/MG,4436,658
Dom Macedo Costa/BA,4072,388
Dom Pedrito/RS,38222,4359
Dom Pedro de Alcântara/RS,2520,354
Dom Pedro/MA,23393,1506
Dom Silvério/MG,5227,445
Dom Viçoso/MG,2992,209
Domingos Martins/ES,34120,4558
Domingos Mourão/PI,4352,246
Dona Emma/SC,4224,506
Dona Euzébia/MG,6664,1071
Dona Francisca/RS,2958,135
Dona Inês/PB,10375,667
Dores de Campos/MG,10291,1142
Dores de Guanhães/MG,5139,306
Dores do Indaiá/MG,13373,1320
Dores do Rio Preto/ES,6793,827
Dores do Turvo/MG,4202,455
Doresópolis/MG,1539,156
Dormentes/PE,19246,1321
Douradina/MS,6025,630
Douradina/PR,8988,974
Dourado/SP,8883,987
Douradoquara/MG,1915,93
Dourados/MS,227990,38698
Doutor Camargo/PR,5987,677
Doutor Maurício Cardoso/RS,4380,378
Doutor Pedrinho/SC,4164,488
Doutor Ricardo/RS,1967,363
Doutor Severiano/RN,7068,689
Doutor Ulysses/PR,5525,363
Doverlândia/GO,7174,803
Dracena/SP,47287,5875
Duartina/SP,12421,1125
Duas Barras/RJ,11563,245
Duas Estradas/PB,3569,546
Dueré/TO,4686,439
Dumont/SP,10174,1532
Duque Bacelar/MA,11451,858
Duque de Caxias/RJ,929449,25966
Durandé/MG,7898,1447
Dário Meira/BA,10347,964
Echaporã/SP,6026,807
Ecoporanga/ES,22748,3956
Edealina/GO,3678,692
Edéia/GO,12559,1883
Eirunepé/AM,36121,4212
Eldorado do Carajás/PA,34069,658
Eldorado do Sul/RS,42490,5288
Eldorado/MS,12447,1335
Eldorado/SP,15592,1670
Elesbão Veloso/PI,14550,706
Elias Fausto/SP,18095,1524
Eliseu Martins/PI,4943,301
Elisiário/SP,3742,579
Elísio Medrado/BA,8129,594
Elói Mendes/MG,28556,3095
Emas/PB,3556,299
Embaúba/SP,2446,123
Embu das Artes/SP,279264,10671
Embu-Guaçu/SP,70402,5157
Emilianópolis/SP,3238,370
Encantado/RS,23047,2701
Encanto/RN,5697,723
Encruzilhada do Sul/RS,26039,2501
Encruzilhada/BA,15914,720
Engenheiro Beltrão/PR,13962,1592
Engenheiro Caldas/MG,11268,803
Engenheiro Coelho/SP,21712,2664
Engenheiro Navarro/MG,7240,262
Engenheiro Paulo de Frontin/RJ,14138,1673
Engenho Velho/RS,932,181
Entre Folhas/MG,5383,607
Entre Rios de Minas/MG,15458,825
Entre Rios do Oeste/PR,4651,472
Entre Rios do Sul/RS,2724,232
Entre Rios/BA,42014,1827
Entre Rios/SC,3232,684
Entre-Ijuís/RS,8350,1529
Envira/AM,20748,2715
Enéas Marques/PR,5906,750
Epitaciolândia/AC,18979,1581
Equador/RN,6064,453
Erebango/RS,2978,299
Erechim/RS,107368,15174
Ereré/CE,7254,901
Ermo/SC,2059,370
Ernestina/RS,3171,243
Erval Grande/RS,4780,349
Erval Seco/RS,6697,622
Erval Velho/SC,4423,891
Ervália/MG,19019,1658
Escada/PE,69701,975
Esmeralda/RS,3291,250
Esmeraldas/MG,72512,2772
Espera Feliz/MG,25287,2939
Esperantina/PI,39953,2839
Esperantina/TO,11280,734
Esperantinópolis/MA,16971,1108
Esperança Nova/PR,1633,310
Esperança do Sul/RS,2846,317
Esperança/PB,33386,5556
Espigão Alto do Iguaçu/PR,3980,443
Espigão D'Oeste/RO,33009,3767
Espinosa/MG,31603,2239
Esplanada/BA,37902,2133
Espumoso/RS,15594,2417
Espírito Santo do Dourado/MG,4728,445
Espírito Santo do Pinhal/SP,44607,4940
Espírito Santo do Turvo/SP,4926,471
Espírito Santo/RN,10463,715
Estação/RS,5924,943
Esteio/RS,83352,11730
Estiva Gerbi/SP,11507,812
Estiva/MG,11416,1533
Estreito/MA,43097,3511
Estrela Dalva/MG,2308,196
Estrela Velha/RS,3646,285
Estrela d'Oeste/SP,8420,1536
Estrela de Alagoas/AL,18304,600
Estrela do Indaiá/MG,3483,70
Estrela do Norte/GO,3253,299
Estrela do Norte/SP,2774,381
Estrela do Sul/MG,8057,750
Estrela/RS,34669,4043
Estância Velha/RS,51292,6159
Estância/SE,69919,7658
Euclides da Cunha Paulista/SP,9280,504
Euclides da Cunha/BA,61112,3614
Eugenópolis/MG,11383,1313
Eugênio de Castro/RS,2310,369
Eunápolis/BA,115360,12729
Eusébio/CE,55035,9836
Ewbank da Câmara/MG,3932,388
Extrema/MG,37649,8724
Extremoz/RN,29282,4142
Exu/PE,31709,4541
Fagundes Varela/RS,2750,548
Fagundes/PB,11180,875
Faina/GO,6527,689
Fama/MG,2374,142
Faria Lemos/MG,3202,272
Farias Brito/CE,19330,2666
Faro/PA,6949,1115
Farol/PR,2995,194
Farroupilha/RS,73758,11421
Fartura do Piauí/PI,5330,183
Fartura/SP,16102,2326
Faxinal do Soturno/RS,6651,611
Faxinal dos Guedes/SC,10630,2020
Faxinal/PR,17379,2401
Faxinalzinho/RS,2256,341
Fazenda Nova/GO,5471,571
Fazenda Rio Grande/PR,103750,16243
Fazenda Vilanova/RS,4680,456
Feijó/AC,34986,3338
Feira Grande/AL,22192,812
Feira Nova do Maranhão/MA,8506,1607
Feira Nova/PE,22360,1579
Feira Nova/SE,5617,246
Feira da Mata/BA,5656,317
Feira de Santana/BA,624107,56529
Felipe Guerra/RN,6009,1245
Felisburgo/MG,7548,605
Felixlândia/MG,15528,1207
Feliz Deserto/AL,4803,170
Feliz Natal/MT,14847,2045
