cities,population,cases
Amapá(AP),9109,899
Calçoene(AP),11117,1385
Cutias(AP),5983,736
Ferreira Gomes(AP),7780,836
Itaubal(AP),5503,340
Laranjal do Jari(AP),50410,5157
Macapá(AP),503327,26313
Mazagão(AP),21632,1801
Oiapoque(AP),27270,3218
Pedra Branca do Amapari(AP),16502,2910
Porto Grande(AP),21971,1460
Pracuúba(AP),5120,351
Santana(AP),121364,13436
Serra do Navio(AP),5397,782
Tartarugalzinho(AP),17315,1565
Vitória do Jari(AP),15931,3114
Acrelândia(AC),15256,528
Assis Brasil(AC),7417,744
Brasiléia(AC),26278,1229
Bujari(AC),10266,475
Capixaba(AC),11733,294
Cruzeiro do Sul(AC),88376,3971
Epitaciolândia(AC),18411,565
Feijó(AC),34780,1521
Jordão(AC),8317,244
Manoel Urbano(AC),9459,448
Marechal Thaumaturgo(AC),18867,692
Mâncio Lima(AC),18977,1323
Plácido de Castro(AC),19761,503
Porto Acre(AC),18504,590
Porto Walter(AC),11982,326
Rio Branco(AC),407319,17342
Rodrigues Alves(AC),18930,229
Santa Rosa do Purus(AC),6540,376
Sena Madureira(AC),45848,2338
Senador Guiomard(AC),23024,608
Tarauacá(AC),42567,2861
Xapuri(AC),19323,1731
Alvarães(AM),16041,1421
Amaturá(AM),11536,1033
Anamã(AM),13614,1118
Anori(AM),21010,1247
Apuí(AM),21973,385
Atalaia do Norte(AM),19921,1545
Autazes(AM),39565,1591
Barcelos(AM),27502,2903
Barreirinha(AM),32041,1443
Benjamin Constant(AM),42984,1774
Beruri(AM),19679,1068
Boa Vista do Ramos(AM),19207,571
Boca do Acre(AM),34308,1927
Borba(AM),41161,875
Caapiranga(AM),13081,384
Canutama(AM),15629,775
Carauari(AM),28294,3691
Careiro(AM),37869,2193
Careiro da Várzea(AM),30225,413
Coari(AM),85097,8165
Codajás(AM),28637,382
Eirunepé(AM),35273,2618
Envira(AM),20033,984
Fonte Boa(AM),17609,1130
Guajará(AM),16678,988
Humaitá(AM),55080,4441
Ipixuna(AM),29689,2605
Iranduba(AM),48296,2991
Itacoatiara(AM),101337,2799
Itamarati(AM),7851,608
Itapiranga(AM),9148,1507
Japurá(AM),2755,592
Juruá(AM),14712,577
Jutaí(AM),14317,551
Lábrea(AM),46069,3502
Manacapuru(AM),97377,4462
Manaquiri(AM),32105,683
Manaus(AM),2182763,75530
Manicoré(AM),55751,1622
Maraã(AM),18224,1016
Maués(AM),63905,2249
Nhamundá(AM),21173,966
Nova Olinda do Norte(AM),37378,1445
Novo Airão(AM),19454,946
Novo Aripuanã(AM),25644,834
Parintins(AM),114273,7009
Pauini(AM),19426,1472
Presidente Figueiredo(AM),36279,3575
Rio Preto da Eva(AM),33347,1957
Santa Isabel do Rio Negro(AM),25156,2354
Santo Antônio do Içá(AM),21602,1349
Silves(AM),9171,772
São Gabriel da Cachoeira(AM),45564,4949
São Paulo de Olivença(AM),39299,2105
São Sebastião do Uatumã(AM),14020,708
Tabatinga(AM),65844,2001
Tapauá(AM),17156,1329
Tefé(AM),59849,4720
Tonantins(AM),18755,680
Uarini(AM),13540,1056
Urucará(AM),16256,939
Urucurituba(AM),23065,1393
Brasília(DF),3015268,211610
Anadia(AL),17545,519
Arapiraca(AL),231747,13434
Atalaia(AL),47185,653
Barra de Santo Antônio(AL),15932,143
Barra de São Miguel(AL),8322,177
Batalha(AL),18232,627
Belo Monte(AL),6704,183
Belém(AL),4344,66
Boca da Mata(AL),27281,1264
Branquinha(AL),10494,273
Cacimbinhas(AL),10858,317
Cajueiro(AL),21264,380
Campestre(AL),6936,98
Campo Alegre(AL),57063,1561
Campo Grande(AL),9558,235
Canapi(AL),17722,68
Capela(AL),17053,553
Carneiros(AL),9081,101
Chã Preta(AL),7311,47
Coité do Nóia(AL),10693,182
Colônia Leopoldina(AL),21698,260
