cities,population,cases
Amapá(AP),9109,484
Calçoene(AP),11117,1126
Cutias(AP),5983,522
Ferreira Gomes(AP),7780,539
Itaubal(AP),5503,286
Laranjal do Jari(AP),50410,4283
Macapá(AP),503327,17100
Mazagão(AP),21632,1354
Oiapoque(AP),27270,2508
Pedra Branca do Amapari(AP),16502,2522
Porto Grande(AP),21971,1096
Pracuúba(AP),5120,350
Santana(AP),121364,6778
Serra do Navio(AP),5397,622
Tartarugalzinho(AP),17315,987
Vitória do Jari(AP),15931,2068
Acrelândia(AC),15256,427
Assis Brasil(AC),7417,494
Brasiléia(AC),26278,1109
Bujari(AC),10266,364
Capixaba(AC),11733,246
Cruzeiro do Sul(AC),88376,3117
Epitaciolândia(AC),18411,485
Feijó(AC),34780,1079
Jordão(AC),8317,156
Manoel Urbano(AC),9459,268
Marechal Thaumaturgo(AC),18867,333
Mâncio Lima(AC),18977,665
Plácido de Castro(AC),19761,396
Porto Acre(AC),18504,493
Porto Walter(AC),11982,248
Rio Branco(AC),407319,9940
Rodrigues Alves(AC),18930,141
Santa Rosa do Purus(AC),6540,274
Sena Madureira(AC),45848,1383
Senador Guiomard(AC),23024,464
Tarauacá(AC),42567,1479
Xapuri(AC),19323,901
Alvarães(AM),16041,1209
Amaturá(AM),11536,619
Anamã(AM),13614,678
Anori(AM),21010,746
Apuí(AM),21973,180
Atalaia do Norte(AM),19921,867
Autazes(AM),39565,1252
Barcelos(AM),27502,2418
Barreirinha(AM),32041,856
Benjamin Constant(AM),42984,1539
Beruri(AM),19679,713
Boa Vista do Ramos(AM),19207,323
Boca do Acre(AM),34308,1140
Borba(AM),41161,704
Caapiranga(AM),13081,285
Canutama(AM),15629,379
Carauari(AM),28294,861
Careiro(AM),37869,1300
Careiro da Várzea(AM),30225,165
Coari(AM),85097,6889
Codajás(AM),28637,220
Eirunepé(AM),35273,1867
Envira(AM),20033,188
Fonte Boa(AM),17609,773
Guajará(AM),16678,898
Humaitá(AM),55080,2865
Ipixuna(AM),29689,1586
Iranduba(AM),48296,1791
Itacoatiara(AM),101337,2039
Itamarati(AM),7851,559
Itapiranga(AM),9148,695
Japurá(AM),2755,435
Juruá(AM),14712,510
Jutaí(AM),14317,357
Lábrea(AM),46069,2330
Manacapuru(AM),97377,3738
Manaquiri(AM),32105,459
Manaus(AM),2182763,42094
Manicoré(AM),55751,1319
Maraã(AM),18224,473
Maués(AM),63905,1304
Nhamundá(AM),21173,678
Nova Olinda do Norte(AM),37378,869
Novo Airão(AM),19454,351
Novo Aripuanã(AM),25644,671
Parintins(AM),114273,4027
Pauini(AM),19426,1246
Presidente Figueiredo(AM),36279,1980
Rio Preto da Eva(AM),33347,1335
Santa Isabel do Rio Negro(AM),25156,1996
Santo Antônio do Içá(AM),21602,1186
Silves(AM),9171,287
São Gabriel da Cachoeira(AM),45564,3878
São Paulo de Olivença(AM),39299,1285
São Sebastião do Uatumã(AM),14020,557
Tabatinga(AM),65844,1759
Tapauá(AM),17156,968
Tefé(AM),59849,3433
Tonantins(AM),18755,586
Uarini(AM),13540,660
Urucará(AM),16256,606
Urucurituba(AM),23065,863
Brasília(DF),3015268,139285
Anadia(AL),17545,438
Arapiraca(AL),231747,10418
Atalaia(AL),47185,557
Barra de Santo Antônio(AL),15932,128
Barra de São Miguel(AL),8322,138
Batalha(AL),18232,493
Belo Monte(AL),6704,77
Belém(AL),4344,51
Boca da Mata(AL),27281,1207
Branquinha(AL),10494,259
Cacimbinhas(AL),10858,230
Cajueiro(AL),21264,268
Campestre(AL),6936,89
Campo Alegre(AL),57063,1265
Campo Grande(AL),9558,179
Canapi(AL),17722,60
Capela(AL),17053,502
Carneiros(AL),9081,77
Chã Preta(AL),7311,38
Coité do Nóia(AL),10693,145
Colônia Leopoldina(AL),21698,234
Coqueiro Seco(AL),5845,158
Coruripe(AL),56933,1417
Craíbas(AL),24219,615
Delmiro Gouveia(AL),52016,835
Dois Riachos(AL),11075,177
Estrela de Alagoas(AL),18205,172
Feira Grande(AL),22166,425
Feliz Deserto(AL),4754,85
Flexeiras(AL),12790,273
Girau do Ponciano(AL),40917,1162
Ibateguara(AL),15616,390
Igaci(AL),25631,190
Igreja Nova(AL),24499,459
Inhapi(AL),18385,53
Jacaré dos Homens(AL),5253,62
Jacuípe(AL),7021,60
Japaratinga(AL),8361,144
Jaramataia(AL),5770,49
Jequiá da Praia(AL),11580,360
Joaquim Gomes(AL),23993,364
Jundiá(AL),4155,34
Junqueiro(AL),24727,506
Lagoa da Canoa(AL),17852,374
Limoeiro de Anadia(AL),28635,429
Maceió(AL),1018948,25809
Major Isidoro(AL),19804,357
Mar Vermelho(AL),3514,21
Maragogi(AL),32704,434
Maravilha(AL),9163,73
Marechal Deodoro(AL),51901,2297
Maribondo(AL),13264,347
Mata Grande(AL),25216,167
Matriz de Camaragibe(AL),24642,965
Messias(AL),17856,535
Minador do Negrão(AL),5329,12
Monteirópolis(AL),7159,120
Murici(AL),28236,398
Novo Lino(AL),12690,107
Olho d'Água Grande(AL),5123,119
Olho d'Água das Flores(AL),21688,924
Olho d'Água do Casado(AL),9373,25
Olivença(AL),11624,139
Ouro Branco(AL),11496,76
Palestina(AL),5011,208
Palmeira dos Índios(AL),73218,1346
Pariconha(AL),10533,165
Paripueira(AL),13176,123
Passo de Camaragibe(AL),15245,332
Paulo Jacinto(AL),7564,162
Penedo(AL),63683,1193
Piaçabuçu(AL),17827,330
Pilar(AL),35111,1220
Pindoba(AL),2908,61
Piranhas(AL),25039,188
Porto Calvo(AL),27165,729
Porto Real do Colégio(AL),20066,347
Porto de Pedras(AL),7786,132
Poço das Trincheiras(AL),14386,67
Pão de Açúcar(AL),24399,666
Quebrangulo(AL),11294,317
Rio Largo(AL),75120,1212
Roteiro(AL),6664,147
Santa Luzia do Norte(AL),7296,183
Santana do Ipanema(AL),47654,1349
Santana do Mundaú(AL),10740,141
Satuba(AL),13828,457
Senador Rui Palmeira(AL),13870,71
São Brás(AL),6961,228
São José da Laje(AL),23927,637
São José da Tapera(AL),32260,729
São Luís do Quitunde(AL),34555,745
São Miguel dos Campos(AL),61251,2042
São Miguel dos Milagres(AL),7951,124
São Sebastião(AL),34152,764
Tanque d'Arca(AL),6162,108
Taquarana(AL),19980,233
Teotônio Vilela(AL),44169,1178
Traipu(AL),27715,210
União dos Palmares(AL),65611,857
Viçosa(AL),25733,329
Água Branca(AL),20196,76
Abaiara(CE),11737,67
Acarape(CE),14929,1430
Acaraú(CE),62641,2639
Acopiara(CE),54270,656
Aiuaba(CE),17399,23
Alcântaras(CE),11714,428
Altaneira(CE),7586,13
Alto Santo(CE),17146,339
Amontada(CE),43452,796
Antonina do Norte(CE),7353,21
Apuiarés(CE),14600,207
Aquiraz(CE),80271,954
