#city,population,cases
Amapá(AP),9109,1073
Calçoene(AP),11117,1529
Cutias(AP),5983,813
Ferreira Gomes(AP),7780,1154
Itaubal(AP),5503,360
Laranjal do Jari(AP),50410,6134
Macapá(AP),503327,35457
Mazagão(AP),21632,2260
Oiapoque(AP),27270,4348
Pedra Branca do Amapari(AP),16502,3047
Porto Grande(AP),21971,1644
Pracuúba(AP),5120,354
Santana(AP),121364,17646
Serra do Navio(AP),5397,930
Tartarugalzinho(AP),17315,1705
Vitória do Jari(AP),15931,3235
Acrelândia(AC),15256,790
Assis Brasil(AC),7417,1038
Brasiléia(AC),26278,1800
Bujari(AC),10266,579
Capixaba(AC),11733,354
Cruzeiro do Sul(AC),88376,5326
Epitaciolândia(AC),18411,991
Feijó(AC),34780,1921
Jordão(AC),8317,303
Manoel Urbano(AC),9459,551
Marechal Thaumaturgo(AC),18867,777
Mâncio Lima(AC),18977,1748
Plácido de Castro(AC),19761,1015
Porto Acre(AC),18504,813
Porto Walter(AC),11982,389
Rio Branco(AC),407319,24504
Rodrigues Alves(AC),18930,407
Santa Rosa do Purus(AC),6540,441
Sena Madureira(AC),45848,3403
Senador Guiomard(AC),23024,755
Tarauacá(AC),42567,4244
Xapuri(AC),19323,2413
Alvarães(AM),16041,2212
Amaturá(AM),11536,1542
Anamã(AM),13614,1475
Anori(AM),21010,1713
Apuí(AM),21973,835
Atalaia do Norte(AM),19921,2349
Autazes(AM),39565,2381
Barcelos(AM),27502,3832
Barreirinha(AM),32041,1904
Benjamin Constant(AM),42984,2270
Beruri(AM),19679,1858
Boa Vista do Ramos(AM),19207,779
Boca do Acre(AM),34308,2246
Borba(AM),41161,1328
Caapiranga(AM),13081,525
Canutama(AM),15629,958
Carauari(AM),28294,5189
Careiro(AM),37869,3930
Careiro da Várzea(AM),30225,739
Coari(AM),85097,8940
Codajás(AM),28637,592
Eirunepé(AM),35273,3309
Envira(AM),20033,1325
Fonte Boa(AM),17609,1282
Guajará(AM),16678,1168
Humaitá(AM),55080,6231
Ipixuna(AM),29689,3533
Iranduba(AM),48296,6791
Itacoatiara(AM),101337,5353
Itamarati(AM),7851,672
Itapiranga(AM),9148,2588
Japurá(AM),2755,749
Juruá(AM),14712,804
Jutaí(AM),14317,1014
Lábrea(AM),46069,4865
Manacapuru(AM),97377,6936
Manaquiri(AM),32105,1447
Manaus(AM),2182763,140459
Manicoré(AM),55751,2392
Maraã(AM),18224,1773
Maués(AM),63905,3215
Nhamundá(AM),21173,1427
Nova Olinda do Norte(AM),37378,2166
Novo Airão(AM),19454,1776
Novo Aripuanã(AM),25644,1255
Parintins(AM),114273,8207
Pauini(AM),19426,2296
Presidente Figueiredo(AM),36279,5217
Rio Preto da Eva(AM),33347,3831
Santa Isabel do Rio Negro(AM),25156,2633
Santo Antônio do Içá(AM),21602,1450
Silves(AM),9171,1133
São Gabriel da Cachoeira(AM),45564,6846
São Paulo de Olivença(AM),39299,3101
São Sebastião do Uatumã(AM),14020,1240
Tabatinga(AM),65844,2933
Tapauá(AM),17156,1645
Tefé(AM),59849,6678
Tonantins(AM),18755,1030
Uarini(AM),13540,1528
Urucará(AM),16256,1581
Urucurituba(AM),23065,2110
Brasília(DF),3015268,252707
Anadia(AL),17545,713
Arapiraca(AL),231747,15990
Atalaia(AL),47185,719
Barra de Santo Antônio(AL),15932,155
Barra de São Miguel(AL),8322,222
Batalha(AL),18232,695
Belo Monte(AL),6704,208
Belém(AL),4344,75
Boca da Mata(AL),27281,1334
Branquinha(AL),10494,300
Cacimbinhas(AL),10858,387
Cajueiro(AL),21264,408
Campestre(AL),6936,122
Campo Alegre(AL),57063,1897
Campo Grande(AL),9558,255
Canapi(AL),17722,96
Capela(AL),17053,602
Carneiros(AL),9081,120
Chã Preta(AL),7311,58
Coité do Nóia(AL),10693,238
Colônia Leopoldina(AL),21698,267
Coqueiro Seco(AL),5845,343
Coruripe(AL),56933,2471
Craíbas(AL),24219,873
Delmiro Gouveia(AL),52016,1904
Dois Riachos(AL),11075,338
Estrela de Alagoas(AL),18205,244
Feira Grande(AL),22166,521
Feliz Deserto(AL),4754,103
Flexeiras(AL),12790,375
Girau do Ponciano(AL),40917,1417
Ibateguara(AL),15616,493
Igaci(AL),25631,334
Igreja Nova(AL),24499,670
Inhapi(AL),18385,133
Jacaré dos Homens(AL),5253,139
Jacuípe(AL),7021,90
Japaratinga(AL),8361,200
Jaramataia(AL),5770,61
Jequiá da Praia(AL),11580,408
Joaquim Gomes(AL),23993,672
Jundiá(AL),4155,61
Junqueiro(AL),24727,649
Lagoa da Canoa(AL),17852,622
Limoeiro de Anadia(AL),28635,644
Maceió(AL),1018948,49034
Major Isidoro(AL),19804,470
Mar Vermelho(AL),3514,33
Maragogi(AL),32704,816
Maravilha(AL),9163,120
Marechal Deodoro(AL),51901,3550
Maribondo(AL),13264,376
