cities,population,cases
Amapá(AP),9109,64
Calçoene(AP),11117,75
Cutias(AP),5983,108
Ferreira Gomes(AP),7780,85
Itaubal(AP),5503,36
Laranjal do Jari(AP),50410,1378
Macapá(AP),503327,4992
Mazagão(AP),21632,244
Oiapoque(AP),27270,269
Pedra Branca do Amapari(AP),16502,432
Porto Grande(AP),21971,192
Pracuúba(AP),5120,7
Santana(AP),121364,987
Serra do Navio(AP),5397,214
Tartarugalzinho(AP),17315,78
Vitória do Jari(AP),15931,152
Acrelândia(AC),15256,158
Assis Brasil(AC),7417,25
Brasiléia(AC),26278,35
Bujari(AC),10266,48
Capixaba(AC),11733,40
Cruzeiro do Sul(AC),88376,670
Epitaciolândia(AC),18411,60
Feijó(AC),34780,13
Jordão(AC),8317,0
Manoel Urbano(AC),9459,1
Marechal Thaumaturgo(AC),18867,83
Mâncio Lima(AC),18977,24
Plácido de Castro(AC),19761,182
Porto Acre(AC),18504,74
Porto Walter(AC),11982,2
Rio Branco(AC),407319,4020
Rodrigues Alves(AC),18930,14
Santa Rosa do Purus(AC),6540,12
Sena Madureira(AC),45848,216
Senador Guiomard(AC),23024,125
Tarauacá(AC),42567,228
Xapuri(AC),19323,42
Alvarães(AM),16041,172
Amaturá(AM),11536,280
Anamã(AM),13614,187
Anori(AM),21010,355
Apuí(AM),21973,27
Atalaia do Norte(AM),19921,11
Autazes(AM),39565,554
Barcelos(AM),27502,462
Barreirinha(AM),32041,283
Benjamin Constant(AM),42984,825
Beruri(AM),19679,251
Boa Vista do Ramos(AM),19207,67
Boca do Acre(AM),34308,377
Borba(AM),41161,226
Caapiranga(AM),13081,83
Canutama(AM),15629,28
Carauari(AM),28294,217
Careiro(AM),37869,673
Careiro da Várzea(AM),30225,51
Coari(AM),85097,1925
Codajás(AM),28637,49
Eirunepé(AM),35273,155
Envira(AM),20033,0
Fonte Boa(AM),17609,264
Guajará(AM),16678,41
Humaitá(AM),55080,69
Ipixuna(AM),29689,0
Iranduba(AM),48296,598
Itacoatiara(AM),101337,773
Itamarati(AM),7851,4
Itapiranga(AM),9148,345
Japurá(AM),2755,89
Juruá(AM),14712,40
Jutaí(AM),14317,115
Lábrea(AM),46069,48
Manacapuru(AM),97377,2309
Manaquiri(AM),32105,127
Manaus(AM),2182763,18139
Manicoré(AM),55751,60
Maraã(AM),18224,84
Maués(AM),63905,681
Nhamundá(AM),21173,53
Nova Olinda do Norte(AM),37378,105
