#city,population,cases
Amapá(AP),9109,541
Calçoene(AP),11117,1155
Cutias(AP),5983,600
Ferreira Gomes(AP),7780,553
Itaubal(AP),5503,292
Laranjal do Jari(AP),50410,4586
Macapá(AP),503327,18093
Mazagão(AP),21632,1474
Oiapoque(AP),27270,2654
Pedra Branca do Amapari(AP),16502,2613
Porto Grande(AP),21971,1160
Pracuúba(AP),5120,351
Santana(AP),121364,8042
Serra do Navio(AP),5397,660
Tartarugalzinho(AP),17315,1062
Vitória do Jari(AP),15931,2536
Acrelândia(AC),15256,453
Assis Brasil(AC),7417,582
Brasiléia(AC),26278,1153
Bujari(AC),10266,373
Capixaba(AC),11733,249
Cruzeiro do Sul(AC),88376,3327
Epitaciolândia(AC),18411,490
Feijó(AC),34780,1213
Jordão(AC),8317,182
Manoel Urbano(AC),9459,284
Marechal Thaumaturgo(AC),18867,433
Mâncio Lima(AC),18977,855
Plácido de Castro(AC),19761,411
Porto Acre(AC),18504,509
Porto Walter(AC),11982,310
Rio Branco(AC),407319,10354
Rodrigues Alves(AC),18930,148
Santa Rosa do Purus(AC),6540,340
Sena Madureira(AC),45848,1511
Senador Guiomard(AC),23024,518
Tarauacá(AC),42567,1915
Xapuri(AC),19323,1106
Alvarães(AM),16041,1212
Amaturá(AM),11536,687
Anamã(AM),13614,748
Anori(AM),21010,764
Apuí(AM),21973,213
Atalaia do Norte(AM),19921,966
Autazes(AM),39565,1288
Barcelos(AM),27502,2592
Barreirinha(AM),32041,952
Benjamin Constant(AM),42984,1575
Beruri(AM),19679,778
Boa Vista do Ramos(AM),19207,345
Boca do Acre(AM),34308,1250
Borba(AM),41161,709
Caapiranga(AM),13081,303
Canutama(AM),15629,390
Carauari(AM),28294,1181
Careiro(AM),37869,1452
Careiro da Várzea(AM),30225,186
Coari(AM),85097,7005
Codajás(AM),28637,251
Eirunepé(AM),35273,2209
Envira(AM),20033,451
Fonte Boa(AM),17609,800
Guajará(AM),16678,923
Humaitá(AM),55080,3143
Ipixuna(AM),29689,1786
Iranduba(AM),48296,1913
Itacoatiara(AM),101337,2099
Itamarati(AM),7851,568
Itapiranga(AM),9148,806
Japurá(AM),2755,440
Juruá(AM),14712,510
Jutaí(AM),14317,369
Lábrea(AM),46069,2646
Manacapuru(AM),97377,3859
Manaquiri(AM),32105,483
Manaus(AM),2182763,46604
Manicoré(AM),55751,1403
Maraã(AM),18224,501
Maués(AM),63905,1513
Nhamundá(AM),21173,781
Nova Olinda do Norte(AM),37378,910
Novo Airão(AM),19454,443
Novo Aripuanã(AM),25644,687
Parintins(AM),114273,4524
Pauini(AM),19426,1316
Presidente Figueiredo(AM),36279,2069
Rio Preto da Eva(AM),33347,1407
Santa Isabel do Rio Negro(AM),25156,2095
Santo Antônio do Içá(AM),21602,1220
Silves(AM),9171,389
São Gabriel da Cachoeira(AM),45564,4228
São Paulo de Olivença(AM),39299,1626
São Sebastião do Uatumã(AM),14020,604
Tabatinga(AM),65844,1829
Tapauá(AM),17156,969
Tefé(AM),59849,3573
Tonantins(AM),18755,612
Uarini(AM),13540,688
Urucará(AM),16256,672
Urucurituba(AM),23065,986
Brasília(DF),3015268,158734
Anadia(AL),17545,464
Arapiraca(AL),231747,11122
Atalaia(AL),47185,576
Barra de Santo Antônio(AL),15932,130
Barra de São Miguel(AL),8322,143
Batalha(AL),18232,553
Belo Monte(AL),6704,144
Belém(AL),4344,52
Boca da Mata(AL),27281,1231
Branquinha(AL),10494,260
Cacimbinhas(AL),10858,255
Cajueiro(AL),21264,291
Campestre(AL),6936,94
Campo Alegre(AL),57063,1332
Campo Grande(AL),9558,193
Canapi(AL),17722,64
Capela(AL),17053,512
Carneiros(AL),9081,83
Chã Preta(AL),7311,41
Coité do Nóia(AL),10693,148
Colônia Leopoldina(AL),21698,237
Coqueiro Seco(AL),5845,158
Coruripe(AL),56933,1545
Craíbas(AL),24219,635
Delmiro Gouveia(AL),52016,928
Dois Riachos(AL),11075,186
Estrela de Alagoas(AL),18205,179
Feira Grande(AL),22166,443
Feliz Deserto(AL),4754,91
Flexeiras(AL),12790,285
Girau do Ponciano(AL),40917,1263
Ibateguara(AL),15616,418
Igaci(AL),25631,203
Igreja Nova(AL),24499,493
Inhapi(AL),18385,73
Jacaré dos Homens(AL),5253,80
Jacuípe(AL),7021,61
Japaratinga(AL),8361,148
Jaramataia(AL),5770,56
Jequiá da Praia(AL),11580,369
Joaquim Gomes(AL),23993,426
Jundiá(AL),4155,34
Junqueiro(AL),24727,541
Lagoa da Canoa(AL),17852,409
Limoeiro de Anadia(AL),28635,472
Maceió(AL),1018948,26983
Major Isidoro(AL),19804,403
Mar Vermelho(AL),3514,22
Maragogi(AL),32704,463
Maravilha(AL),9163,82
Marechal Deodoro(AL),51901,2365
Maribondo(AL),13264,352
Mata Grande(AL),25216,172
Matriz de Camaragibe(AL),24642,1017
Messias(AL),17856,567
Minador do Negrão(AL),5329,18
Monteirópolis(AL),7159,124
Murici(AL),28236,413
Novo Lino(AL),12690,108
Olho d'Água Grande(AL),5123,130
Olho d'Água das Flores(AL),21688,1010
Olho d'Água do Casado(AL),9373,28
Olivença(AL),11624,149
Ouro Branco(AL),11496,84
Palestina(AL),5011,245
Palmeira dos Índios(AL),73218,1641
Pariconha(AL),10533,182
Paripueira(AL),13176,171
Passo de Camaragibe(AL),15245,354
Paulo Jacinto(AL),7564,167
Penedo(AL),63683,1308
Piaçabuçu(AL),17827,347
Pilar(AL),35111,1352
Pindoba(AL),2908,67
Piranhas(AL),25039,240
Porto Calvo(AL),27165,748
Porto Real do Colégio(AL),20066,375
Porto de Pedras(AL),7786,143
Poço das Trincheiras(AL),14386,88
Pão de Açúcar(AL),24399,823
Quebrangulo(AL),11294,348
Rio Largo(AL),75120,1232
Roteiro(AL),6664,146
Santa Luzia do Norte(AL),7296,213
Santana do Ipanema(AL),47654,1539
Santana do Mundaú(AL),10740,203
Satuba(AL),13828,474
Senador Rui Palmeira(AL),13870,91
São Brás(AL),6961,240
São José da Laje(AL),23927,659
São José da Tapera(AL),32260,803
São Luís do Quitunde(AL),34555,768
São Miguel dos Campos(AL),61251,2090
São Miguel dos Milagres(AL),7951,124
São Sebastião(AL),34152,788
Tanque d'Arca(AL),6162,117
Taquarana(AL),19980,243
Teotônio Vilela(AL),44169,1232
Traipu(AL),27715,243
União dos Palmares(AL),65611,875
Viçosa(AL),25733,345
Água Branca(AL),20196,92
Abaiara(CE),11737,72
Acarape(CE),14929,1689
Acaraú(CE),62641,2657
Acopiara(CE),54270,808
Aiuaba(CE),17399,28
Alcântaras(CE),11714,467
Altaneira(CE),7586,20
Alto Santo(CE),17146,412
Amontada(CE),43452,806
Antonina do Norte(CE),7353,41
Apuiarés(CE),14600,228
Aquiraz(CE),80271,988
Aracati(CE),74547,1718
Aracoiaba(CE),26469,762
Ararendá(CE),10935,93
Araripe(CE),21600,197
Aratuba(CE),11847,237
Arneiroz(CE),7840,44
Assaré(CE),23417,324
Aurora(CE),24654,322
Baixio(CE),6288,94
Banabuiú(CE),18197,545
Barbalha(CE),60781,1938
Barreira(CE),22425,323
Barro(CE),22680,212
Barroquinha(CE),15017,764
Baturité(CE),35750,572
Beberibe(CE),53573,775
Bela Cruz(CE),32591,1181
Boa Viagem(CE),54470,969
Brejo Santo(CE),49477,1517
Camocim(CE),63661,2323
Campos Sales(CE),27426,357
Canindé(CE),76997,1919
Capistrano(CE),17738,700
Caridade(CE),22547,314
Caririaçu(CE),26965,694
Cariré(CE),18448,746
