#city,population,cases
Amapá(AP),9109,774
Calçoene(AP),11117,1171
Cutias(AP),5983,620
Ferreira Gomes(AP),7780,573
Itaubal(AP),5503,320
Laranjal do Jari(AP),50410,4743
Macapá(AP),503327,19069
Mazagão(AP),21632,1529
Oiapoque(AP),27270,2834
Pedra Branca do Amapari(AP),16502,2712
Porto Grande(AP),21971,1213
Pracuúba(AP),5120,351
Santana(AP),121364,9489
Serra do Navio(AP),5397,684
Tartarugalzinho(AP),17315,1212
Vitória do Jari(AP),15931,2856
Acrelândia(AC),15256,480
Assis Brasil(AC),7417,700
Brasiléia(AC),26278,1162
Bujari(AC),10266,392
Capixaba(AC),11733,255
Cruzeiro do Sul(AC),88376,3591
Epitaciolândia(AC),18411,521
Feijó(AC),34780,1290
Jordão(AC),8317,210
Manoel Urbano(AC),9459,318
Marechal Thaumaturgo(AC),18867,617
Mâncio Lima(AC),18977,1124
Plácido de Castro(AC),19761,418
Porto Acre(AC),18504,520
Porto Walter(AC),11982,318
Rio Branco(AC),407319,10980
Rodrigues Alves(AC),18930,187
Santa Rosa do Purus(AC),6540,367
Sena Madureira(AC),45848,1696
Senador Guiomard(AC),23024,530
Tarauacá(AC),42567,2616
Xapuri(AC),19323,1401
Alvarães(AM),16041,1253
Amaturá(AM),11536,930
Anamã(AM),13614,781
Anori(AM),21010,825
Apuí(AM),21973,249
Atalaia do Norte(AM),19921,1185
Autazes(AM),39565,1349
Barcelos(AM),27502,2739
Barreirinha(AM),32041,1160
Benjamin Constant(AM),42984,1613
Beruri(AM),19679,912
Boa Vista do Ramos(AM),19207,386
Boca do Acre(AM),34308,1349
Borba(AM),41161,719
Caapiranga(AM),13081,338
Canutama(AM),15629,462
Carauari(AM),28294,2657
Careiro(AM),37869,1779
Careiro da Várzea(AM),30225,239
Coari(AM),85097,7130
Codajás(AM),28637,273
Eirunepé(AM),35273,2450
Envira(AM),20033,793
Fonte Boa(AM),17609,896
Guajará(AM),16678,942
Humaitá(AM),55080,3557
Ipixuna(AM),29689,2058
Iranduba(AM),48296,2121
Itacoatiara(AM),101337,2312
Itamarati(AM),7851,581
Itapiranga(AM),9148,1016
Japurá(AM),2755,456
Juruá(AM),14712,564
Jutaí(AM),14317,392
Lábrea(AM),46069,2869
Manacapuru(AM),97377,4143
Manaquiri(AM),32105,525
Manaus(AM),2182763,57787
Manicoré(AM),55751,1493
Maraã(AM),18224,542
Maués(AM),63905,1892
Nhamundá(AM),21173,906
Nova Olinda do Norte(AM),37378,1082
Novo Airão(AM),19454,515
Novo Aripuanã(AM),25644,715
Parintins(AM),114273,5858
Pauini(AM),19426,1400
Presidente Figueiredo(AM),36279,2263
Rio Preto da Eva(AM),33347,1517
Santa Isabel do Rio Negro(AM),25156,2229
Santo Antônio do Içá(AM),21602,1271
Silves(AM),9171,499
São Gabriel da Cachoeira(AM),45564,4429
São Paulo de Olivença(AM),39299,1999
São Sebastião do Uatumã(AM),14020,641
Tabatinga(AM),65844,1917
Tapauá(AM),17156,1038
Tefé(AM),59849,3882
Tonantins(AM),18755,631
Uarini(AM),13540,774
Urucará(AM),16256,731
Urucurituba(AM),23065,1172
Brasília(DF),3015268,179054
Anadia(AL),17545,485
Arapiraca(AL),231747,11881
Atalaia(AL),47185,604
Barra de Santo Antônio(AL),15932,133
Barra de São Miguel(AL),8322,149
Batalha(AL),18232,593
Belo Monte(AL),6704,166
Belém(AL),4344,59
Boca da Mata(AL),27281,1250
Branquinha(AL),10494,271
Cacimbinhas(AL),10858,266
Cajueiro(AL),21264,331
Campestre(AL),6936,96
Campo Alegre(AL),57063,1434
Campo Grande(AL),9558,219
Canapi(AL),17722,66
Capela(AL),17053,531
Carneiros(AL),9081,88
Chã Preta(AL),7311,45
Coité do Nóia(AL),10693,153
Colônia Leopoldina(AL),21698,248
Coqueiro Seco(AL),5845,252
Coruripe(AL),56933,1692
Craíbas(AL),24219,651
Delmiro Gouveia(AL),52016,989
Dois Riachos(AL),11075,198
Estrela de Alagoas(AL),18205,198
Feira Grande(AL),22166,463
Feliz Deserto(AL),4754,99
Flexeiras(AL),12790,317
Girau do Ponciano(AL),40917,1315
Ibateguara(AL),15616,436
Igaci(AL),25631,227
Igreja Nova(AL),24499,544
Inhapi(AL),18385,75
Jacaré dos Homens(AL),5253,88
Jacuípe(AL),7021,63
Japaratinga(AL),8361,152
Jaramataia(AL),5770,59
