cities,population,cases
Amapá(AP),9109,985
Calçoene(AP),11117,1450
Cutias(AP),5983,741
Ferreira Gomes(AP),7780,968
Itaubal(AP),5503,345
Laranjal do Jari(AP),50410,5227
Macapá(AP),503327,28226
Mazagão(AP),21632,1912
Oiapoque(AP),27270,3340
Pedra Branca do Amapari(AP),16502,2957
Porto Grande(AP),21971,1544
Pracuúba(AP),5120,351
Santana(AP),121364,14595
Serra do Navio(AP),5397,812
Tartarugalzinho(AP),17315,1603
Vitória do Jari(AP),15931,3145
Acrelândia(AC),15256,563
Assis Brasil(AC),7417,762
Brasiléia(AC),26278,1298
Bujari(AC),10266,491
Capixaba(AC),11733,305
Cruzeiro do Sul(AC),88376,4121
Epitaciolândia(AC),18411,603
Feijó(AC),34780,1608
Jordão(AC),8317,268
Manoel Urbano(AC),9459,480
Marechal Thaumaturgo(AC),18867,701
Mâncio Lima(AC),18977,1326
Plácido de Castro(AC),19761,527
Porto Acre(AC),18504,682
Porto Walter(AC),11982,327
Rio Branco(AC),407319,19024
Rodrigues Alves(AC),18930,240
Santa Rosa do Purus(AC),6540,386
Sena Madureira(AC),45848,2601
Senador Guiomard(AC),23024,633
Tarauacá(AC),42567,2871
Xapuri(AC),19323,1803
Alvarães(AM),16041,1454
Amaturá(AM),11536,1035
Anamã(AM),13614,1222
Anori(AM),21010,1320
Apuí(AM),21973,515
Atalaia do Norte(AM),19921,1631
Autazes(AM),39565,1649
Barcelos(AM),27502,3022
Barreirinha(AM),32041,1508
Benjamin Constant(AM),42984,1817
Beruri(AM),19679,1114
Boa Vista do Ramos(AM),19207,600
Boca do Acre(AM),34308,2055
Borba(AM),41161,955
Caapiranga(AM),13081,401
Canutama(AM),15629,796
Carauari(AM),28294,3735
Careiro(AM),37869,2259
Careiro da Várzea(AM),30225,451
Coari(AM),85097,8328
Codajás(AM),28637,419
Eirunepé(AM),35273,2709
Envira(AM),20033,1039
Fonte Boa(AM),17609,1206
Guajará(AM),16678,998
Humaitá(AM),55080,4698
Ipixuna(AM),29689,2730
Iranduba(AM),48296,3312
Itacoatiara(AM),101337,2901
Itamarati(AM),7851,608
Itapiranga(AM),9148,1668
Japurá(AM),2755,594
Juruá(AM),14712,578
Jutaí(AM),14317,614
Lábrea(AM),46069,3812
Manacapuru(AM),97377,4578
Manaquiri(AM),32105,741
Manaus(AM),2182763,82218
Manicoré(AM),55751,1692
Maraã(AM),18224,1173
Maués(AM),63905,2315
Nhamundá(AM),21173,971
Nova Olinda do Norte(AM),37378,1642
Novo Airão(AM),19454,1169
Novo Aripuanã(AM),25644,881
Parintins(AM),114273,7241
Pauini(AM),19426,1568
Presidente Figueiredo(AM),36279,3905
Rio Preto da Eva(AM),33347,2125
Santa Isabel do Rio Negro(AM),25156,2359
Santo Antônio do Içá(AM),21602,1352
Silves(AM),9171,807
São Gabriel da Cachoeira(AM),45564,5029
São Paulo de Olivença(AM),39299,2133
São Sebastião do Uatumã(AM),14020,742
Tabatinga(AM),65844,2075
Tapauá(AM),17156,1333
Tefé(AM),59849,5023
Tonantins(AM),18755,716
Uarini(AM),13540,1085
Urucará(AM),16256,948
Urucurituba(AM),23065,1439
Brasília(DF),3015268,220482
Anadia(AL),17545,532
Arapiraca(AL),231747,13931
Atalaia(AL),47185,655
Barra de Santo Antônio(AL),15932,145
Barra de São Miguel(AL),8322,193
Batalha(AL),18232,653
Belo Monte(AL),6704,186
Belém(AL),4344,71
Boca da Mata(AL),27281,1273
Branquinha(AL),10494,276
Cacimbinhas(AL),10858,332
Cajueiro(AL),21264,385
Campestre(AL),6936,100
Campo Alegre(AL),57063,1628
Campo Grande(AL),9558,239
Canapi(AL),17722,69
Capela(AL),17053,563
Carneiros(AL),9081,105
Chã Preta(AL),7311,47
Coité do Nóia(AL),10693,204
Colônia Leopoldina(AL),21698,260
Coqueiro Seco(AL),5845,326
Coruripe(AL),56933,2052
Craíbas(AL),24219,796
Delmiro Gouveia(AL),52016,1251
Dois Riachos(AL),11075,288
Estrela de Alagoas(AL),18205,211
Feira Grande(AL),22166,495
Feliz Deserto(AL),4754,100
Flexeiras(AL),12790,344
Girau do Ponciano(AL),40917,1397
Ibateguara(AL),15616,451
Igaci(AL),25631,283
Igreja Nova(AL),24499,620
Inhapi(AL),18385,77
Jacaré dos Homens(AL),5253,124
Jacuípe(AL),7021,68
Japaratinga(AL),8361,174
Jaramataia(AL),5770,61
Jequiá da Praia(AL),11580,393
Joaquim Gomes(AL),23993,619
Jundiá(AL),4155,48
Junqueiro(AL),24727,589
Lagoa da Canoa(AL),17852,598
Limoeiro de Anadia(AL),28635,580
Maceió(AL),1018948,36320
Major Isidoro(AL),19804,449
Mar Vermelho(AL),3514,28
Maragogi(AL),32704,548
Maravilha(AL),9163,104
Marechal Deodoro(AL),51901,2974
Maribondo(AL),13264,364
Mata Grande(AL),25216,219
Matriz de Camaragibe(AL),24642,1132
