cities,population,cases
Amapá(AP),9109,1222
Calçoene(AP),11117,1586
Cutias(AP),5983,861
Ferreira Gomes(AP),7780,1358
Itaubal(AP),5503,480
Laranjal do Jari(AP),50410,8118
Macapá(AP),503327,48018
Mazagão(AP),21632,2708
Oiapoque(AP),27270,4950
Pedra Branca do Amapari(AP),16502,3200
Porto Grande(AP),21971,1699
Pracuúba(AP),5120,378
Santana(AP),121364,22343
Serra do Navio(AP),5397,1077
Tartarugalzinho(AP),17315,1858
Vitória do Jari(AP),15931,3764
Acrelândia(AC),15256,1425
Assis Brasil(AC),7417,1386
Brasiléia(AC),26278,2334
Bujari(AC),10266,1047
Capixaba(AC),11733,529
Cruzeiro do Sul(AC),88376,7121
Epitaciolândia(AC),18411,1202
Feijó(AC),34780,2634
Jordão(AC),8317,376
Manoel Urbano(AC),9459,871
Marechal Thaumaturgo(AC),18867,1069
Mâncio Lima(AC),18977,1790
Plácido de Castro(AC),19761,1414
Porto Acre(AC),18504,1293
Porto Walter(AC),11982,501
Rio Branco(AC),407319,34026
Rodrigues Alves(AC),18930,691
Santa Rosa do Purus(AC),6540,779
Sena Madureira(AC),45848,5249
Senador Guiomard(AC),23024,1053
Tarauacá(AC),42567,6111
Xapuri(AC),19323,2739
Alvarães(AM),16041,2685
Amaturá(AM),11536,2281
Anamã(AM),13614,1679
Anori(AM),21010,1822
Apuí(AM),21973,1169
Atalaia do Norte(AM),19921,2664
Autazes(AM),39565,2724
Barcelos(AM),27502,4047
Barreirinha(AM),32041,2261
Benjamin Constant(AM),42984,2653
Beruri(AM),19679,2047
Boa Vista do Ramos(AM),19207,826
Boca do Acre(AM),34308,2454
Borba(AM),41161,1682
Caapiranga(AM),13081,547
Canutama(AM),15629,1263
Carauari(AM),28294,6389
Careiro(AM),37869,4213
Careiro da Várzea(AM),30225,911
Coari(AM),85097,9287
Codajás(AM),28637,2169
Eirunepé(AM),35273,4025
Envira(AM),20033,2240
Fonte Boa(AM),17609,1544
Guajará(AM),16678,1540
Humaitá(AM),55080,7209
Ipixuna(AM),29689,4326
Iranduba(AM),48296,8559
Itacoatiara(AM),101337,8132
Itamarati(AM),7851,863
Itapiranga(AM),9148,2948
Japurá(AM),2755,790
Juruá(AM),14712,896
Jutaí(AM),14317,1885
Lábrea(AM),46069,6201
Manacapuru(AM),97377,7665
Manaquiri(AM),32105,1380
Manaus(AM),2182763,166790
Manicoré(AM),55751,4034
Maraã(AM),18224,1900
Maués(AM),63905,4180
Nhamundá(AM),21173,1781
Nova Olinda do Norte(AM),37378,2550
Novo Airão(AM),19454,2216
Novo Aripuanã(AM),25644,1875
Parintins(AM),114273,9523
Pauini(AM),19426,2666
Presidente Figueiredo(AM),36279,5730
Rio Preto da Eva(AM),33347,4343
Santa Isabel do Rio Negro(AM),25156,2692
Santo Antônio do Içá(AM),21602,1771
Silves(AM),9171,1317
São Gabriel da Cachoeira(AM),45564,8016
São Paulo de Olivença(AM),39299,4911
São Sebastião do Uatumã(AM),14020,1427
Tabatinga(AM),65844,3260
Tapauá(AM),17156,1716
Tefé(AM),59849,8532
Tonantins(AM),18755,1256
Uarini(AM),13540,1774
Urucará(AM),16256,2208
Urucurituba(AM),23065,2318
Brasília(DF),3015268,323838
Anadia(AL),17545,1041
Arapiraca(AL),231747,20802
Atalaia(AL),47185,988
Barra de Santo Antônio(AL),15932,251
Barra de São Miguel(AL),8322,315
Batalha(AL),18232,868
Belo Monte(AL),6704,239
Belém(AL),4344,92
Boca da Mata(AL),27281,1541
Branquinha(AL),10494,430
Cacimbinhas(AL),10858,499
Cajueiro(AL),21264,484
Campestre(AL),6936,232
Campo Alegre(AL),57063,2409
Campo Grande(AL),9558,381
Canapi(AL),17722,177
Capela(AL),17053,691
Carneiros(AL),9081,180
Chã Preta(AL),7311,206
Coité do Nóia(AL),10693,337
Colônia Leopoldina(AL),21698,303
Coqueiro Seco(AL),5845,377
Coruripe(AL),56933,3088
Craíbas(AL),24219,991
Delmiro Gouveia(AL),52016,2631
Dois Riachos(AL),11075,487
Estrela de Alagoas(AL),18205,294
Feira Grande(AL),22166,596
Feliz Deserto(AL),4754,123
Flexeiras(AL),12790,516
Girau do Ponciano(AL),40917,1628
Ibateguara(AL),15616,517
Igaci(AL),25631,527
Igreja Nova(AL),24499,808
Inhapi(AL),18385,301
Jacaré dos Homens(AL),5253,213
Jacuípe(AL),7021,134
Japaratinga(AL),8361,335
Jaramataia(AL),5770,76
Jequiá da Praia(AL),11580,509
Joaquim Gomes(AL),23993,702
Jundiá(AL),4155,133
Junqueiro(AL),24727,850
Lagoa da Canoa(AL),17852,740
Limoeiro de Anadia(AL),28635,801
Maceió(AL),1018948,66343
Major Isidoro(AL),19804,581
Mar Vermelho(AL),3514,93
Maragogi(AL),32704,1196
Maravilha(AL),9163,181
Marechal Deodoro(AL),51901,4854
Maribondo(AL),13264,402
Mata Grande(AL),25216,339
Matriz de Camaragibe(AL),24642,1253
Messias(AL),17856,828
Minador do Negrão(AL),5329,117
Monteirópolis(AL),7159,172
Murici(AL),28236,865
Novo Lino(AL),12690,152
Olho d'Água Grande(AL),5123,172
Olho d'Água das Flores(AL),21688,1310
Olho d'Água do Casado(AL),9373,86
Olivença(AL),11624,409
Ouro Branco(AL),11496,220
Palestina(AL),5011,348
Palmeira dos Índios(AL),73218,3354
Pariconha(AL),10533,476
Paripueira(AL),13176,257
Passo de Camaragibe(AL),15245,461
Paulo Jacinto(AL),7564,250
Penedo(AL),63683,2832
Piaçabuçu(AL),17827,617
Pilar(AL),35111,2477
Pindoba(AL),2908,84
Piranhas(AL),25039,756
Porto Calvo(AL),27165,1019
Porto Real do Colégio(AL),20066,506
Porto de Pedras(AL),7786,296
Poço das Trincheiras(AL),14386,349
Pão de Açúcar(AL),24399,1039
Quebrangulo(AL),11294,686
Rio Largo(AL),75120,2471
Roteiro(AL),6664,239
Santa Luzia do Norte(AL),7296,410
Santana do Ipanema(AL),47654,3753
Santana do Mundaú(AL),10740,606
Satuba(AL),13828,819
Senador Rui Palmeira(AL),13870,276
São Brás(AL),6961,304
São José da Laje(AL),23927,973
São José da Tapera(AL),32260,1151
São Luís do Quitunde(AL),34555,1043
São Miguel dos Campos(AL),61251,3062
São Miguel dos Milagres(AL),7951,193
São Sebastião(AL),34152,1228
Tanque d'Arca(AL),6162,245
Taquarana(AL),19980,517
Teotônio Vilela(AL),44169,1513
Traipu(AL),27715,381
União dos Palmares(AL),65611,1562
Viçosa(AL),25733,1152
Água Branca(AL),20196,277
Abaiara(CE),11737,360
Acarape(CE),14929,2384
Acaraú(CE),62641,4228
Acopiara(CE),54270,2420
Aiuaba(CE),17399,341
Alcântaras(CE),11714,1139
Altaneira(CE),7586,339
Alto Santo(CE),17146,818
Amontada(CE),43452,1898
Antonina do Norte(CE),7353,305
Apuiarés(CE),14600,797
Aquiraz(CE),80271,4525
Aracati(CE),74547,4649
Aracoiaba(CE),26469,2151
Ararendá(CE),10935,639
Araripe(CE),21600,702
Aratuba(CE),11847,902
Arneiroz(CE),7840,285
Assaré(CE),23417,1185
Aurora(CE),24654,1167
