cities,population,cases
Amapá(AP),9109,418
Calçoene(AP),11117,1092
Cutias(AP),5983,522
Ferreira Gomes(AP),7780,517
Itaubal(AP),5503,284
Laranjal do Jari(AP),50410,3800
Macapá(AP),503327,15858
Mazagão(AP),21632,1198
Oiapoque(AP),27270,2165
Pedra Branca do Amapari(AP),16502,2363
Porto Grande(AP),21971,1014
Pracuúba(AP),5120,336
Santana(AP),121364,5579
Serra do Navio(AP),5397,562
Tartarugalzinho(AP),17315,822
Vitória do Jari(AP),15931,1609
Acrelândia(AC),15256,299
Assis Brasil(AC),7417,383
Brasiléia(AC),26278,871
Bujari(AC),10266,336
Capixaba(AC),11733,230
Cruzeiro do Sul(AC),88376,2850
Epitaciolândia(AC),18411,401
Feijó(AC),34780,840
Jordão(AC),8317,90
Manoel Urbano(AC),9459,221
Marechal Thaumaturgo(AC),18867,273
Mâncio Lima(AC),18977,513
Plácido de Castro(AC),19761,378
Porto Acre(AC),18504,451
Porto Walter(AC),11982,232
Rio Branco(AC),407319,9501
Rodrigues Alves(AC),18930,136
Santa Rosa do Purus(AC),6540,188
Sena Madureira(AC),45848,1126
Senador Guiomard(AC),23024,374
Tarauacá(AC),42567,1265
Xapuri(AC),19323,540
Alvarães(AM),16041,1181
Amaturá(AM),11536,519
Anamã(AM),13614,552
Anori(AM),21010,715
Apuí(AM),21973,115
Atalaia do Norte(AM),19921,818
Autazes(AM),39565,1187
Barcelos(AM),27502,2158
Barreirinha(AM),32041,784
Benjamin Constant(AM),42984,1528
Beruri(AM),19679,578
Boa Vista do Ramos(AM),19207,298
Boca do Acre(AM),34308,937
Borba(AM),41161,673
Caapiranga(AM),13081,265
Canutama(AM),15629,310
Carauari(AM),28294,861
Careiro(AM),37869,1165
Careiro da Várzea(AM),30225,136
Coari(AM),85097,6769
Codajás(AM),28637,197
Eirunepé(AM),35273,1503
Envira(AM),20033,116
Fonte Boa(AM),17609,745
Guajará(AM),16678,828
Humaitá(AM),55080,2469
Ipixuna(AM),29689,884
Iranduba(AM),48296,1668
Itacoatiara(AM),101337,2017
Itamarati(AM),7851,521
Itapiranga(AM),9148,556
Japurá(AM),2755,397
Juruá(AM),14712,449
Jutaí(AM),14317,324
Lábrea(AM),46069,1921
Manacapuru(AM),97377,3462
Manaquiri(AM),32105,437
Manaus(AM),2182763,37267
Manicoré(AM),55751,1074
Maraã(AM),18224,402
Maués(AM),63905,1222
Nhamundá(AM),21173,532
Nova Olinda do Norte(AM),37378,803
Novo Airão(AM),19454,285
Novo Aripuanã(AM),25644,665
Parintins(AM),114273,3569
Pauini(AM),19426,1062
Presidente Figueiredo(AM),36279,1875
Rio Preto da Eva(AM),33347,1106
Santa Isabel do Rio Negro(AM),25156,1765
Santo Antônio do Içá(AM),21602,1140
Silves(AM),9171,233
São Gabriel da Cachoeira(AM),45564,3468
São Paulo de Olivença(AM),39299,1131
São Sebastião do Uatumã(AM),14020,490
Tabatinga(AM),65844,1700
Tapauá(AM),17156,935
Tefé(AM),59849,3271
Tonantins(AM),18755,552
Uarini(AM),13540,639
Urucará(AM),16256,505
Urucurituba(AM),23065,694
Brasília(DF),3015268,107567
Anadia(AL),17545,406
Arapiraca(AL),231747,7896
Atalaia(AL),47185,522
Barra de Santo Antônio(AL),15932,118
Barra de São Miguel(AL),8322,123
Batalha(AL),18232,374
Belo Monte(AL),6704,55
Belém(AL),4344,49
Boca da Mata(AL),27281,1095
Branquinha(AL),10494,222
Cacimbinhas(AL),10858,130
Cajueiro(AL),21264,194
Campestre(AL),6936,82
Campo Alegre(AL),57063,1145
Campo Grande(AL),9558,165
Canapi(AL),17722,51
Capela(AL),17053,493
Carneiros(AL),9081,60
Chã Preta(AL),7311,33
Coité do Nóia(AL),10693,129
Colônia Leopoldina(AL),21698,229
Coqueiro Seco(AL),5845,155
Coruripe(AL),56933,1236
Craíbas(AL),24219,552
Delmiro Gouveia(AL),52016,630
Dois Riachos(AL),11075,118
Estrela de Alagoas(AL),18205,162
Feira Grande(AL),22166,369
Feliz Deserto(AL),4754,66
Flexeiras(AL),12790,246
Girau do Ponciano(AL),40917,938
Ibateguara(AL),15616,274
Igaci(AL),25631,171
Igreja Nova(AL),24499,328
Inhapi(AL),18385,34
Jacaré dos Homens(AL),5253,32
Jacuípe(AL),7021,58
Japaratinga(AL),8361,131
Jaramataia(AL),5770,43
Jequiá da Praia(AL),11580,334
Joaquim Gomes(AL),23993,308
Jundiá(AL),4155,30
Junqueiro(AL),24727,446
Lagoa da Canoa(AL),17852,272
Limoeiro de Anadia(AL),28635,358
Maceió(AL),1018948,23840
Major Isidoro(AL),19804,321
Mar Vermelho(AL),3514,19
Maragogi(AL),32704,405
Maravilha(AL),9163,53
Marechal Deodoro(AL),51901,1927
Maribondo(AL),13264,319
Mata Grande(AL),25216,113
Matriz de Camaragibe(AL),24642,746
Messias(AL),17856,449
Minador do Negrão(AL),5329,11
Monteirópolis(AL),7159,71
Murici(AL),28236,355
Novo Lino(AL),12690,102
Olho d'Água Grande(AL),5123,77
Olho d'Água das Flores(AL),21688,720
Olho d'Água do Casado(AL),9373,19
Olivença(AL),11624,108
Ouro Branco(AL),11496,73
Palestina(AL),5011,151
Palmeira dos Índios(AL),73218,907
Pariconha(AL),10533,124
Paripueira(AL),13176,118
Passo de Camaragibe(AL),15245,257
Paulo Jacinto(AL),7564,142
Penedo(AL),63683,779
Piaçabuçu(AL),17827,310
Pilar(AL),35111,1115
Pindoba(AL),2908,45
Piranhas(AL),25039,124
Porto Calvo(AL),27165,687
Porto Real do Colégio(AL),20066,290
Porto de Pedras(AL),7786,118
Poço das Trincheiras(AL),14386,40
Pão de Açúcar(AL),24399,453
Quebrangulo(AL),11294,186
Rio Largo(AL),75120,1071
Roteiro(AL),6664,128
