#city,population,cases
Taquarana(AL),19980,497
Teotônio Vilela(AL),44169,1496
Traipu(AL),27715,368
União dos Palmares(AL),65611,1502
Viçosa(AL),25733,1058
Água Branca(AL),20196,274
Abaiara(CE),11737,335
Acarape(CE),14929,2273
Acaraú(CE),62641,4122
Acopiara(CE),54270,2223
Aiuaba(CE),17399,315
Alcântaras(CE),11714,1030
Altaneira(CE),7586,309
Alto Santo(CE),17146,735
Amontada(CE),43452,1668
Antonina do Norte(CE),7353,198
Apuiarés(CE),14600,719
Aquiraz(CE),80271,4080
Aracati(CE),74547,4327
Aracoiaba(CE),26469,1835
Ararendá(CE),10935,589
Araripe(CE),21600,648
Aratuba(CE),11847,778
Arneiroz(CE),7840,226
Assaré(CE),23417,1095
Aurora(CE),24654,1122
Baixio(CE),6288,281
Banabuiú(CE),18197,894
Barbalha(CE),60781,3361
Barreira(CE),22425,859
Barro(CE),22680,630
Barroquinha(CE),15017,913
Baturité(CE),35750,1770
Beberibe(CE),53573,2681
Bela Cruz(CE),32591,2330
Boa Viagem(CE),54470,2333
Brejo Santo(CE),49477,5872
Camocim(CE),63661,3790
Campos Sales(CE),27426,1433
Canindé(CE),76997,3314
Capistrano(CE),17738,1205
Caridade(CE),22547,877
Caririaçu(CE),26965,967
Cariré(CE),18448,1693
Cariús(CE),18699,1124
Carnaubal(CE),17606,1103
Cascavel(CE),71743,3535
Catarina(CE),20698,609
Catunda(CE),10342,797
Caucaia(CE),361400,16982
Cedro(CE),25557,2112
Chaval(CE),13069,1031
Chorozinho(CE),20264,1394
Choró(CE),13521,524
Coreaú(CE),23136,1923
Crateús(CE),75074,7863
Crato(CE),132123,11465
Croatá(CE),18063,576
Cruz(CE),24827,2118
Deputado Irapuan Pinheiro(CE),9625,493
Ereré(CE),7198,572
Eusébio(CE),53618,6470
Farias Brito(CE),19450,1594
Forquilha(CE),24218,997
Fortaleza(CE),2669342,179148
Fortim(CE),16480,1069
Frecheirinha(CE),14072,2233
General Sampaio(CE),7618,355
Granja(CE),54748,2157
Granjeiro(CE),4844,296
Graça(CE),14399,777
Groaíras(CE),11068,1174
Guaiúba(CE),26064,841
Guaraciaba do Norte(CE),40642,1566
Guaramiranga(CE),5193,446
Hidrolândia(CE),19978,1623
Horizonte(CE),67337,5350
Ibaretama(CE),13353,396
Ibiapina(CE),24997,1096
Ibicuitinga(CE),12525,922
Icapuí(CE),19934,1446
Icó(CE),68018,4011
Iguatu(CE),102498,6376
Independência(CE),26178,892
Ipaporanga(CE),11593,604
Ipaumirim(CE),12463,438
Ipu(CE),41964,3348
Ipueiras(CE),38166,1826
Iracema(CE),14297,1522
Irauçuba(CE),24156,560
Itaitinga(CE),37980,3077
Itaiçaba(CE),7827,644
Itapajé(CE),52675,1826
Itapipoca(CE),129358,6479
Itapiúna(CE),20382,1128
Itarema(CE),41826,2626
Itatira(CE),21647,1452
Jaguaretama(CE),18162,1382
Jaguaribara(CE),11401,619
Jaguaribe(CE),34682,2654
Jaguaruana(CE),33705,1995
Jardim(CE),27174,671
Jati(CE),8111,374
Jijoca de Jericoacoara(CE),19816,1762
Juazeiro do Norte(CE),274207,19589
Jucás(CE),24833,826
Lavras da Mangabeira(CE),31508,1570
Limoeiro do Norte(CE),59540,3548
Madalena(CE),19691,816
Maracanaú(CE),227886,15995
Maranguape(CE),128978,9185
Marco(CE),27361,1044
Martinópole(CE),11233,683
Massapê(CE),38737,1543
Mauriti(CE),47962,2118
Meruoca(CE),15057,1292
Milagres(CE),27512,1616
Milhã(CE),13155,607
Miraíma(CE),13818,712
Missão Velha(CE),35393,1386
Mombaça(CE),43797,2765
Monsenhor Tabosa(CE),17234,1148
Morada Nova(CE),61890,5604
Moraújo(CE),8724,1309
Morrinhos(CE),22534,926
Mucambo(CE),14537,812
Mulungu(CE),10823,511
Nova Olinda(CE),15565,610
Nova Russas(CE),32328,1725
Novo Oriente(CE),28607,843
Ocara(CE),25703,1030
Orós(CE),21427,1765
Pacajus(CE),72203,3990
Pacatuba(CE),83432,4587
Pacoti(CE),12261,670
Pacujá(CE),6533,509
Palhano(CE),9386,746
Palmácia(CE),13322,572
Paracuru(CE),35076,2062
Paraipaba(CE),32744,1672
Parambu(CE),31521,945
Paramoti(CE),12226,442
Pedra Branca(CE),43258,532
Penaforte(CE),9077,324
Pentecoste(CE),37751,2383
Pereiro(CE),16307,1041
Pindoretama(CE),20567,1163
Piquet Carneiro(CE),16959,1152
Pires Ferreira(CE),10951,719
Poranga(CE),12336,333
Porteiras(CE),14996,1009
Potengi(CE),11045,288
Potiretama(CE),6419,353
Quiterianópolis(CE),21084,958
Quixadá(CE),87728,5480
Quixelô(CE),16178,1417
Quixeramobim(CE),81082,4494
Quixeré(CE),22149,1783
Redenção(CE),29053,2794
Reriutaba(CE),18491,1535
Russas(CE),78194,7052
Saboeiro(CE),15819,619
Salitre(CE),16554,826
Santa Quitéria(CE),43703,3859
Santana do Acaraú(CE),32452,1685
Santana do Cariri(CE),17700,547
Senador Pompeu(CE),25496,1219
Senador Sá(CE),7623,678
Sobral(CE),208935,19595
Solonópole(CE),18324,1059
São Benedito(CE),47903,2617
São Gonçalo do Amarante(CE),48422,4984
São João do Jaguaribe(CE),7645,430
São Luís do Curu(CE),13000,808
Tabuleiro do Norte(CE),30697,3221
Tamboril(CE),26251,1291
Tarrafas(CE),8592,252
Tauá(CE),58859,5271
Tejuçuoca(CE),19187,957
Tianguá(CE),75946,6223
Trairi(CE),55918,1316
Tururu(CE),16271,878
Ubajara(CE),34792,1489
Umari(CE),7733,278
Umirim(CE),19825,554
Uruburetama(CE),21850,1453
Uruoca(CE),13840,1022
Varjota(CE),18420,1621
Viçosa do Ceará(CE),60889,2939
Várzea Alegre(CE),40721,1979
Afonso Cláudio(ES),30586,2940
Alegre(ES),30084,1605
Alfredo Chaves(ES),14601,1956
Alto Rio Novo(ES),7836,630
Anchieta(ES),29263,3822
Apiacá(ES),7567,582
Aracruz(ES),101220,12144
Atilio Vivacqua(ES),11936,1192
Baixo Guandu(ES),30998,2956
Barra de São Francisco(ES),44650,3941
Boa Esperança(ES),15037,987
Bom Jesus do Norte(ES),9936,800
Brejetuba(ES),12404,1355
Cachoeiro de Itapemirim(ES),208972,20836
Cariacica(ES),381285,30952
Castelo(ES),37534,4810
Colatina(ES),122499,17427
Conceição da Barra(ES),31063,1003
Conceição do Castelo(ES),12723,1089
Divino de São Lourenço(ES),4304,338
Domingos Martins(ES),33850,2947
Dores do Rio Preto(ES),6749,548
Ecoporanga(ES),22923,2386
Fundão(ES),21509,1909
Governador Lindenberg(ES),12709,1410
Guarapari(ES),124859,11862
Guaçuí(ES),30867,1785
Ibatiba(ES),26082,2765
Ibiraçu(ES),12479,1383
Ibitirama(ES),8889,323
Iconha(ES),13860,2255
Irupi(ES),13377,1107
Itaguaçu(ES),14066,1384
Itapemirim(ES),34348,3293
Itarana(ES),10555,1252
Iúna(ES),29161,1960
Jaguaré(ES),30477,2879
Jerônimo Monteiro(ES),12192,938
João Neiva(ES),16668,2140
Laranja da Terra(ES),10947,531
