cities,population,cases
Amapá(AP),9109,449
Calçoene(AP),11117,1118
Cutias(AP),5983,522
Ferreira Gomes(AP),7780,532
Itaubal(AP),5503,286
Laranjal do Jari(AP),50410,4020
Macapá(AP),503327,16297
Mazagão(AP),21632,1318
Oiapoque(AP),27270,2333
Pedra Branca do Amapari(AP),16502,2436
Porto Grande(AP),21971,1030
Pracuúba(AP),5120,350
Santana(AP),121364,5988
Serra do Navio(AP),5397,574
Tartarugalzinho(AP),17315,921
Vitória do Jari(AP),15931,1783
Acrelândia(AC),15256,398
Assis Brasil(AC),7417,440
Brasiléia(AC),26278,1035
Bujari(AC),10266,353
Capixaba(AC),11733,240
Cruzeiro do Sul(AC),88376,2961
Epitaciolândia(AC),18411,456
Feijó(AC),34780,968
Jordão(AC),8317,119
Manoel Urbano(AC),9459,253
Marechal Thaumaturgo(AC),18867,287
Mâncio Lima(AC),18977,553
Plácido de Castro(AC),19761,386
Porto Acre(AC),18504,460
Porto Walter(AC),11982,240
Rio Branco(AC),407319,9692
Rodrigues Alves(AC),18930,137
Santa Rosa do Purus(AC),6540,201
Sena Madureira(AC),45848,1267
Senador Guiomard(AC),23024,401
Tarauacá(AC),42567,1401
Xapuri(AC),19323,685
Alvarães(AM),16041,1204
Amaturá(AM),11536,575
Anamã(AM),13614,639
Anori(AM),21010,724
Apuí(AM),21973,126
Atalaia do Norte(AM),19921,848
Autazes(AM),39565,1203
Barcelos(AM),27502,2347
Barreirinha(AM),32041,816
Benjamin Constant(AM),42984,1535
Beruri(AM),19679,713
Boa Vista do Ramos(AM),19207,307
Boca do Acre(AM),34308,1028
Borba(AM),41161,696
Caapiranga(AM),13081,277
Canutama(AM),15629,374
Carauari(AM),28294,861
Careiro(AM),37869,1226
Careiro da Várzea(AM),30225,147
Coari(AM),85097,6783
Codajás(AM),28637,207
Eirunepé(AM),35273,1731
Envira(AM),20033,133
Fonte Boa(AM),17609,754
Guajará(AM),16678,864
Humaitá(AM),55080,2726
Ipixuna(AM),29689,1322
Iranduba(AM),48296,1694
Itacoatiara(AM),101337,2025
Itamarati(AM),7851,545
Itapiranga(AM),9148,601
Japurá(AM),2755,414
Juruá(AM),14712,478
Jutaí(AM),14317,335
Lábrea(AM),46069,2155
Manacapuru(AM),97377,3525
Manaquiri(AM),32105,451
Manaus(AM),2182763,39766
Manicoré(AM),55751,1211
Maraã(AM),18224,435
Maués(AM),63905,1268
Nhamundá(AM),21173,581
Nova Olinda do Norte(AM),37378,838
Novo Airão(AM),19454,313
Novo Aripuanã(AM),25644,667
Parintins(AM),114273,3772
Pauini(AM),19426,1141
Presidente Figueiredo(AM),36279,1924
Rio Preto da Eva(AM),33347,1275
Santa Isabel do Rio Negro(AM),25156,1894
Santo Antônio do Içá(AM),21602,1169
Silves(AM),9171,257
São Gabriel da Cachoeira(AM),45564,3678
São Paulo de Olivença(AM),39299,1243
São Sebastião do Uatumã(AM),14020,514
Tabatinga(AM),65844,1727
Tapauá(AM),17156,960
Tefé(AM),59849,3347
Tonantins(AM),18755,561
Uarini(AM),13540,649
Urucará(AM),16256,544
Urucurituba(AM),23065,758
Brasília(DF),3015268,123436
Anadia(AL),17545,426
Arapiraca(AL),231747,9946
Atalaia(AL),47185,546
Barra de Santo Antônio(AL),15932,122
Barra de São Miguel(AL),8322,131
Batalha(AL),18232,436
Belo Monte(AL),6704,68
Belém(AL),4344,50
Boca da Mata(AL),27281,1157
Branquinha(AL),10494,242
Cacimbinhas(AL),10858,219
Cajueiro(AL),21264,229
Campestre(AL),6936,88
Campo Alegre(AL),57063,1218
Campo Grande(AL),9558,171
Canapi(AL),17722,56
Capela(AL),17053,501
Carneiros(AL),9081,67
Chã Preta(AL),7311,35
Coité do Nóia(AL),10693,140
Colônia Leopoldina(AL),21698,234
Coqueiro Seco(AL),5845,156
Coruripe(AL),56933,1328
Craíbas(AL),24219,594
Delmiro Gouveia(AL),52016,737
Dois Riachos(AL),11075,140
Estrela de Alagoas(AL),18205,167
Feira Grande(AL),22166,400
Feliz Deserto(AL),4754,70
Flexeiras(AL),12790,263
Girau do Ponciano(AL),40917,1040
Ibateguara(AL),15616,359
Igaci(AL),25631,184
Igreja Nova(AL),24499,407
Inhapi(AL),18385,48
Jacaré dos Homens(AL),5253,45
Jacuípe(AL),7021,59
Japaratinga(AL),8361,143
Jaramataia(AL),5770,48
Jequiá da Praia(AL),11580,347
Joaquim Gomes(AL),23993,326
Jundiá(AL),4155,31
Junqueiro(AL),24727,487
Lagoa da Canoa(AL),17852,303
Limoeiro de Anadia(AL),28635,391
Maceió(AL),1018948,25023
Major Isidoro(AL),19804,330
Mar Vermelho(AL),3514,20
Maragogi(AL),32704,426
Maravilha(AL),9163,62
Marechal Deodoro(AL),51901,2142
Maribondo(AL),13264,342
Mata Grande(AL),25216,136
Matriz de Camaragibe(AL),24642,869
Messias(AL),17856,487
Minador do Negrão(AL),5329,12
Monteirópolis(AL),7159,102
Murici(AL),28236,368
Novo Lino(AL),12690,104
Olho d'Água Grande(AL),5123,85
Olho d'Água das Flores(AL),21688,831
Olho d'Água do Casado(AL),9373,22
Olivença(AL),11624,120
Ouro Branco(AL),11496,76
Palestina(AL),5011,195
Palmeira dos Índios(AL),73218,1144
Pariconha(AL),10533,148
Paripueira(AL),13176,121
Passo de Camaragibe(AL),15245,317
Paulo Jacinto(AL),7564,146
Penedo(AL),63683,954
Piaçabuçu(AL),17827,319
Pilar(AL),35111,1155
Pindoba(AL),2908,55
Piranhas(AL),25039,178
Porto Calvo(AL),27165,713
Porto Real do Colégio(AL),20066,314
Porto de Pedras(AL),7786,126
Poço das Trincheiras(AL),14386,54
Pão de Açúcar(AL),24399,562
Quebrangulo(AL),11294,242
Rio Largo(AL),75120,1167
