cities,population,cases
Amapá(AP),9109,773
Calçoene(AP),11117,1158
Cutias(AP),5983,605
Ferreira Gomes(AP),7780,553
Itaubal(AP),5503,295
Laranjal do Jari(AP),50410,4643
Macapá(AP),503327,18390
Mazagão(AP),21632,1505
Oiapoque(AP),27270,2696
Pedra Branca do Amapari(AP),16502,2650
Porto Grande(AP),21971,1189
Pracuúba(AP),5120,351
Santana(AP),121364,8481
Serra do Navio(AP),5397,668
Tartarugalzinho(AP),17315,1160
Vitória do Jari(AP),15931,2678
Acrelândia(AC),15256,468
Assis Brasil(AC),7417,617
Brasiléia(AC),26278,1165
Bujari(AC),10266,374
Capixaba(AC),11733,250
Cruzeiro do Sul(AC),88376,3474
Epitaciolândia(AC),18411,504
Feijó(AC),34780,1248
Jordão(AC),8317,207
Manoel Urbano(AC),9459,302
Marechal Thaumaturgo(AC),18867,528
Mâncio Lima(AC),18977,977
Plácido de Castro(AC),19761,412
Porto Acre(AC),18504,512
Porto Walter(AC),11982,315
Rio Branco(AC),407319,10529
Rodrigues Alves(AC),18930,156
Santa Rosa do Purus(AC),6540,343
Sena Madureira(AC),45848,1563
Senador Guiomard(AC),23024,524
Tarauacá(AC),42567,2222
Xapuri(AC),19323,1169
Alvarães(AM),16041,1219
Amaturá(AM),11536,705
Anamã(AM),13614,763
Anori(AM),21010,772
Apuí(AM),21973,213
Atalaia do Norte(AM),19921,997
Autazes(AM),39565,1306
Barcelos(AM),27502,2620
Barreirinha(AM),32041,985
Benjamin Constant(AM),42984,1604
Beruri(AM),19679,828
Boa Vista do Ramos(AM),19207,364
Boca do Acre(AM),34308,1299
Borba(AM),41161,711
Caapiranga(AM),13081,313
Canutama(AM),15629,405
Carauari(AM),28294,2024
Careiro(AM),37869,1519
Careiro da Várzea(AM),30225,193
Coari(AM),85097,7029
Codajás(AM),28637,261
Eirunepé(AM),35273,2319
Envira(AM),20033,626
Fonte Boa(AM),17609,800
Guajará(AM),16678,933
Humaitá(AM),55080,3309
Ipixuna(AM),29689,1893
Iranduba(AM),48296,1973
Itacoatiara(AM),101337,2135
Itamarati(AM),7851,571
Itapiranga(AM),9148,907
Japurá(AM),2755,446
Juruá(AM),14712,510
Jutaí(AM),14317,369
Lábrea(AM),46069,2712
Manacapuru(AM),97377,3920
Manaquiri(AM),32105,491
Manaus(AM),2182763,49959
Manicoré(AM),55751,1419
Maraã(AM),18224,520
Maués(AM),63905,1620
Nhamundá(AM),21173,843
Nova Olinda do Norte(AM),37378,981
Novo Airão(AM),19454,477
Novo Aripuanã(AM),25644,695
Parintins(AM),114273,4945
Pauini(AM),19426,1359
Presidente Figueiredo(AM),36279,2115
Rio Preto da Eva(AM),33347,1448
Santa Isabel do Rio Negro(AM),25156,2095
Santo Antônio do Içá(AM),21602,1222
Silves(AM),9171,448
São Gabriel da Cachoeira(AM),45564,4283
São Paulo de Olivença(AM),39299,1822
São Sebastião do Uatumã(AM),14020,620
Tabatinga(AM),65844,1845
Tapauá(AM),17156,971
Tefé(AM),59849,3649
Tonantins(AM),18755,612
Uarini(AM),13540,706
Urucará(AM),16256,695
Urucurituba(AM),23065,1023
Brasília(DF),3015268,166310
Anadia(AL),17545,466
Arapiraca(AL),231747,11567
Atalaia(AL),47185,587
Barra de Santo Antônio(AL),15932,130
Barra de São Miguel(AL),8322,144
Batalha(AL),18232,585
Belo Monte(AL),6704,158
Belém(AL),4344,55
Boca da Mata(AL),27281,1246
Branquinha(AL),10494,271
Cacimbinhas(AL),10858,261
Cajueiro(AL),21264,304
Campestre(AL),6936,94
Campo Alegre(AL),57063,1392
Campo Grande(AL),9558,211
Canapi(AL),17722,65
Capela(AL),17053,521
Carneiros(AL),9081,87
Chã Preta(AL),7311,45
Coité do Nóia(AL),10693,151
Colônia Leopoldina(AL),21698,241
Coqueiro Seco(AL),5845,158
Coruripe(AL),56933,1615
Craíbas(AL),24219,642
Delmiro Gouveia(AL),52016,950
Dois Riachos(AL),11075,195
Estrela de Alagoas(AL),18205,194
Feira Grande(AL),22166,455
Feliz Deserto(AL),4754,96
Flexeiras(AL),12790,303
Girau do Ponciano(AL),40917,1279
Ibateguara(AL),15616,418
Igaci(AL),25631,209
Igreja Nova(AL),24499,527
Inhapi(AL),18385,74
Jacaré dos Homens(AL),5253,83
Jacuípe(AL),7021,61
Japaratinga(AL),8361,150
Jaramataia(AL),5770,59
Jequiá da Praia(AL),11580,374
Joaquim Gomes(AL),23993,469
Jundiá(AL),4155,43
Junqueiro(AL),24727,552
Lagoa da Canoa(AL),17852,526
Limoeiro de Anadia(AL),28635,500
Maceió(AL),1018948,28121
Major Isidoro(AL),19804,407
Mar Vermelho(AL),3514,23
Maragogi(AL),32704,475
Maravilha(AL),9163,91
Marechal Deodoro(AL),51901,2444
Maribondo(AL),13264,354
Mata Grande(AL),25216,176
Matriz de Camaragibe(AL),24642,1037
Messias(AL),17856,595
Minador do Negrão(AL),5329,18
Monteirópolis(AL),7159,127
Murici(AL),28236,419
Novo Lino(AL),12690,108
Olho d'Água Grande(AL),5123,136
Olho d'Água das Flores(AL),21688,1036
Olho d'Água do Casado(AL),9373,36
Olivença(AL),11624,152
Ouro Branco(AL),11496,97
Palestina(AL),5011,258
Palmeira dos Índios(AL),73218,1712
Pariconha(AL),10533,187
Paripueira(AL),13176,181
Passo de Camaragibe(AL),15245,365
Paulo Jacinto(AL),7564,168
Penedo(AL),63683,1425
Piaçabuçu(AL),17827,359
Pilar(AL),35111,1376
Pindoba(AL),2908,75
Piranhas(AL),25039,245
Porto Calvo(AL),27165,758
Porto Real do Colégio(AL),20066,389
Porto de Pedras(AL),7786,147
Poço das Trincheiras(AL),14386,94
Pão de Açúcar(AL),24399,829
Quebrangulo(AL),11294,366
Rio Largo(AL),75120,1261
Roteiro(AL),6664,148
Santa Luzia do Norte(AL),7296,222
Santana do Ipanema(AL),47654,1624
Santana do Mundaú(AL),10740,223
Satuba(AL),13828,491
Senador Rui Palmeira(AL),13870,92
São Brás(AL),6961,252
São José da Laje(AL),23927,698
São José da Tapera(AL),32260,846
São Luís do Quitunde(AL),34555,813
São Miguel dos Campos(AL),61251,2120
São Miguel dos Milagres(AL),7951,125
São Sebastião(AL),34152,832
Tanque d'Arca(AL),6162,121
Taquarana(AL),19980,247
Teotônio Vilela(AL),44169,1265
Traipu(AL),27715,257
União dos Palmares(AL),65611,898
Viçosa(AL),25733,357
Água Branca(AL),20196,95
Abaiara(CE),11737,74
Acarape(CE),14929,1712
