cities,population,cases
Amapá(AP),9109,1068
Calçoene(AP),11117,1527
Cutias(AP),5983,812
Ferreira Gomes(AP),7780,1126
Itaubal(AP),5503,356
Laranjal do Jari(AP),50410,5869
Macapá(AP),503327,34376
Mazagão(AP),21632,2194
Oiapoque(AP),27270,4060
Pedra Branca do Amapari(AP),16502,3033
Porto Grande(AP),21971,1636
Pracuúba(AP),5120,353
Santana(AP),121364,17062
Serra do Navio(AP),5397,915
Tartarugalzinho(AP),17315,1663
Vitória do Jari(AP),15931,3224
Acrelândia(AC),15256,729
Assis Brasil(AC),7417,984
Brasiléia(AC),26278,1747
Bujari(AC),10266,539
Capixaba(AC),11733,338
Cruzeiro do Sul(AC),88376,4738
Epitaciolândia(AC),18411,931
Feijó(AC),34780,1831
Jordão(AC),8317,274
Manoel Urbano(AC),9459,534
Marechal Thaumaturgo(AC),18867,720
Mâncio Lima(AC),18977,1745
Plácido de Castro(AC),19761,976
Porto Acre(AC),18504,795
Porto Walter(AC),11982,386
Rio Branco(AC),407319,22882
Rodrigues Alves(AC),18930,326
Santa Rosa do Purus(AC),6540,440
Sena Madureira(AC),45848,3229
Senador Guiomard(AC),23024,723
Tarauacá(AC),42567,4071
Xapuri(AC),19323,2331
Alvarães(AM),16041,2093
Amaturá(AM),11536,1452
Anamã(AM),13614,1452
Anori(AM),21010,1662
Apuí(AM),21973,794
Atalaia do Norte(AM),19921,2199
Autazes(AM),39565,2220
Barcelos(AM),27502,3757
Barreirinha(AM),32041,1822
Benjamin Constant(AM),42984,2212
Beruri(AM),19679,1810
Boa Vista do Ramos(AM),19207,751
Boca do Acre(AM),34308,2214
Borba(AM),41161,1276
Caapiranga(AM),13081,508
Canutama(AM),15629,888
Carauari(AM),28294,4993
Careiro(AM),37869,3767
Careiro da Várzea(AM),30225,712
Coari(AM),85097,8884
Codajás(AM),28637,518
Eirunepé(AM),35273,3288
Envira(AM),20033,1295
Fonte Boa(AM),17609,1276
Guajará(AM),16678,1131
Humaitá(AM),55080,6095
Ipixuna(AM),29689,3394
Iranduba(AM),48296,6120
Itacoatiara(AM),101337,4804
Itamarati(AM),7851,625
Itapiranga(AM),9148,2429
Japurá(AM),2755,718
Juruá(AM),14712,778
Jutaí(AM),14317,916
Lábrea(AM),46069,4691
Manacapuru(AM),97377,6581
Manaquiri(AM),32105,1293
Manaus(AM),2182763,129721
Manicoré(AM),55751,2356
Maraã(AM),18224,1747
Maués(AM),63905,3118
Nhamundá(AM),21173,1298
Nova Olinda do Norte(AM),37378,2138
Novo Airão(AM),19454,1513
Novo Aripuanã(AM),25644,1215
Parintins(AM),114273,8109
Pauini(AM),19426,2096
Presidente Figueiredo(AM),36279,5041
Rio Preto da Eva(AM),33347,3514
