cities,population,cases
Amapá(AP),9109,902
Calçoene(AP),11117,1405
Cutias(AP),5983,741
Ferreira Gomes(AP),7780,863
Itaubal(AP),5503,340
Laranjal do Jari(AP),50410,5167
Macapá(AP),503327,26921
Mazagão(AP),21632,1809
Oiapoque(AP),27270,3262
Pedra Branca do Amapari(AP),16502,2924
Porto Grande(AP),21971,1473
Pracuúba(AP),5120,351
Santana(AP),121364,13763
Serra do Navio(AP),5397,787
Tartarugalzinho(AP),17315,1585
Vitória do Jari(AP),15931,3129
Acrelândia(AC),15256,547
Assis Brasil(AC),7417,755
Brasiléia(AC),26278,1247
Bujari(AC),10266,490
Capixaba(AC),11733,301
Cruzeiro do Sul(AC),88376,4059
Epitaciolândia(AC),18411,586
Feijó(AC),34780,1551
Jordão(AC),8317,253
Manoel Urbano(AC),9459,458
Marechal Thaumaturgo(AC),18867,700
Mâncio Lima(AC),18977,1329
Plácido de Castro(AC),19761,510
Porto Acre(AC),18504,652
Porto Walter(AC),11982,327
Rio Branco(AC),407319,18151
Rodrigues Alves(AC),18930,235
Santa Rosa do Purus(AC),6540,387
Sena Madureira(AC),45848,2459
Senador Guiomard(AC),23024,627
Tarauacá(AC),42567,2863
Xapuri(AC),19323,1762
Alvarães(AM),16041,1429
Amaturá(AM),11536,1034
Anamã(AM),13614,1134
Anori(AM),21010,1296
Apuí(AM),21973,428
Atalaia do Norte(AM),19921,1549
Autazes(AM),39565,1616
Barcelos(AM),27502,2953
Barreirinha(AM),32041,1452
Benjamin Constant(AM),42984,1784
Beruri(AM),19679,1078
Boa Vista do Ramos(AM),19207,583
Boca do Acre(AM),34308,1977
Borba(AM),41161,901
Caapiranga(AM),13081,387
Canutama(AM),15629,782
Carauari(AM),28294,3705
Careiro(AM),37869,2206
Careiro da Várzea(AM),30225,420
Coari(AM),85097,8230
Codajás(AM),28637,408
Eirunepé(AM),35273,2698
Envira(AM),20033,1000
Fonte Boa(AM),17609,1149
Guajará(AM),16678,992
Humaitá(AM),55080,4514
Ipixuna(AM),29689,2641
Iranduba(AM),48296,3054
Itacoatiara(AM),101337,2843
Itamarati(AM),7851,608
Itapiranga(AM),9148,1583
Japurá(AM),2755,592
Juruá(AM),14712,577
Jutaí(AM),14317,572
Lábrea(AM),46069,3573
Manacapuru(AM),97377,4505
Manaquiri(AM),32105,694
Manaus(AM),2182763,77167
Manicoré(AM),55751,1666
Maraã(AM),18224,1063
Maués(AM),63905,2264
Nhamundá(AM),21173,966
Nova Olinda do Norte(AM),37378,1476
Novo Airão(AM),19454,978
Novo Aripuanã(AM),25644,865
Parintins(AM),114273,7143
Pauini(AM),19426,1513
Presidente Figueiredo(AM),36279,3682
Rio Preto da Eva(AM),33347,2007
Santa Isabel do Rio Negro(AM),25156,2356
Santo Antônio do Içá(AM),21602,1349
Silves(AM),9171,782
São Gabriel da Cachoeira(AM),45564,4983
São Paulo de Olivença(AM),39299,2109
São Sebastião do Uatumã(AM),14020,724
Tabatinga(AM),65844,2026
Tapauá(AM),17156,1333
Tefé(AM),59849,4807
Tonantins(AM),18755,705
Uarini(AM),13540,1062
Urucará(AM),16256,939
Urucurituba(AM),23065,1415
Brasília(DF),3015268,214934
Anadia(AL),17545,523
Arapiraca(AL),231747,13616
Atalaia(AL),47185,653
Barra de Santo Antônio(AL),15932,144
Barra de São Miguel(AL),8322,180
Batalha(AL),18232,627
Belo Monte(AL),6704,186
Belém(AL),4344,68
Boca da Mata(AL),27281,1265
Branquinha(AL),10494,275
Cacimbinhas(AL),10858,326
Cajueiro(AL),21264,383
Campestre(AL),6936,98
Campo Alegre(AL),57063,1585
Campo Grande(AL),9558,235
Canapi(AL),17722,69
Capela(AL),17053,555
Carneiros(AL),9081,102
Chã Preta(AL),7311,47
Coité do Nóia(AL),10693,185
Colônia Leopoldina(AL),21698,260
Coqueiro Seco(AL),5845,317
Coruripe(AL),56933,2007
Craíbas(AL),24219,787
Delmiro Gouveia(AL),52016,1184
Dois Riachos(AL),11075,275
Estrela de Alagoas(AL),18205,212
Feira Grande(AL),22166,488
Feliz Deserto(AL),4754,100
Flexeiras(AL),12790,344
Girau do Ponciano(AL),40917,1390
Ibateguara(AL),15616,445
Igaci(AL),25631,276
Igreja Nova(AL),24499,608
Inhapi(AL),18385,76
Jacaré dos Homens(AL),5253,124
Jacuípe(AL),7021,68
Japaratinga(AL),8361,173
Jaramataia(AL),5770,61
Jequiá da Praia(AL),11580,391
Joaquim Gomes(AL),23993,603
Jundiá(AL),4155,48
Junqueiro(AL),24727,585
Lagoa da Canoa(AL),17852,596
Limoeiro de Anadia(AL),28635,572
Maceió(AL),1018948,34371
Major Isidoro(AL),19804,446
Mar Vermelho(AL),3514,27
Maragogi(AL),32704,531
Maravilha(AL),9163,103
Marechal Deodoro(AL),51901,2904
Maribondo(AL),13264,361
Mata Grande(AL),25216,217
Matriz de Camaragibe(AL),24642,1131
Messias(AL),17856,669
Minador do Negrão(AL),5329,100
Monteirópolis(AL),7159,139
Murici(AL),28236,460
Novo Lino(AL),12690,114
Olho d'Água Grande(AL),5123,145
Olho d'Água das Flores(AL),21688,1168
Olho d'Água do Casado(AL),9373,43
Olivença(AL),11624,176
Ouro Branco(AL),11496,101
Palestina(AL),5011,308
Palmeira dos Índios(AL),73218,2099
Pariconha(AL),10533,213
Paripueira(AL),13176,198
Passo de Camaragibe(AL),15245,381
Paulo Jacinto(AL),7564,197
Penedo(AL),63683,1713
Piaçabuçu(AL),17827,443
Pilar(AL),35111,1545
Pindoba(AL),2908,79
Piranhas(AL),25039,307
Porto Calvo(AL),27165,798
Porto Real do Colégio(AL),20066,434
Porto de Pedras(AL),7786,160
Poço das Trincheiras(AL),14386,119
Pão de Açúcar(AL),24399,941
Quebrangulo(AL),11294,438
Rio Largo(AL),75120,1430
Roteiro(AL),6664,162
Santa Luzia do Norte(AL),7296,253
Santana do Ipanema(AL),47654,2181
Santana do Mundaú(AL),10740,315
Satuba(AL),13828,524
Senador Rui Palmeira(AL),13870,127
São Brás(AL),6961,264
São José da Laje(AL),23927,727
São José da Tapera(AL),32260,897
São Luís do Quitunde(AL),34555,877
São Miguel dos Campos(AL),61251,2239
São Miguel dos Milagres(AL),7951,128
São Sebastião(AL),34152,863
Tanque d'Arca(AL),6162,152
Taquarana(AL),19980,281
Teotônio Vilela(AL),44169,1347
Traipu(AL),27715,286
União dos Palmares(AL),65611,1095
Viçosa(AL),25733,481
Água Branca(AL),20196,115
Abaiara(CE),11737,147
Acarape(CE),14929,1944
Acaraú(CE),62641,2758
