#city,population,cases
Amapá(AP),9109,1276
Calçoene(AP),11117,1611
Cutias(AP),5983,865
Ferreira Gomes(AP),7780,1408
Itaubal(AP),5503,498
Laranjal do Jari(AP),50410,8303
Macapá(AP),503327,53577
Mazagão(AP),21632,2893
Oiapoque(AP),27270,5033
Pedra Branca do Amapari(AP),16502,3233
Porto Grande(AP),21971,1776
Pracuúba(AP),5120,380
Santana(AP),121364,24182
Serra do Navio(AP),5397,1138
Tartarugalzinho(AP),17315,1887
Vitória do Jari(AP),15931,3877
Acrelândia(AC),15256,1562
Assis Brasil(AC),7417,1640
Brasiléia(AC),26278,2734
Bujari(AC),10266,1117
Capixaba(AC),11733,635
Cruzeiro do Sul(AC),88376,7468
Epitaciolândia(AC),18411,1357
Feijó(AC),34780,3053
Jordão(AC),8317,473
Manoel Urbano(AC),9459,902
Marechal Thaumaturgo(AC),18867,1228
Mâncio Lima(AC),18977,2229
Plácido de Castro(AC),19761,1601
Porto Acre(AC),18504,1424
Porto Walter(AC),11982,537
Rio Branco(AC),407319,36633
Rodrigues Alves(AC),18930,789
Santa Rosa do Purus(AC),6540,912
Sena Madureira(AC),45848,5687
Senador Guiomard(AC),23024,1148
Tarauacá(AC),42567,6397
Xapuri(AC),19323,2952
Alvarães(AM),16041,2789
Amaturá(AM),11536,2351
Anamã(AM),13614,1731
Anori(AM),21010,1873
Apuí(AM),21973,1313
Atalaia do Norte(AM),19921,2742
Autazes(AM),39565,2833
Barcelos(AM),27502,4219
Barreirinha(AM),32041,2354
Benjamin Constant(AM),42984,2686
Beruri(AM),19679,2179
Boa Vista do Ramos(AM),19207,906
Boca do Acre(AM),34308,2545
Borba(AM),41161,2052
Caapiranga(AM),13081,597
Canutama(AM),15629,1312
Carauari(AM),28294,6603
Careiro(AM),37869,4252
Careiro da Várzea(AM),30225,977
Coari(AM),85097,9328
Codajás(AM),28637,2376
Eirunepé(AM),35273,4139
Envira(AM),20033,2512
Fonte Boa(AM),17609,1594
Guajará(AM),16678,1659
Humaitá(AM),55080,7689
Ipixuna(AM),29689,4793
Iranduba(AM),48296,8647
Itacoatiara(AM),101337,8827
Itamarati(AM),7851,950
Itapiranga(AM),9148,3041
Japurá(AM),2755,842
Juruá(AM),14712,933
Jutaí(AM),14317,2263
Lábrea(AM),46069,6773
Manacapuru(AM),97377,8639
Manaquiri(AM),32105,1449
Manaus(AM),2182763,177061
Manicoré(AM),55751,4572
Maraã(AM),18224,2200
Maués(AM),63905,4690
Nhamundá(AM),21173,1828
Nova Olinda do Norte(AM),37378,2613
Novo Airão(AM),19454,2251
Novo Aripuanã(AM),25644,1927
Parintins(AM),114273,9869
Pauini(AM),19426,2757
Presidente Figueiredo(AM),36279,5975
Rio Preto da Eva(AM),33347,4402
Santa Isabel do Rio Negro(AM),25156,2731
Santo Antônio do Içá(AM),21602,1830
Silves(AM),9171,1367
São Gabriel da Cachoeira(AM),45564,8089
São Paulo de Olivença(AM),39299,5228
São Sebastião do Uatumã(AM),14020,1485
Tabatinga(AM),65844,3290
Tapauá(AM),17156,1783
Tefé(AM),59849,9295
Tonantins(AM),18755,1297
Uarini(AM),13540,1889
Urucará(AM),16256,2393
Urucurituba(AM),23065,2484
Brasília(DF),3015268,355847
Anadia(AL),17545,1181
Arapiraca(AL),231747,24094
Atalaia(AL),47185,1088
Barra de Santo Antônio(AL),15932,369
Barra de São Miguel(AL),8322,466
Batalha(AL),18232,1000
Belo Monte(AL),6704,280
Belém(AL),4344,110
Boca da Mata(AL),27281,1674
Branquinha(AL),10494,476
Cacimbinhas(AL),10858,638
Cajueiro(AL),21264,528
Campestre(AL),6936,244
Campo Alegre(AL),57063,2572
Campo Grande(AL),9558,448
Canapi(AL),17722,308
Capela(AL),17053,842
Carneiros(AL),9081,203
Chã Preta(AL),7311,264
Coité do Nóia(AL),10693,387
Colônia Leopoldina(AL),21698,326
Coqueiro Seco(AL),5845,428
Coruripe(AL),56933,3613
Craíbas(AL),24219,1095
Delmiro Gouveia(AL),52016,3082
Dois Riachos(AL),11075,547
Estrela de Alagoas(AL),18205,350
Feira Grande(AL),22166,697
Feliz Deserto(AL),4754,129
Flexeiras(AL),12790,618
Girau do Ponciano(AL),40917,1698
Ibateguara(AL),15616,557
Igaci(AL),25631,836
Igreja Nova(AL),24499,1003
Inhapi(AL),18385,361
Jacaré dos Homens(AL),5253,234
Jacuípe(AL),7021,156
Japaratinga(AL),8361,388
Jaramataia(AL),5770,97
Jequiá da Praia(AL),11580,545
Joaquim Gomes(AL),23993,707
Jundiá(AL),4155,148
Junqueiro(AL),24727,984
Lagoa da Canoa(AL),17852,940
Limoeiro de Anadia(AL),28635,1006
Maceió(AL),1018948,75419
Major Isidoro(AL),19804,670
Mar Vermelho(AL),3514,125
Maragogi(AL),32704,1349
Maravilha(AL),9163,254
Marechal Deodoro(AL),51901,5668
Maribondo(AL),13264,433
Mata Grande(AL),25216,401
Matriz de Camaragibe(AL),24642,1354
Messias(AL),17856,1005
Minador do Negrão(AL),5329,136
Monteirópolis(AL),7159,196
Murici(AL),28236,980
Novo Lino(AL),12690,182
Olho d'Água Grande(AL),5123,179
Olho d'Água das Flores(AL),21688,1395
Olho d'Água do Casado(AL),9373,101
Olivença(AL),11624,434
Ouro Branco(AL),11496,331
Palestina(AL),5011,406
Palmeira dos Índios(AL),73218,4012
Pariconha(AL),10533,518
Paripueira(AL),13176,326
Passo de Camaragibe(AL),15245,622
Paulo Jacinto(AL),7564,274
Penedo(AL),63683,3329
Piaçabuçu(AL),17827,728
Pilar(AL),35111,3020
Pindoba(AL),2908,99
Piranhas(AL),25039,847
Porto Calvo(AL),27165,1108
Porto Real do Colégio(AL),20066,566
Porto de Pedras(AL),7786,345
Poço das Trincheiras(AL),14386,393
Pão de Açúcar(AL),24399,1096
Quebrangulo(AL),11294,784
Rio Largo(AL),75120,3166
Roteiro(AL),6664,317
Santa Luzia do Norte(AL),7296,434
Santana do Ipanema(AL),47654,4155
Santana do Mundaú(AL),10740,696
Satuba(AL),13828,991
Senador Rui Palmeira(AL),13870,291
São Brás(AL),6961,321
São José da Laje(AL),23927,1026
São José da Tapera(AL),32260,1197
