#city,population,cases
Amapá(AP),9109,1175
Calçoene(AP),11117,1578
Cutias(AP),5983,833
Ferreira Gomes(AP),7780,1266
Itaubal(AP),5503,424
Laranjal do Jari(AP),50410,7755
Macapá(AP),503327,43846
Mazagão(AP),21632,2589
Oiapoque(AP),27270,4895
Pedra Branca do Amapari(AP),16502,3164
Porto Grande(AP),21971,1673
Pracuúba(AP),5120,374
Santana(AP),121364,21508
Serra do Navio(AP),5397,1008
Tartarugalzinho(AP),17315,1815
Vitória do Jari(AP),15931,3639
Acrelândia(AC),15256,1319
Assis Brasil(AC),7417,1322
Brasiléia(AC),26278,2107
Bujari(AC),10266,951
Capixaba(AC),11733,438
Cruzeiro do Sul(AC),88376,6889
Epitaciolândia(AC),18411,1125
Feijó(AC),34780,2382
Jordão(AC),8317,344
Manoel Urbano(AC),9459,834
Marechal Thaumaturgo(AC),18867,1013
Mâncio Lima(AC),18977,1780
Plácido de Castro(AC),19761,1312
Porto Acre(AC),18504,1130
Porto Walter(AC),11982,443
Rio Branco(AC),407319,31834
Rodrigues Alves(AC),18930,592
Santa Rosa do Purus(AC),6540,618
Sena Madureira(AC),45848,4682
Senador Guiomard(AC),23024,965
Tarauacá(AC),42567,4929
Xapuri(AC),19323,2648
Alvarães(AM),16041,2619
Amaturá(AM),11536,2018
Anamã(AM),13614,1583
Anori(AM),21010,1811
Apuí(AM),21973,1061
Atalaia do Norte(AM),19921,2552
Autazes(AM),39565,2608
Barcelos(AM),27502,4018
Barreirinha(AM),32041,2218
Benjamin Constant(AM),42984,2573
Beruri(AM),19679,1985
Boa Vista do Ramos(AM),19207,819
Boca do Acre(AM),34308,2376
Borba(AM),41161,1565
Caapiranga(AM),13081,542
Canutama(AM),15629,1138
Carauari(AM),28294,6052
Careiro(AM),37869,4155
Careiro da Várzea(AM),30225,885
Coari(AM),85097,9202
Codajás(AM),28637,1860
Eirunepé(AM),35273,3968
Envira(AM),20033,1839
Fonte Boa(AM),17609,1374
Guajará(AM),16678,1435
Humaitá(AM),55080,6977
Ipixuna(AM),29689,4231
Iranduba(AM),48296,8355
Itacoatiara(AM),101337,7260
Itamarati(AM),7851,819
Itapiranga(AM),9148,2895
Japurá(AM),2755,776
Juruá(AM),14712,887
Jutaí(AM),14317,1610
Lábrea(AM),46069,5795
Manacapuru(AM),97377,7527
Manaquiri(AM),32105,1364
Manaus(AM),2182763,159948
Manicoré(AM),55751,3494
Maraã(AM),18224,1832
Maués(AM),63905,3821
Nhamundá(AM),21173,1677
Nova Olinda do Norte(AM),37378,2429
Novo Airão(AM),19454,2205
Novo Aripuanã(AM),25644,1747
Parintins(AM),114273,9175
Pauini(AM),19426,2577
Presidente Figueiredo(AM),36279,5608
Rio Preto da Eva(AM),33347,4294
Santa Isabel do Rio Negro(AM),25156,2686
Santo Antônio do Içá(AM),21602,1732
Silves(AM),9171,1286
São Gabriel da Cachoeira(AM),45564,7842
São Paulo de Olivença(AM),39299,4504
São Sebastião do Uatumã(AM),14020,1402
Tabatinga(AM),65844,3197
Tapauá(AM),17156,1692
Tefé(AM),59849,8087
Tonantins(AM),18755,1213
Uarini(AM),13540,1699
Urucará(AM),16256,1953
Urucurituba(AM),23065,2271
Brasília(DF),3015268,301906
Anadia(AL),17545,938
Arapiraca(AL),231747,19200
Atalaia(AL),47185,864
Barra de Santo Antônio(AL),15932,186
Barra de São Miguel(AL),8322,265
Batalha(AL),18232,804
Belo Monte(AL),6704,228
Belém(AL),4344,86
Boca da Mata(AL),27281,1461
Branquinha(AL),10494,371
Cacimbinhas(AL),10858,439
Cajueiro(AL),21264,460
Campestre(AL),6936,218
Campo Alegre(AL),57063,2303
Campo Grande(AL),9558,335
Canapi(AL),17722,115
Capela(AL),17053,653
Carneiros(AL),9081,168
Chã Preta(AL),7311,155
Coité do Nóia(AL),10693,315
Colônia Leopoldina(AL),21698,293
Coqueiro Seco(AL),5845,356
Coruripe(AL),56933,2879
Craíbas(AL),24219,936
Delmiro Gouveia(AL),52016,2394
Dois Riachos(AL),11075,460
Estrela de Alagoas(AL),18205,275
Feira Grande(AL),22166,566
Feliz Deserto(AL),4754,115
Flexeiras(AL),12790,419
Girau do Ponciano(AL),40917,1532
Ibateguara(AL),15616,503
Igaci(AL),25631,456
Igreja Nova(AL),24499,755
Inhapi(AL),18385,231
Jacaré dos Homens(AL),5253,185
Jacuípe(AL),7021,114
Japaratinga(AL),8361,284
Jaramataia(AL),5770,74
Jequiá da Praia(AL),11580,459
Joaquim Gomes(AL),23993,694
Jundiá(AL),4155,112
Junqueiro(AL),24727,780
Lagoa da Canoa(AL),17852,641
Limoeiro de Anadia(AL),28635,749
Maceió(AL),1018948,60448
Major Isidoro(AL),19804,566
Mar Vermelho(AL),3514,70
Maragogi(AL),32704,1068
Maravilha(AL),9163,157
Marechal Deodoro(AL),51901,4394
Maribondo(AL),13264,395
Mata Grande(AL),25216,313
Matriz de Camaragibe(AL),24642,1198
Messias(AL),17856,788
Minador do Negrão(AL),5329,111
