#city,population,cases
Amapá(AP),9109,775
Calçoene(AP),11117,1182
Cutias(AP),5983,620
Ferreira Gomes(AP),7780,586
Itaubal(AP),5503,321
Laranjal do Jari(AP),50410,4765
Macapá(AP),503327,19661
Mazagão(AP),21632,1550
Oiapoque(AP),27270,2897
Pedra Branca do Amapari(AP),16502,2758
Porto Grande(AP),21971,1224
Pracuúba(AP),5120,351
Santana(AP),121364,9776
Serra do Navio(AP),5397,691
Tartarugalzinho(AP),17315,1376
Vitória do Jari(AP),15931,2894
Acrelândia(AC),15256,490
Assis Brasil(AC),7417,709
Brasiléia(AC),26278,1182
Bujari(AC),10266,404
Capixaba(AC),11733,256
Cruzeiro do Sul(AC),88376,3638
Epitaciolândia(AC),18411,525
Feijó(AC),34780,1301
Jordão(AC),8317,210
Manoel Urbano(AC),9459,334
Marechal Thaumaturgo(AC),18867,635
Mâncio Lima(AC),18977,1163
Plácido de Castro(AC),19761,421
Porto Acre(AC),18504,522
Porto Walter(AC),11982,320
Rio Branco(AC),407319,11336
Rodrigues Alves(AC),18930,189
Santa Rosa do Purus(AC),6540,367
Sena Madureira(AC),45848,1752
Senador Guiomard(AC),23024,535
Tarauacá(AC),42567,2635
Xapuri(AC),19323,1456
Alvarães(AM),16041,1273
Amaturá(AM),11536,949
Anamã(AM),13614,801
Anori(AM),21010,929
Apuí(AM),21973,264
Atalaia do Norte(AM),19921,1295
Autazes(AM),39565,1383
Barcelos(AM),27502,2769
Barreirinha(AM),32041,1233
Benjamin Constant(AM),42984,1637
Beruri(AM),19679,994
Boa Vista do Ramos(AM),19207,421
Boca do Acre(AM),34308,1355
Borba(AM),41161,750
Caapiranga(AM),13081,359
Canutama(AM),15629,502
Carauari(AM),28294,3010
Careiro(AM),37869,1868
Careiro da Várzea(AM),30225,242
Coari(AM),85097,7356
Codajás(AM),28637,279
Eirunepé(AM),35273,2533
Envira(AM),20033,870
Fonte Boa(AM),17609,909
Guajará(AM),16678,946
Humaitá(AM),55080,3625
Ipixuna(AM),29689,2111
Iranduba(AM),48296,2308
Itacoatiara(AM),101337,2403
Itamarati(AM),7851,583
Itapiranga(AM),9148,1079
Japurá(AM),2755,472
Juruá(AM),14712,564
Jutaí(AM),14317,410
Lábrea(AM),46069,2955
Manacapuru(AM),97377,4197
Manaquiri(AM),32105,561
Manaus(AM),2182763,61912
Manicoré(AM),55751,1520
Maraã(AM),18224,561
Maués(AM),63905,2020
Nhamundá(AM),21173,916
Nova Olinda do Norte(AM),37378,1096
Novo Airão(AM),19454,529
Novo Aripuanã(AM),25644,820
Parintins(AM),114273,6154
Pauini(AM),19426,1414
Presidente Figueiredo(AM),36279,2398
Rio Preto da Eva(AM),33347,1579
Santa Isabel do Rio Negro(AM),25156,2261
Santo Antônio do Içá(AM),21602,1313
Silves(AM),9171,515
São Gabriel da Cachoeira(AM),45564,4484
São Paulo de Olivença(AM),39299,2018
São Sebastião do Uatumã(AM),14020,655
Tabatinga(AM),65844,1922
Tapauá(AM),17156,1041
Tefé(AM),59849,3982
