cities,population,cases
Amapá(AP),9109,1243
Calçoene(AP),11117,1595
Cutias(AP),5983,865
Ferreira Gomes(AP),7780,1387
Itaubal(AP),5503,480
Laranjal do Jari(AP),50410,8238
Macapá(AP),503327,50937
Mazagão(AP),21632,2810
Oiapoque(AP),27270,4985
Pedra Branca do Amapari(AP),16502,3219
Porto Grande(AP),21971,1711
Pracuúba(AP),5120,379
Santana(AP),121364,23249
Serra do Navio(AP),5397,1093
Tartarugalzinho(AP),17315,1882
Vitória do Jari(AP),15931,3826
Acrelândia(AC),15256,1523
Assis Brasil(AC),7417,1540
Brasiléia(AC),26278,2550
Bujari(AC),10266,1094
Capixaba(AC),11733,596
Cruzeiro do Sul(AC),88376,7307
Epitaciolândia(AC),18411,1283
Feijó(AC),34780,2873
Jordão(AC),8317,387
Manoel Urbano(AC),9459,889
Marechal Thaumaturgo(AC),18867,1152
Mâncio Lima(AC),18977,1905
Plácido de Castro(AC),19761,1497
Porto Acre(AC),18504,1342
Porto Walter(AC),11982,526
Rio Branco(AC),407319,35532
Rodrigues Alves(AC),18930,752
Santa Rosa do Purus(AC),6540,880
Sena Madureira(AC),45848,5576
Senador Guiomard(AC),23024,1107
Tarauacá(AC),42567,6292
Xapuri(AC),19323,2873
Alvarães(AM),16041,2726
Amaturá(AM),11536,2330
Anamã(AM),13614,1722
Anori(AM),21010,1845
Apuí(AM),21973,1229
Atalaia do Norte(AM),19921,2703
Autazes(AM),39565,2768
Barcelos(AM),27502,4089
Barreirinha(AM),32041,2317
Benjamin Constant(AM),42984,2673
Beruri(AM),19679,2097
Boa Vista do Ramos(AM),19207,862
Boca do Acre(AM),34308,2487
Borba(AM),41161,1856
Caapiranga(AM),13081,563
Canutama(AM),15629,1289
Carauari(AM),28294,6522
Careiro(AM),37869,4241
Careiro da Várzea(AM),30225,931
Coari(AM),85097,9313
Codajás(AM),28637,2335
Eirunepé(AM),35273,4107
Envira(AM),20033,2397
Fonte Boa(AM),17609,1569
Guajará(AM),16678,1616
Humaitá(AM),55080,7446
Ipixuna(AM),29689,4486
Iranduba(AM),48296,8593
Itacoatiara(AM),101337,8637
Itamarati(AM),7851,911
Itapiranga(AM),9148,2981
Japurá(AM),2755,798
Juruá(AM),14712,905
Jutaí(AM),14317,2082
Lábrea(AM),46069,6563
Manacapuru(AM),97377,7933
Manaquiri(AM),32105,1381
Manaus(AM),2182763,171967
Manicoré(AM),55751,4410
Maraã(AM),18224,2020
Maués(AM),63905,4428
Nhamundá(AM),21173,1808
Nova Olinda do Norte(AM),37378,2594
Novo Airão(AM),19454,2248
Novo Aripuanã(AM),25644,1894
Parintins(AM),114273,9735
Pauini(AM),19426,2740
Presidente Figueiredo(AM),36279,5831
Rio Preto da Eva(AM),33347,4365
Santa Isabel do Rio Negro(AM),25156,2707
Santo Antônio do Içá(AM),21602,1813
Silves(AM),9171,1356
São Gabriel da Cachoeira(AM),45564,8073
São Paulo de Olivença(AM),39299,5135
São Sebastião do Uatumã(AM),14020,1471
Tabatinga(AM),65844,3282
Tapauá(AM),17156,1758
Tefé(AM),59849,8892
Tonantins(AM),18755,1272
Uarini(AM),13540,1816
Urucará(AM),16256,2327
Urucurituba(AM),23065,2358
Brasília(DF),3015268,340841
Anadia(AL),17545,1108
Arapiraca(AL),231747,22419
Atalaia(AL),47185,1063
Barra de Santo Antônio(AL),15932,299
Barra de São Miguel(AL),8322,417
Batalha(AL),18232,931
Belo Monte(AL),6704,258
Belém(AL),4344,103
Boca da Mata(AL),27281,1622
Branquinha(AL),10494,460
Cacimbinhas(AL),10858,593
Cajueiro(AL),21264,508
Campestre(AL),6936,238
Campo Alegre(AL),57063,2495
Campo Grande(AL),9558,426
Canapi(AL),17722,242
Capela(AL),17053,732
Carneiros(AL),9081,192
Chã Preta(AL),7311,237
Coité do Nóia(AL),10693,359
Colônia Leopoldina(AL),21698,314
Coqueiro Seco(AL),5845,407
Coruripe(AL),56933,3364
Craíbas(AL),24219,1022
Delmiro Gouveia(AL),52016,2813
Dois Riachos(AL),11075,504
Estrela de Alagoas(AL),18205,315
Feira Grande(AL),22166,657
Feliz Deserto(AL),4754,125
Flexeiras(AL),12790,590
Girau do Ponciano(AL),40917,1666
Ibateguara(AL),15616,522
Igaci(AL),25631,635
Igreja Nova(AL),24499,883
Inhapi(AL),18385,331
Jacaré dos Homens(AL),5253,218
Jacuípe(AL),7021,145
Japaratinga(AL),8361,374
Jaramataia(AL),5770,91
Jequiá da Praia(AL),11580,523
Joaquim Gomes(AL),23993,706
Jundiá(AL),4155,144
Junqueiro(AL),24727,921
Lagoa da Canoa(AL),17852,851
Limoeiro de Anadia(AL),28635,940
Maceió(AL),1018948,71158
Major Isidoro(AL),19804,614
Mar Vermelho(AL),3514,120
Maragogi(AL),32704,1318
Maravilha(AL),9163,233
Marechal Deodoro(AL),51901,5263
Maribondo(AL),13264,426
Mata Grande(AL),25216,372
Matriz de Camaragibe(AL),24642,1324
Messias(AL),17856,925
Minador do Negrão(AL),5329,131
Monteirópolis(AL),7159,186
Murici(AL),28236,930
Novo Lino(AL),12690,165
Olho d'Água Grande(AL),5123,176
Olho d'Água das Flores(AL),21688,1352
Olho d'Água do Casado(AL),9373,97
Olivença(AL),11624,422
Ouro Branco(AL),11496,278
Palestina(AL),5011,397
Palmeira dos Índios(AL),73218,3665
Pariconha(AL),10533,492
Paripueira(AL),13176,288
Passo de Camaragibe(AL),15245,507
Paulo Jacinto(AL),7564,261
Penedo(AL),63683,3103
Piaçabuçu(AL),17827,681
Pilar(AL),35111,2688
Pindoba(AL),2908,86
Piranhas(AL),25039,817
Porto Calvo(AL),27165,1064
Porto Real do Colégio(AL),20066,526
Porto de Pedras(AL),7786,319
Poço das Trincheiras(AL),14386,390
Pão de Açúcar(AL),24399,1058
Quebrangulo(AL),11294,728
Rio Largo(AL),75120,2757
Roteiro(AL),6664,298
Santa Luzia do Norte(AL),7296,422
Santana do Ipanema(AL),47654,3984
Santana do Mundaú(AL),10740,662
Satuba(AL),13828,870
Senador Rui Palmeira(AL),13870,286
São Brás(AL),6961,310
São José da Laje(AL),23927,1005
São José da Tapera(AL),32260,1174
São Luís do Quitunde(AL),34555,1085
São Miguel dos Campos(AL),61251,3221
São Miguel dos Milagres(AL),7951,211
São Sebastião(AL),34152,1389
Tanque d'Arca(AL),6162,296
Taquarana(AL),19980,542
Teotônio Vilela(AL),44169,1702
Traipu(AL),27715,414
União dos Palmares(AL),65611,1764
Viçosa(AL),25733,1402
