cities,population,cases
Amapá(AP),9109,1088
Calçoene(AP),11117,1533
Cutias(AP),5983,813
Ferreira Gomes(AP),7780,1159
Itaubal(AP),5503,362
Laranjal do Jari(AP),50410,6484
Macapá(AP),503327,36464
Mazagão(AP),21632,2330
Oiapoque(AP),27270,4465
Pedra Branca do Amapari(AP),16502,3059
Porto Grande(AP),21971,1646
Pracuúba(AP),5120,355
Santana(AP),121364,18227
Serra do Navio(AP),5397,931
Tartarugalzinho(AP),17315,1719
Vitória do Jari(AP),15931,3250
Acrelândia(AC),15256,879
Assis Brasil(AC),7417,1154
Brasiléia(AC),26278,1858
Bujari(AC),10266,630
Capixaba(AC),11733,364
Cruzeiro do Sul(AC),88376,5763
Epitaciolândia(AC),18411,1015
Feijó(AC),34780,1981
Jordão(AC),8317,316
Manoel Urbano(AC),9459,594
Marechal Thaumaturgo(AC),18867,808
Mâncio Lima(AC),18977,1766
Plácido de Castro(AC),19761,1102
Porto Acre(AC),18504,846
Porto Walter(AC),11982,391
Rio Branco(AC),407319,26274
Rodrigues Alves(AC),18930,472
Santa Rosa do Purus(AC),6540,468
Sena Madureira(AC),45848,3629
Senador Guiomard(AC),23024,839
Tarauacá(AC),42567,4258
Xapuri(AC),19323,2487
Alvarães(AM),16041,2329
Amaturá(AM),11536,1620
Anamã(AM),13614,1512
Anori(AM),21010,1740
Apuí(AM),21973,872
Atalaia do Norte(AM),19921,2379
Autazes(AM),39565,2450
Barcelos(AM),27502,3904
Barreirinha(AM),32041,2001
Benjamin Constant(AM),42984,2312
Beruri(AM),19679,1895
Boa Vista do Ramos(AM),19207,793
Boca do Acre(AM),34308,2271
Borba(AM),41161,1391
Caapiranga(AM),13081,537
Canutama(AM),15629,997
Carauari(AM),28294,5358
Careiro(AM),37869,4048
Careiro da Várzea(AM),30225,788
Coari(AM),85097,8991
Codajás(AM),28637,1188
Eirunepé(AM),35273,3397
Envira(AM),20033,1363
Fonte Boa(AM),17609,1295
Guajará(AM),16678,1204
Humaitá(AM),55080,6382
Ipixuna(AM),29689,3699
Iranduba(AM),48296,7336
Itacoatiara(AM),101337,6057
Itamarati(AM),7851,696
Itapiranga(AM),9148,2694
Japurá(AM),2755,759
Juruá(AM),14712,813
Jutaí(AM),14317,1189
Lábrea(AM),46069,5077
Manacapuru(AM),97377,7092
Manaquiri(AM),32105,1498
Manaus(AM),2182763,146632
Manicoré(AM),55751,2421
Maraã(AM),18224,1805
Maués(AM),63905,3325
Nhamundá(AM),21173,1474
Nova Olinda do Norte(AM),37378,2221
Novo Airão(AM),19454,1888
Novo Aripuanã(AM),25644,1310
Parintins(AM),114273,8463
Pauini(AM),19426,2382
Presidente Figueiredo(AM),36279,5319
Rio Preto da Eva(AM),33347,3998
Santa Isabel do Rio Negro(AM),25156,2647
Santo Antônio do Içá(AM),21602,1526
Silves(AM),9171,1195
São Gabriel da Cachoeira(AM),45564,7041
São Paulo de Olivença(AM),39299,3460
São Sebastião do Uatumã(AM),14020,1306
Tabatinga(AM),65844,3008
Tapauá(AM),17156,1661
Tefé(AM),59849,7078
Tonantins(AM),18755,1081
Uarini(AM),13540,1560
Urucará(AM),16256,1780
Urucurituba(AM),23065,2160
Brasília(DF),3015268,261879
Anadia(AL),17545,781
Arapiraca(AL),231747,16594
Atalaia(AL),47185,734
Barra de Santo Antônio(AL),15932,160
Barra de São Miguel(AL),8322,229
Batalha(AL),18232,728
Belo Monte(AL),6704,212
Belém(AL),4344,76
Boca da Mata(AL),27281,1391
Branquinha(AL),10494,317
Cacimbinhas(AL),10858,397
Cajueiro(AL),21264,413
Campestre(AL),6936,126
Campo Alegre(AL),57063,1986
Campo Grande(AL),9558,264
Canapi(AL),17722,96
Capela(AL),17053,611
Carneiros(AL),9081,126
Chã Preta(AL),7311,59
Coité do Nóia(AL),10693,250
Colônia Leopoldina(AL),21698,270
Coqueiro Seco(AL),5845,347
Coruripe(AL),56933,2571
Craíbas(AL),24219,883
Delmiro Gouveia(AL),52016,2021
Dois Riachos(AL),11075,357
Estrela de Alagoas(AL),18205,247
Feira Grande(AL),22166,527
Feliz Deserto(AL),4754,104
Flexeiras(AL),12790,381
Girau do Ponciano(AL),40917,1423
Ibateguara(AL),15616,493
Igaci(AL),25631,350
Igreja Nova(AL),24499,685
Inhapi(AL),18385,139
Jacaré dos Homens(AL),5253,143
Jacuípe(AL),7021,94
Japaratinga(AL),8361,207
Jaramataia(AL),5770,64
Jequiá da Praia(AL),11580,414
Joaquim Gomes(AL),23993,679
Jundiá(AL),4155,62
Junqueiro(AL),24727,659
Lagoa da Canoa(AL),17852,623
Limoeiro de Anadia(AL),28635,671
Maceió(AL),1018948,51218
Major Isidoro(AL),19804,485
Mar Vermelho(AL),3514,33
Maragogi(AL),32704,878
Maravilha(AL),9163,127
Marechal Deodoro(AL),51901,3744
Maribondo(AL),13264,377
Mata Grande(AL),25216,274
Matriz de Camaragibe(AL),24642,1169
Messias(AL),17856,725
Minador do Negrão(AL),5329,101
Monteirópolis(AL),7159,147
Murici(AL),28236,576
Novo Lino(AL),12690,144
Olho d'Água Grande(AL),5123,150
Olho d'Água das Flores(AL),21688,1208
Olho d'Água do Casado(AL),9373,61
Olivença(AL),11624,253
Ouro Branco(AL),11496,138
Palestina(AL),5011,319
Palmeira dos Índios(AL),73218,2690
Pariconha(AL),10533,380
Paripueira(AL),13176,214
Passo de Camaragibe(AL),15245,420
Paulo Jacinto(AL),7564,211
Penedo(AL),63683,2227
Piaçabuçu(AL),17827,508
Pilar(AL),35111,1890
Pindoba(AL),2908,84
Piranhas(AL),25039,488
Porto Calvo(AL),27165,855
Porto Real do Colégio(AL),20066,450
Porto de Pedras(AL),7786,183
Poço das Trincheiras(AL),14386,220
Pão de Açúcar(AL),24399,1003
Quebrangulo(AL),11294,542
Rio Largo(AL),75120,1904
Roteiro(AL),6664,172
Santa Luzia do Norte(AL),7296,330
Santana do Ipanema(AL),47654,2870
Santana do Mundaú(AL),10740,435
Satuba(AL),13828,695
Senador Rui Palmeira(AL),13870,182
São Brás(AL),6961,283
São José da Laje(AL),23927,810
São José da Tapera(AL),32260,980
São Luís do Quitunde(AL),34555,912
São Miguel dos Campos(AL),61251,2468
São Miguel dos Milagres(AL),7951,148
São Sebastião(AL),34152,962
Tanque d'Arca(AL),6162,178
Taquarana(AL),19980,409
Teotônio Vilela(AL),44169,1420
Traipu(AL),27715,312
União dos Palmares(AL),65611,1316
Viçosa(AL),25733,753
Água Branca(AL),20196,245
Abaiara(CE),11737,236
Acarape(CE),14929,2033
Acaraú(CE),62641,3135
Acopiara(CE),54270,1590
Aiuaba(CE),17399,171
Alcântaras(CE),11714,747
Altaneira(CE),7586,264
Alto Santo(CE),17146,637
Amontada(CE),43452,1215
Antonina do Norte(CE),7353,104
Apuiarés(CE),14600,366
Aquiraz(CE),80271,2267
Aracati(CE),74547,3124
Aracoiaba(CE),26469,1070
Ararendá(CE),10935,479
Araripe(CE),21600,554
Aratuba(CE),11847,324
Arneiroz(CE),7840,97
Assaré(CE),23417,1019
Aurora(CE),24654,990
Baixio(CE),6288,174
Banabuiú(CE),18197,751
Barbalha(CE),60781,2885
Barreira(CE),22425,459
Barro(CE),22680,551
Barroquinha(CE),15017,856
Baturité(CE),35750,1106
Beberibe(CE),53573,1648
Bela Cruz(CE),32591,1769
Boa Viagem(CE),54470,1821
Brejo Santo(CE),49477,3552
Camocim(CE),63661,2877
Campos Sales(CE),27426,1130
Canindé(CE),76997,2516
Capistrano(CE),17738,858
Caridade(CE),22547,498
Caririaçu(CE),26965,899
Cariré(CE),18448,1232
Cariús(CE),18699,877
Carnaubal(CE),17606,829
Cascavel(CE),71743,2417
Catarina(CE),20698,429
Catunda(CE),10342,576
Caucaia(CE),361400,10577
Cedro(CE),25557,1569
Chaval(CE),13069,852
Chorozinho(CE),20264,988
Choró(CE),13521,391
Coreaú(CE),23136,1521
Crateús(CE),75074,7169
Crato(CE),132123,9918
Croatá(CE),18063,498
Cruz(CE),24827,1630
Deputado Irapuan Pinheiro(CE),9625,436
Ereré(CE),7198,528
Eusébio(CE),53618,3821
Farias Brito(CE),19450,1428
Forquilha(CE),24218,847
Fortaleza(CE),2669342,121072
Fortim(CE),16480,479
Frecheirinha(CE),14072,1784
General Sampaio(CE),7618,269
Granja(CE),54748,1411
Granjeiro(CE),4844,246
Graça(CE),14399,652
Groaíras(CE),11068,950
Guaiúba(CE),26064,466
Guaraciaba do Norte(CE),40642,1251
Guaramiranga(CE),5193,256
