"GCT-PEPANNCHG-Geography-United States: Estimates of Resident Population Change and Rankings: July 1, 2013 to July 1, 2014 - United States -- Metropolitan Statistical Area; and for Puerto Rico",,,,,,,,,,,,
2014 Population Estimates ,,,,,,,,,,,,
Geography,,,Population Estimate (as of July 1),,,,"Change, 2013 to 2014",,Rankings,,,
,,,2013,,,2014,Number,Percent [1],Population Estimate (as of July 1),,"Change, 2013 to 2014",
,,,,,,,,,2013,2014,Number,Percent
"      Brownsville-Harlingen, TX Metro Area",,,"418,217",,,"420,392","2,175",0.5,125,125,152,196
"      Brunswick, GA Metro Area",,,"114,012",,,"114,806",794,0.7,333,333,223,159
"      Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",,,"1,136,153",,,"1,136,360",207,0.0,50,50,277,294
"      Burlington, NC Metro Area",,,"154,685",,,"155,792","1,107",0.7,262,259,203,152
"      Burlington-South Burlington, VT Metro Area",,,"215,072",,,"216,167","1,095",0.5,202,202,204,200
"      California-Lexington Park, MD Metro Area",,,"109,484",,,"110,382",898,0.8,338,339,216,138
"      Canton-Massillon, OH Metro Area",,,"403,493",,,"403,923",430,0.1,131,133,253,275
"      Cape Coral-Fort Myers, FL Metro Area",,,"661,336",,,"679,513","18,177",2.7,81,80,29,6
"      Cape Girardeau, MO-IL Metro Area",,,"97,617",,,"97,929",312,0.3,356,357,268,236
"      Carbondale-Marion, IL Metro Area",,,"127,069",,,"126,685",-384,-0.3,309,311,326,338
"      Carson City, NV Metro Area",,,"54,061",,,"54,522",461,0.9,381,381,251,134
