"Gross domestic product (GDP) by metropolitan area (millions of current dollars)"
"Levels" 
"Bureau of Economic Analysis" 
"All industry total"
"18140","Columbus, OH (Metropolitan Statistical Area)",108757
"18580","Corpus Christi, TX (Metropolitan Statistical Area)",22533
"18700","Corvallis, OR (Metropolitan Statistical Area)",5195
"18880","Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)",12029
"19060","Cumberland, MD-WV (Metropolitan Statistical Area)",2866
"19100","Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",432356
"19140","Dalton, GA (Metropolitan Statistical Area)",5399
"19180","Danville, IL (Metropolitan Statistical Area)",2703
"19300","Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",5922
"19340","Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",18864
"19380","Dayton, OH (Metropolitan Statistical Area)",37211
"19460","Decatur, AL (Metropolitan Statistical Area)",5385
"19500","Decatur, IL (Metropolitan Statistical Area)",5808
"19660","Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",13589
"19740","Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)",168747
"19780","Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",40831
"19820","Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",218227
"20020","Dothan, AL (Metropolitan Statistical Area)",4701
"20100","Dover, DE (Metropolitan Statistical Area)",6293
"20220","Dubuque, IA (Metropolitan Statistical Area)",4868
"20260","Duluth, MN-WI (Metropolitan Statistical Area)",11223
"20500","Durham-Chapel Hill, NC (Metropolitan Statistical Area)",41366
"20700","East Stroudsburg, PA (Metropolitan Statistical Area)",5454
"20740","Eau Claire, WI (Metropolitan Statistical Area)",6908
"20940","El Centro, CA (Metropolitan Statistical Area)",5311
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",5679
"21140","Elkhart-Goshen, IN (Metropolitan Statistical Area)",11447
"21300","Elmira, NY (Metropolitan Statistical Area)",3219
"21340","El Paso, TX (Metropolitan Statistical Area)",27108
"21500","Erie, PA (Metropolitan Statistical Area)",10280
"21660","Eugene, OR (Metropolitan Statistical Area)",12606
"21780","Evansville, IN-KY (Metropolitan Statistical Area)",16975
"21820","Fairbanks, AK (Metropolitan Statistical Area)",5726
"22020","Fargo, ND-MN (Metropolitan Statistical Area)",13697
"22140","Farmington, NM (Metropolitan Statistical Area)",6220
"22180","Fayetteville, NC (Metropolitan Statistical Area)",17342
"22220","Fayetteville-Springdale-Rogers, AR-MO (Metropolitan Statistical Area)",22210
"22380","Flagstaff, AZ (Metropolitan Statistical Area)",5030
"22420","Flint, MI (Metropolitan Statistical Area)",12201
"22500","Florence, SC (Metropolitan Statistical Area)",7495
"22520","Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",4391
"22540","Fond du Lac, WI (Metropolitan Statistical Area)",4067
"22660","Fort Collins, CO (Metropolitan Statistical Area)",12634
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)",10107
"23060","Fort Wayne, IN (Metropolitan Statistical Area)",19168
"23420","Fresno, CA (Metropolitan Statistical Area)",34729
"23460","Gadsden, AL (Metropolitan Statistical Area)",2731
"23540","Gainesville, FL (Metropolitan Statistical Area)",10830
"23580","Gainesville, GA (Metropolitan Statistical Area)",7155
"23900","Gettysburg, PA (Metropolitan Statistical Area)",2697
"24020","Glens Falls, NY (Metropolitan Statistical Area)",4356
"24140","Goldsboro, NC (Metropolitan Statistical Area)",4150
"24220","Grand Forks, ND-MN (Metropolitan Statistical Area)",4523
"24260","Grand Island, NE (Metropolitan Statistical Area)",3892
"24300","Grand Junction, CO (Metropolitan Statistical Area)",5130
"24340","Grand Rapids-Wyoming, MI (Metropolitan Statistical Area)",45401
"24420","Grants Pass, OR (Metropolitan Statistical Area)",1842
"24500","Great Falls, MT (Metropolitan Statistical Area)",3208
"24540","Greeley, CO (Metropolitan Statistical Area)",8393
"24580","Green Bay, WI (Metropolitan Statistical Area)",16356
"24660","Greensboro-High Point, NC (Metropolitan Statistical Area)",36814
"24780","Greenville, NC (Metropolitan Statistical Area)",7115
