#city,population,cases
Amapá(AP),9109,878
Calçoene(AP),11117,1330
Cutias(AP),5983,656
Ferreira Gomes(AP),7780,759
Itaubal(AP),5503,330
Laranjal do Jari(AP),50410,5091
Macapá(AP),503327,24717
Mazagão(AP),21632,1733
Oiapoque(AP),27270,3145
Pedra Branca do Amapari(AP),16502,2882
Porto Grande(AP),21971,1414
Pracuúba(AP),5120,351
Santana(AP),121364,12619
Serra do Navio(AP),5397,707
Tartarugalzinho(AP),17315,1531
Vitória do Jari(AP),15931,3034
Acrelândia(AC),15256,517
Assis Brasil(AC),7417,733
Brasiléia(AC),26278,1227
Bujari(AC),10266,456
Capixaba(AC),11733,291
Cruzeiro do Sul(AC),88376,3903
Epitaciolândia(AC),18411,560
Feijó(AC),34780,1460
Jordão(AC),8317,238
Manoel Urbano(AC),9459,438
Marechal Thaumaturgo(AC),18867,689
Mâncio Lima(AC),18977,1315
Plácido de Castro(AC),19761,486
Porto Acre(AC),18504,582
Porto Walter(AC),11982,326
Rio Branco(AC),407319,16293
Rodrigues Alves(AC),18930,224
Santa Rosa do Purus(AC),6540,372
Sena Madureira(AC),45848,2120
Senador Guiomard(AC),23024,599
Tarauacá(AC),42567,2819
Xapuri(AC),19323,1673
Alvarães(AM),16041,1390
Amaturá(AM),11536,1032
Anamã(AM),13614,1051
Anori(AM),21010,1214
Apuí(AM),21973,340
Atalaia do Norte(AM),19921,1511
Autazes(AM),39565,1542
Barcelos(AM),27502,2841
Barreirinha(AM),32041,1414
Benjamin Constant(AM),42984,1744
Beruri(AM),19679,1060
Boa Vista do Ramos(AM),19207,533
Boca do Acre(AM),34308,1773
Borba(AM),41161,817
Caapiranga(AM),13081,377
Canutama(AM),15629,762
Carauari(AM),28294,3640
Careiro(AM),37869,2118
Careiro da Várzea(AM),30225,394
Coari(AM),85097,8086
Codajás(AM),28637,334
Eirunepé(AM),35273,2618
Envira(AM),20033,965
Fonte Boa(AM),17609,1045
Guajará(AM),16678,969
Humaitá(AM),55080,4256
Ipixuna(AM),29689,2531
Iranduba(AM),48296,2911
Itacoatiara(AM),101337,2723
Itamarati(AM),7851,608
Itapiranga(AM),9148,1372
Japurá(AM),2755,568
Juruá(AM),14712,576
Jutaí(AM),14317,503
Lábrea(AM),46069,3371
Manacapuru(AM),97377,4381
Manaquiri(AM),32105,655
Manaus(AM),2182763,72876
Manicoré(AM),55751,1556
Maraã(AM),18224,851
Maués(AM),63905,2212
Nhamundá(AM),21173,964
Nova Olinda do Norte(AM),37378,1343
Novo Airão(AM),19454,863
Novo Aripuanã(AM),25644,820
Parintins(AM),114273,6822
Pauini(AM),19426,1472
Presidente Figueiredo(AM),36279,3305
Rio Preto da Eva(AM),33347,1828
Santa Isabel do Rio Negro(AM),25156,2345
Santo Antônio do Içá(AM),21602,1337
Silves(AM),9171,737
São Gabriel da Cachoeira(AM),45564,4846
São Paulo de Olivença(AM),39299,2077
São Sebastião do Uatumã(AM),14020,691
Tabatinga(AM),65844,1974
Tapauá(AM),17156,1216
Tefé(AM),59849,4536
Tonantins(AM),18755,653
Uarini(AM),13540,1041
Urucará(AM),16256,929
Urucurituba(AM),23065,1349
Brasília(DF),3015268,204920
Anadia(AL),17545,515
Arapiraca(AL),231747,13129
Atalaia(AL),47185,647
Barra de Santo Antônio(AL),15932,138
Barra de São Miguel(AL),8322,170
Batalha(AL),18232,624
Belo Monte(AL),6704,182
Belém(AL),4344,62
Boca da Mata(AL),27281,1259
Branquinha(AL),10494,273
Cacimbinhas(AL),10858,307
Cajueiro(AL),21264,375
Campestre(AL),6936,96
Campo Alegre(AL),57063,1534
Campo Grande(AL),9558,235
Canapi(AL),17722,68
Capela(AL),17053,547
Carneiros(AL),9081,99
Chã Preta(AL),7311,47
Coité do Nóia(AL),10693,170
Colônia Leopoldina(AL),21698,261
Coqueiro Seco(AL),5845,308
Coruripe(AL),56933,1919
Craíbas(AL),24219,757
Delmiro Gouveia(AL),52016,1107
Dois Riachos(AL),11075,235
Estrela de Alagoas(AL),18205,206
Feira Grande(AL),22166,482
Feliz Deserto(AL),4754,99
Flexeiras(AL),12790,337
Girau do Ponciano(AL),40917,1368
Ibateguara(AL),15616,445
Igaci(AL),25631,265
Igreja Nova(AL),24499,585
Inhapi(AL),18385,76
Jacaré dos Homens(AL),5253,123
Jacuípe(AL),7021,64
Japaratinga(AL),8361,166
Jaramataia(AL),5770,61
Jequiá da Praia(AL),11580,387
Joaquim Gomes(AL),23993,591
Jundiá(AL),4155,48
Junqueiro(AL),24727,583
Lagoa da Canoa(AL),17852,593
Limoeiro de Anadia(AL),28635,553
Maceió(AL),1018948,31837
Major Isidoro(AL),19804,435
Mar Vermelho(AL),3514,26
Maragogi(AL),32704,504
Maravilha(AL),9163,101
Marechal Deodoro(AL),51901,2805
Maribondo(AL),13264,358
Mata Grande(AL),25216,210
Matriz de Camaragibe(AL),24642,1125
Messias(AL),17856,655
Minador do Negrão(AL),5329,92
Monteirópolis(AL),7159,135
Murici(AL),28236,441
Novo Lino(AL),12690,113
Olho d'Água Grande(AL),5123,145
Olho d'Água das Flores(AL),21688,1163
Olho d'Água do Casado(AL),9373,43
Olivença(AL),11624,158
Ouro Branco(AL),11496,96
Palestina(AL),5011,306
Palmeira dos Índios(AL),73218,1988
Pariconha(AL),10533,207
Paripueira(AL),13176,191
Passo de Camaragibe(AL),15245,379
Paulo Jacinto(AL),7564,193
Penedo(AL),63683,1653
Piaçabuçu(AL),17827,373
Pilar(AL),35111,1485
Pindoba(AL),2908,79
Piranhas(AL),25039,295
Porto Calvo(AL),27165,795
Porto Real do Colégio(AL),20066,430
Porto de Pedras(AL),7786,156
Poço das Trincheiras(AL),14386,111
Pão de Açúcar(AL),24399,919
Quebrangulo(AL),11294,410
Rio Largo(AL),75120,1359
Roteiro(AL),6664,157
Santa Luzia do Norte(AL),7296,250
Santana do Ipanema(AL),47654,1912
Santana do Mundaú(AL),10740,290
Satuba(AL),13828,513
Senador Rui Palmeira(AL),13870,124
São Brás(AL),6961,263
São José da Laje(AL),23927,725
São José da Tapera(AL),32260,895
São Luís do Quitunde(AL),34555,869
São Miguel dos Campos(AL),61251,2190
São Miguel dos Milagres(AL),7951,127
São Sebastião(AL),34152,858
Tanque d'Arca(AL),6162,130
Taquarana(AL),19980,268
Teotônio Vilela(AL),44169,1337
Traipu(AL),27715,282
União dos Palmares(AL),65611,1011
Viçosa(AL),25733,449
Água Branca(AL),20196,107
Abaiara(CE),11737,123
