cities,population,cases
Amapá(AP),9109,356
Calçoene(AP),11117,658
Cutias(AP),5983,492
Ferreira Gomes(AP),7780,361
Itaubal(AP),5503,168
Laranjal do Jari(AP),50410,3276
Macapá(AP),503327,13444
Mazagão(AP),21632,933
Oiapoque(AP),27270,1623
Pedra Branca do Amapari(AP),16502,2133
Porto Grande(AP),21971,817
Pracuúba(AP),5120,213
Santana(AP),121364,4359
Serra do Navio(AP),5397,452
Tartarugalzinho(AP),17315,391
Vitória do Jari(AP),15931,1087
Acrelândia(AC),15256,212
Assis Brasil(AC),7417,211
Brasiléia(AC),26278,477
Bujari(AC),10266,260
Capixaba(AC),11733,166
Cruzeiro do Sul(AC),88376,2226
Epitaciolândia(AC),18411,205
Feijó(AC),34780,342
Jordão(AC),8317,41
Manoel Urbano(AC),9459,56
Marechal Thaumaturgo(AC),18867,191
Mâncio Lima(AC),18977,196
Plácido de Castro(AC),19761,322
Porto Acre(AC),18504,301
Porto Walter(AC),11982,87
Rio Branco(AC),407319,7765
Rodrigues Alves(AC),18930,100
Santa Rosa do Purus(AC),6540,170
Sena Madureira(AC),45848,739
Senador Guiomard(AC),23024,277
Tarauacá(AC),42567,836
Xapuri(AC),19323,285
Alvarães(AM),16041,1036
Amaturá(AM),11536,453
Anamã(AM),13614,337
Anori(AM),21010,624
Apuí(AM),21973,62
Atalaia do Norte(AM),19921,606
Autazes(AM),39565,1042
Barcelos(AM),27502,1424
Barreirinha(AM),32041,692
Benjamin Constant(AM),42984,1472
Beruri(AM),19679,462
Boa Vista do Ramos(AM),19207,250
Boca do Acre(AM),34308,688
Borba(AM),41161,562
Caapiranga(AM),13081,164
Canutama(AM),15629,99
Carauari(AM),28294,545
Careiro(AM),37869,985
Careiro da Várzea(AM),30225,111
Coari(AM),85097,6082
Codajás(AM),28637,158
Eirunepé(AM),35273,751
Envira(AM),20033,25
Fonte Boa(AM),17609,617
Guajará(AM),16678,534
Humaitá(AM),55080,1170
Ipixuna(AM),29689,26
Iranduba(AM),48296,1297
Itacoatiara(AM),101337,1727
Itamarati(AM),7851,391
Itapiranga(AM),9148,540
Japurá(AM),2755,297
Juruá(AM),14712,263
Jutaí(AM),14317,273
Lábrea(AM),46069,685
Manacapuru(AM),97377,3212
Manaquiri(AM),32105,338
Manaus(AM),2182763,29836
Manicoré(AM),55751,317
Maraã(AM),18224,226
Maués(AM),63905,1053
Nhamundá(AM),21173,163
Nova Olinda do Norte(AM),37378,601
Novo Airão(AM),19454,235
Novo Aripuanã(AM),25644,447
Parintins(AM),114273,2851
Pauini(AM),19426,528
Presidente Figueiredo(AM),36279,1319
Rio Preto da Eva(AM),33347,675
Santa Isabel do Rio Negro(AM),25156,685
Santo Antônio do Içá(AM),21602,1008
Silves(AM),9171,169
São Gabriel da Cachoeira(AM),45564,2924
São Paulo de Olivença(AM),39299,730
São Sebastião do Uatumã(AM),14020,295
Tabatinga(AM),65844,1520
Tapauá(AM),17156,827
Tefé(AM),59849,2942
Tonantins(AM),18755,510
Uarini(AM),13540,575
Urucará(AM),16256,400
Urucurituba(AM),23065,482
Brasília(DF),3015268,58587
Anadia(AL),17545,267
Arapiraca(AL),231747,3814
Atalaia(AL),47185,445
Barra de Santo Antônio(AL),15932,100
Barra de São Miguel(AL),8322,101
Batalha(AL),18232,211
Belo Monte(AL),6704,15
Belém(AL),4344,34
Boca da Mata(AL),27281,618
Branquinha(AL),10494,85
Cacimbinhas(AL),10858,56
Cajueiro(AL),21264,147
Campestre(AL),6936,43
Campo Alegre(AL),57063,774
Campo Grande(AL),9558,110
Canapi(AL),17722,13
Capela(AL),17053,376
Carneiros(AL),9081,28
Chã Preta(AL),7311,22
Coité do Nóia(AL),10693,83
Colônia Leopoldina(AL),21698,181
Coqueiro Seco(AL),5845,137
Coruripe(AL),56933,810
Craíbas(AL),24219,292
Delmiro Gouveia(AL),52016,319
Dois Riachos(AL),11075,61
Estrela de Alagoas(AL),18205,50
Feira Grande(AL),22166,152
Feliz Deserto(AL),4754,26
Flexeiras(AL),12790,156
Girau do Ponciano(AL),40917,561
Ibateguara(AL),15616,118
Igaci(AL),25631,98
Igreja Nova(AL),24499,135
Inhapi(AL),18385,5
Jacaré dos Homens(AL),5253,9
Jacuípe(AL),7021,49
Japaratinga(AL),8361,102
Jaramataia(AL),5770,25
Jequiá da Praia(AL),11580,277
Joaquim Gomes(AL),23993,174
Jundiá(AL),4155,16
Junqueiro(AL),24727,332
Lagoa da Canoa(AL),17852,134
Limoeiro de Anadia(AL),28635,140
Maceió(AL),1018948,17529
Major Isidoro(AL),19804,229
Mar Vermelho(AL),3514,15
Maragogi(AL),32704,332
Maravilha(AL),9163,26
Marechal Deodoro(AL),51901,1409
Maribondo(AL),13264,188
Mata Grande(AL),25216,23
Matriz de Camaragibe(AL),24642,462
Messias(AL),17856,258
Minador do Negrão(AL),5329,8
Monteirópolis(AL),7159,30
Murici(AL),28236,290
Novo Lino(AL),12690,93
Olho d'Água Grande(AL),5123,37
Olho d'Água das Flores(AL),21688,343
Olho d'Água do Casado(AL),9373,6
Olivença(AL),11624,62
Ouro Branco(AL),11496,65
Palestina(AL),5011,78
Palmeira dos Índios(AL),73218,522
Pariconha(AL),10533,34
Paripueira(AL),13176,100
Passo de Camaragibe(AL),15245,203
Paulo Jacinto(AL),7564,113
Penedo(AL),63683,208
Piaçabuçu(AL),17827,205
Pilar(AL),35111,796
Pindoba(AL),2908,24
Piranhas(AL),25039,45
Porto Calvo(AL),27165,547
Porto Real do Colégio(AL),20066,104
Porto de Pedras(AL),7786,74
Poço das Trincheiras(AL),14386,21
Pão de Açúcar(AL),24399,277
Quebrangulo(AL),11294,123
Rio Largo(AL),75120,829
Roteiro(AL),6664,101
Santa Luzia do Norte(AL),7296,142
Santana do Ipanema(AL),47654,367
Santana do Mundaú(AL),10740,73
Satuba(AL),13828,352
Senador Rui Palmeira(AL),13870,32
São Brás(AL),6961,65
São José da Laje(AL),23927,406
São José da Tapera(AL),32260,173
São Luís do Quitunde(AL),34555,413
São Miguel dos Campos(AL),61251,1137
São Miguel dos Milagres(AL),7951,111
São Sebastião(AL),34152,450
Tanque d'Arca(AL),6162,68
