cities,population,cases
Amapá(AP),9109,392
Calçoene(AP),11117,968
Cutias(AP),5983,513
Ferreira Gomes(AP),7780,509
Itaubal(AP),5503,215
Laranjal do Jari(AP),50410,3646
Macapá(AP),503327,15417
Mazagão(AP),21632,1013
Oiapoque(AP),27270,2034
Pedra Branca do Amapari(AP),16502,2302
Porto Grande(AP),21971,935
Pracuúba(AP),5120,288
Santana(AP),121364,5128
Serra do Navio(AP),5397,550
Tartarugalzinho(AP),17315,627
Vitória do Jari(AP),15931,1436
Acrelândia(AC),15256,270
Assis Brasil(AC),7417,311
Brasiléia(AC),26278,763
Bujari(AC),10266,318
Capixaba(AC),11733,205
Cruzeiro do Sul(AC),88376,2709
Epitaciolândia(AC),18411,337
Feijó(AC),34780,622
Jordão(AC),8317,72
Manoel Urbano(AC),9459,142
Marechal Thaumaturgo(AC),18867,256
Mâncio Lima(AC),18977,351
Plácido de Castro(AC),19761,355
Porto Acre(AC),18504,415
Porto Walter(AC),11982,199
Rio Branco(AC),407319,8832
Rodrigues Alves(AC),18930,125
Santa Rosa do Purus(AC),6540,182
Sena Madureira(AC),45848,994
Senador Guiomard(AC),23024,343
Tarauacá(AC),42567,1158
Xapuri(AC),19323,407
Alvarães(AM),16041,1136
Amaturá(AM),11536,501
Anamã(AM),13614,448
Anori(AM),21010,709
Apuí(AM),21973,100
Atalaia do Norte(AM),19921,730
Autazes(AM),39565,1146
Barcelos(AM),27502,2081
Barreirinha(AM),32041,752
Benjamin Constant(AM),42984,1523
Beruri(AM),19679,542
Boa Vista do Ramos(AM),19207,291
Boca do Acre(AM),34308,855
Borba(AM),41161,654
Caapiranga(AM),13081,230
Canutama(AM),15629,212
Carauari(AM),28294,821
Careiro(AM),37869,1085
Careiro da Várzea(AM),30225,129
Coari(AM),85097,6715
Codajás(AM),28637,186
Eirunepé(AM),35273,1314
Envira(AM),20033,82
Fonte Boa(AM),17609,728
Guajará(AM),16678,759
Humaitá(AM),55080,2174
Ipixuna(AM),29689,492
Iranduba(AM),48296,1585
Itacoatiara(AM),101337,1956
Itamarati(AM),7851,504
Itapiranga(AM),9148,554
Japurá(AM),2755,367
Juruá(AM),14712,403
Jutaí(AM),14317,314
Lábrea(AM),46069,1470
Manacapuru(AM),97377,3374
Manaquiri(AM),32105,425
Manaus(AM),2182763,34826
Manicoré(AM),55751,832
Maraã(AM),18224,362
Maués(AM),63905,1168
Nhamundá(AM),21173,487
Nova Olinda do Norte(AM),37378,732
Novo Airão(AM),19454,250
Novo Aripuanã(AM),25644,651
Parintins(AM),114273,3348
Pauini(AM),19426,937
Presidente Figueiredo(AM),36279,1822
Rio Preto da Eva(AM),33347,764
Santa Isabel do Rio Negro(AM),25156,1551
Santo Antônio do Içá(AM),21602,1081
Silves(AM),9171,206
São Gabriel da Cachoeira(AM),45564,3299
São Paulo de Olivença(AM),39299,1022
São Sebastião do Uatumã(AM),14020,432
Tabatinga(AM),65844,1660
Tapauá(AM),17156,897
Tefé(AM),59849,3160
Tonantins(AM),18755,548
Uarini(AM),13540,618
Urucará(AM),16256,469
Urucurituba(AM),23065,624
Brasília(DF),3015268,90353
Anadia(AL),17545,361
Arapiraca(AL),231747,4871
Atalaia(AL),47185,486
Barra de Santo Antônio(AL),15932,110
Barra de São Miguel(AL),8322,120
Batalha(AL),18232,315
Belo Monte(AL),6704,41
Belém(AL),4344,47
Boca da Mata(AL),27281,971
Branquinha(AL),10494,134
Cacimbinhas(AL),10858,118
Cajueiro(AL),21264,171
Campestre(AL),6936,64
Campo Alegre(AL),57063,1034
Campo Grande(AL),9558,151
Canapi(AL),17722,34
Capela(AL),17053,483
Carneiros(AL),9081,48
Chã Preta(AL),7311,27
Coité do Nóia(AL),10693,115
Colônia Leopoldina(AL),21698,223
Coqueiro Seco(AL),5845,155
Coruripe(AL),56933,1149
Craíbas(AL),24219,480
Delmiro Gouveia(AL),52016,514
Dois Riachos(AL),11075,106
Estrela de Alagoas(AL),18205,150
Feira Grande(AL),22166,309
Feliz Deserto(AL),4754,49
Flexeiras(AL),12790,221
Girau do Ponciano(AL),40917,861
Ibateguara(AL),15616,246
Igaci(AL),25631,158
Igreja Nova(AL),24499,299
Inhapi(AL),18385,13
Jacaré dos Homens(AL),5253,31
Jacuípe(AL),7021,55
Japaratinga(AL),8361,118
Jaramataia(AL),5770,38
Jequiá da Praia(AL),11580,321
Joaquim Gomes(AL),23993,267
Jundiá(AL),4155,25
Junqueiro(AL),24727,431
Lagoa da Canoa(AL),17852,258
Limoeiro de Anadia(AL),28635,313
Maceió(AL),1018948,21926
Major Isidoro(AL),19804,298
Mar Vermelho(AL),3514,16
Maragogi(AL),32704,374
Maravilha(AL),9163,47
Marechal Deodoro(AL),51901,1744
Maribondo(AL),13264,311
Mata Grande(AL),25216,72
Matriz de Camaragibe(AL),24642,653
Messias(AL),17856,380
Minador do Negrão(AL),5329,11
Monteirópolis(AL),7159,70
Murici(AL),28236,339
Novo Lino(AL),12690,101
Olho d'Água Grande(AL),5123,65
Olho d'Água das Flores(AL),21688,609
Olho d'Água do Casado(AL),9373,18
Olivença(AL),11624,94
Ouro Branco(AL),11496,71
Palestina(AL),5011,139
Palmeira dos Índios(AL),73218,739
Pariconha(AL),10533,115
Paripueira(AL),13176,116
Passo de Camaragibe(AL),15245,227
Paulo Jacinto(AL),7564,128
Penedo(AL),63683,659
Piaçabuçu(AL),17827,294
Pilar(AL),35111,1048
Pindoba(AL),2908,35
Piranhas(AL),25039,116
Porto Calvo(AL),27165,614
Porto Real do Colégio(AL),20066,230
Porto de Pedras(AL),7786,92
Poço das Trincheiras(AL),14386,33
Pão de Açúcar(AL),24399,433
Quebrangulo(AL),11294,174
Rio Largo(AL),75120,993
Roteiro(AL),6664,119
Santa Luzia do Norte(AL),7296,162
Santana do Ipanema(AL),47654,803
Santana do Mundaú(AL),10740,105
