cities,population,cases
Amapá(AP),9109,795
Calçoene(AP),11117,1202
Cutias(AP),5983,620
Ferreira Gomes(AP),7780,590
Itaubal(AP),5503,321
Laranjal do Jari(AP),50410,4804
Macapá(AP),503327,20451
Mazagão(AP),21632,1568
Oiapoque(AP),27270,2946
Pedra Branca do Amapari(AP),16502,2806
Porto Grande(AP),21971,1232
Pracuúba(AP),5120,351
Santana(AP),121364,10121
Serra do Navio(AP),5397,697
Tartarugalzinho(AP),17315,1410
Vitória do Jari(AP),15931,2918
Acrelândia(AC),15256,492
Assis Brasil(AC),7417,719
Brasiléia(AC),26278,1188
Bujari(AC),10266,406
Capixaba(AC),11733,257
Cruzeiro do Sul(AC),88376,3678
Epitaciolândia(AC),18411,529
Feijó(AC),34780,1314
Jordão(AC),8317,215
Manoel Urbano(AC),9459,339
Marechal Thaumaturgo(AC),18867,652
Mâncio Lima(AC),18977,1201
Plácido de Castro(AC),19761,426
Porto Acre(AC),18504,524
Porto Walter(AC),11982,320
Rio Branco(AC),407319,12035
Rodrigues Alves(AC),18930,200
Santa Rosa do Purus(AC),6540,367
Sena Madureira(AC),45848,1774
Senador Guiomard(AC),23024,546
Tarauacá(AC),42567,2655
Xapuri(AC),19323,1489
Alvarães(AM),16041,1290
Amaturá(AM),11536,985
Anamã(AM),13614,858
Anori(AM),21010,986
Apuí(AM),21973,281
Atalaia do Norte(AM),19921,1376
Autazes(AM),39565,1404
Barcelos(AM),27502,2789
Barreirinha(AM),32041,1279
Benjamin Constant(AM),42984,1651
Beruri(AM),19679,994
Boa Vista do Ramos(AM),19207,453
Boca do Acre(AM),34308,1377
Borba(AM),41161,750
Caapiranga(AM),13081,371
Canutama(AM),15629,627
Carauari(AM),28294,3299
Careiro(AM),37869,1915
Careiro da Várzea(AM),30225,289
Coari(AM),85097,7573
Codajás(AM),28637,280
Eirunepé(AM),35273,2567
Envira(AM),20033,912
Fonte Boa(AM),17609,920
Guajará(AM),16678,947
Humaitá(AM),55080,3678
Ipixuna(AM),29689,2175
Iranduba(AM),48296,2514
Itacoatiara(AM),101337,2487
Itamarati(AM),7851,583
Itapiranga(AM),9148,1090
Japurá(AM),2755,500
Juruá(AM),14712,572
Jutaí(AM),14317,431
Lábrea(AM),46069,3062
Manacapuru(AM),97377,4247
Manaquiri(AM),32105,584
Manaus(AM),2182763,64341
Manicoré(AM),55751,1527
Maraã(AM),18224,575
Maués(AM),63905,2089
Nhamundá(AM),21173,930
Nova Olinda do Norte(AM),37378,1109
Novo Airão(AM),19454,532
Novo Aripuanã(AM),25644,820
Parintins(AM),114273,6362
Pauini(AM),19426,1430
Presidente Figueiredo(AM),36279,2526
Rio Preto da Eva(AM),33347,1631
Santa Isabel do Rio Negro(AM),25156,2267
Santo Antônio do Içá(AM),21602,1313
Silves(AM),9171,565
São Gabriel da Cachoeira(AM),45564,4588
São Paulo de Olivença(AM),39299,2028
São Sebastião do Uatumã(AM),14020,660
Tabatinga(AM),65844,1944
Tapauá(AM),17156,1041
Tefé(AM),59849,4089
Tonantins(AM),18755,649
Uarini(AM),13540,857
Urucará(AM),16256,814
Urucurituba(AM),23065,1287
Brasília(DF),3015268,188948
Anadia(AL),17545,503
Arapiraca(AL),231747,12263
Atalaia(AL),47185,623
Barra de Santo Antônio(AL),15932,136
Barra de São Miguel(AL),8322,155
Batalha(AL),18232,597
Belo Monte(AL),6704,173
Belém(AL),4344,56
Boca da Mata(AL),27281,1252
Branquinha(AL),10494,272
Cacimbinhas(AL),10858,276
Cajueiro(AL),21264,357
Campestre(AL),6936,96
Campo Alegre(AL),57063,1445
Campo Grande(AL),9558,223
Canapi(AL),17722,66
Capela(AL),17053,534
Carneiros(AL),9081,95
Chã Preta(AL),7311,47
Coité do Nóia(AL),10693,155
Colônia Leopoldina(AL),21698,253
Coqueiro Seco(AL),5845,303
Coruripe(AL),56933,1773
Craíbas(AL),24219,693
Delmiro Gouveia(AL),52016,1013
Dois Riachos(AL),11075,201
Estrela de Alagoas(AL),18205,200
Feira Grande(AL),22166,466
Feliz Deserto(AL),4754,99
Flexeiras(AL),12790,322
Girau do Ponciano(AL),40917,1333
Ibateguara(AL),15616,443
Igaci(AL),25631,248
Igreja Nova(AL),24499,560
Inhapi(AL),18385,75
Jacaré dos Homens(AL),5253,120
Jacuípe(AL),7021,63
Japaratinga(AL),8361,156
Jaramataia(AL),5770,60
Jequiá da Praia(AL),11580,382
Joaquim Gomes(AL),23993,547
Jundiá(AL),4155,48
Junqueiro(AL),24727,570
Lagoa da Canoa(AL),17852,569
Limoeiro de Anadia(AL),28635,530
Maceió(AL),1018948,29691
Major Isidoro(AL),19804,424
Mar Vermelho(AL),3514,24
Maragogi(AL),32704,497
Maravilha(AL),9163,99
Marechal Deodoro(AL),51901,2603
Maribondo(AL),13264,355
Mata Grande(AL),25216,199
Matriz de Camaragibe(AL),24642,1101
Messias(AL),17856,635
Minador do Negrão(AL),5329,76
Monteirópolis(AL),7159,124
Murici(AL),28236,428
Novo Lino(AL),12690,110
Olho d'Água Grande(AL),5123,145
Olho d'Água das Flores(AL),21688,1150
Olho d'Água do Casado(AL),9373,41
Olivença(AL),11624,152
Ouro Branco(AL),11496,91
Palestina(AL),5011,294
Palmeira dos Índios(AL),73218,1865
Pariconha(AL),10533,205
Paripueira(AL),13176,189
Passo de Camaragibe(AL),15245,377
Paulo Jacinto(AL),7564,185
Penedo(AL),63683,1571
Piaçabuçu(AL),17827,367
Pilar(AL),35111,1432
Pindoba(AL),2908,79
Piranhas(AL),25039,283
Porto Calvo(AL),27165,786
Porto Real do Colégio(AL),20066,410
Porto de Pedras(AL),7786,148
Poço das Trincheiras(AL),14386,100
Pão de Açúcar(AL),24399,876
Quebrangulo(AL),11294,386
Rio Largo(AL),75120,1310
Roteiro(AL),6664,155
Santa Luzia do Norte(AL),7296,240
Santana do Ipanema(AL),47654,1708
Santana do Mundaú(AL),10740,264
Satuba(AL),13828,507
Senador Rui Palmeira(AL),13870,119
São Brás(AL),6961,260
São José da Laje(AL),23927,716
São José da Tapera(AL),32260,885
São Luís do Quitunde(AL),34555,853
São Miguel dos Campos(AL),61251,2138
São Miguel dos Milagres(AL),7951,125
São Sebastião(AL),34152,847
Tanque d'Arca(AL),6162,127
Taquarana(AL),19980,254
Teotônio Vilela(AL),44169,1309
Traipu(AL),27715,276
União dos Palmares(AL),65611,936
Viçosa(AL),25733,418
Água Branca(AL),20196,103
Abaiara(CE),11737,99
Acarape(CE),14929,1926
Acaraú(CE),62641,2694
Acopiara(CE),54270,1275
Aiuaba(CE),17399,61
Alcântaras(CE),11714,550
Altaneira(CE),7586,108
Alto Santo(CE),17146,467
Amontada(CE),43452,839
Antonina do Norte(CE),7353,56
Apuiarés(CE),14600,250
Aquiraz(CE),80271,1095
Aracati(CE),74547,1917
Aracoiaba(CE),26469,802
Ararendá(CE),10935,228
Araripe(CE),21600,241
Aratuba(CE),11847,255
Arneiroz(CE),7840,63
Assaré(CE),23417,480
Aurora(CE),24654,577
Baixio(CE),6288,108
Banabuiú(CE),18197,599
Barbalha(CE),60781,2211
Barreira(CE),22425,350
Barro(CE),22680,400
Barroquinha(CE),15017,800
Baturité(CE),35750,615
Beberibe(CE),53573,947
Bela Cruz(CE),32591,1243
Boa Viagem(CE),54470,1384
Brejo Santo(CE),49477,1918
Camocim(CE),63661,2403
Campos Sales(CE),27426,561
Canindé(CE),76997,2029
Capistrano(CE),17738,724
Caridade(CE),22547,327
Caririaçu(CE),26965,776
Cariré(CE),18448,862
Cariús(CE),18699,569
Carnaubal(CE),17606,624
Cascavel(CE),71743,1693
Catarina(CE),20698,266
Catunda(CE),10342,372
Caucaia(CE),361400,6253
Cedro(CE),25557,600
Chaval(CE),13069,817
Chorozinho(CE),20264,629
Choró(CE),13521,348
Coreaú(CE),23136,1339
Crateús(CE),75074,6187
Crato(CE),132123,7401
Croatá(CE),18063,387
Cruz(CE),24827,893
Deputado Irapuan Pinheiro(CE),9625,250
Ereré(CE),7198,364
Eusébio(CE),53618,2097
Farias Brito(CE),19450,1203
