cities,population,cases
Amapá(AP),9109,6
Calçoene(AP),11117,4
Cutias(AP),5983,21
Ferreira Gomes(AP),7780,4
Itaubal(AP),5503,6
Laranjal do Jari(AP),50410,180
Macapá(AP),503327,1790
Mazagão(AP),21632,31
Oiapoque(AP),27270,54
Pedra Branca do Amapari(AP),16502,36
Porto Grande(AP),21971,34
Pracuúba(AP),5120,1
Santana(AP),121364,397
Serra do Navio(AP),5397,17
Tartarugalzinho(AP),17315,10
Vitória do Jari(AP),15931,22
Acrelândia(AC),15256,30
Assis Brasil(AC),7417,1
Brasiléia(AC),26278,1
Bujari(AC),10266,4
Capixaba(AC),11733,1
Cruzeiro do Sul(AC),88376,75
Epitaciolândia(AC),18411,2
Feijó(AC),34780,1
Jordão(AC),8317,0
Manoel Urbano(AC),9459,0
Marechal Thaumaturgo(AC),18867,0
Mâncio Lima(AC),18977,3
Plácido de Castro(AC),19761,68
Porto Acre(AC),18504,8
Porto Walter(AC),11982,0
Rio Branco(AC),407319,1192
Rodrigues Alves(AC),18930,0
Santa Rosa do Purus(AC),6540,1
Sena Madureira(AC),45848,5
Senador Guiomard(AC),23024,28
Tarauacá(AC),42567,16
Xapuri(AC),19323,11
Alvarães(AM),16041,2
Amaturá(AM),11536,89
Anamã(AM),13614,8
Anori(AM),21010,87
Apuí(AM),21973,12
Atalaia do Norte(AM),19921,1
Autazes(AM),39565,162
Barcelos(AM),27502,27
Barreirinha(AM),32041,42
Benjamin Constant(AM),42984,67
Beruri(AM),19679,33
Boa Vista do Ramos(AM),19207,12
Boca do Acre(AM),34308,98
Borba(AM),41161,24
Caapiranga(AM),13081,10
Canutama(AM),15629,22
Carauari(AM),28294,122
Careiro(AM),37869,193
Careiro da Várzea(AM),30225,26
Coari(AM),85097,281
Codajás(AM),28637,7
Eirunepé(AM),35273,13
Envira(AM),20033,0
Fonte Boa(AM),17609,31
Guajará(AM),16678,0
Humaitá(AM),55080,6
Ipixuna(AM),29689,0
Iranduba(AM),48296,236
Itacoatiara(AM),101337,214
Itamarati(AM),7851,0
Itapiranga(AM),9148,21
Japurá(AM),2755,0
Juruá(AM),14712,1
Jutaí(AM),14317,18
Lábrea(AM),46069,22
Manacapuru(AM),97377,900
Manaquiri(AM),32105,35
Manaus(AM),2182763,7198
Manicoré(AM),55751,12
Maraã(AM),18224,33
Maués(AM),63905,182
Nhamundá(AM),21173,13
Nova Olinda do Norte(AM),37378,35
Novo Airão(AM),19454,34
Novo Aripuanã(AM),25644,27
Parintins(AM),114273,390
Pauini(AM),19426,1
Presidente Figueiredo(AM),36279,162
Rio Preto da Eva(AM),33347,215
Santa Isabel do Rio Negro(AM),25156,7
Santo Antônio do Içá(AM),21602,245
Silves(AM),9171,51
São Gabriel da Cachoeira(AM),45564,95
São Paulo de Olivença(AM),39299,160
São Sebastião do Uatumã(AM),14020,10
Tabatinga(AM),65844,311
Tapauá(AM),17156,75
Tefé(AM),59849,359
Tonantins(AM),18755,80
Uarini(AM),13540,0
Urucará(AM),16256,61
Urucurituba(AM),23065,21
Brasília(DF),3015268,2464
Anadia(AL),17545,2
Arapiraca(AL),231747,39
Atalaia(AL),47185,10
Barra de Santo Antônio(AL),15932,1
Barra de São Miguel(AL),8322,5
Batalha(AL),18232,3
Belo Monte(AL),6704,0
Belém(AL),4344,0
Boca da Mata(AL),27281,6
Branquinha(AL),10494,1
Cacimbinhas(AL),10858,1
Cajueiro(AL),21264,1
Campestre(AL),6936,8
Campo Alegre(AL),57063,3
Campo Grande(AL),9558,1
Canapi(AL),17722,1
Capela(AL),17053,2
Carneiros(AL),9081,0
Chã Preta(AL),7311,0
Coité do Nóia(AL),10693,1
Colônia Leopoldina(AL),21698,1
Coqueiro Seco(AL),5845,1
Coruripe(AL),56933,23
Craíbas(AL),24219,1
Delmiro Gouveia(AL),52016,1
Dois Riachos(AL),11075,0
Estrela de Alagoas(AL),18205,0
Feira Grande(AL),22166,0
Feliz Deserto(AL),4754,0
Flexeiras(AL),12790,2
Girau do Ponciano(AL),40917,0
Ibateguara(AL),15616,1
Igaci(AL),25631,0
Igreja Nova(AL),24499,0
Inhapi(AL),18385,1
Jacaré dos Homens(AL),5253,0
Jacuípe(AL),7021,0
Japaratinga(AL),8361,2
Jaramataia(AL),5770,1
Jequiá da Praia(AL),11580,3
Joaquim Gomes(AL),23993,3
Jundiá(AL),4155,0
Junqueiro(AL),24727,11
Lagoa da Canoa(AL),17852,1
Limoeiro de Anadia(AL),28635,2
Maceió(AL),1018948,1725
Major Isidoro(AL),19804,1
Mar Vermelho(AL),3514,0
Maragogi(AL),32704,13
Maravilha(AL),9163,0
Marechal Deodoro(AL),51901,56
Maribondo(AL),13264,2
Mata Grande(AL),25216,0
Matriz de Camaragibe(AL),24642,2
Messias(AL),17856,2
Minador do Negrão(AL),5329,0
Monteirópolis(AL),7159,0
Murici(AL),28236,41
Novo Lino(AL),12690,1
Olho d'Água Grande(AL),5123,0
Olho d'Água das Flores(AL),21688,1
Olho d'Água do Casado(AL),9373,0
Olivença(AL),11624,1
Ouro Branco(AL),11496,0
Palestina(AL),5011,1
Palmeira dos Índios(AL),73218,33
Pariconha(AL),10533,0
Paripueira(AL),13176,7
Passo de Camaragibe(AL),15245,1
Paulo Jacinto(AL),7564,3
Penedo(AL),63683,5
Piaçabuçu(AL),17827,7
Pilar(AL),35111,17
Pindoba(AL),2908,1
Piranhas(AL),25039,0
Porto Calvo(AL),27165,3
Porto Real do Colégio(AL),20066,1
Porto de Pedras(AL),7786,0
Poço das Trincheiras(AL),14386,1
Pão de Açúcar(AL),24399,0
Quebrangulo(AL),11294,1
Rio Largo(AL),75120,48
Roteiro(AL),6664,0
Santa Luzia do Norte(AL),7296,12
Santana do Ipanema(AL),47654,10
Santana do Mundaú(AL),10740,0
Satuba(AL),13828,32
Senador Rui Palmeira(AL),13870,0
São Brás(AL),6961,0
São José da Laje(AL),23927,1
São José da Tapera(AL),32260,0
São Luís do Quitunde(AL),34555,2
São Miguel dos Campos(AL),61251,14
São Miguel dos Milagres(AL),7951,10
São Sebastião(AL),34152,9
Tanque d'Arca(AL),6162,0
Taquarana(AL),19980,3
Teotônio Vilela(AL),44169,20
Traipu(AL),27715,0
União dos Palmares(AL),65611,18
Viçosa(AL),25733,1
Água Branca(AL),20196,0
Abaiara(CE),11737,1
Acarape(CE),14929,9
Acaraú(CE),62641,122
Acopiara(CE),54270,8
Aiuaba(CE),17399,1
Alcântaras(CE),11714,14
Altaneira(CE),7586,0
Alto Santo(CE),17146,7
Amontada(CE),43452,7
Antonina do Norte(CE),7353,1
Apuiarés(CE),14600,10
Aquiraz(CE),80271,112
Aracati(CE),74547,41
Aracoiaba(CE),26469,21
Ararendá(CE),10935,1
Araripe(CE),21600,1
Aratuba(CE),11847,2
Arneiroz(CE),7840,15
Assaré(CE),23417,1
Aurora(CE),24654,1
Baixio(CE),6288,0
Banabuiú(CE),18197,23
Barbalha(CE),60781,8
Barreira(CE),22425,4
Barro(CE),22680,2
Barroquinha(CE),15017,7
Baturité(CE),35750,23
Beberibe(CE),53573,28
Bela Cruz(CE),32591,44
Boa Viagem(CE),54470,19
Brejo Santo(CE),49477,10
Camocim(CE),63661,17
Campos Sales(CE),27426,5
Canindé(CE),76997,100
Capistrano(CE),17738,11
Caridade(CE),22547,9
Caririaçu(CE),26965,5
Cariré(CE),18448,12
Cariús(CE),18699,2
Carnaubal(CE),17606,7
Cascavel(CE),71743,73
Catarina(CE),20698,2
Catunda(CE),10342,1
Caucaia(CE),361400,672
Cedro(CE),25557,2
Chaval(CE),13069,1
Chorozinho(CE),20264,29
Choró(CE),13521,9
Coreaú(CE),23136,77
Crateús(CE),75074,30
Crato(CE),132123,17
Croatá(CE),18063,1
Cruz(CE),24827,15
Deputado Irapuan Pinheiro(CE),9625,4
Ereré(CE),7198,5
Eusébio(CE),53618,234
Farias Brito(CE),19450,3
Forquilha(CE),24218,4
Fortaleza(CE),2669342,11556
Fortim(CE),16480,5
Frecheirinha(CE),14072,8
General Sampaio(CE),7618,6
Granja(CE),54748,12
Granjeiro(CE),4844,0
Graça(CE),14399,10
Groaíras(CE),11068,17
Guaiúba(CE),26064,28
Guaraciaba do Norte(CE),40642,6
Guaramiranga(CE),5193,6
Hidrolândia(CE),19978,6
Horizonte(CE),67337,125
Ibaretama(CE),13353,5
Ibiapina(CE),24997,1
Ibicuitinga(CE),12525,27
Icapuí(CE),19934,15
Icó(CE),68018,11
Iguatu(CE),102498,54
Independência(CE),26178,4
Ipaporanga(CE),11593,8
Ipaumirim(CE),12463,2
Ipu(CE),41964,8
Ipueiras(CE),38166,6
Iracema(CE),14297,9
Irauçuba(CE),24156,22
Itaitinga(CE),37980,118
Itaiçaba(CE),7827,3
Itapajé(CE),52675,18
Itapipoca(CE),129358,201
Itapiúna(CE),20382,17
Itarema(CE),41826,33
Itatira(CE),21647,12
Jaguaretama(CE),18162,12
Jaguaribara(CE),11401,12
Jaguaribe(CE),34682,23
Jaguaruana(CE),33705,8
Jardim(CE),27174,1
Jati(CE),8111,0
Jijoca de Jericoacoara(CE),19816,13
Juazeiro do Norte(CE),274207,31
Jucás(CE),24833,5
Lavras da Mangabeira(CE),31508,6
Limoeiro do Norte(CE),59540,36
Madalena(CE),19691,16
Maracanaú(CE),227886,379
Maranguape(CE),128978,145
Marco(CE),27361,4
Martinópole(CE),11233,0
Massapê(CE),38737,38
Mauriti(CE),47962,4
Meruoca(CE),15057,8
Milagres(CE),27512,2
Milhã(CE),13155,6
Miraíma(CE),13818,2
Missão Velha(CE),35393,2
Mombaça(CE),43797,14
Monsenhor Tabosa(CE),17234,9
Morada Nova(CE),61890,52
Moraújo(CE),8724,9
Morrinhos(CE),22534,11
Mucambo(CE),14537,10
Mulungu(CE),10823,8
Nova Olinda(CE),15565,7
Nova Russas(CE),32328,4
Novo Oriente(CE),28607,3
Ocara(CE),25703,24
Orós(CE),21427,12
Pacajus(CE),72203,69
Pacatuba(CE),83432,135
Pacoti(CE),12261,7
Pacujá(CE),6533,0
Palhano(CE),9386,0
Palmácia(CE),13322,0
Paracuru(CE),35076,13
Paraipaba(CE),32744,31
