cities,population,cases
Amapá(AP),9109,366
Calçoene(AP),11117,769
Cutias(AP),5983,503
Ferreira Gomes(AP),7780,428
Itaubal(AP),5503,177
Laranjal do Jari(AP),50410,3441
Macapá(AP),503327,14614
Mazagão(AP),21632,961
Oiapoque(AP),27270,1916
Pedra Branca do Amapari(AP),16502,2205
Porto Grande(AP),21971,879
Pracuúba(AP),5120,257
Santana(AP),121364,4906
Serra do Navio(AP),5397,510
Tartarugalzinho(AP),17315,485
Vitória do Jari(AP),15931,1288
Acrelândia(AC),15256,247
Assis Brasil(AC),7417,245
Brasiléia(AC),26278,618
Bujari(AC),10266,283
Capixaba(AC),11733,192
Cruzeiro do Sul(AC),88376,2422
Epitaciolândia(AC),18411,271
Feijó(AC),34780,509
Jordão(AC),8317,60
Manoel Urbano(AC),9459,79
Marechal Thaumaturgo(AC),18867,234
Mâncio Lima(AC),18977,269
Plácido de Castro(AC),19761,339
Porto Acre(AC),18504,332
Porto Walter(AC),11982,120
Rio Branco(AC),407319,8373
Rodrigues Alves(AC),18930,112
Santa Rosa do Purus(AC),6540,173
Sena Madureira(AC),45848,845
Senador Guiomard(AC),23024,312
Tarauacá(AC),42567,924
Xapuri(AC),19323,336
Alvarães(AM),16041,1095
Amaturá(AM),11536,480
Anamã(AM),13614,390
Anori(AM),21010,709
Apuí(AM),21973,98
Atalaia do Norte(AM),19921,645
Autazes(AM),39565,1123
Barcelos(AM),27502,1968
Barreirinha(AM),32041,737
Benjamin Constant(AM),42984,1497
Beruri(AM),19679,504
Boa Vista do Ramos(AM),19207,268
Boca do Acre(AM),34308,751
Borba(AM),41161,623
Caapiranga(AM),13081,182
Canutama(AM),15629,171
Carauari(AM),28294,731
Careiro(AM),37869,1033
Careiro da Várzea(AM),30225,119
Coari(AM),85097,6625
Codajás(AM),28637,176
Eirunepé(AM),35273,1101
Envira(AM),20033,72
Fonte Boa(AM),17609,718
Guajará(AM),16678,664
Humaitá(AM),55080,1802
Ipixuna(AM),29689,150
Iranduba(AM),48296,1519
Itacoatiara(AM),101337,1907
Itamarati(AM),7851,429
Itapiranga(AM),9148,551
Japurá(AM),2755,332
Juruá(AM),14712,345
Jutaí(AM),14317,302
Lábrea(AM),46069,873
Manacapuru(AM),97377,3300
Manaquiri(AM),32105,375
Manaus(AM),2182763,32227
Manicoré(AM),55751,645
Maraã(AM),18224,310
Maués(AM),63905,1137
Nhamundá(AM),21173,404
Nova Olinda do Norte(AM),37378,648
Novo Airão(AM),19454,240
Novo Aripuanã(AM),25644,615
Parintins(AM),114273,3108
Pauini(AM),19426,595
Presidente Figueiredo(AM),36279,1629
Rio Preto da Eva(AM),33347,696
Santa Isabel do Rio Negro(AM),25156,1064
Santo Antônio do Içá(AM),21602,1081
Silves(AM),9171,196
São Gabriel da Cachoeira(AM),45564,3135
São Paulo de Olivença(AM),39299,818
São Sebastião do Uatumã(AM),14020,355
Tabatinga(AM),65844,1599
Tapauá(AM),17156,870
Tefé(AM),59849,3078
Tonantins(AM),18755,529
Uarini(AM),13540,607
Urucará(AM),16256,432
Urucurituba(AM),23065,530
Brasília(DF),3015268,72892
Anadia(AL),17545,327
Arapiraca(AL),231747,4277
Atalaia(AL),47185,457
Barra de Santo Antônio(AL),15932,103
Barra de São Miguel(AL),8322,111
Batalha(AL),18232,244
Belo Monte(AL),6704,20
Belém(AL),4344,39
Boca da Mata(AL),27281,779
Branquinha(AL),10494,101
Cacimbinhas(AL),10858,77
Cajueiro(AL),21264,156
Campestre(AL),6936,49
Campo Alegre(AL),57063,817
Campo Grande(AL),9558,134
Canapi(AL),17722,16
Capela(AL),17053,455
