#city,population,cases
Amapá(AP),9109,1111
Calçoene(AP),11117,1545
Cutias(AP),5983,815
Ferreira Gomes(AP),7780,1180
Itaubal(AP),5503,364
Laranjal do Jari(AP),50410,6862
Macapá(AP),503327,37720
Mazagão(AP),21632,2439
Oiapoque(AP),27270,4597
Pedra Branca do Amapari(AP),16502,3102
Porto Grande(AP),21971,1649
Pracuúba(AP),5120,355
Santana(AP),121364,19308
Serra do Navio(AP),5397,939
Tartarugalzinho(AP),17315,1754
Vitória do Jari(AP),15931,3355
Acrelândia(AC),15256,981
Assis Brasil(AC),7417,1200
Brasiléia(AC),26278,1924
Bujari(AC),10266,773
Capixaba(AC),11733,377
Cruzeiro do Sul(AC),88376,6070
Epitaciolândia(AC),18411,1038
Feijó(AC),34780,2074
Jordão(AC),8317,315
Manoel Urbano(AC),9459,639
Marechal Thaumaturgo(AC),18867,883
Mâncio Lima(AC),18977,1762
Plácido de Castro(AC),19761,1164
Porto Acre(AC),18504,929
Porto Walter(AC),11982,408
Rio Branco(AC),407319,28218
Rodrigues Alves(AC),18930,510
Santa Rosa do Purus(AC),6540,487
Sena Madureira(AC),45848,3872
Senador Guiomard(AC),23024,885
Tarauacá(AC),42567,4340
Xapuri(AC),19323,2545
Alvarães(AM),16041,2421
Amaturá(AM),11536,1750
Anamã(AM),13614,1512
Anori(AM),21010,1771
Apuí(AM),21973,901
Atalaia do Norte(AM),19921,2432
Autazes(AM),39565,2492
Barcelos(AM),27502,3966
Barreirinha(AM),32041,2089
Benjamin Constant(AM),42984,2420
Beruri(AM),19679,1924
Boa Vista do Ramos(AM),19207,807
Boca do Acre(AM),34308,2291
Borba(AM),41161,1456
Caapiranga(AM),13081,539
Canutama(AM),15629,1031
Carauari(AM),28294,5654
Careiro(AM),37869,4083
Careiro da Várzea(AM),30225,822
Coari(AM),85097,9102
Codajás(AM),28637,1408
Eirunepé(AM),35273,3551
Envira(AM),20033,1423
Fonte Boa(AM),17609,1305
Guajará(AM),16678,1297
Humaitá(AM),55080,6614
Ipixuna(AM),29689,3908
Iranduba(AM),48296,7895
Itacoatiara(AM),101337,6560
Itamarati(AM),7851,723
Itapiranga(AM),9148,2792
Japurá(AM),2755,763
Juruá(AM),14712,855
Jutaí(AM),14317,1335
Lábrea(AM),46069,5276
Manacapuru(AM),97377,7278
Manaquiri(AM),32105,1341
Manaus(AM),2182763,152107
Manicoré(AM),55751,2711
Maraã(AM),18224,1817
Maués(AM),63905,3459
Nhamundá(AM),21173,1565
Nova Olinda do Norte(AM),37378,2288
Novo Airão(AM),19454,2073
Novo Aripuanã(AM),25644,1439
Parintins(AM),114273,8685
Pauini(AM),19426,2467
Presidente Figueiredo(AM),36279,5423
Rio Preto da Eva(AM),33347,4157
Santa Isabel do Rio Negro(AM),25156,2653
Santo Antônio do Içá(AM),21602,1597
Silves(AM),9171,1235
São Gabriel da Cachoeira(AM),45564,7223
São Paulo de Olivença(AM),39299,3773
São Sebastião do Uatumã(AM),14020,1361
Tabatinga(AM),65844,3083
Tapauá(AM),17156,1675
Tefé(AM),59849,7480
Tonantins(AM),18755,1118
Uarini(AM),13540,1597
Urucará(AM),16256,1780
Urucurituba(AM),23065,2210
Brasília(DF),3015268,274106
Anadia(AL),17545,821
Arapiraca(AL),231747,17398
Atalaia(AL),47185,761
Barra de Santo Antônio(AL),15932,166
Barra de São Miguel(AL),8322,245
Batalha(AL),18232,760
Belo Monte(AL),6704,216
Belém(AL),4344,76
Boca da Mata(AL),27281,1428
Branquinha(AL),10494,336
Cacimbinhas(AL),10858,406
Cajueiro(AL),21264,433
Campestre(AL),6936,142
Campo Alegre(AL),57063,2099
Campo Grande(AL),9558,295
Canapi(AL),17722,96
Capela(AL),17053,624
Carneiros(AL),9081,135
Chã Preta(AL),7311,70
Coité do Nóia(AL),10693,278
Colônia Leopoldina(AL),21698,280
Coqueiro Seco(AL),5845,350
Coruripe(AL),56933,2648
Craíbas(AL),24219,894
Delmiro Gouveia(AL),52016,2141
Dois Riachos(AL),11075,392
Estrela de Alagoas(AL),18205,261
Feira Grande(AL),22166,538
Feliz Deserto(AL),4754,104
Flexeiras(AL),12790,388
Girau do Ponciano(AL),40917,1470
Ibateguara(AL),15616,494
Igaci(AL),25631,392
Igreja Nova(AL),24499,702
Inhapi(AL),18385,154
Jacaré dos Homens(AL),5253,152
Jacuípe(AL),7021,94
Japaratinga(AL),8361,223
Jaramataia(AL),5770,64
Jequiá da Praia(AL),11580,421
Joaquim Gomes(AL),23993,686
Jundiá(AL),4155,66
Junqueiro(AL),24727,701
Lagoa da Canoa(AL),17852,626
Limoeiro de Anadia(AL),28635,684
Maceió(AL),1018948,53886
Major Isidoro(AL),19804,498
Mar Vermelho(AL),3514,47
Maragogi(AL),32704,923
Maravilha(AL),9163,128
Marechal Deodoro(AL),51901,3971
Maribondo(AL),13264,380
Mata Grande(AL),25216,279
Matriz de Camaragibe(AL),24642,1174
Messias(AL),17856,742
Minador do Negrão(AL),5329,103
Monteirópolis(AL),7159,151
Murici(AL),28236,651
Novo Lino(AL),12690,138
Olho d'Água Grande(AL),5123,151
Olho d'Água das Flores(AL),21688,1215
Olho d'Água do Casado(AL),9373,62
Olivença(AL),11624,270
