#city,population,cases
Amapá(AP),9109,1044
Calçoene(AP),11117,1510
Cutias(AP),5983,801
Ferreira Gomes(AP),7780,1074
Itaubal(AP),5503,356
Laranjal do Jari(AP),50410,5567
Macapá(AP),503327,31541
Mazagão(AP),21632,2079
Oiapoque(AP),27270,3497
Pedra Branca do Amapari(AP),16502,3016
Porto Grande(AP),21971,1613
Pracuúba(AP),5120,353
Santana(AP),121364,16126
Serra do Navio(AP),5397,899
Tartarugalzinho(AP),17315,1628
Vitória do Jari(AP),15931,3206
Acrelândia(AC),15256,597
Assis Brasil(AC),7417,812
Brasiléia(AC),26278,1488
Bujari(AC),10266,505
Capixaba(AC),11733,323
Cruzeiro do Sul(AC),88376,4340
Epitaciolândia(AC),18411,715
Feijó(AC),34780,1737
Jordão(AC),8317,267
Manoel Urbano(AC),9459,514
Marechal Thaumaturgo(AC),18867,708
Mâncio Lima(AC),18977,1343
Plácido de Castro(AC),19761,756
Porto Acre(AC),18504,766
Porto Walter(AC),11982,330
Rio Branco(AC),407319,20674
Rodrigues Alves(AC),18930,257
Santa Rosa do Purus(AC),6540,403
Sena Madureira(AC),45848,2905
Senador Guiomard(AC),23024,673
Tarauacá(AC),42567,3216
Xapuri(AC),19323,2100
Alvarães(AM),16041,1705
Amaturá(AM),11536,1304
Anamã(AM),13614,1364
Anori(AM),21010,1450
Apuí(AM),21973,658
Atalaia do Norte(AM),19921,1818
Autazes(AM),39565,1846
Barcelos(AM),27502,3492
Barreirinha(AM),32041,1639
Benjamin Constant(AM),42984,2012
Beruri(AM),19679,1368
Boa Vista do Ramos(AM),19207,661
Boca do Acre(AM),34308,2135
Borba(AM),41161,1115
Caapiranga(AM),13081,464
Canutama(AM),15629,836
Carauari(AM),28294,4950
Careiro(AM),37869,2739
Careiro da Várzea(AM),30225,601
Coari(AM),85097,8696
Codajás(AM),28637,443
Eirunepé(AM),35273,2949
Envira(AM),20033,1153
Fonte Boa(AM),17609,1234
Guajará(AM),16678,1044
Humaitá(AM),55080,5502
Ipixuna(AM),29689,2988
Iranduba(AM),48296,4456
Itacoatiara(AM),101337,3577
Itamarati(AM),7851,609
Itapiranga(AM),9148,1883
Japurá(AM),2755,670
Juruá(AM),14712,622
Jutaí(AM),14317,727
Lábrea(AM),46069,4324
Manacapuru(AM),97377,5449
Manaquiri(AM),32105,900
Manaus(AM),2182763,103132
Manicoré(AM),55751,2065
Maraã(AM),18224,1503
Maués(AM),63905,2753
Nhamundá(AM),21173,1070
Nova Olinda do Norte(AM),37378,1914
Novo Airão(AM),19454,1276
Novo Aripuanã(AM),25644,985
Parintins(AM),114273,7786
Pauini(AM),19426,1745
Presidente Figueiredo(AM),36279,4467
Rio Preto da Eva(AM),33347,2747
Santa Isabel do Rio Negro(AM),25156,2472
Santo Antônio do Içá(AM),21602,1384
Silves(AM),9171,910
São Gabriel da Cachoeira(AM),45564,5830
São Paulo de Olivença(AM),39299,2301
São Sebastião do Uatumã(AM),14020,879
Tabatinga(AM),65844,2446
Tapauá(AM),17156,1498
Tefé(AM),59849,5667
Tonantins(AM),18755,789
Uarini(AM),13540,1167
Urucará(AM),16256,1107
Urucurituba(AM),23065,1704
Brasília(DF),3015268,233224
Anadia(AL),17545,595
Arapiraca(AL),231747,14828
Atalaia(AL),47185,667
Barra de Santo Antônio(AL),15932,146
Barra de São Miguel(AL),8322,204
Batalha(AL),18232,670
Belo Monte(AL),6704,191
Belém(AL),4344,73
Boca da Mata(AL),27281,1306
Branquinha(AL),10494,277
Cacimbinhas(AL),10858,363
