cities,population,cases
Amapá(AP),9109,1289
Calçoene(AP),11117,1618
Cutias(AP),5983,867
Ferreira Gomes(AP),7780,1429
Itaubal(AP),5503,499
Laranjal do Jari(AP),50410,8333
Macapá(AP),503327,54532
Mazagão(AP),21632,2930
Oiapoque(AP),27270,5077
Pedra Branca do Amapari(AP),16502,3244
Porto Grande(AP),21971,1793
Pracuúba(AP),5120,380
Santana(AP),121364,24501
Serra do Navio(AP),5397,1156
Tartarugalzinho(AP),17315,1912
Vitória do Jari(AP),15931,3908
Acrelândia(AC),15256,1606
Assis Brasil(AC),7417,1664
Brasiléia(AC),26278,2800
Bujari(AC),10266,1123
Capixaba(AC),11733,642
Cruzeiro do Sul(AC),88376,7507
Epitaciolândia(AC),18411,1394
Feijó(AC),34780,3083
Jordão(AC),8317,526
Manoel Urbano(AC),9459,905
Marechal Thaumaturgo(AC),18867,1238
Mâncio Lima(AC),18977,2348
Plácido de Castro(AC),19761,1672
Porto Acre(AC),18504,1443
Porto Walter(AC),11982,538
Rio Branco(AC),407319,37014
Rodrigues Alves(AC),18930,798
Santa Rosa do Purus(AC),6540,927
Sena Madureira(AC),45848,5715
Senador Guiomard(AC),23024,1159
Tarauacá(AC),42567,6406
Xapuri(AC),19323,2965
Alvarães(AM),16041,2823
Amaturá(AM),11536,2352
Anamã(AM),13614,1759
Anori(AM),21010,1877
Apuí(AM),21973,1340
Atalaia do Norte(AM),19921,2769
Autazes(AM),39565,2855
Barcelos(AM),27502,4255
Barreirinha(AM),32041,2372
Benjamin Constant(AM),42984,2691
Beruri(AM),19679,2207
Boa Vista do Ramos(AM),19207,924
Boca do Acre(AM),34308,2577
Borba(AM),41161,2127
Caapiranga(AM),13081,629
Canutama(AM),15629,1323
Carauari(AM),28294,6623
Careiro(AM),37869,4270
Careiro da Várzea(AM),30225,988
Coari(AM),85097,9330
Codajás(AM),28637,2401
Eirunepé(AM),35273,4172
Envira(AM),20033,2595
Fonte Boa(AM),17609,1598
Guajará(AM),16678,1676
Humaitá(AM),55080,7800
Ipixuna(AM),29689,4985
Iranduba(AM),48296,8667
Itacoatiara(AM),101337,8928
Itamarati(AM),7851,959
Itapiranga(AM),9148,3046
Japurá(AM),2755,874
Juruá(AM),14712,961
Jutaí(AM),14317,2325
Lábrea(AM),46069,6846
Manacapuru(AM),97377,8949
Manaquiri(AM),32105,1467
Manaus(AM),2182763,179879
Manicoré(AM),55751,4588
Maraã(AM),18224,2234
Maués(AM),63905,4756
Nhamundá(AM),21173,1846
Nova Olinda do Norte(AM),37378,2624
Novo Airão(AM),19454,2283
Novo Aripuanã(AM),25644,1953
Parintins(AM),114273,9892
Pauini(AM),19426,2757
Presidente Figueiredo(AM),36279,6017
Rio Preto da Eva(AM),33347,4421
Santa Isabel do Rio Negro(AM),25156,2741
Santo Antônio do Içá(AM),21602,1839
Silves(AM),9171,1367
São Gabriel da Cachoeira(AM),45564,8091
São Paulo de Olivença(AM),39299,5241
São Sebastião do Uatumã(AM),14020,1499
Tabatinga(AM),65844,3292
Tapauá(AM),17156,1795
Tefé(AM),59849,9477
Tonantins(AM),18755,1309
Uarini(AM),13540,1909
Urucará(AM),16256,2403
Urucurituba(AM),23065,2510
Brasília(DF),3015268,363042
Anadia(AL),17545,1304
Arapiraca(AL),231747,25617
Atalaia(AL),47185,1122
Barra de Santo Antônio(AL),15932,410
Barra de São Miguel(AL),8322,485
Batalha(AL),18232,1027
Belo Monte(AL),6704,305
Belém(AL),4344,110
Boca da Mata(AL),27281,1707
Branquinha(AL),10494,489
Cacimbinhas(AL),10858,669
Cajueiro(AL),21264,539
Campestre(AL),6936,245
Campo Alegre(AL),57063,2589
Campo Grande(AL),9558,458
Canapi(AL),17722,328
Capela(AL),17053,898
Carneiros(AL),9081,215
Chã Preta(AL),7311,302
Coité do Nóia(AL),10693,403
Colônia Leopoldina(AL),21698,336
Coqueiro Seco(AL),5845,433
Coruripe(AL),56933,3754
Craíbas(AL),24219,1124
Delmiro Gouveia(AL),52016,3243
Dois Riachos(AL),11075,554
Estrela de Alagoas(AL),18205,356
Feira Grande(AL),22166,711
Feliz Deserto(AL),4754,129
Flexeiras(AL),12790,636
Girau do Ponciano(AL),40917,1717
Ibateguara(AL),15616,569
Igaci(AL),25631,918
Igreja Nova(AL),24499,1035
Inhapi(AL),18385,364
Jacaré dos Homens(AL),5253,258
Jacuípe(AL),7021,163
Japaratinga(AL),8361,405
Jaramataia(AL),5770,98
Jequiá da Praia(AL),11580,559
Joaquim Gomes(AL),23993,708
Jundiá(AL),4155,147
Junqueiro(AL),24727,1007
Lagoa da Canoa(AL),17852,964
Limoeiro de Anadia(AL),28635,1056
Maceió(AL),1018948,77944
Major Isidoro(AL),19804,694
Mar Vermelho(AL),3514,126
Maragogi(AL),32704,1506
Maravilha(AL),9163,267
Marechal Deodoro(AL),51901,5849
Maribondo(AL),13264,446
Mata Grande(AL),25216,420
Matriz de Camaragibe(AL),24642,1399
Messias(AL),17856,1031
Minador do Negrão(AL),5329,139
Monteirópolis(AL),7159,201
Murici(AL),28236,987
Novo Lino(AL),12690,184
Olho d'Água Grande(AL),5123,180
Olho d'Água das Flores(AL),21688,1415
Olho d'Água do Casado(AL),9373,103
Olivença(AL),11624,436
Ouro Branco(AL),11496,351
Palestina(AL),5011,417
Palmeira dos Índios(AL),73218,4192
Pariconha(AL),10533,538
Paripueira(AL),13176,337
Passo de Camaragibe(AL),15245,699
Paulo Jacinto(AL),7564,283
Penedo(AL),63683,3647
Piaçabuçu(AL),17827,747
Pilar(AL),35111,3081
Pindoba(AL),2908,99
Piranhas(AL),25039,870
Porto Calvo(AL),27165,1149
Porto Real do Colégio(AL),20066,569
Porto de Pedras(AL),7786,354
Poço das Trincheiras(AL),14386,417
Pão de Açúcar(AL),24399,1105
Quebrangulo(AL),11294,841
Rio Largo(AL),75120,3224
Roteiro(AL),6664,337
Santa Luzia do Norte(AL),7296,444
Santana do Ipanema(AL),47654,4258
Santana do Mundaú(AL),10740,726
Satuba(AL),13828,1011
Senador Rui Palmeira(AL),13870,294
São Brás(AL),6961,338
São José da Laje(AL),23927,1073
São José da Tapera(AL),32260,1199
São Luís do Quitunde(AL),34555,1161
São Miguel dos Campos(AL),61251,3378
São Miguel dos Milagres(AL),7951,252
São Sebastião(AL),34152,1579
Tanque d'Arca(AL),6162,341
Taquarana(AL),19980,582
Teotônio Vilela(AL),44169,1871
Traipu(AL),27715,467
União dos Palmares(AL),65611,2032
Viçosa(AL),25733,1563
Água Branca(AL),20196,381
Abaiara(CE),11737,529
Acarape(CE),14929,2679
Acaraú(CE),62641,4755
Acopiara(CE),54270,3333
Aiuaba(CE),17399,622
Alcântaras(CE),11714,1586
Altaneira(CE),7586,495
Alto Santo(CE),17146,1560
Amontada(CE),43452,2711
Antonina do Norte(CE),7353,653
Apuiarés(CE),14600,1077
Aquiraz(CE),80271,6127
Aracati(CE),74547,6849
Aracoiaba(CE),26469,3698
Ararendá(CE),10935,1060
Araripe(CE),21600,1112
Aratuba(CE),11847,1256
Arneiroz(CE),7840,578
Assaré(CE),23417,1815
Aurora(CE),24654,1502
Baixio(CE),6288,447
Banabuiú(CE),18197,1760
Barbalha(CE),60781,5847
Barreira(CE),22425,1377
Barro(CE),22680,1468
Barroquinha(CE),15017,1071
Baturité(CE),35750,3728
Beberibe(CE),53573,4454
Bela Cruz(CE),32591,3241
Boa Viagem(CE),54470,3680
Brejo Santo(CE),49477,7867
Camocim(CE),63661,5769
Campos Sales(CE),27426,2031
Canindé(CE),76997,5064
Capistrano(CE),17738,2065
Caridade(CE),22547,1561
Caririaçu(CE),26965,1247
Cariré(CE),18448,2297
Cariús(CE),18699,2060
Carnaubal(CE),17606,1541
Cascavel(CE),71743,5628
Catarina(CE),20698,710
Catunda(CE),10342,1099
Caucaia(CE),361400,20480
Cedro(CE),25557,3231
Chaval(CE),13069,1373
Chorozinho(CE),20264,1804
Choró(CE),13521,1008
Coreaú(CE),23136,2478
Crateús(CE),75074,11596
Crato(CE),132123,15129
Croatá(CE),18063,875
Cruz(CE),24827,3320
Deputado Irapuan Pinheiro(CE),9625,726
Ereré(CE),7198,751
Eusébio(CE),53618,9031
