#city,population,cases
Amapá(AP),9109,1328
Calçoene(AP),11117,1647
Cutias(AP),5983,869
Ferreira Gomes(AP),7780,1499
Itaubal(AP),5503,521
Laranjal do Jari(AP),50410,8355
Macapá(AP),503327,56763
Mazagão(AP),21632,3009
Oiapoque(AP),27270,5163
Pedra Branca do Amapari(AP),16502,3371
Porto Grande(AP),21971,1901
Pracuúba(AP),5120,392
Santana(AP),121364,25097
Serra do Navio(AP),5397,1205
Tartarugalzinho(AP),17315,1948
Vitória do Jari(AP),15931,3923
Acrelândia(AC),15256,1685
Assis Brasil(AC),7417,1763
Brasiléia(AC),26278,2898
Bujari(AC),10266,1136
Capixaba(AC),11733,654
Cruzeiro do Sul(AC),88376,7632
Epitaciolândia(AC),18411,1470
Feijó(AC),34780,3207
Jordão(AC),8317,708
Manoel Urbano(AC),9459,903
Marechal Thaumaturgo(AC),18867,1259
Mâncio Lima(AC),18977,2621
Plácido de Castro(AC),19761,1742
Porto Acre(AC),18504,1515
Porto Walter(AC),11982,543
Rio Branco(AC),407319,37595
Rodrigues Alves(AC),18930,847
Santa Rosa do Purus(AC),6540,978
Sena Madureira(AC),45848,5789
Senador Guiomard(AC),23024,1174
Tarauacá(AC),42567,6422
Xapuri(AC),19323,2985
Alvarães(AM),16041,2861
Amaturá(AM),11536,2354
Anamã(AM),13614,1786
Anori(AM),21010,1887
Apuí(AM),21973,1390
Atalaia do Norte(AM),19921,2796
Autazes(AM),39565,2867
Barcelos(AM),27502,4339
Barreirinha(AM),32041,2421
Benjamin Constant(AM),42984,2694
Beruri(AM),19679,2236
Boa Vista do Ramos(AM),19207,957
Boca do Acre(AM),34308,2632
Borba(AM),41161,2209
Caapiranga(AM),13081,673
Canutama(AM),15629,1342
Carauari(AM),28294,6658
Careiro(AM),37869,4304
Careiro da Várzea(AM),30225,1001
Coari(AM),85097,9344
Codajás(AM),28637,2441
Eirunepé(AM),35273,4204
Envira(AM),20033,2677
Fonte Boa(AM),17609,1599
Guajará(AM),16678,1684
Humaitá(AM),55080,7934
Ipixuna(AM),29689,5344
Iranduba(AM),48296,8749
Itacoatiara(AM),101337,9291
Itamarati(AM),7851,961
Itapiranga(AM),9148,3070
Japurá(AM),2755,919
Juruá(AM),14712,978
Jutaí(AM),14317,2498
Lábrea(AM),46069,6951
Manacapuru(AM),97377,9442
Manaquiri(AM),32105,1576
Manaus(AM),2182763,186739
Manicoré(AM),55751,4678
Maraã(AM),18224,2290
Maués(AM),63905,4837
Nhamundá(AM),21173,1865
Nova Olinda do Norte(AM),37378,2627
Novo Airão(AM),19454,2345
Novo Aripuanã(AM),25644,1995
Parintins(AM),114273,9961
Pauini(AM),19426,2758
Presidente Figueiredo(AM),36279,6101
Rio Preto da Eva(AM),33347,4514
Santa Isabel do Rio Negro(AM),25156,2744
Santo Antônio do Içá(AM),21602,1850
Silves(AM),9171,1375
São Gabriel da Cachoeira(AM),45564,8096
São Paulo de Olivença(AM),39299,5255
São Sebastião do Uatumã(AM),14020,1537
Tabatinga(AM),65844,3303
Tapauá(AM),17156,1826
Tefé(AM),59849,9643
Tonantins(AM),18755,1330
Uarini(AM),13540,1955
Urucará(AM),16256,2438
Urucurituba(AM),23065,2616
Brasília(DF),3015268,377530
Anadia(AL),17545,1407
Arapiraca(AL),231747,28668
Atalaia(AL),47185,1160
Barra de Santo Antônio(AL),15932,438
Barra de São Miguel(AL),8322,556
Batalha(AL),18232,1104
Belo Monte(AL),6704,472
Belém(AL),4344,121
Boca da Mata(AL),27281,1815
Branquinha(AL),10494,535
Cacimbinhas(AL),10858,745
Cajueiro(AL),21264,594
Campestre(AL),6936,250
Campo Alegre(AL),57063,2677
Campo Grande(AL),9558,496
Canapi(AL),17722,369
Capela(AL),17053,978
Carneiros(AL),9081,287
Chã Preta(AL),7311,360
Coité do Nóia(AL),10693,447
Colônia Leopoldina(AL),21698,345
Coqueiro Seco(AL),5845,450
Coruripe(AL),56933,3994
Craíbas(AL),24219,1197
Delmiro Gouveia(AL),52016,3792
Dois Riachos(AL),11075,589
Estrela de Alagoas(AL),18205,452
Feira Grande(AL),22166,773
Feliz Deserto(AL),4754,134
Flexeiras(AL),12790,657
Girau do Ponciano(AL),40917,1754
Ibateguara(AL),15616,584
Igaci(AL),25631,1155
Igreja Nova(AL),24499,1297
Inhapi(AL),18385,398
Jacaré dos Homens(AL),5253,379
Jacuípe(AL),7021,171
Japaratinga(AL),8361,431
Jaramataia(AL),5770,108
Jequiá da Praia(AL),11580,583
Joaquim Gomes(AL),23993,719
Jundiá(AL),4155,154
Junqueiro(AL),24727,1082
Lagoa da Canoa(AL),17852,1066
Limoeiro de Anadia(AL),28635,1213
Maceió(AL),1018948,82620
Major Isidoro(AL),19804,806
Mar Vermelho(AL),3514,147
Maragogi(AL),32704,1524
Maravilha(AL),9163,379
Marechal Deodoro(AL),51901,6232
Maribondo(AL),13264,504
Mata Grande(AL),25216,460
Matriz de Camaragibe(AL),24642,1435
Messias(AL),17856,1124
Minador do Negrão(AL),5329,176
Monteirópolis(AL),7159,239
Murici(AL),28236,1010
Novo Lino(AL),12690,199
Olho d'Água Grande(AL),5123,188
Olho d'Água das Flores(AL),21688,1439
Olho d'Água do Casado(AL),9373,128
Olivença(AL),11624,445
Ouro Branco(AL),11496,482
Palestina(AL),5011,421
Palmeira dos Índios(AL),73218,4626
Pariconha(AL),10533,644
Paripueira(AL),13176,359
Passo de Camaragibe(AL),15245,775
Paulo Jacinto(AL),7564,365
Penedo(AL),63683,4068
Piaçabuçu(AL),17827,863
Pilar(AL),35111,3301
Pindoba(AL),2908,113
Piranhas(AL),25039,988
Porto Calvo(AL),27165,1195
Porto Real do Colégio(AL),20066,575
Porto de Pedras(AL),7786,366
Poço das Trincheiras(AL),14386,440
Pão de Açúcar(AL),24399,1143
Quebrangulo(AL),11294,981
Rio Largo(AL),75120,3401
Roteiro(AL),6664,354
Santa Luzia do Norte(AL),7296,480
Santana do Ipanema(AL),47654,4514
Santana do Mundaú(AL),10740,748
Satuba(AL),13828,1060
Senador Rui Palmeira(AL),13870,333
São Brás(AL),6961,370
São José da Laje(AL),23927,1145
São José da Tapera(AL),32260,1235
São Luís do Quitunde(AL),34555,1249
São Miguel dos Campos(AL),61251,3523
São Miguel dos Milagres(AL),7951,280
São Sebastião(AL),34152,1805
Tanque d'Arca(AL),6162,402
Taquarana(AL),19980,633
Teotônio Vilela(AL),44169,2009
Traipu(AL),27715,536
União dos Palmares(AL),65611,2263
Viçosa(AL),25733,1685
Água Branca(AL),20196,460
Abaiara(CE),11737,584
Acarape(CE),14929,2777
Acaraú(CE),62641,4921
Acopiara(CE),54270,3633
Aiuaba(CE),17399,764
Alcântaras(CE),11714,1678
Altaneira(CE),7586,604
Alto Santo(CE),17146,1847
Amontada(CE),43452,2869
Antonina do Norte(CE),7353,730
Apuiarés(CE),14600,1223
Aquiraz(CE),80271,6461
Aracati(CE),74547,7683
Aracoiaba(CE),26469,4073
Ararendá(CE),10935,1281
Araripe(CE),21600,1306
Aratuba(CE),11847,1389
Arneiroz(CE),7840,642
Assaré(CE),23417,2123
Aurora(CE),24654,1700
Baixio(CE),6288,570
Banabuiú(CE),18197,2120
Barbalha(CE),60781,6532
Barreira(CE),22425,1498
Barro(CE),22680,1715
Barroquinha(CE),15017,1213
Baturité(CE),35750,4084
Beberibe(CE),53573,4877
Bela Cruz(CE),32591,3395
Boa Viagem(CE),54470,4004
Brejo Santo(CE),49477,8225
Camocim(CE),63661,6062
Campos Sales(CE),27426,2432
Canindé(CE),76997,5338
Capistrano(CE),17738,2300
Caridade(CE),22547,1652
Caririaçu(CE),26965,1394
Cariré(CE),18448,2407
