cities,population,cases
Amapá(AP),9109,322
Calçoene(AP),11117,499
Cutias(AP),5983,481
Ferreira Gomes(AP),7780,285
Itaubal(AP),5503,163
Laranjal do Jari(AP),50410,2817
Macapá(AP),503327,12952
Mazagão(AP),21632,898
Oiapoque(AP),27270,1515
Pedra Branca do Amapari(AP),16502,1928
Porto Grande(AP),21971,753
Pracuúba(AP),5120,165
Santana(AP),121364,3834
Serra do Navio(AP),5397,391
Tartarugalzinho(AP),17315,372
Vitória do Jari(AP),15931,878
Acrelândia(AC),15256,192
Assis Brasil(AC),7417,174
Brasiléia(AC),26278,344
Bujari(AC),10266,178
Capixaba(AC),11733,142
Cruzeiro do Sul(AC),88376,2041
Epitaciolândia(AC),18411,157
Feijó(AC),34780,222
Jordão(AC),8317,35
Manoel Urbano(AC),9459,49
Marechal Thaumaturgo(AC),18867,149
Mâncio Lima(AC),18977,136
Plácido de Castro(AC),19761,284
Porto Acre(AC),18504,265
Porto Walter(AC),11982,51
Rio Branco(AC),407319,6772
Rodrigues Alves(AC),18930,94
Santa Rosa do Purus(AC),6540,149
Sena Madureira(AC),45848,580
Senador Guiomard(AC),23024,250
Tarauacá(AC),42567,652
Xapuri(AC),19323,230
Alvarães(AM),16041,926
Amaturá(AM),11536,409
Anamã(AM),13614,284
Anori(AM),21010,566
Apuí(AM),21973,42
Atalaia do Norte(AM),19921,485
Autazes(AM),39565,958
Barcelos(AM),27502,907
Barreirinha(AM),32041,604
Benjamin Constant(AM),42984,1458
Beruri(AM),19679,396
Boa Vista do Ramos(AM),19207,193
Boca do Acre(AM),34308,625
Borba(AM),41161,434
Caapiranga(AM),13081,146
Canutama(AM),15629,89
Carauari(AM),28294,506
Careiro(AM),37869,922
Careiro da Várzea(AM),30225,78
Coari(AM),85097,3720
Codajás(AM),28637,140
Eirunepé(AM),35273,438
Envira(AM),20033,0
Fonte Boa(AM),17609,564
Guajará(AM),16678,406
Humaitá(AM),55080,679
Ipixuna(AM),29689,4
Iranduba(AM),48296,1219
Itacoatiara(AM),101337,1478
Itamarati(AM),7851,308
Itapiranga(AM),9148,513
Japurá(AM),2755,258
Juruá(AM),14712,215
Jutaí(AM),14317,257
Lábrea(AM),46069,502
Manacapuru(AM),97377,3130
Manaquiri(AM),32105,247
Manaus(AM),2182763,27132
Manicoré(AM),55751,211
Maraã(AM),18224,199
Maués(AM),63905,976
Nhamundá(AM),21173,149
Nova Olinda do Norte(AM),37378,490
Novo Airão(AM),19454,211
Novo Aripuanã(AM),25644,410
Parintins(AM),114273,2511
Pauini(AM),19426,284
Presidente Figueiredo(AM),36279,1011
Rio Preto da Eva(AM),33347,648
Santa Isabel do Rio Negro(AM),25156,278
Santo Antônio do Içá(AM),21602,998
Silves(AM),9171,161
São Gabriel da Cachoeira(AM),45564,2703
São Paulo de Olivença(AM),39299,635
São Sebastião do Uatumã(AM),14020,215
Tabatinga(AM),65844,1405
Tapauá(AM),17156,677
Tefé(AM),59849,2784
Tonantins(AM),18755,453
Uarini(AM),13540,493
Urucará(AM),16256,359
Urucurituba(AM),23065,394
Brasília(DF),3015268,41849
Anadia(AL),17545,177
Arapiraca(AL),231747,2747
Atalaia(AL),47185,419
Barra de Santo Antônio(AL),15932,93
Barra de São Miguel(AL),8322,89
Batalha(AL),18232,173
Belo Monte(AL),6704,13
Belém(AL),4344,23
Boca da Mata(AL),27281,452
Branquinha(AL),10494,69
Cacimbinhas(AL),10858,38
Cajueiro(AL),21264,123
Campestre(AL),6936,38
Campo Alegre(AL),57063,515
Campo Grande(AL),9558,71
Canapi(AL),17722,10
Capela(AL),17053,352
Carneiros(AL),9081,24
Chã Preta(AL),7311,16
Coité do Nóia(AL),10693,54
Colônia Leopoldina(AL),21698,167
Coqueiro Seco(AL),5845,131
Coruripe(AL),56933,711
Craíbas(AL),24219,209
Delmiro Gouveia(AL),52016,222
Dois Riachos(AL),11075,27
Estrela de Alagoas(AL),18205,27
Feira Grande(AL),22166,75
Feliz Deserto(AL),4754,17
Flexeiras(AL),12790,130
Girau do Ponciano(AL),40917,402
Ibateguara(AL),15616,83
Igaci(AL),25631,64
Igreja Nova(AL),24499,73
Inhapi(AL),18385,4
Jacaré dos Homens(AL),5253,8
Jacuípe(AL),7021,36
Japaratinga(AL),8361,91
Jaramataia(AL),5770,13
Jequiá da Praia(AL),11580,245
Joaquim Gomes(AL),23993,124
Jundiá(AL),4155,13
Junqueiro(AL),24727,326
Lagoa da Canoa(AL),17852,115
Limoeiro de Anadia(AL),28635,102
Maceió(AL),1018948,15038
Major Isidoro(AL),19804,162
Mar Vermelho(AL),3514,14
Maragogi(AL),32704,292
Maravilha(AL),9163,21
Marechal Deodoro(AL),51901,1247
Maribondo(AL),13264,162
Mata Grande(AL),25216,7
Matriz de Camaragibe(AL),24642,391
Messias(AL),17856,196
Minador do Negrão(AL),5329,6
Monteirópolis(AL),7159,28
Murici(AL),28236,253
Novo Lino(AL),12690,84
Olho d'Água Grande(AL),5123,20
Olho d'Água das Flores(AL),21688,218
Olho d'Água do Casado(AL),9373,6
Olivença(AL),11624,31
