cities,population,cases
União dos Palmares(AL),65611,862
Viçosa(AL),25733,337
Água Branca(AL),20196,89
Abaiara(CE),11737,71
Acarape(CE),14929,1551
Acaraú(CE),62641,2652
Acopiara(CE),54270,717
Aiuaba(CE),17399,26
Alcântaras(CE),11714,440
Altaneira(CE),7586,17
Alto Santo(CE),17146,377
Amontada(CE),43452,802
Antonina do Norte(CE),7353,33
Apuiarés(CE),14600,210
Aquiraz(CE),80271,973
Aracati(CE),74547,1547
Aracoiaba(CE),26469,752
Ararendá(CE),10935,79
Araripe(CE),21600,196
Aratuba(CE),11847,227
Arneiroz(CE),7840,42
Assaré(CE),23417,298
Aurora(CE),24654,245
Baixio(CE),6288,87
Banabuiú(CE),18197,521
Barbalha(CE),60781,1902
Barreira(CE),22425,324
Barro(CE),22680,180
Barroquinha(CE),15017,755
Baturité(CE),35750,560
Beberibe(CE),53573,760
Bela Cruz(CE),32591,1169
Boa Viagem(CE),54470,820
Brejo Santo(CE),49477,1351
Camocim(CE),63661,2315
Campos Sales(CE),27426,327
Canindé(CE),76997,1907
Capistrano(CE),17738,694
Caridade(CE),22547,311
Caririaçu(CE),26965,681
Cariré(CE),18448,727
Cariús(CE),18699,457
Carnaubal(CE),17606,526
Cascavel(CE),71743,1509
Catarina(CE),20698,217
Catunda(CE),10342,320
Caucaia(CE),361400,5621
Cedro(CE),25557,414
Chaval(CE),13069,794
Chorozinho(CE),20264,512
Choró(CE),13521,314
Coreaú(CE),23136,1207
Crateús(CE),75074,3391
Crato(CE),132123,5741
Croatá(CE),18063,174
Cruz(CE),24827,849
Deputado Irapuan Pinheiro(CE),9625,108
Ereré(CE),7198,185
Eusébio(CE),53618,1740
Farias Brito(CE),19450,991
Forquilha(CE),24218,676
Fortaleza(CE),2669342,47489
Fortim(CE),16480,151
Frecheirinha(CE),14072,1421
General Sampaio(CE),7618,133
Granja(CE),54748,1255
Granjeiro(CE),4844,54
Graça(CE),14399,528
Groaíras(CE),11068,711
Guaiúba(CE),26064,277
