cities,population,cases
Amapá(AP),9109,2
Calçoene(AP),11117,0
Cutias(AP),5983,0
Ferreira Gomes(AP),7780,0
Itaubal(AP),5503,3
Laranjal do Jari(AP),50410,52
Macapá(AP),503327,827
Mazagão(AP),21632,13
Oiapoque(AP),27270,23
Pedra Branca do Amapari(AP),16502,4
Porto Grande(AP),21971,8
Pracuúba(AP),5120,0
Santana(AP),121364,129
Serra do Navio(AP),5397,7
Tartarugalzinho(AP),17315,7
Vitória do Jari(AP),15931,5
Acrelândia(AC),15256,13
Assis Brasil(AC),7417,0
Brasiléia(AC),26278,0
Bujari(AC),10266,2
Capixaba(AC),11733,0
Cruzeiro do Sul(AC),88376,5
Epitaciolândia(AC),18411,0
Feijó(AC),34780,0
Jordão(AC),8317,0
Manoel Urbano(AC),9459,0
Marechal Thaumaturgo(AC),18867,0
Mâncio Lima(AC),18977,2
Plácido de Castro(AC),19761,25
Porto Acre(AC),18504,2
Porto Walter(AC),11982,0
Rio Branco(AC),407319,344
Rodrigues Alves(AC),18930,0
Santa Rosa do Purus(AC),6540,0
Sena Madureira(AC),45848,0
Senador Guiomard(AC),23024,3
Tarauacá(AC),42567,0
Xapuri(AC),19323,8
Alvarães(AM),16041,0
Amaturá(AM),11536,25
Anamã(AM),13614,1
Anori(AM),21010,32
Apuí(AM),21973,0
Atalaia do Norte(AM),19921,1
Autazes(AM),39565,77
Barcelos(AM),27502,3
Barreirinha(AM),32041,0
Benjamin Constant(AM),42984,25
Beruri(AM),19679,10
Boa Vista do Ramos(AM),19207,0
Boca do Acre(AM),34308,15
Borba(AM),41161,5
Caapiranga(AM),13081,3
Canutama(AM),15629,2
Carauari(AM),28294,67
Careiro(AM),37869,78
Careiro da Várzea(AM),30225,15
Coari(AM),85097,80
Codajás(AM),28637,4
Eirunepé(AM),35273,0
Envira(AM),20033,0
Fonte Boa(AM),17609,5
Guajará(AM),16678,0
Humaitá(AM),55080,2
Ipixuna(AM),29689,0
Iranduba(AM),48296,122
Itacoatiara(AM),101337,116
Itamarati(AM),7851,0
Itapiranga(AM),9148,11
Japurá(AM),2755,0
Juruá(AM),14712,1
Jutaí(AM),14317,3
Lábrea(AM),46069,20
Manacapuru(AM),97377,465
Manaquiri(AM),32105,12
Manaus(AM),2182763,3273
Manicoré(AM),55751,5
Maraã(AM),18224,15
Maués(AM),63905,98
Nhamundá(AM),21173,1
Nova Olinda do Norte(AM),37378,5
Novo Airão(AM),19454,4
Novo Aripuanã(AM),25644,7
Parintins(AM),114273,159
Pauini(AM),19426,0
Presidente Figueiredo(AM),36279,52
Rio Preto da Eva(AM),33347,79
Santa Isabel do Rio Negro(AM),25156,4
Santo Antônio do Içá(AM),21602,105
Silves(AM),9171,5
São Gabriel da Cachoeira(AM),45564,4
São Paulo de Olivença(AM),39299,44
São Sebastião do Uatumã(AM),14020,3
Tabatinga(AM),65844,83
Tapauá(AM),17156,23
Tefé(AM),59849,41
Tonantins(AM),18755,29
Uarini(AM),13540,0
Urucará(AM),16256,12
Urucurituba(AM),23065,3
Brasília(DF),3015268,1342
Anadia(AL),17545,1
Arapiraca(AL),231747,18
Atalaia(AL),47185,1
Barra de Santo Antônio(AL),15932,1
Barra de São Miguel(AL),8322,4
Batalha(AL),18232,2
Belo Monte(AL),6704,0
Belém(AL),4344,0
Boca da Mata(AL),27281,1
Branquinha(AL),10494,1
Cacimbinhas(AL),10858,0
Cajueiro(AL),21264,0
Campestre(AL),6936,0
Campo Alegre(AL),57063,0
Campo Grande(AL),9558,0
Canapi(AL),17722,0
Capela(AL),17053,1
Carneiros(AL),9081,0
Chã Preta(AL),7311,0
Coité do Nóia(AL),10693,0
Colônia Leopoldina(AL),21698,0
Coqueiro Seco(AL),5845,0
Coruripe(AL),56933,2
Craíbas(AL),24219,0
Delmiro Gouveia(AL),52016,1
Dois Riachos(AL),11075,0
Estrela de Alagoas(AL),18205,0
Feira Grande(AL),22166,0
Feliz Deserto(AL),4754,0
Flexeiras(AL),12790,0
Girau do Ponciano(AL),40917,0
Ibateguara(AL),15616,1
Igaci(AL),25631,0
Igreja Nova(AL),24499,0
Inhapi(AL),18385,0
Jacaré dos Homens(AL),5253,0
Jacuípe(AL),7021,0
Japaratinga(AL),8361,0
Jaramataia(AL),5770,0
Jequiá da Praia(AL),11580,0
Joaquim Gomes(AL),23993,0
Jundiá(AL),4155,0
Junqueiro(AL),24727,2
Lagoa da Canoa(AL),17852,1
Limoeiro de Anadia(AL),28635,1
Maceió(AL),1018948,853
Major Isidoro(AL),19804,0
Mar Vermelho(AL),3514,0
Maragogi(AL),32704,5
Maravilha(AL),9163,0
Marechal Deodoro(AL),51901,30
Maribondo(AL),13264,2
Mata Grande(AL),25216,0
Matriz de Camaragibe(AL),24642,1
Messias(AL),17856,0
Minador do Negrão(AL),5329,0
Monteirópolis(AL),7159,0
Murici(AL),28236,20
Novo Lino(AL),12690,1
Olho d'Água Grande(AL),5123,0
Olho d'Água das Flores(AL),21688,1
Olho d'Água do Casado(AL),9373,0
Olivença(AL),11624,0
Ouro Branco(AL),11496,0
Palestina(AL),5011,1
Palmeira dos Índios(AL),73218,11
Pariconha(AL),10533,0
Paripueira(AL),13176,1
Passo de Camaragibe(AL),15245,0
Paulo Jacinto(AL),7564,1
Penedo(AL),63683,1
Piaçabuçu(AL),17827,2
Pilar(AL),35111,4
Pindoba(AL),2908,0
Piranhas(AL),25039,0
Porto Calvo(AL),27165,2
Porto Real do Colégio(AL),20066,1
Porto de Pedras(AL),7786,0
Poço das Trincheiras(AL),14386,0
Pão de Açúcar(AL),24399,0
Quebrangulo(AL),11294,0
Rio Largo(AL),75120,24
Roteiro(AL),6664,0
Santa Luzia do Norte(AL),7296,5
Santana do Ipanema(AL),47654,0
Santana do Mundaú(AL),10740,0
Satuba(AL),13828,12
