cities,population,cases
Amapá(AP),9109,836
Calçoene(AP),11117,1246
Cutias(AP),5983,634
Ferreira Gomes(AP),7780,665
Itaubal(AP),5503,325
Laranjal do Jari(AP),50410,5026
Macapá(AP),503327,22971
Mazagão(AP),21632,1676
Oiapoque(AP),27270,3094
Pedra Branca do Amapari(AP),16502,2845
Porto Grande(AP),21971,1341
Pracuúba(AP),5120,351
Santana(AP),121364,11809
Serra do Navio(AP),5397,707
Tartarugalzinho(AP),17315,1523
Vitória do Jari(AP),15931,2994
Acrelândia(AC),15256,503
Assis Brasil(AC),7417,731
Brasiléia(AC),26278,1222
Bujari(AC),10266,430
Capixaba(AC),11733,276
Cruzeiro do Sul(AC),88376,3785
Epitaciolândia(AC),18411,547
Feijó(AC),34780,1361
Jordão(AC),8317,227
Manoel Urbano(AC),9459,376
Marechal Thaumaturgo(AC),18867,682
Mâncio Lima(AC),18977,1282
Plácido de Castro(AC),19761,458
Porto Acre(AC),18504,554
Porto Walter(AC),11982,321
Rio Branco(AC),407319,15181
Rodrigues Alves(AC),18930,214
Santa Rosa do Purus(AC),6540,368
Sena Madureira(AC),45848,1922
Senador Guiomard(AC),23024,582
Tarauacá(AC),42567,2698
Xapuri(AC),19323,1584
Alvarães(AM),16041,1359
Amaturá(AM),11536,1021
Anamã(AM),13614,962
Anori(AM),21010,1104
Apuí(AM),21973,340
Atalaia do Norte(AM),19921,1490
Autazes(AM),39565,1472
Barcelos(AM),27502,2839
Barreirinha(AM),32041,1380
Benjamin Constant(AM),42984,1696
Beruri(AM),19679,1045
Boa Vista do Ramos(AM),19207,503
Boca do Acre(AM),34308,1561
Borba(AM),41161,774
Caapiranga(AM),13081,374
Canutama(AM),15629,762
Carauari(AM),28294,3516
Careiro(AM),37869,2081
Careiro da Várzea(AM),30225,363
Coari(AM),85097,8010
Codajás(AM),28637,311
Eirunepé(AM),35273,2618
Envira(AM),20033,953
Fonte Boa(AM),17609,994
Guajará(AM),16678,954
Humaitá(AM),55080,4027
Ipixuna(AM),29689,2372
Iranduba(AM),48296,2828
Itacoatiara(AM),101337,2655
Itamarati(AM),7851,608
Itapiranga(AM),9148,1268
Japurá(AM),2755,519
Juruá(AM),14712,574
Jutaí(AM),14317,469
Lábrea(AM),46069,3291
Manacapuru(AM),97377,4320
Manaquiri(AM),32105,630
Manaus(AM),2182763,69824
Manicoré(AM),55751,1546
Maraã(AM),18224,689
Maués(AM),63905,2194
Nhamundá(AM),21173,955
Nova Olinda do Norte(AM),37378,1189
Novo Airão(AM),19454,660
Novo Aripuanã(AM),25644,820
Parintins(AM),114273,6712
Pauini(AM),19426,1459
Presidente Figueiredo(AM),36279,3033
Rio Preto da Eva(AM),33347,1778
Santa Isabel do Rio Negro(AM),25156,2327
Santo Antônio do Içá(AM),21602,1323
Silves(AM),9171,674
São Gabriel da Cachoeira(AM),45564,4796
São Paulo de Olivença(AM),39299,2064
São Sebastião do Uatumã(AM),14020,669
Tabatinga(AM),65844,1968
Tapauá(AM),17156,1216
Tefé(AM),59849,4393
Tonantins(AM),18755,651
Uarini(AM),13540,994
Urucará(AM),16256,908
Urucurituba(AM),23065,1329
Brasília(DF),3015268,198786
Anadia(AL),17545,511
Arapiraca(AL),231747,12770
Atalaia(AL),47185,640
Barra de Santo Antônio(AL),15932,136
Barra de São Miguel(AL),8322,165
Batalha(AL),18232,619
Belo Monte(AL),6704,181
Belém(AL),4344,60
Boca da Mata(AL),27281,1257
Branquinha(AL),10494,272
Cacimbinhas(AL),10858,301
Cajueiro(AL),21264,372
Campestre(AL),6936,96
Campo Alegre(AL),57063,1482
Campo Grande(AL),9558,231
Canapi(AL),17722,68
