#city,population,cases
Amapá(AP),9109,136
Calçoene(AP),11117,206
Cutias(AP),5983,182
Ferreira Gomes(AP),7780,161
Itaubal(AP),5503,113
Laranjal do Jari(AP),50410,2057
Macapá(AP),503327,5750
Mazagão(AP),21632,447
Oiapoque(AP),27270,584
Pedra Branca do Amapari(AP),16502,1268
Porto Grande(AP),21971,309
Pracuúba(AP),5120,29
Santana(AP),121364,1817
Serra do Navio(AP),5397,298
Tartarugalzinho(AP),17315,181
Vitória do Jari(AP),15931,233
Acrelândia(AC),15256,167
Assis Brasil(AC),7417,69
Brasiléia(AC),26278,152
Bujari(AC),10266,88
Capixaba(AC),11733,73
Cruzeiro do Sul(AC),88376,1456
Epitaciolândia(AC),18411,102
Feijó(AC),34780,51
Jordão(AC),8317,4
Manoel Urbano(AC),9459,28
Marechal Thaumaturgo(AC),18867,108
Mâncio Lima(AC),18977,78
Plácido de Castro(AC),19761,211
Porto Acre(AC),18504,139
Porto Walter(AC),11982,2
Rio Branco(AC),407319,4703
Rodrigues Alves(AC),18930,38
Santa Rosa do Purus(AC),6540,62
Sena Madureira(AC),45848,266
Senador Guiomard(AC),23024,160
Tarauacá(AC),42567,398
Xapuri(AC),19323,102
Alvarães(AM),16041,389
Amaturá(AM),11536,336
Anamã(AM),13614,220
Anori(AM),21010,488
Apuí(AM),21973,27
Atalaia do Norte(AM),19921,182
Autazes(AM),39565,713
Barcelos(AM),27502,652
Barreirinha(AM),32041,430
Benjamin Constant(AM),42984,1096
Beruri(AM),19679,374
Boa Vista do Ramos(AM),19207,107
Boca do Acre(AM),34308,480
Borba(AM),41161,319
Caapiranga(AM),13081,124
Canutama(AM),15629,36
Carauari(AM),28294,316
Careiro(AM),37869,798
Careiro da Várzea(AM),30225,55
Coari(AM),85097,2114
Codajás(AM),28637,84
Eirunepé(AM),35273,206
Envira(AM),20033,0
Fonte Boa(AM),17609,328
Guajará(AM),16678,80
Humaitá(AM),55080,213
Ipixuna(AM),29689,0
Iranduba(AM),48296,934
Itacoatiara(AM),101337,1053
Itamarati(AM),7851,4
Itapiranga(AM),9148,393
Japurá(AM),2755,145
Juruá(AM),14712,72
Jutaí(AM),14317,154
Lábrea(AM),46069,136
Manacapuru(AM),97377,2728
Manaquiri(AM),32105,153
Manaus(AM),2182763,21605
Manicoré(AM),55751,75
Maraã(AM),18224,137
Maués(AM),63905,744
Nhamundá(AM),21173,83
Nova Olinda do Norte(AM),37378,152
Novo Airão(AM),19454,179
Novo Aripuanã(AM),25644,229
Parintins(AM),114273,1729
Pauini(AM),19426,80
Presidente Figueiredo(AM),36279,560
Rio Preto da Eva(AM),33347,585
Santa Isabel do Rio Negro(AM),25156,59
Santo Antônio do Içá(AM),21602,863
Silves(AM),9171,138
São Gabriel da Cachoeira(AM),45564,2342
São Paulo de Olivença(AM),39299,496
São Sebastião do Uatumã(AM),14020,142
Tabatinga(AM),65844,1114
Tapauá(AM),17156,512
Tefé(AM),59849,2364
Tonantins(AM),18755,340
Uarini(AM),13540,307
Urucará(AM),16256,254
