"METRO_ID","Metropolitan areas","VAR","Variables","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AT001","Vienna","POP_SHARE","Population of the metropolitan area as % of national value","2000","2000","PC","Percentage","0","units",,,30.37,,
"AT001","Vienna","POP_SHARE","Population of the metropolitan area as % of national value","2001","2001","PC","Percentage","0","units",,,30.6,,
"AT001","Vienna","POP_SHARE","Population of the metropolitan area as % of national value","2002","2002","PC","Percentage","0","units",,,30.74,,
"AT001","Vienna","POP_SHARE","Population of the metropolitan area as % of national value","2003","2003","PC","Percentage","0","units",,,30.9,,
"AT001","Vienna","POP_SHARE","Population of the metropolitan area as % of national value","2004","2004","PC","Percentage","0","units",,,31.04,,
"AT001","Vienna","POP_SHARE","Population of the metropolitan area as % of national value","2005","2005","PC","Percentage","0","units",,,31.13,,
"AT001","Vienna","POP_SHARE","Population of the metropolitan area as % of national value","2006","2006","PC","Percentage","0","units",,,31.24,,
"AT001","Vienna","POP_SHARE","Population of the metropolitan area as % of national value","2007","2007","PC","Percentage","0","units",,,31.44,,
"AT001","Vienna","POP_SHARE","Population of the metropolitan area as % of national value","2008","2008","PC","Percentage","0","units",,,31.62,,
"AT001","Vienna","POP_SHARE","Population of the metropolitan area as % of national value","2009","2009","PC","Percentage","0","units",,,31.79,,
"AT001","Vienna","POP_SHARE","Population of the metropolitan area as % of national value","2010","2010","PC","Percentage","0","units",,,32.04,,
"AT001","Vienna","POP_SHARE","Population of the metropolitan area as % of national value","2011","2011","PC","Percentage","0","units",,,32.25,,
"AT001","Vienna","POP_SHARE","Population of the metropolitan area as % of national value","2012","2012","PC","Percentage","0","units",,,32.43,,
"AT002","Graz","POP","Total population metro area","2000","2000","PER","Persons","0","units",,,553115,,
"AT002","Graz","POP","Total population metro area","2001","2001","PER","Persons","0","units",,,558242,,
"AT002","Graz","POP","Total population metro area","2002","2002","PER","Persons","0","units",,,563450,,
"AT002","Graz","POP","Total population metro area","2003","2003","PER","Persons","0","units",,,568760,,
"AT002","Graz","POP","Total population metro area","2004","2004","PER","Persons","0","units",,,574149,,
"AT002","Graz","POP","Total population metro area","2005","2005","PER","Persons","0","units",,,579640,,
"AT002","Graz","POP","Total population metro area","2006","2006","PER","Persons","0","units",,,585192,,
"AT002","Graz","POP","Total population metro area","2007","2007","PER","Persons","0","units",,,590863,,
"AT002","Graz","POP","Total population metro area","2008","2008","PER","Persons","0","units",,,596616,,
"AT002","Graz","POP","Total population metro area","2009","2009","PER","Persons","0","units",,,602465,,
"AT002","Graz","POP","Total population metro area","2010","2010","PER","Persons","0","units",,,608420,,
"AT002","Graz","POP","Total population metro area","2011","2011","PER","Persons","0","units",,,614454,,
"AT002","Graz","POP","Total population metro area","2012","2012","PER","Persons","0","units",,,620587,,
"AT002","Graz","POP_CORE","Population of the core area","2000","2000","PER","Persons","0","units",,,222668,,
"AT002","Graz","POP_CORE","Population of the core area","2001","2001","PER","Persons","0","units",,,226244,,
"AT002","Graz","POP_CORE","Population of the core area","2002","2002","PER","Persons","0","units",,,229877,,
"AT002","Graz","POP_CORE","Population of the core area","2003","2003","PER","Persons","0","units",,,233569,,
"AT002","Graz","POP_CORE","Population of the core area","2004","2004","PER","Persons","0","units",,,237320,,
"AT002","Graz","POP_CORE","Population of the core area","2005","2005","PER","Persons","0","units",,,241131,,
"AT002","Graz","POP_CORE","Population of the core area","2006","2006","PER","Persons","0","units",,,245003,,
"AT002","Graz","POP_CORE","Population of the core area","2007","2007","PER","Persons","0","units",,,248938,,
"AT002","Graz","POP_CORE","Population of the core area","2008","2008","PER","Persons","0","units",,,252936,,
"AT002","Graz","POP_CORE","Population of the core area","2009","2009","PER","Persons","0","units",,,256997,,
"AT002","Graz","POP_CORE","Population of the core area","2010","2010","PER","Persons","0","units",,,261125,,
"AT002","Graz","POP_CORE","Population of the core area","2011","2011","PER","Persons","0","units",,,265318,,
"AT002","Graz","POP_CORE","Population of the core area","2012","2012","PER","Persons","0","units",,,269579,,
"AT002","Graz","POP_DENS","Population density (persons per km2)","2000","2000","RATIO","Ratio","0","units",,,179.92,,
"AT002","Graz","POP_DENS","Population density (persons per km2)","2001","2001","RATIO","Ratio","0","units",,,181.59,,
"AT002","Graz","POP_DENS","Population density (persons per km2)","2002","2002","RATIO","Ratio","0","units",,,183.28,,
"AT002","Graz","POP_DENS","Population density (persons per km2)","2003","2003","RATIO","Ratio","0","units",,,185.01,,
"AT002","Graz","POP_DENS","Population density (persons per km2)","2004","2004","RATIO","Ratio","0","units",,,186.76,,
"AT002","Graz","POP_DENS","Population density (persons per km2)","2005","2005","RATIO","Ratio","0","units",,,188.55,,
"AT002","Graz","POP_DENS","Population density (persons per km2)","2006","2006","RATIO","Ratio","0","units",,,190.36,,
"AT002","Graz","POP_DENS","Population density (persons per km2)","2007","2007","RATIO","Ratio","0","units",,,192.2,,
"AT002","Graz","POP_DENS","Population density (persons per km2)","2008","2008","RATIO","Ratio","0","units",,,194.07,,
"AT002","Graz","POP_DENS","Population density (persons per km2)","2009","2009","RATIO","Ratio","0","units",,,195.97,,
"AT002","Graz","POP_DENS","Population density (persons per km2)","2010","2010","RATIO","Ratio","0","units",,,197.91,,
"AT002","Graz","POP_DENS","Population density (persons per km2)","2011","2011","RATIO","Ratio","0","units",,,199.87,,
"AT002","Graz","POP_DENS","Population density (persons per km2)","2012","2012","RATIO","Ratio","0","units",,,201.87,,
"AT002","Graz","POP_GROWTH","Population annual average growth rate","2012","2012","PC","Percentage","0","units",,,0.964,,
"AT002","Graz","POP_HINTER","Population of the hinterland area","2000","2000","PER","Persons","0","units",,,330447,,
"AT002","Graz","POP_HINTER","Population of the hinterland area","2001","2001","PER","Persons","0","units",,,331998,,
"AT002","Graz","POP_HINTER","Population of the hinterland area","2002","2002","PER","Persons","0","units",,,333573,,
"AT002","Graz","POP_HINTER","Population of the hinterland area","2003","2003","PER","Persons","0","units",,,335191,,
"AT002","Graz","POP_HINTER","Population of the hinterland area","2004","2004","PER","Persons","0","units",,,336829,,
"AT002","Graz","POP_HINTER","Population of the hinterland area","2005","2005","PER","Persons","0","units",,,338509,,
"AT002","Graz","POP_HINTER","Population of the hinterland area","2006","2006","PER","Persons","0","units",,,340189,,
"AT002","Graz","POP_HINTER","Population of the hinterland area","2007","2007","PER","Persons","0","units",,,341925,,
"AT002","Graz","POP_HINTER","Population of the hinterland area","2008","2008","PER","Persons","0","units",,,343680,,
"AT002","Graz","POP_HINTER","Population of the hinterland area","2009","2009","PER","Persons","0","units",,,345468,,
"AT002","Graz","POP_HINTER","Population of the hinterland area","2010","2010","PER","Persons","0","units",,,347295,,
"AT002","Graz","POP_HINTER","Population of the hinterland area","2011","2011","PER","Persons","0","units",,,349136,,
"AT002","Graz","POP_HINTER","Population of the hinterland area","2012","2012","PER","Persons","0","units",,,351008,,
"AT002","Graz","POP_SHARE","Population of the metropolitan area as % of national value","2000","2000","PC","Percentage","0","units",,,6.91,,
"AT002","Graz","POP_SHARE","Population of the metropolitan area as % of national value","2001","2001","PC","Percentage","0","units",,,6.96,,
"AT002","Graz","POP_SHARE","Population of the metropolitan area as % of national value","2002","2002","PC","Percentage","0","units",,,6.99,,
"AT002","Graz","POP_SHARE","Population of the metropolitan area as % of national value","2003","2003","PC","Percentage","0","units",,,7.02,,
"AT002","Graz","POP_SHARE","Population of the metropolitan area as % of national value","2004","2004","PC","Percentage","0","units",,,7.05,,
"AT002","Graz","POP_SHARE","Population of the metropolitan area as % of national value","2005","2005","PC","Percentage","0","units",,,7.07,,
"AT002","Graz","POP_SHARE","Population of the metropolitan area as % of national value","2006","2006","PC","Percentage","0","units",,,7.09,,
"AT002","Graz","POP_SHARE","Population of the metropolitan area as % of national value","2007","2007","PC","Percentage","0","units",,,7.13,,
"AT002","Graz","POP_SHARE","Population of the metropolitan area as % of national value","2008","2008","PC","Percentage","0","units",,,7.17,,
