SA2_MAINCODE_2016,SA2_5DIGITCODE_2016,SA2_NAME_2016,SUA_CODE_2016,SUA_NAME_2016,AREA_ALBERS_SQKM
405041126,41126,Wallaroo,4000,Not in any Significant Urban Area (SA),146.5314
405041127,41127,Yorke Peninsula - North,4000,Not in any Significant Urban Area (SA),3654.3665
405041128,41128,Yorke Peninsula - South,4000,Not in any Significant Urban Area (SA),2273.8241
406011129,41129,Ceduna,4000,Not in any Significant Urban Area (SA),413.3375
406011130,41130,Eyre Peninsula,4000,Not in any Significant Urban Area (SA),7228.2562
406011131,41131,Kimba - Cleve - Franklin Harbour,4000,Not in any Significant Urban Area (SA),15184.3973
406011132,41132,Le Hunte - Elliston,4000,Not in any Significant Urban Area (SA),11387.2463
406011133,41133,Port Lincoln,4005,Port Lincoln,136.283
406011134,41134,West Coast (SA),4000,Not in any Significant Urban Area (SA),31878.8633
406011135,41135,Western,4000,Not in any Significant Urban Area (SA),168955.7763
406011136,41136,Whyalla,4008,Whyalla,40.8707
406011137,41137,Whyalla - North,4000,Not in any Significant Urban Area (SA),80.449
406021138,41138,APY Lands,4000,Not in any Significant Urban Area (SA),102364.0853
406021139,41139,Coober Pedy,4000,Not in any Significant Urban Area (SA),77.6795
406021140,41140,Quorn - Lake Gilles,4000,Not in any Significant Urban Area (SA),26144.922
406021141,41141,Outback,4000,Not in any Significant Urban Area (SA),513381.5503
406021142,41142,Port Augusta,4004,Port Augusta,253.9026
406021143,41143,Roxby Downs,4000,Not in any Significant Urban Area (SA),288.3608
407011144,41144,Goolwa - Port Elliot,4007,Victor Harbor - Goolwa,180.8687
407011145,41145,Kangaroo Island,4000,Not in any Significant Urban Area (SA),4400.731
407011146,41146,Strathalbyn,4000,Not in any Significant Urban Area (SA),155.7859
407011147,41147,Strathalbyn Region,4000,Not in any Significant Urban Area (SA),1517.7955
407011148,41148,Victor Harbor,4007,Victor Harbor - Goolwa,128.2644
407011149,41149,Yankalilla,4000,Not in any Significant Urban Area (SA),980.1341
407021150,41150,Grant,4000,Not in any Significant Urban Area (SA),1691.121
407021151,41151,Kingston - Robe,4000,Not in any Significant Urban Area (SA),4431.5114
407021152,41152,Millicent,4000,Not in any Significant Urban Area (SA),177.4316
407021154,41154,Naracoorte,4000,Not in any Significant Urban Area (SA),115.23
407021155,41155,Naracoorte Region,4000,Not in any Significant Urban Area (SA),4404.897
407021156,41156,Penola,4000,Not in any Significant Urban Area (SA),1514.5096
407021157,41157,Tatiara,4000,Not in any Significant Urban Area (SA),6527.2084
407021158,41158,Wattle Range,4000,Not in any Significant Urban Area (SA),2281.8814
407021173,41173,Mount Gambier - East,4002,Mount Gambier,66.7535
407021174,41174,Mount Gambier - West,4002,Mount Gambier,126.5343
407031159,41159,Barmera,4000,Not in any Significant Urban Area (SA),856.1907
407031160,41160,Berri,4000,Not in any Significant Urban Area (SA),12.0822
407031161,41161,Karoonda - Lameroo,4000,Not in any Significant Urban Area (SA),10548.643
407031162,41162,Loxton,4000,Not in any Significant Urban Area (SA),146.0888
407031163,41163,Loxton Region,4000,Not in any Significant Urban Area (SA),4790.3875
407031164,41164,Mannum,4000,Not in any Significant Urban Area (SA),3287.9006
407031165,41165,Murray Bridge,4003,Murray Bridge,97.5456
407031166,41166,Murray Bridge Region,4000,Not in any Significant Urban Area (SA),1924.5348
407031167,41167,Renmark,4000,Not in any Significant Urban Area (SA),14.6561
407031168,41168,Renmark Region,4000,Not in any Significant Urban Area (SA),901.2094
407031169,41169,The Coorong,4000,Not in any Significant Urban Area (SA),8644.9956
407031170,41170,Waikerie,4000,Not in any Significant Urban Area (SA),5557.8467
497979799,49799,Migratory - Offshore - Shipping (SA),4000,Not in any Significant Urban Area (SA),0
499999499,49499,No usual address (SA),4000,Not in any Significant Urban Area (SA),0
501011001,51001,Augusta,5000,Not in any Significant Urban Area (WA),2106.5915
