City,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Venezia,"23,700","24,400","24,800","26,000","27,100","27,700","29,400","30,000","29,000","28,500","28,900","29,500","28,700","28,700","29,100","29,800","30,600","31,300","31,900","32,800","28,000",:
Verona,"25,400","26,200","26,200","27,200","28,400","28,900","30,300","31,200","30,800","31,600","31,000","31,200","31,100","31,100","31,200","31,900","33,100","34,200","34,400","34,800","32,300",:
Perugia,"22,100","23,100","23,700","24,300","25,000","25,400","26,300","26,900","27,100","25,000","25,300","25,700","25,100","24,700","24,400","25,100","25,300","25,800","26,700","27,100","25,100",:
Taranto,"14,000","14,200","14,500","15,400","16,200","16,700","17,000","17,300","17,500","16,700","17,200","17,900","17,900","16,700","17,500","17,000","18,000","18,500","18,400","18,600","17,900",:
Cagliari,"20,200","21,000","21,100","22,200","23,500","23,700","24,300","25,200","28,300","27,000","26,600","26,300","26,600","25,600","25,300","27,500","28,100","28,300","28,900","29,400","26,200",:
Padova,"25,400","26,000","26,400","27,800","29,200","29,600","29,900","30,800","30,500","28,600","30,100","31,700","31,100","30,600","31,100","31,700","32,900","33,800","34,400","34,900","32,600",:
Brescia,"27,300","29,100","30,100","30,600","31,300","31,000","32,000","33,200","32,900","29,900","30,200","31,400","30,600","30,300","30,800","31,400","32,600","33,700","34,600","35,200","32,500",:
Messina,"14,800","15,900","16,100","16,300","16,600","17,600","17,900","18,500","17,700","17,100","16,800","17,700","17,600","17,400","17,600","17,300","17,700","18,200","18,500","18,700","17,900",:
Prato,"26,600","28,300","28,900","29,300","29,600","29,700","30,400","32,000","30,500","29,500","28,100","28,900","28,300","28,500","28,600","29,500","30,700","31,900","33,000","33,100","28,700",:
Parma,"28,200","29,900","30,600","31,400","32,400","32,400","33,400","34,800","34,700","33,700","34,900","35,000","35,000","34,600","35,100","35,600","36,400","37,300","38,600","39,000","37,200",:
Reggio nell Emilia,"28,900","30,100","30,500","30,600","31,200","32,600","33,700","34,700","35,600","32,400","32,000","32,900","31,900","32,000","32,400","33,600","34,700","35,900","36,600","37,200","35,000",:
Bergamo,"27,100","28,400","29,500","30,200","30,900","31,700","33,200","33,700","32,500","31,600","31,200","31,600","30,700","30,200","30,600","31,100","32,100","32,900","33,900","34,800","32,100",:
Lefkosia,"15,600","16,500","17,000","17,900","19,100","20,400","21,700","22,900","24,200","23,100","23,500","23,300","22,600","20,900","20,500","21,200","22,300","23,600","24,900","26,300","24,500","26,700"
Riga,"5,100","5,600","6,100","6,400","7,100","8,500","11,100","14,300","15,400","11,800","11,500","12,500","14,500","15,500","16,000","16,900","17,500","18,700","20,500","21,400","21,000",:
Vilnius,"4,900","5,500","6,400","7,100","7,800","9,300","11,100","13,800","15,300","12,600","13,200","14,700","16,000","17,200","18,100","18,700","19,700","21,400","23,500","25,500","25,700",:
Kaunas,"3,300","3,800","4,100","4,700","5,100","6,100","7,100","8,600","9,900","8,100","8,700","10,100","11,000","11,700","12,300","12,800","13,700","15,200","16,600","17,800","18,100",:
Luxembourg,"52,600","54,000","56,000","58,000","61,500","65,000","72,300","78,300","81,800","78,400","83,500","85,300","87,500","90,000","92,800","95,100","96,200","97,400","98,800","100,400","102,600","112,800"
Budapest,"7,700","9,200","11,300","11,700","13,200","14,700","15,000","16,800","17,800","15,900","16,400","16,600","16,400","16,400","16,900","17,400","18,000","19,700","21,000","23,100","21,600","24,200"
Miskolc,"3,200","3,700","4,400","4,700","5,400","6,100","6,000","6,600","6,700","5,600","6,000","6,200","6,100","6,500","7,000","8,100","8,300","9,600","10,200","10,300","10,100","11,900"
PÇcs,"3,700","4,300","5,200","5,500","6,000","6,300","6,400","7,100","7,400","6,400","6,600","6,600","6,700","6,700","6,900","7,400","7,700","8,600","9,400","10,100","9,400","11,100"
Debrecen,"3,800","4,700","5,500","6,000","6,600","6,900","6,800","7,300","7,800","6,900","7,500","7,700","7,600","7,400","7,800","8,200","8,200","9,300","10,100","10,700","10,300","11,300"
SzÇkesfehÇrv†r,"5,800","6,000","6,600","6,900","8,000","8,500","8,800","9,600","10,200","8,000","8,700","9,600","9,500","10,000","10,600","11,900","12,400","13,500","14,300","14,800","13,900","16,800"
Valletta,"11,600","11,900","12,300","12,500","12,600","13,100","13,700","14,700","15,600","15,600","16,900","17,100","18,100","19,200","20,700","23,100","23,800","26,200","27,400","28,800","26,200","29,600"
s' Gravenhage,"34,300","36,000","37,300","38,400","38,800","40,100","41,700","44,500","45,300","43,300","44,000","42,900","42,800","42,600","42,900","43,600","44,200","44,300","45,500","47,500","47,000",:
Amsterdam,"34,200","35,500","37,800","38,300","39,600","40,800","42,900","45,100","46,400","44,500","45,800","46,000","45,900","46,800","48,400","49,900","51,600","53,400","56,100","59,000","55,700",:
Rotterdam,"28,400","30,300","31,100","32,000","33,400","35,600","37,700","40,300","41,900","39,800","40,500","40,300","40,900","40,800","40,800","42,500","43,300","44,600","46,100","47,500","46,400",:
Utrecht,"37,300","40,000","40,700","40,400","41,200","42,300","44,200","46,800","48,100","48,300","48,400","48,300","48,200","48,500","49,000","49,800","50,400","52,900","55,300","58,600","58,200",:
Eindhoven,"29,800","30,500","30,400","30,600","32,600","33,600","37,000","38,800","39,900","36,900","40,600","42,100","41,700","42,400","43,900","46,100","47,200","50,000","51,900","54,200","54,000",:
Tilburg,"23,000","25,200","26,000","26,700","27,100","28,000","29,200","31,400","32,500","31,700","32,000","32,900","32,200","32,500","33,400","34,300","35,300","36,900","38,500","40,200","39,600",:
Groningen,"36,000","39,800","39,800","40,700","41,700","44,700","49,600","50,600","57,500","50,900","52,500","53,700","56,000","57,600","53,000","50,300","46,500","47,400","48,400","47,500","43,300",:
Enschede,"21,100","22,700","23,200","23,900","24,500","25,500","27,000","29,200","30,400","30,400","30,500","31,300","30,600","30,700","31,100","31,800","33,000","34,300","36,000","38,000","37,900",:
Arnhem - Nijmegen,"26,500","27,800","28,700","29,500","29,500","29,900","31,600","32,900","33,600","33,200","33,300","34,100","33,800","33,700","34,300","34,800","35,600","36,700","38,400","40,000","39,300",:
Breda,"28,800","30,600","31,400","32,200","32,500","33,900","35,300","37,500","39,100","37,200","37,800","38,900","38,600","38,800","39,200","40,500","41,300","43,200","45,100","46,500","45,700",:
Leeuwarden,"19,400","21,000","21,800","22,700","23,000","24,100","25,500","26,800","28,400","27,300","27,800","28,800","28,900","28,900","29,400","28,800","28,500","29,000","30,500","32,600","32,000",:
Leiden,"27,600","30,200","29,200","29,900","30,500","31,100","34,400","35,800","38,700","36,100","36,000","36,500","37,200","37,200","35,800","35,500","35,400","36,000","37,400","38,300","37,500",:
Zwolle,"25,300","26,200","26,800","27,500","28,400","29,800","31,200","32,600","35,300","33,500","33,400","34,600","34,100","34,500","35,700","36,300","37,600","38,700","41,000","42,600","41,800",:
Wien,"32,400","33,200","33,700","33,900","34,900","35,900","37,600","39,200","40,400","39,800","40,500","41,700","42,100","42,200","42,600","43,200","44,500","44,900","46,600","47,800","45,100",:
Graz,"27,700","28,400","28,600","29,700","31,200","32,300","33,300","35,200","36,100","35,100","35,600","37,600","38,600","38,800","39,700","40,100","41,700","42,800","43,900","45,700","44,000",:
Linz,"29,000","30,100","30,400","31,400","32,200","33,700","35,300","37,100","39,400","38,100","39,100","40,900","41,600","42,300","42,900","44,100","44,700","46,100","48,200","49,200","47,600",:
Salzburg,"32,900","33,900","34,700","35,300","37,500","38,700","41,000","43,900","44,600","43,300","45,600","47,700","49,600","49,000","49,700","51,600","53,000","54,200","55,500","57,600","55,100",:
Innsbruck,"29,400","30,200","31,500","32,000","32,900","34,700","36,100","37,700","38,500","37,700","38,200","39,800","40,900","41,400","41,700","42,700","43,300","44,200","45,700","47,300","44,600",:
Warszawa,"10,600","12,200","11,900","10,800","11,400","14,000","15,600","18,000","20,500","17,900","20,700","21,400","22,000","22,300","23,300","24,300","24,000","26,500","28,400","30,400","30,100",:
L¢dz,"5,000","5,800","5,800","5,500","5,700","6,800","7,600","8,800","10,500","8,900","10,300","10,600","10,800","11,000","11,700","12,400","12,100","13,200","14,500","15,700","15,800",:
Krak¢w,"5,400","6,100","6,100","5,700","6,100","7,300","8,400","9,600","11,200","9,500","10,700","11,300","11,500","11,800","12,500","13,400","13,500","15,000","16,200","17,200","16,800",:
Wroclaw,"7,000","7,800","8,100","7,200","7,500","8,800","10,200","12,000","14,400","12,700","14,500","15,100","15,600","16,300","17,400","18,400","18,300","20,400","22,300","24,300","23,600",:
Poznan,"7,800","8,700","8,500","7,800","8,500","10,300","11,400","13,000","15,200","13,200","14,500","15,100","15,500","15,900","16,600","17,500","17,600","19,200","20,100","21,700","21,500",:
Gdansk,"5,700","6,400","6,400","5,700","6,200","7,500","8,300","9,400","10,500","9,400","10,400","11,000","11,600","11,500","11,700","12,600","12,600","13,800","15,000","16,100","15,200",:
Szczecin,"7,200","7,900","7,700","6,700","6,800","8,400","9,300","10,300","12,200","10,100","11,100","11,600","11,800","11,900","12,500","13,400","13,000","14,300","15,600","16,400","16,400",:
Bydgoszcz - Tor£n,"5,700","6,600","6,400","5,800","6,000","7,200","8,100","9,200","10,700","9,000","9,900","10,300","10,500","10,500","10,900","11,700","11,500","12,400","13,200","13,900","14,000",:
Lublin,"4,400","5,100","5,000","4,600","4,700","5,500","6,100","7,100","8,500","7,300","8,300","8,600","9,200","9,500","10,000","10,200","10,200","11,200","11,800","12,700","12,400",:
Katowice,"5,500","6,300","6,400","5,900","6,400","7,400","8,200","9,400","11,100","9,500","10,700","11,300","11,400","11,300","11,800","12,400","12,200","13,300","14,400","15,100","14,500",:
Bialystok,"4,300","5,100","4,900","4,500","4,700","5,500","6,200","7,200","8,300","7,100","8,000","8,300","8,500","8,500","8,900","9,200","9,100","9,900","10,700","11,500","11,400",:
Kielce,"4,100","4,600","4,700","4,300","4,600","5,300","6,100","7,100","8,500","7,000","7,700","8,000","8,100","8,100","8,400","8,800","8,700","9,500","10,300","10,700","10,600",:
Olsztyn,"4,300","4,700","4,700","4,400","4,600","5,500","6,000","6,800","7,800","6,800","7,600","7,900","8,100","8,300","8,600","9,000","8,900","9,500","10,000","10,700","10,800",:
Rzesz¢w,"3,900","4,600","4,600","4,100","4,300","5,200","5,600","6,400","7,900","6,900","7,800","8,300","8,700","8,900","9,200","10,000","9,700","10,500","11,400","12,300","11,600",:
Opole,"4,500","5,000","4,900","4,500","5,400","6,100","6,600","7,800","9,400","7,600","8,600","9,100","9,100","9,200","9,800","10,400","10,100","11,000","11,800","12,600","12,200",:
Czestochowa,"4,300","5,300","5,000","4,600","5,100","6,000","6,300","7,300","8,300","6,900","7,800","8,300","8,400","8,500","8,900","9,500","9,500","10,500","11,300","12,200","12,200",:
Radom,"3,500","4,100","4,000","3,700","3,700","4,500","5,000","5,700","6,600","5,900","6,600","6,900","7,000","7,000","7,400","7,900","7,500","8,400","8,900","9,700","9,900",:
Bielsko-Biala,"5,400","6,100","5,900","5,400","5,700","6,600","7,300","8,100","9,600","8,400","9,300","9,700","10,000","10,000","10,700","11,800","11,700","12,600","13,400","14,200","13,300",:
Tarn¢w,"3,400","3,800","3,800","3,400","3,600","4,300","4,900","5,400","6,400","5,400","6,200","6,900","6,900","6,700","6,900","7,300","7,100","7,800","8,300","8,700","8,700",:
Lisboa,"18,000","18,800","19,700","20,100","21,000","21,800","22,700","23,800","24,300","23,700","24,100","23,500","22,200","22,400","22,500","23,100","23,800","24,900","25,900","27,100","25,000",:
Porto,"12,200","12,900","13,200","13,200","13,600","14,200","14,700","15,700","16,000","15,300","15,800","15,500","15,000","15,200","15,700","16,500","17,200","18,200","19,200","20,000","18,800",:
Coimbra,"11,000","11,700","12,200","12,600","13,200","13,600","14,100","14,800","15,000","15,000","15,500","15,300","14,600","14,800","15,000","16,000","16,500","17,200","18,300","19,000","18,100",:
Bucuresti,"4,000","4,200","4,700","4,900","5,900","8,600","10,300","13,800","17,100","13,700","14,300","16,300","16,200","16,800","17,300","19,300","19,900","22,000","23,900","26,500","26,200",:
Cluj-Napoca,"2,100","2,400","2,800","2,900","3,400","4,500","5,500","7,900","8,400","7,400","7,500","8,000","8,600","8,900","9,600","10,000","11,200","13,300","14,400","16,000","16,200",:
Timisoara,"2,200","2,500","2,800","3,100","3,600","5,000","6,400","8,300","10,200","8,500","9,400","9,900","9,200","9,500","9,700","10,900","11,500","12,100","13,500","14,800","14,300",:
Craiova,"1,400","1,600","1,600","1,800","2,200","2,800","3,400","4,500","5,300","4,700","4,800","5,200","5,300","5,400","5,800","6,100","6,200","7,200","8,200","9,200","9,100",:
Constanta,"2,400","2,500","3,000","3,000","3,600","4,900","5,900","7,000","7,500","6,900","7,000","8,400","9,100","10,100","11,200","10,800","11,100","11,700","12,600","12,700","12,000",:
Iasi,"1,500","1,700","1,900","1,900","2,100","2,800","3,300","4,500","5,200","4,400","4,700","4,800","5,300","5,500","5,900","6,200","6,500","7,800","8,500","9,500","9,600",:
Galati,"1,500","1,700","1,800","1,800","2,300","2,900","3,300","4,500","4,900","3,900","4,300","4,400","4,900","5,200","5,400","5,400","5,500","6,200","7,100","7,800","7,400",:
Brasov,"2,200","2,500","2,900","2,900","3,200","4,300","5,100","7,000","7,300","6,600","7,100","7,400","8,700","8,700","9,100","9,600","10,400","11,500","12,700","13,600","13,400",:
Ploiesti,"1,800","2,000","2,300","2,300","2,700","3,800","4,600","6,000","6,900","6,300","5,600","8,300","7,400","8,100","10,500","9,300","10,200","10,000","11,100","11,300","10,900",:
Ljubljana,"15,300","16,500","17,700","19,200","20,200","21,300","23,200","25,600","27,200","26,000","25,800","26,000","25,600","25,400","25,900","26,500","27,700","29,300","31,200","32,700","32,300","36,400"
Maribor,"9,000","9,600","10,400","10,700","11,400","12,000","13,000","14,500","15,700","14,800","14,600","15,000","14,600","14,600","15,200","15,500","16,100","16,900","17,900","18,900","18,200","20,300"
Bratislava,"9,400","10,100","11,500","12,900","14,900","18,000","20,000","25,100","28,900","29,700","31,300","33,700","33,600","34,700","34,600","36,400","36,800","37,600","39,200","39,900","39,300","38,800"
Kosice,"3,700","4,100","4,400","4,900","5,700","6,200","7,100","8,600","10,100","9,300","10,100","10,300","10,600","10,700","11,100","11,900","11,700","12,900","13,400","13,800","14,100","15,400"
Helsinki,"36,300","38,500","38,600","38,700","40,300","41,700","44,000","47,400","48,900","46,600","47,900","48,600","48,600","49,800","49,600","51,200","52,100","53,700","55,100","56,800","55,500",:
Tampere,"25,000","27,400","28,200","28,900","30,200","31,300","32,000","34,900","36,200","32,300","33,400","36,000","35,500","35,100","34,800","34,800","36,300","37,500","39,100","40,100","40,400",:
Turku,"26,100","26,600","29,600","29,100","30,600","31,300","32,900","36,000","36,500","33,400","31,700","33,900","34,000","34,000","34,500","34,500","36,400","38,600","39,700","40,600","40,000",:
Stockholm,"45,600","42,300","44,100","45,500","48,200","49,200","51,200","54,600","53,300","49,000","55,500","61,000","62,800","64,000","63,500","65,700","65,700","65,300","63,600","64,400","64,600",:
Gîteborg,"31,800","30,200","31,100","33,100","33,800","34,300","36,800","38,700","38,200","33,100","38,600","42,600","44,000","45,000","44,600","47,100","47,700","48,900","46,600","46,700","45,700",:
Malmî,"29,300","27,700","29,200","29,800","30,800","31,200","33,100","36,500","33,900","29,300","35,100","37,900","39,100","40,000","39,700","40,200","40,600","41,900","39,900","40,200","40,800",:
Uppsala,"28,100","28,800","30,000","31,800","32,300","33,200","35,400","35,700","36,200","32,200","37,100","40,900","42,900","45,000","43,700","43,600","44,300","45,600","43,500","43,600","43,600",:
Oslo,:,:,:,:,:,:,:,:,"82,700","76,700","90,200","95,200","104,700","104,300","100,400","95,900","94,800","97,500","97,400","99,700","92,900",:
Bergen,:,:,:,:,:,:,:,:,"49,700","47,400","52,600","56,400","61,900","62,300","60,400","57,500","56,600","57,000","56,500","56,500","50,300",:
Trondheim,:,:,:,:,:,:,:,:,"41,400","39,600","46,000","48,300","53,500","53,700","52,100","51,300","51,600","53,800","54,500","54,400","49,900",:
Stavanger,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
ZÅrich,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"82,600","92,700","90,200","89,100","89,200",:,:,:
Genäve,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"87,600","96,400","94,000","94,500","93,800",:,:,:
Basel,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"73,200","81,900","82,600","84,500","83,700",:,:,:
Bern,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"64,200","72,900","70,700","68,800","67,600",:,:,:
Lausanne,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"58,500","65,900","67,700","63,000","63,500",:,:,:
St. Gallen,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"60,300","67,300","66,500","65,300","63,800",:,:,:
Lucerne,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"55,600","62,800","61,600","60,900","59,500",:,:,:
