City,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Wiesbaden,"33,700","34,500","34,600","36,500","37,100","37,100","38,000","39,700","39,900","38,900","39,900","41,100","41,700","42,300","44,200","44,700","46,000","48,000","48,100","50,100","49,900",:
Gîttingen,"21,400","21,700","21,900","22,100","23,000","23,300","24,600","26,300","26,000","25,200","26,300","28,100","28,400","29,300","30,400","30,600","31,800","32,900","33,600","34,200","34,100",:
Darmstadt,"29,900","31,500","32,100","31,600","32,700","32,500","33,400","34,500","35,500","34,500","36,200","38,500","38,600","39,100","40,200","41,000","43,800","45,600","46,200","47,900","47,900",:
Freiburg im Breisgau,"25,500","26,100","26,800","26,300","26,400","26,600","27,700","28,800","29,600","28,700","30,400","32,000","32,400","33,300","34,900","35,500","36,000","37,100","38,400","40,300","40,200",:
Regensburg,"29,600","29,300","29,500","30,500","31,900","32,100","33,500","36,200","37,400","34,700","39,200","41,200","41,100","41,800","43,900","44,700","45,300","48,000","47,400","48,400","47,700",:
Schwerin,"17,100","18,300","18,400","18,700","18,900","19,400","19,800","21,000","21,500","21,600","22,100","23,600","24,300","24,700","26,000","26,200","27,000","28,800","29,100","31,000","31,500",:
Erfurt,"19,900","20,500","20,700","21,200","22,000","22,000","23,300","24,200","24,500","24,200","25,300","27,000","27,200","28,900","30,300","30,700","31,400","32,200","32,800","34,200","33,900",:
Augsburg,"26,400","27,600","28,100","27,800","28,500","28,800","29,800","30,600","30,800","29,600","31,100","32,900","33,700","33,400","34,300","35,800","36,300","37,000","38,300","39,500","38,400",:
Bonn,"32,200","32,500","36,500","33,200","33,600","34,000","36,400","38,000","39,500","39,900","39,900","40,800","39,900","42,000","41,000","41,500","41,700","43,600","46,900","45,500","45,600",:
Karlsruhe,"33,300","34,300","34,400","34,000","35,200","35,800","38,300","40,000","41,200","39,300","40,900","42,100","42,500","42,400","44,800","46,300","46,600","48,200","50,000","51,200","49,800",:
Mînchengladbach,"23,200","25,000","24,400","23,700","23,900","24,200","24,800","27,200","27,200","26,400","27,200","28,500","29,500","29,500","30,600","31,600","32,500","33,900","34,100","34,700","34,300",:
Mainz,"33,800","34,100","33,400","32,600","32,800","33,800","34,300","35,800","36,800","37,800","39,200","40,400","42,200","42,500","43,300","43,800","45,000","45,300","46,500","47,600","48,100",:
Ruhrgebiet,"21,500","22,000","22,400","22,800","23,600","24,000","24,700","26,300","27,700","26,800","27,800","29,000","28,900","29,100","30,000","30,300","30,700","31,800","33,200","33,800","33,200",:
Kiel,"24,300","25,200","24,700","25,200","24,800","25,000","25,800","26,100","27,500","27,000","27,200","28,900","29,900","30,400","31,100","31,100","31,800","33,500","34,400","36,200","36,100",:
SaarbrÅcken,"24,900","25,600","25,600","26,000","27,500","29,000","30,600","32,400","32,900","29,700","31,500","33,800","34,100","33,900","35,700","36,600","36,500","37,300","37,900","37,900","36,700",:
Koblenz,"31,000","30,900","31,900","32,900","33,700","33,600","34,600","35,200","35,500","34,600","35,600","37,700","38,500","39,900","40,800","41,900","42,300","43,700","44,100","45,700","45,400",:
Rostock,"19,400","19,200","19,500","19,200","19,500","19,700","20,200","21,400","22,500","22,500","24,100","25,000","25,000","26,300","28,000","28,100","28,600","31,100","30,700","33,400","32,200",:
Kaiserslautern,"20,300","20,200","20,500","21,300","21,700","21,000","21,800","22,600","23,500","22,800","23,700","24,800","24,900","25,400","27,300","28,200","29,200","29,100","29,900","30,800","30,400",:
Iserlohn,"24,700","24,700","24,600","24,400","25,000","25,600","27,200","28,200","29,100","27,000","28,800","30,500","31,200","32,500","33,300","35,000","35,200","36,600","37,000","37,100","35,800",:
Flensburg,"21,800","21,900","22,000","22,300","22,900","22,800","23,600","24,200","24,900","24,600","24,900","25,600","26,400","26,900","27,900","28,500","28,900","30,700","31,200","32,800","32,500",:
Konstanz,"23,400","24,700","23,700","24,500","24,100","25,100","26,800","28,600","29,200","28,000","28,600","29,500","30,400","32,000","32,400","32,600","33,500","34,200","35,100","36,400","37,300",:
Gie·en,"27,200","28,300","28,500","28,700","29,000","28,900","30,000","31,400","32,000","29,500","30,400","31,300","31,500","31,700","33,100","33,400","34,800","35,400","36,500","37,300","36,800",:
