City,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Leipzig,:,:,:,:,3.9,:,6.16,:,5.7,10.09,5.8,5.62,:,15.76,9.65,4.76,19.63,18.54,18,27.04,28.54,27.51,38.25,47.51,49.18,41.03,46.3,54.81,65.16,55.55,69.15,77.26,83.98,94.34,64.56,74.73
Dresden,:,:,:,:,:,:,:,11.85,10.98,:,10.87,16.99,20.09,31.52,44.13,47.44,66.93,74.13,92.25,103.98,136.87,188.7,196.81,259.56,276.69,244.49,201.69,210.27,235.8,228.84,238.28,230.49,261.82,248.68,235.86,174.81
Düsseldorf,35.91,145.82,141.02,218.22,235.4,249.98,318.77,331.16,330.71,418.56,448.47,623.68,537.07,450.61,382.97,405.53,414.44,469.46,454.24,502.45,587.92,601.27,718.23,694.24,625.32,492.05,572.73,625.05,634.7,722.66,709.89,624.63,679.04,647.05,595.22,465.73
Bremen,:,:,:,:,19.11,38.79,50.45,55.5,69.19,80.81,106.15,102.62,106.81,84.87,74.27,99.81,84.66,75.75,86.53,114.46,132.5,146.34,156.2,133.64,143.08,122.06,159.35,162.26,158.65,200.72,168.87,173.51,172.8,178.01,158.69,145.64
Hannover,7.15,28.83,57.49,83.2,97.88,88.16,113.33,138.42,147.53,159.68,172.02,160.49,161.34,190.84,172.15,180.91,168.79,165.83,168.04,238.33,254.4,258.08,282.44,277,305.79,296.67,364.59,305.44,355.27,292.72,320.54,370.24,306.92,348.96,361.95,291.15
Nürnberg,25.89,96.27,181.43,204,207.26,193.06,304.47,325.33,376.35,400.06,387.12,398.47,436.92,422.6,361.56,370.97,336.16,390.29,368.01,436.86,517.88,545.89,592.35,703.45,693.19,716.31,615.43,679.26,761.54,812.24,763.42,834.22,830,836.39,868.82,716.23
Bielefeld,:,21.53,53.46,53.92,61.71,67.59,69.67,87.6,79.01,92.99,96.67,123.83,129.25,102.58,117.98,104.71,125.51,109.67,145.81,161.02,224.63,228.87,296.77,300.72,289.49,261.94,258.99,330.2,313.17,347.63,408.82,426.83,393.89,435.38,386.74,368.72
Halle an der Saale,:,:,:,2.83,0.67,0.26,:,3.34,:,:,1,3.54,3.83,5.5,7.38,11.81,9.39,13.01,19.27,23.97,30.78,49.73,44.44,36.73,46.97,34.39,47.7,27.35,38.77,32.85,45.5,33.29,39.54,30.33,29.34,21.36
Magdeburg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3.87,:,7,9.51,14.36,13.77,13.02,15.01,19.85,29.6,29.96,17.57,36.87,19.8,29.23,25.2,30.74,20.46,17.65,26.9,21.85,24.24
Wiesbaden,24.95,69.51,70.82,91.08,85.5,82.39,80.87,99.95,127.52,97.79,115.7,136.92,111.62,142.11,128.06,113.72,110.3,135.08,106.94,136.8,129.19,150.39,134.26,160.91,107.43,119.41,130.59,140.38,134.65,110.68,120.43,85.96,82.78,75.11,92.56,65.63
Göttingen,:,10.5,16.42,18.17,16.06,16.87,23.33,19.15,25.68,27.06,33.91,60.83,45.08,53.98,37.91,25.99,37.31,31.54,37.87,38.99,62.32,62.07,62.38,69.9,84.77,81.37,83.81,83.9,80.37,94.9,85.98,95.14,68.63,75.61,85.3,68.7
Darmstadt,11.24,38.15,59.26,70.91,93.97,105.49,102.92,140.48,149.6,146.15,158.02,189.63,174.55,195.46,178.88,196.95,204.31,218.98,218.22,225.45,248.24,253.82,313.98,364.03,287.52,307.57,288.33,296.03,299.76,269.96,282.39,254.38,244.23,260.65,237.86,178.65
Freiburg im Breisgau,:,17.25,27.08,52.33,71.04,58.79,69.74,65.17,82.12,100.1,96.55,93.37,103.19,78.17,88.52,91.89,124.83,102.32,98.97,159.06,144.95,183.51,201.69,187.66,180.78,211.54,221.98,203.96,272.67,281.31,283.07,278.47,250.66,252.6,243.95,235.11
