City,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Leipzig,"16,288.24","16,979.68","17,632","18,290.63","19,015.39","19,126.01","20,455.38","21,467.89","22,086.56","21,473.76","22,613.86","24,261.38","25,000.55","25,801.98","27,306.75","27,916.62","29,066.57","30,485.40","31,336","32,523","32,222",:
Dresden,"22,652.11","23,967.77","25,183.10","26,590.61","28,027.41","27,963.24","28,918.74","30,170.14","30,318.44","28,925.60","30,284.90","31,627.64","31,839.61","32,848.06","34,465.66","36,200.51","37,124.07","38,497.34","39,746","40,621","40,175",:
DÅsseldorf,"51,664.95","55,708.88","55,994.38","57,552.20","60,611.35","61,440.34","63,019.48","68,224.27","70,590.23","66,055.64","67,569.43","69,301.20","69,115.07","70,618.27","72,894.46","74,590.87","76,246.65","79,775.11","82,844","82,241","80,447",:
Bremen,"28,260.65","29,439.49","30,230.95","31,257.29","32,553.95","32,811.03","34,601.61","36,384.67","37,065.68","33,785.75","36,241.94","38,170.84","39,382.46","39,871.88","41,383.67","41,802.49","43,023.41","44,623.91","45,197","45,372","44,706",:
Hannover,"32,306.60","33,064.98","33,757.31","34,951.81","35,620.51","38,210.83","40,335.56","41,168.43","42,245.12","40,347.30","42,141.60","44,589.12","44,959.94","44,524.53","46,295.64","46,763.73","49,567.84","50,609.13","52,778","53,745","52,770",:
NÅrnberg,"34,218.79","34,434.28","36,029.73","36,674.43","39,420.49","39,113.85","40,752.91","43,020.84","44,384.99","42,859.07","44,685.05","47,751.37","49,356.86","50,086.97","52,244.07","53,656.82","55,954.60","58,537.02","60,821","61,905","60,429",:
Bielefeld,"7,777.77","8,199.75","8,108.11","8,315.50","8,564.83","8,827.18","8,946.40","9,650.01","9,799.01","9,463.91","9,733.58","10,371.91","10,529.24","10,829.08","11,317.45","11,487.86","11,776.85","12,227.14","12,707","12,860","12,806",:
Halle an der Saale,"8,429.13","8,632.58","8,926.19","9,231.92","9,740.72","9,717.36","10,093.99","10,187.96","10,271.82","9,951.72","10,733.56","11,021.19","11,122.69","11,099.26","11,296.56","11,650.49","12,018.79","12,486.35","12,925","13,047","12,841",:
Magdeburg,"8,891.69","9,271.99","9,785.75","10,010.19","10,292.93","10,468.87","10,854.93","11,508.28","12,071.18","11,367.67","11,902.42","12,301.74","12,694.45","12,818.15","13,336.72","13,237.46","13,491.45","13,975.56","14,278","14,676","14,436",:
Wiesbaden,"13,312.30","13,826.25","13,971.10","15,079.74","15,619.57","15,721.92","16,103.43","16,911.73","17,034.74","16,317.47","16,856.08","17,474.60","17,681.34","17,889.30","18,785.90","18,940.94","19,602.57","20,562.24","20,622","21,131","20,997",:
