City,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Swansea,:,40.7,39.8,41.4,39.8,42.4,38.7,38.3,37,37.8,35.5,:,:,:
Derby,:,33.6,36.9,40.6,38.5,37.6,39.2,41.2,43.3,38.7,44.2,:,:,:
Southampton,:,39.8,37.5,38.9,38.6,39.8,40,38.6,37.4,38.4,33.1,:,:,:
Northampton,:,45.9,38,44.7,40,41.5,42.4,42,35.3,37.3,41.3,:,:,:
Bournemouth,:,44.4,45.1,42.8,39.5,39.7,41.1,:,:,:,:,:,:,:
Colchester,:,41.1,43.9,43.8,44.6,48.6,45.1,40.5,44.9,43,39.1,:,:,:
Blackburn - Blackpool - Preston,:,45.3,39.6,40,43,46.8,45.7,44.3,44.6,42.3,41.8,:,:,:
Middlesbrough,:,45.5,45.8,46.1,47.3,42,43.5,43.1,39.5,37,43,:,:,:
Oxford,:,36.4,32,32.3,34.3,33.7,29.3,30.6,29,32.3,30,:,:,:
Milton Keynes,:,:,:,:,:,:,:,39.3,37.8,35.6,35.6,:,:,:
Norwich,:,43,44.9,42.6,43.7,44,42.1,37.7,40.3,39.7,43.5,:,:,:
Cheshire West and Chester,:,42.9,42.1,44.6,43.5,37.4,40.3,41.2,38.9,40,37.4,:,:,:
Ipswich,:,43.1,45.8,45.9,46.7,47.6,45.8,43.4,43.7,43.6,39.3,:,:,:
