"Gross domestic product (GDP) by metropolitan area (millions of current dollars)"
"Levels" 
"Bureau of Economic Analysis" 
"All industry total"
"18140","Columbus, OH (Metropolitan Statistical Area)",96855
"18580","Corpus Christi, TX (Metropolitan Statistical Area)",18976
"18700","Corvallis, OR (Metropolitan Statistical Area)",5352
"18880","Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)",10921
"19060","Cumberland, MD-WV (Metropolitan Statistical Area)",2792
"19100","Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",377216
"19140","Dalton, GA (Metropolitan Statistical Area)",4911
"19180","Danville, IL (Metropolitan Statistical Area)",2529
"19300","Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",5590
"19340","Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",17626
"19380","Dayton, OH (Metropolitan Statistical Area)",34271
"19460","Decatur, AL (Metropolitan Statistical Area)",5039
"19500","Decatur, IL (Metropolitan Statistical Area)",5564
"19660","Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",13308
"19740","Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)",154629
"19780","Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",36542
"19820","Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",199528
"20020","Dothan, AL (Metropolitan Statistical Area)",4532
"20100","Dover, DE (Metropolitan Statistical Area)",6151
"20220","Dubuque, IA (Metropolitan Statistical Area)",4432
"20260","Duluth, MN-WI (Metropolitan Statistical Area)",10559
"20500","Durham-Chapel Hill, NC (Metropolitan Statistical Area)",40038
"20700","East Stroudsburg, PA (Metropolitan Statistical Area)",5556
"20740","Eau Claire, WI (Metropolitan Statistical Area)",6445
"20940","El Centro, CA (Metropolitan Statistical Area)",4813
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",5415
"21140","Elkhart-Goshen, IN (Metropolitan Statistical Area)",10152
"21300","Elmira, NY (Metropolitan Statistical Area)",3087
"21340","El Paso, TX (Metropolitan Statistical Area)",24915
"21500","Erie, PA (Metropolitan Statistical Area)",9556
"21660","Eugene, OR (Metropolitan Statistical Area)",11654
"21780","Evansville, IN-KY (Metropolitan Statistical Area)",15797
"21820","Fairbanks, AK (Metropolitan Statistical Area)",5247
"22020","Fargo, ND-MN (Metropolitan Statistical Area)",11402
"22140","Farmington, NM (Metropolitan Statistical Area)",5804
"22180","Fayetteville, NC (Metropolitan Statistical Area)",16915
"22220","Fayetteville-Springdale-Rogers, AR-MO (Metropolitan Statistical Area)",20160
"22380","Flagstaff, AZ (Metropolitan Statistical Area)",4871
"22420","Flint, MI (Metropolitan Statistical Area)",11684
"22500","Florence, SC (Metropolitan Statistical Area)",6986
"22520","Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",4098
"22540","Fond du Lac, WI (Metropolitan Statistical Area)",3698
"22660","Fort Collins, CO (Metropolitan Statistical Area)",11603
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)",9694
"23060","Fort Wayne, IN (Metropolitan Statistical Area)",17858
"23420","Fresno, CA (Metropolitan Statistical Area)",31606
"23460","Gadsden, AL (Metropolitan Statistical Area)",2590
"23540","Gainesville, FL (Metropolitan Statistical Area)",10555
"23580","Gainesville, GA (Metropolitan Statistical Area)",6509
"23900","Gettysburg, PA (Metropolitan Statistical Area)",2596
"24020","Glens Falls, NY (Metropolitan Statistical Area)",4181
"24140","Goldsboro, NC (Metropolitan Statistical Area)",3955
"24220","Grand Forks, ND-MN (Metropolitan Statistical Area)",3988
"24260","Grand Island, NE (Metropolitan Statistical Area)",3439
"24300","Grand Junction, CO (Metropolitan Statistical Area)",4788
"24340","Grand Rapids-Wyoming, MI (Metropolitan Statistical Area)",40888
"24420","Grants Pass, OR (Metropolitan Statistical Area)",1754
"24500","Great Falls, MT (Metropolitan Statistical Area)",3036
"24540","Greeley, CO (Metropolitan Statistical Area)",7358
"24580","Green Bay, WI (Metropolitan Statistical Area)",15248
"24660","Greensboro-High Point, NC (Metropolitan Statistical Area)",33987
"24780","Greenville, NC (Metropolitan Statistical Area)",6218
"24860","Greenville-Anderson-Mauldin, SC (Metropolitan Statistical Area)",30954
"25060","Gulfport-Biloxi-Pascagoula, MS (Metropolitan Statistical Area)",15516
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)",7635
"25220","Hammond, LA (Metropolitan Statistical Area)",3655
"25260","Hanford-Corcoran, CA (Metropolitan Statistical Area)",4482
"25420","Harrisburg-Carlisle, PA (Metropolitan Statistical Area)",29201
"25500","Harrisonburg, VA (Metropolitan Statistical Area)",6647
"25540","Hartford-West Hartford-East Hartford, CT (Metropolitan Statistical Area)",83224
"25620","Hattiesburg, MS (Metropolitan Statistical Area)",4926
"25860","Hickory-Lenoir-Morganton, NC (Metropolitan Statistical Area)",11557
"25940","Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)",7402
"25980","Hinesville, GA (Metropolitan Statistical Area)",3426
"26140","Homosassa Springs, FL (Metropolitan Statistical Area)",3275
"26300","Hot Springs, AR (Metropolitan Statistical Area)",2803
"26380","Houma-Thibodaux, LA (Metropolitan Statistical Area)",11244
"26420","Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",402383
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)",12609
"26620","Huntsville, AL (Metropolitan Statistical Area)",21374
"26820","Idaho Falls, ID (Metropolitan Statistical Area)",5103
"26900","Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)",111541
"26980","Iowa City, IA (Metropolitan Statistical Area)",7471
"27060","Ithaca, NY (Metropolitan Statistical Area)",4246
"27100","Jackson, MI (Metropolitan Statistical Area)",5017
"27140","Jackson, MS (Metropolitan Statistical Area)",25110
"27180","Jackson, TN (Metropolitan Statistical Area)",5068
"27260","Jacksonville, FL (Metropolitan Statistical Area)",57423
"27340","Jacksonville, NC (Metropolitan Statistical Area)",7941
"27500","Janesville-Beloit, WI (Metropolitan Statistical Area)",4934
"27620","Jefferson City, MO (Metropolitan Statistical Area)",6231
"27740","Johnson City, TN (Metropolitan Statistical Area)",5603
"27780","Johnstown, PA (Metropolitan Statistical Area)",4118
"27860","Jonesboro, AR (Metropolitan Statistical Area)",4448
"27900","Joplin, MO (Metropolitan Statistical Area)",6028
"27980","Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)",6713
"28020","Kalamazoo-Portage, MI (Metropolitan Statistical Area)",12708
"28100","Kankakee, IL (Metropolitan Statistical Area)",3232
"28140","Kansas City, MO-KS (Metropolitan Statistical Area)",107417
"28420","Kennewick-Richland, WA (Metropolitan Statistical Area)",11145
"28660","Killeen-Temple, TX (Metropolitan Statistical Area)",15234
"28700","Kingsport-Bristol-Bristol, TN-VA (Metropolitan Statistical Area)",10102
"28740","Kingston, NY (Metropolitan Statistical Area)",5074
"28940","Knoxville, TN (Metropolitan Statistical Area)",32568
"29020","Kokomo, IN (Metropolitan Statistical Area)",3749
"29100","La Crosse-Onalaska, WI-MN (Metropolitan Statistical Area)",5852
"29180","Lafayette, LA (Metropolitan Statistical Area)",25761
"29200","Lafayette-West Lafayette, IN (Metropolitan Statistical Area)",8404
"29340","Lake Charles, LA (Metropolitan Statistical Area)",13590
"29420","Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)",3613
"29460","Lakeland-Winter Haven, FL (Metropolitan Statistical Area)",17272
"29540","Lancaster, PA (Metropolitan Statistical Area)",20683
"29620","Lansing-East Lansing, MI (Metropolitan Statistical Area)",19284
"29700","Laredo, TX (Metropolitan Statistical Area)",6105
"29740","Las Cruces, NM (Metropolitan Statistical Area)",6155
"29820","Las Vegas-Henderson-Paradise, NV (Metropolitan Statistical Area)",85236
"29940","Lawrence, KS (Metropolitan Statistical Area)",3568
"30020","Lawton, OK (Metropolitan Statistical Area)",4752
"30140","Lebanon, PA (Metropolitan Statistical Area)",4075
"30300","Lewiston, ID-WA (Metropolitan Statistical Area)",1972
"30340","Lewiston-Auburn, ME (Metropolitan Statistical Area)",3774
"30460","Lexington-Fayette, KY (Metropolitan Statistical Area)",23780
"30620","Lima, OH (Metropolitan Statistical Area)",5009
"30700","Lincoln, NE (Metropolitan Statistical Area)",14491
"30780","Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)",38004
"30860","Logan, UT-ID (Metropolitan Statistical Area)",3657
"30980","Longview, TX (Metropolitan Statistical Area)",10301
"31020","Longview, WA (Metropolitan Statistical Area)",3187
"31080","Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",757003
"31140","Louisville/Jefferson County, KY-IN (Metropolitan Statistical Area)",58207
"31180","Lubbock, TX (Metropolitan Statistical Area)",10332
"31340","Lynchburg, VA (Metropolitan Statistical Area)",8510
"31420","Macon, GA (Metropolitan Statistical Area)",7891
"31460","Madera, CA (Metropolitan Statistical Area)",3812
"31540","Madison, WI (Metropolitan Statistical Area)",37534
"31700","Manchester-Nashua, NH (Metropolitan Statistical Area)",21453
"31740","Manhattan, KS (Metropolitan Statistical Area)",2828
"31860","Mankato-North Mankato, MN (Metropolitan Statistical Area)",3899
"31900","Mansfield, OH (Metropolitan Statistical Area)",3628
"32580","McAllen-Edinburg-Mission, TX (Metropolitan Statistical Area)",14672
"32780","Medford, OR (Metropolitan Statistical Area)",6022
"32820","Memphis, TN-MS-AR (Metropolitan Statistical Area)",62415
"32900","Merced, CA (Metropolitan Statistical Area)",6134
"33100","Miami-Fort Lauderdale-West Palm Beach, FL (Metropolitan Statistical Area)",250720
"33140","Michigan City-La Porte, IN (Metropolitan Statistical Area)",3558
"33220","Midland, MI (Metropolitan Statistical Area)",3721
"33260","Midland, TX (Metropolitan Statistical Area)",15394
