ClusterID	AllPeople	d_Work	AgricultHF	Manufact	Construct	HotelRest	FinanceInt	RealEstate	Admin	Education	Income	NetIncome	NIncBH	NIncAH	Households	CarsVans	Dwellings	OccuDwell	UnDwell	UnSecDwell	Employed	Managers	Profess	technical	Admin2	SkillTrd	Service	Sales	plant	Basic	Coach	Train	Patents	Morphology
105	24510	68.78	166	2373	980	619	215	1063	681	965	4813970	3945010	3639580	3124690	10198	12519	10322	10198	124	9	11966	1571	1078	1420	1369	1631	963	983	1406	1545	2	1	24	5
106	12201	28.2	67	983	461	338	113	401	165	258	2178250	1827840	1750110	1588830	5376	5732	5557	5376	181	23	5123	623	276	530	534	829	496	462	569	804	4	1	22	2
107	12856	45.14	66	755	424	211	460	724	206	625	3119880	2552980	2210220	1984960	5110	6265	5232	5111	121	20	5799	909	642	718	812	654	479	438	428	719	0	0	10	3
108	10374	29.91	85	454	326	213	472	1010	288	433	3836090	2925530	2685770	2415380	4591	5850	4739	4591	148	27	5176	1151	885	885	682	481	309	279	165	339	0	3	23	2
109	21712	42.6	105	1014	643	452	1297	2226	659	848	6571310	5214920	4719980	4381020	9268	11805	9513	9268	245	26	11613	2305	1896	2084	1703	868	770	671	469	847	0	1	35	3
110	6572	11.87	38	628	261	163	64	273	222	142	1208250	1020300	912900	805500	2685	3085	2758	2685	73	4	3025	382	158	346	343	425	232	294	381	464	0	1	3	1
111	56651	121.68	281	2529	1803	1311	1563	5650	1543	2865	16105970	12638770	11536220	10305760	22471	29322	22849	22470	379	45	29094	5140	5195	4319	3844	2588	1583	2339	1198	2888	1	1	208	8
112	21532	52.67	150	850	697	428	182	824	797	697	4786810	3977100	3792240	3341170	9738	9831	10275	9738	537	180	8977	1156	818	1264	1009	991	1137	711	741	1150	3	2	15	3
113	41590	95.7	242	2444	1897	838	1020	3694	1759	1407	10814400	8633650	7484010	6803720	16771	23077	17085	16771	314	20	22468	3513	2240	3141	3452	2900	1510	1674	1477	2561	0	2	63	7
114	28691	102.1	120	1694	869	515	816	3573	923	1164	9571000	7597570	6525280	5931170	11653	18679	11852	11656	196	19	14985	3439	2613	2328	2177	1183	849	906	555	935	0	1	21	6
115	16049	33.76	62	2094	651	311	262	848	430	550	3425790	2723390	2361980	2106930	6383	8669	6466	6383	83	11	8206	1093	521	844	1151	1201	558	750	871	1217	0	0	6	3
116	101357	223.37	423	8581	3747	1976	3513	9421	2562	3034	28692940	22851450	19913740	17376950	41094	53876	41914	41098	816	100	55535	9119	6357	7883	8793	5571	3254	4129	3797	6632	1	1	346	1016
117	3734	18.22	13	168	105	56	186	320	79	187	1232400	963800	884800	758400	1580	1906	1634	1580	54	7	1777	342	318	321	234	147	117	85	70	143	0	0	3	1
118	85287	211.56	437	4754	3967	1764	2330	5392	3154	2889	21712620	17827060	15440390	13969900	35318	43526	36481	35317	1164	98	42058	6481	4372	6027	6264	4584	2748	3300	3088	5194	44	4	64	14
119	5658	13.65	24	194	156	62	224	577	148	228	2075710	1596700	1437030	1277360	2281	3385	2340	2281	59	3	2543	584	459	427	384	170	147	133	76	163	0	0	5	1
120	4126	13.79	26	349	209	85	108	207	151	116	1039170	837540	666930	604890	1551	2209	1567	1551	16	0	2186	286	143	288	390	286	136	174	190	293	7	0	0	1
121	28240	55.62	134	3127	824	536	327	1351	1152	949	5674390	4680650	4265640	3718110	11808	13829	12233	11806	427	17	13930	1774	1139	1593	1838	1681	879	1448	1728	1850	1	1	14	5
122	23372	43.06	71	680	520	667	207	929	434	1777	4637600	3976660	3663900	3195760	9608	8714	10031	9608	423	68	9245	1089	1745	1137	983	774	684	1043	447	1343	1	1	1	3
123	422.785397	0.826619	1.360897	17.389242	11.441617	14.062604	8.417401	25.857047	10.534352	12.852918	87684.1187	73070.09892	79333.25026	68894.6647	208.771711	205.94911	224.144809	208.670904	15.473905	2.721794	184.426772	39.919651	18.649332	24.697764	24.949782	18.145296	14.768255	14.667448	9.979913	18.649332	0	0	0.5	1
124	11296	39.84	90	1053	390	216	126	586	548	313	2222670	1835490	1745130	1496670	4947	5462	5179	4943	236	18	5337	678	389	677	676	684	430	428	615	760	2	0	9	3
125	10160	38.63	90	679	430	190	165	532	223	467	2363940	1948070	1859950	1597690	4376	4475	4570	4376	194	21	4827	622	553	587	594	592	343	384	433	719	0	1	12	2
126	6274	12.96	36	481	254	138	133	622	361	164	1625600	1346200	1143000	1041400	2540	3667	2584	2540	44	3	3332	534	381	477	533	419	185	195	249	359	0	0	0	1
127	4112	14.57	27	285	215	77	75	187	76	66	777380	628520	578900	512740	1654	1822	1710	1654	56	3	1879	178	84	193	263	254	128	167	240	372	1	1	2	1000
128	135108	341.88	505	8560	4657	2797	3290	14624	4768	4731	41053530	32519680	27362030	24787100	52293	81068	53762	52284	1478	96	73280	14618	9305	11036	11230	7186	4543	5458	3591	6313	2	4	271	1023
129	77174.211248	136.723374	337.639092	4155.61062	2483.558292	1876.937284	1501.582532	3811.142748	1686.465564	2001.14698	15056845.185	12580259.321	12098686.12	10669324.789	34026.226632	37312.049256	35797.853412	34024.32744	1773.525972	259.278184	34002.571764	5404.080032	2537.35052	4279.30204	4319.05002	4149.85456	3082.231628	3339.332436	2678.020008	4213.35052	4	3	38.49	9
130	14204	33.83	98	1880	465	259	141	680	425	348	2758350	2264080	2099950	1805100	5897	7221	6057	5897	160	7	7000	839	405	750	808	921	488	563	1178	1048	1	1	5	3
131	20147	64.07	119	1653	894	361	431	1028	537	527	4136400	3474130	2998910	2720320	8095	8776	8306	8093	213	18	9302	1013	601	1061	1371	1222	736	792	1099	1407	29	1	10	4
132	99875	259.82	446	4836	2639	3181	1323	7347	3717	5107	22255950	18160610	17292680	14977660	43366	46326	45001	43365	1636	338	46662	7808	7813	7183	5595	4290	2840	3638	2356	5139	4	2	185	1001017
133	10281	39.54	56	476	376	233	119	460	224	582	2530620	2073020	1987540	1746660	4576	4766	4845	4578	267	99	4471	702	608	653	514	556	398	314	246	480	2	1	0	2
134	5019	10.42	16	264	190	105	123	260	156	125	977240	821770	777350	688510	2221	2279	2253	2221	32	4	2234	283	149	284	309	290	181	220	220	298	0	0	4	1
135	48947	116.55	273	3472	1833	1123	786	4692	1078	1677	13272650	10846390	9407940	8461490	20368	26981	20804	20365	439	61	26292	4547	3268	3419	3799	3020	1496	2141	1744	2858	1	2	285	9
