SUA code,Significant Urban Area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
2003,Ballarat,80774,81654,82642,83163,84063,84971,86215,87893,89673,91635,93470,94970,96577,98125,99662,101678,103728,105785,107970,109862,111724,114198
2004,Bendigo,76312,77236,78372,79091,79666,80804,82163,83313,84600,85978,87340,88998,90772,92457,94035,95934,97505,99015,100711,102023,102940,103818
2005,Castlemaine,9358,9433,9570,9592,9603,9626,9691,9746,9794,9860,9920,10006,10134,10308,10545,10770,10888,11015,11146,11277,11291,11344
2006,Colac,11432,11446,11524,11508,11543,11519,11583,11655,11759,11888,11981,12063,12160,12245,12337,12450,12553,12651,12719,12775,12698,12621
2007,Echuca - Moama,16540,16934,17414,17575,18084,18478,18894,19182,19375,19541,19659,19907,20164,20414,20625,20848,21164,21464,21768,22118,22487,22767
2008,Geelong,199732,203222,205518,207209,208839,210899,213722,217023,220553,224213,227957,231875,236535,241426,247166,254296,261802,269255,277059,283810,289566,295434
2009,Gisborne,16042,16146,16282,16528,16727,16930,17160,17504,17944,18226,18570,19066,19489,19913,20439,21011,21398,21749,22002,22223,22378,22567
2010,Horsham,14767,14767,14766,14858,14979,15226,15386,15554,15748,15918,16099,16170,16245,16307,16363,16462,16559,16631,16754,16942,16951,16930
2011,Melbourne,3428284,3472876,3520431,3567549,3621982,3684467,3764988,3853611,3952768,4025509,4087822,4182177,4284146,4388223,4496141,4622029,4725771,4820433,4908554,4961588,4874520,4933678
2012,Mildura - Buronga,44593,45148,45401,45673,46068,46763,47194,47596,47883,48219,48505,49061,49677,50196,50580,51051,51821,52583,53242,53848,53675,54013
2013,Moe - Newborough,21640,21678,21659,21612,21466,21394,21248,21251,21249,21366,21432,21419,21413,21390,21400,21483,21555,21629,21729,21861,21965,22047
2014,Portland,10746,10746,10748,10752,10768,10804,10800,10812,10812,10856,10894,10906,10917,10922,10919,10943,10997,11067,11150,11198,11183,11171
2015,Sale,13676,13673,13685,13724,13820,13942,14019,14134,14222,14315,14441,14568,14666,14729,14781,14891,14914,14988,15075,15173,15264,15319
2016,Shepparton - Mooroopna,42835,43308,43694,43728,43722,44096,44639,45304,46263,47068,47571,48356,48988,49632,50161,50708,51517,52346,53208,53903,53986,54329
2017,Swan Hill,10077,10075,10067,10095,10088,10090,10228,10333,10516,10536,10610,10780,10888,10959,11022,11079,11153,11216,11264,11278,11173,11025
2018,Traralgon - Morwell,36365,36507,36665,36829,37166,37780,38340,38941,39489,40051,40609,40831,40954,40999,41125,41385,41768,42162,42546,42916,43144,43497
2019,Wangaratta,17109,17123,17136,17175,17223,17320,17419,17541,17676,17837,17980,18144,18294,18437,18624,18940,19193,19471,19624,19716,19884,19960
2020,Warragul - Drouin,24085,24342,24631,24994,25431,26009,26581,27217,28057,29231,30287,31330,32313,33205,34253,35523,36883,38281,39730,41297,42898,44306
2021,Warrnambool,29559,30027,30365,30634,30920,31320,31716,32010,32334,32691,33020,33399,33769,34084,34367,34615,34887,35180,35448,35762,35768,35890
3000,Not in any Significant Urban Area (Qld),616411,621862,627399,632370,639708,647702,657969,670041,683169,691430,699426,707638,715815,720155,720367,721229,724990,728732,733483,739079,745704,757262
3001,Airlie Beach - Cannonvale,8192,8504,8737,8962,9400,9804,10102,10419,10646,10816,10982,11605,12132,12583,12996,13375,13792,14103,14311,14650,14767,15108
3002,Brisbane,1641098,1682417,1726254,1767859,1808764,1849072,1898543,1950213,2004295,2042561,2080358,2127718,2170916,2208619,2244530,2287295,2333063,2377583,2424899,2466336,2487568,2543197
3003,Bundaberg,58111,59010,59864,60985,62496,64008,65278,66844,67967,68707,69095,69818,70166,70221,70156,70179,71019,71990,72911,73629,74413,75796
3004,Cairns,105373,107206,110165,113202,116891,121276,125292,130197,134355,137151,139212,142038,144602,146329,147603,149182,151150,152803,154034,155321,155574,157889
3005,Emerald,10035,10404,10678,10998,11336,11695,12117,12550,12979,13302,13632,13797,13932,13973,13951,13867,13917,14065,14216,14306,14352,14621
3006,Gladstone,34129,35009,35971,37190,37833,38763,39760,40779,41669,42023,43166,43663,44657,45415,45632,44954,44854,45091,45513,45715,45754,46302
3007,Gold Coast - Tweed Heads,430716,447125,464836,479581,492727,506937,524979,541153,556785,568024,577614,591453,604584,615373,627217,642002,656327,669992,682344,694626,701928,715653
3008,Gympie,16279,16378,16633,16931,17276,17644,18176,18756,19378,19704,19971,20431,20715,20903,21024,21315,21644,21858,22205,22454,22693,23143
3009,Hervey Bay,34110,34995,36802,38975,40802,42706,44679,46536,48205,49245,49835,50596,51242,51929,52429,53016,54067,55344,56343,57267,58228,59617
3010,Kingaroy,8261,8386,8473,8582,8747,8966,9206,9394,9633,9851,10074,10469,10588,10525,10516,10464,10480,10511,10535,10582,10659,10755
3011,Mackay,60722,62327,63887,65994,68690,71354,73055,74710,76586,78053,79683,80584,81450,81454,81110,80411,80941,81836,82793,84207,85408,86740
3012,Maryborough,24395,24696,25081,25427,25780,26071,26247,26487,26680,26827,26893,26981,27114,27162,27219,27240,27334,27388,27491,27644,27820,28041
3013,Mount Isa,20262,19749,19528,19450,19739,19905,20222,20877,21079,21287,21514,21435,21349,20844,20227,19306,19017,18895,18765,18906,18798,18652
3014,Rockhampton,66303,66832,67540,68572,69600,70862,71926,73090,74282,74995,75730,77301,78526,79096,79109,78598,78734,78800,79219,79696,80216,81021
3015,Sunshine Coast,229594,237586,247565,256753,264035,270853,277932,286269,294143,299518,303824,311899,319569,326780,333833,341635,350751,360584,370253,379141,387472,396969
3016,Toowoomba,107975,109431,111283,113384,116121,118145,119863,121820,123869,125375,126426,128484,130089,131367,132532,133654,136054,138336,140465,142361,143942,146786
3017,Townsville,131018,133883,136563,139715,143720,147714,151560,156310,160657,164030,167561,170885,173600,175762,176906,178244,179275,179802,180239,181098,181609,183898
3018,Warwick,13364,13434,13514,13682,13959,14170,14331,14523,14714,14829,14950,15194,15496,15484,15417,15395,15461,15547,15604,15622,15756,15892
3019,Yeppoon,12256,12633,13072,13594,13817,14231,14972,15386,16097,16455,16815,17393,17830,18076,18355,18539,18886,19290,19699,20104,20574,21178
4000,Not in any Significant Urban Area (SA),250242,250514,250993,251425,252128,252871,254318,255212,256248,257439,257489,259605,261459,263426,265165,266405,267804,269391,271051,272688,274816,276357
4001,Adelaide,1130517,1137315,1144501,1150809,1159514,1171362,1186192,1201406,1219091,1234762,1245896,1259590,1271393,1283724,1294981,1305526,1319651,1334880,1353534,1373759,1382690,1398863
4002,Mount Gambier,25999,26170,26428,26540,26848,26974,27317,27547,27786,28192,28279,28618,28883,29178,29405,29532,29567,29738,29916,30154,30270,30435
4003,Murray Bridge,13841,14037,14190,14384,14648,14849,15279,15879,16293,16579,17071,17308,17536,17754,17963,18196,18317,18474,18627,18787,18855,19067
4004,Port Augusta,13495,13416,13639,13639,13655,13780,13799,13906,14026,14065,14084,14126,14173,14181,14130,14053,14053,14065,14067,14072,14120,14120
4005,Port Lincoln,14443,14514,14642,14657,14689,14770,14934,15130,15335,15502,15621,15766,15882,16057,16157,16198,16327,16443,16578,16673,16842,16928
4006,Port Pirie,14322,14334,14235,14202,14179,14244,14296,14280,14284,14351,14281,14354,14420,14484,14425,14347,14316,14298,14287,14280,14290,14201
4007,Victor Harbor - Goolwa,18599,19285,19851,20569,21245,21724,22360,23077,23540,24055,24422,24820,25162,25517,25851,26154,26476,26838,27354,27998,28856,29429
4008,Whyalla,22003,21982,21920,21964,21898,21955,22124,22228,22299,22377,22471,22538,22580,22624,22591,22432,22162,22010,21981,21944,21862,21800
5000,Not in any Significant Urban Area (WA),254536,255112,255458,255183,256967,258986,260537,265568,271274,275070,279973,285912,290189,288931,286587,283116,282887,282332,282338,283945,286233,288946
5001,Albany,28557,28897,29183,29383,29835,30242,30369,30740,31154,31479,31791,32488,33060,33555,33767,33784,34308,34831,35337,35881,36290,36559
5002,Broome,10980,11366,11617,11860,12064,12186,12400,12676,12841,13055,13314,13943,14710,14639,14613,14535,14752,14954,15155,15444,15658,15774
5003,Bunbury,50355,50793,51423,52924,55430,58062,59301,61672,64159,66027,67860,69893,71630,72650,73476,73678,74680,75749,76797,78077,79233,80109
5004,Busselton,23134,23890,24215,24695,25945,26664,27144,28320,29517,30611,31475,33141,34626,35845,36866,37690,38527,39210,40091,40961,41909,42794
5005,Esperance,11029,11128,11272,11333,11360,11431,11489,11559,11607,11673,11777,12021,12199,12385,12519,12355,12334,12298,12369,12402,12457,12543
5006,Geraldton,32124,32398,32468,32623,33232,33894,34140,35072,35908,36335,36884,37667,38437,38792,38705,38369,38538,38860,39106,39652,40264,40648
5007,Kalgoorlie - Boulder,29502,29481,29814,29721,29653,29893,30044,30688,31228,31490,31933,32522,32966,32232,31519,30652,30713,30547,30419,30360,30421,30459
5008,Karratha,10559,11229,12020,12742,13496,14440,14793,15239,15749,16265,17007,17466,17927,17698,17073,16363,16496,16815,17290,17725,17888,18239
5009,Perth,1443089,1461737,1482696,1506590,1530805,1562246,1613345,1667233,1723325,1764896,1817023,1875801,1926352,1956188,1980960,2001025,2027973,2057415,2095536,2142717,2172759,2206474
5010,Port Hedland,12409,12481,12575,12488,12420,12537,12577,12933,13488,13944,14372,14653,14848,14693,14587,14411,14512,14781,15187,15748,16253,16603
6000,Not in any Significant Urban Area (Tas.),143728,143899,145005,146344,147569,148735,149693,151076,152566,153439,153748,153463,153119,153066,152891,153106,155018,157625,160355,163538,167512,169239
6001,Burnie - Somerset,26395,26350,26582,26873,26926,27145,27330,27553,27768,27891,28019,27801,27539,27340,27170,26978,27164,27481,27795,28125,28499,28632
6002,Devonport,28443,28313,28607,28935,29085,28982,29184,29593,30015,30242,30392,30185,30037,29961,29875,29900,30345,30922,31521,32032,32581,32736
6003,Hobart,181840,182045,183907,185655,186825,187988,189671,191901,194566,197020,198534,199796,201295,203192,205171,207396,212434,217626,222690,226686,230040,231481
6004,Launceston,79379,79728,80553,81425,81952,82395,83215,84049,84880,85584,86051,85786,85619,85523,85557,85732,87236,88874,90499,91991,93192,93447
6005,Ulverstone,13883,13817,13880,13946,13845,14057,14169,14396,14558,14671,14739,14693,14622,14539,14453,14402,14565,14763,14981,15206,15415,15478
7000,Not in any Significant Urban Area (NT),75164,75481,75348,75678,77007,78180,79827,81802,83851,85334,85808,86947,88073,87684,86752,86062,85701,85330,85271,85200,85170,85828
7001,Alice Springs,26849,26775,26665,26583,26572,26700,26961,27466,28068,28397,28489,28355,28124,27486,26843,26518,26889,27223,27600,28029,28483,28855
7002,Darwin,99730,99995,99712,100402,102326,104177,106960,110606,114108,116047,116995,120613,125525,127724,131097,133098,134822,134542,133688,134199,134498,135536
8000,Not in any Significant Urban Area (ACT),953,942,918,900,882,861,848,842,858,905,934,948,966,980,995,994,992,1006,987,1022,1049,1044
8001,Canberra - Queanbeyan,352781,356727,360528,362484,365554,369880,377703,383987,390945,398505,405032,413648,420382,425909,432759,439991,452052,463152,472792,481786,489227,493587
9000,Not in any Significant Urban Area (OT),2584,2397,2336,2356,2381,2379,2514,2683,2876,3055,3117,3033,2962,2896,2851,4608,4671,4725,4776,4803,4850,4925
