City,2015,2016,2017,2018,2019,2021,2022
22140,29301,24929,29763,26604,27685,29832,26406
22180,75559,80103,85645,81924,119520,109650,114697
22220,113373,114339,117720,123887,,,
22380,25871,27566,29063,26741,25869,26719,23277
22420,100233,101894,101012,103180,99204,100908,101399
22500,56074,51217,50511,55766,55523,52521,55310
22520,40292,40235,41871,46106,42770,43446,41625
22540,30395,29497,28544,28815,29226,29442,32059
22660,55497,58429,58781,54620,54821,55246,54045
22900,74320,80528,75523,76253,66664,68933,70210
23060,99193,97019,101185,97259,88661,93748,97504
23420,167815,170377,170125,168810,170262,191748,189702
23460,24576,26695,26817,26930,25160,30812,26224
23540,48266,51671,54146,49197,62454,68399,63993
23580,40662,43487,43501,44211,42075,48856,47033
23900,33938,33063,32463,32177,35932,34895,35327
24020,35609,36699,36559,34159,34989,33342,37486
24140,27776,28682,31185,27340,30051,27667,30303
24220,19885,22682,19997,21422,16321,18569,20101
24260,22398,20233,20707,19114,18809,18742,18775
24300,31099,35699,32894,32125,34213,35577,40776
24340,217218,221863,218673,225848,,,
24420,24492,19727,21720,21799,23080,21248,23516
24500,22523,19534,22237,20647,21779,22046,24315
24540,59115,64767,64530,68696,63453,62151,68568
24580,79508,82134,76719,79920,80183,81880,82359
24660,157565,161213,154510,154330,162243,157741,163311
24780,30916,31897,28575,31761,38260,33679,30776
24860,190885,183488,189908,191697,,,
25020,23040,19251,21684,22256,20788,18959,17450
25060,91714,93072,92627,89975,,,
25180,77434,77394,73105,76497,84784,89751,87631
25220,35179,33160,39916,38364,35074,38160,40571
25260,27327,34298,30017,31914,28314,35012,37117
25420,153693,147909,155101,151788,153002,163143,156698
25500,31089,32531,33587,34902,33768,37770,34828
25540,256636,263412,262992,250870,,,
25620,30915,30475,27852,27013,35770,36413,41343
25860,88863,95323,94699,93583,94183,93549,97776
25940,44490,43969,45877,48927,,,
25980,21347,21799,17803,21121,22057,19756,24210
26140,47729,46293,50029,48397,40465,52846,50898
26300,25297,23227,24276,27461,25611,28570,24647
26380,63258,63022,60029,62526,62070,62297,59164
26420,1190077,1223642,1221365,1247189,1289297,1295775,1343997
26580,107352,99814,110175,101899,104573,103081,98293
26620,86235,85068,79932,80581,87048,85700,91312
26820,29167,25977,26098,29024,28945,29943,31845
26900,431449,428518,426239,428679,458256,456355,435280
26980,30759,26938,26839,24339,25914,25756,27326
27060,15490,17144,17183,14587,12971,15983,13617
27100,42735,36311,41649,43550,44167,44901,47502
27140,110932,115708,114697,111468,117624,110441,114441
27180,35978,40845,39926,34027,51796,49216,56827
27260,323320,319980,338656,341341,355054,346048,355544
27340,51852,50898,54093,55221,52707,61054,57532
27500,46493,43797,46171,47305,47158,41350,43542
27620,38186,39337,41225,38706,38615,42711,38783
27740,55491,54038,54521,53499,56459,50331,56693
27780,48517,45120,47885,47007,47975,44145,47949
27860,33386,36487,34221,35050,32845,30429,36220
27900,44759,50028,44854,48576,46507,46100,50922
27980,41379,45379,42213,42442,41661,41873,41295
28020,62157,66526,61676,67475,49479,46559,50758
28100,28369,28363,27911,29702,33087,29868,28952
28140,425084,419778,421795,428349,454184,431939,445062
28420,53258,48945,55752,54943,55040,59047,64133
28660,93891,92197,89288,99862,100153,108533,107659
28700,87661,92116,91381,89886,,,
28740,46382,43378,44185,41957,40875,36767,40864
28940,217993,209967,222641,214895,215517,222595,221876
29020,23385,24607,25432,22564,21570,24584,25132
29100,30101,27750,31202,29818,30136,29427,31212
29180,128071,132838,138240,134637,134944,130607,129884
29200,46704,45120,47144,48937,57824,52531,59302
29340,54353,54342,56308,54231,54980,52938,54025
29420,66251,58951,61312,59688,61433,63901,65735
29460,179527,184144,185552,197829,196407,218625,216759
29540,151026,150567,144633,144944,145890,150419,150534
29620,88223,90786,94296,88139,115923,116286,114741
29700,52798,55063,58461,43511,40651,43278,48743
29740,36343,38128,38301,39750,37063,40239,49880
29820,470349,501834,514170,507593,521708,517218,533552
29940,20155,19754,19065,15593,21409,18829,23689
30020,33026,34833,32384,31844,34879,32903,34235
30140,45622,48413,46024,49329,50103,43236,41837
30300,16062,15544,13267,16481,14990,17257,16617
30340,29815,31745,29660,29486,29385,31818,32864
30460,97416,100392,97455,96383,100715,100518,96252
30620,30516,30303,30563,31562,32983,34997,29563
30700,53434,52311,57022,55042,53578,57411,62640
30780,157864,165962,170473,170992,175251,168087,171544
30860,22006,19364,19806,22119,23183,26182,25133
30980,47992,51379,49975,55844,68338,69134,71828
31020,25112,26516,24983,27732,25999,30286,30024
31080,2195560,2156959,2173691,2149985,2170219,2167666,2165613
31140,305665,293062,314463,300168,299730,308381,294349
31180,63068,57726,65804,65395,63835,66057,65863
31340,64413,63003,65997,67213,63138,64619,61709
31420,59319,,,,,,
31460,31003,29509,27972,28552,29424,32268,27447
31540,113036,110112,112482,109973,109888,121869,118690
31700,86303,86219,90881,88097,90037,89684,96888
31740,16784,18011,16980,15622,23392,25504,26737
31860,17695,22281,17356,18628,,,
31900,39940,38966,37004,37435,37733,41152,42918
32420,25345,20432,19957,18046,21886,22378,24894
32580,134390,136318,144217,146853,149053,166308,166316
32780,49876,45462,47715,43645,51779,47211,48811
32820,306845,287278,308288,303973,299795,307515,300928
32900,47049,48188,48267,53417,49068,60905,68627
