"South Bend, IN--MI","276,498 ","1,740 "
"Fayetteville, NC","276,368 ","1,676 "
"Shreveport, LA","275,213 ","1,882 "
"Boise City, ID","272,625 ","1,589 "
"Port St. Lucie, FL","270,774 ","1,980 "
"Davenport, IA--IL","270,626 ","1,780 "
"Rockford, IL","270,414 ","1,881 "
"Trenton, NJ","268,472 ","1,179 "
"Greensboro, NC","267,884 ","1,787 "
"Canton, OH","266,595 ","1,959 "
"Lancaster--Palmdale, CA","263,532 ","1,297 "
"Daytona Beach--Port Orange, FL","255,353 ","1,902 "
"Indio--Cathedral City--Palm Springs, CA","254,856 ","1,225 "
"Lexington-Fayette, KY","250,994 ","1,006 "
"Peoria, IL","247,172 ","1,479 "
"Barnstable Town, MA","243,667 ","2,973 "
"Columbus, GA--AL","242,324 ","2,385 "
"Reading, PA","240,264 ","1,223 "
"San Rafael--Novato, CA","232,836 ", -
"Temecula--Murrieta, CA","229,810 ",805 
"Atlantic City, NJ","227,180 ","1,636 "
"Round Lake Beach--McHenry--Grayslake, IL--WI","226,848 ",297 
"Lincoln, NE","226,582 ","1,363 "
"Anchorage, AK","225,744 ",910 
"Eugene, OR","224,049 ","1,072 "
"Asheville, NC","221,570 ","2,228 "
"Bonita Springs--Naples, FL","221,251 ","1,380 "
"Antioch, CA","217,591 ",764 
"Springfield, MO","215,004 ","1,499 "
"Huntsville, AL","213,253 ","1,682 "
"Evansville, IN--KY","211,989 ","1,281 "
"Thousand Oaks, CA","210,990 ",696 
"Savannah, GA","208,886 ","1,842 "
"Salem, OR","207,229 ",898 
"Fort Collins, CO","206,633 ","1,319 "
"Gulfport--Biloxi, MS","205,754 ","1,907 "
"Tallahassee, FL","204,260 ","1,190 "
"Lubbock, TX","202,225 ","1,510 "
"Victorville--Hesperia--Apple Valley, CA","200,436 ","1,342 "
"Lakeland, FL","199,487 ","1,699 "
"Roanoke, VA","197,442 ","1,183 "
"Nashua, NH--MA","197,155 ","1,470 "
"Montgomery, AL","196,892 ","1,730 "
"Santa Barbara, CA","196,263 ",735 
"Ponce, PR","195,037 ",579 
"Erie, PA","194,804 ",925 
"Lorain--Elyria, OH","193,586 ",884 
"York, PA","192,903 ","1,217 "
"Waterbury, CT","189,026 ",822 
"Portland, ME","188,080 ","1,077 "
"Kalamazoo, MI","187,961 ","1,207 "
"Hickory, NC","187,808 ","1,976 "
"Appleton, WI","187,683 ","1,385 "
"Green Bay, WI","187,316 ","1,313 "
"Kissimmee, FL","186,667 ","1,259 "
"Charleston, WV","182,991 ","1,257 "
"Amarillo, TX","179,312 ","1,329 "
"Salinas, CA","179,173 ",624 
"Bremerton, WA","178,369 ","1,097 "
"Lafayette, LA","178,079 ","1,134 "
"Huntington, WV--KY--OH","177,550 ","1,372 "
"Laredo, TX","175,586 ",884 
"Aberdeen--Havre de Grace--Bel Air, MD","174,598 ","1,039 "
"Norwich--New London, CT","173,160 ","1,458 "
"Fayetteville--Springdale, AR","172,585 ","2,663 "
"Santa Clarita, CA","170,481 ",310 
"Killeen, TX","167,976 ","1,156 "
"Brownsville, TX","165,776 ",918 
"Wilmington, NC","161,149 ","1,095 "
"Gainesville, FL","159,508 ","1,054 "
"Vallejo, CA","158,967 ",489 
"Binghamton, NY--PA","158,884 ","1,091 "
"Santa Cruz, CA","157,348 ",470 
"Cedar Rapids, IA","155,334 ","1,271 "
"Muskegon, MI","154,729 ","1,084 "
"Danbury, CT--NY","154,455 ",836 
"Winter Haven, FL","153,924 ","1,404 "
"Kennewick--Richland, WA","153,851 ","1,295 "
"Springfield, IL","153,516 ","1,119 "
"Waco, TX","153,198 ","1,361 "
"Fort Walton Beach, FL","152,741 ","1,494 "
"Deltona, FL","147,713 ","1,067 "
"New Bedford, MA","146,730 ",829 
"Arecibo, PR","145,643 ",618 
"Spartanburg, SC","145,058 ","1,182 "
"Olympia--Lacey, WA","143,826 ",841 
"Manchester, NH","143,549 ",864 
"Fargo, ND--MN","142,477 ",845 
"Topeka, KS","142,411 ","1,220 "
"Gastonia, NC","141,407 ",420 
"Saginaw, MI","140,985 ",789 
"Beaumont, TX","139,304 ","1,802 "
"Murfreesboro, TN","135,855 ",64 
"Macon, GA","135,170 ","1,245 "
"Lake Charles, LA","132,977 ",978 
"High Point, NC","132,844 ","1,325 "
"College Station--Bryan, TX","132,500 ",779 
"Panama City, FL","132,419 ","1,339 "
"Elkhart, IN--MI","131,226 ","1,045 "
"Racine, WI","129,545 ",614 
"Medford, OR","128,780 ",819 
"Houma, LA","125,929 ",720 
"Lafayette, IN","125,738 ",637 
"Seaside--Monterey--Marina, CA","125,503 ",657 
"Sioux Falls, SD","124,269 ","1,123 "
"Champaign, IL","123,938 ",651 
"Pueblo, CO","123,351 ","1,144 "
"Myrtle Beach, SC","122,984 ",759 
"North Port--Punta Gorda, FL","122,421 ","2,071 "
"Clarksville, TN--KY","121,775 ",851 
"Vero Beach--Sebastian, FL","120,962 ","1,062 "
"Hagerstown, MD--WV--PA","120,326 ",781 
"Santa Maria, CA","120,297 ",375 
"Visalia, CA","120,044 ",545 
"Mayaguez, PR","119,350 ",458 
