Region,Codigo region,Comuna,Codigo comuna,Poblacion,Casos Confirmados
Metropolitana,13,Isla de Maipo,13603,40171.0,4160.0
Metropolitana,13,La Cisterna,13109,100434.0,10667.0
Metropolitana,13,La Florida,13110,402433.0,44569.0
Metropolitana,13,La Granja,13111,122557.0,17467.0
Metropolitana,13,La Pintana,13112,189335.0,26912.0
Metropolitana,13,La Reina,13113,100252.0,7770.0
Metropolitana,13,Lampa,13302,126898.0,11056.0
Metropolitana,13,Las Condes,13114,330759.0,20699.0
Metropolitana,13,Lo Barnechea,13115,124076.0,10268.0
Metropolitana,13,Lo Espejo,13116,103865.0,11358.0
Metropolitana,13,Lo Prado,13117,104403.0,14536.0
Metropolitana,13,Macul,13118,134635.0,14340.0
Metropolitana,13,Maipu,13119,578605.0,49395.0
Metropolitana,13,Maria Pinto,13504,14926.0,1645.0
Metropolitana,13,Melipilla,13501,141612.0,12976.0
Metropolitana,13,Nunoa,13120,250192.0,18146.0
Metropolitana,13,Padre Hurtado,13604,74188.0,8558.0
Metropolitana,13,Paine,13404,82766.0,7883.0
Metropolitana,13,Pedro Aguirre Cerda,13121,107803.0,13305.0
Metropolitana,13,Penaflor,13605,101058.0,9750.0
Metropolitana,13,Penalolen,13122,266798.0,33243.0
Metropolitana,13,Pirque,13202,30433.0,3479.0
Metropolitana,13,Providencia,13123,157749.0,10572.0
Metropolitana,13,Pudahuel,13124,253139.0,29568.0
Metropolitana,13,Puente Alto,13201,645909.0,75859.0
Metropolitana,13,Quilicura,13125,254694.0,23105.0
Metropolitana,13,Quinta Normal,13126,136368.0,17102.0
Metropolitana,13,Recoleta,13127,190075.0,19621.0
Metropolitana,13,Renca,13128,160847.0,25144.0
Metropolitana,13,San Bernardo,13401,334836.0,36875.0
Metropolitana,13,San Joaquin,13129,103485.0,14032.0
Metropolitana,13,San Jose de Maipo,13203,18644.0,1957.0
Metropolitana,13,San Miguel,13130,133059.0,16510.0
Metropolitana,13,San Pedro,13505,11953.0,997.0
Metropolitana,13,San Ramon,13131,86510.0,11263.0
Metropolitana,13,Santiago,13101,503147.0,46400.0
Metropolitana,13,Talagante,13601,81838.0,5655.0
Metropolitana,13,Tiltil,13303,21477.0,2017.0
Metropolitana,13,Vitacura,13132,96774.0,5661.0
Metropolitana,13,Desconocido Metropolitana,,,13854.0
O’Higgins,06,Chepica,06302,15925.0,1230.0
O’Higgins,06,Chimbarongo,06303,37696.0,2373.0
O’Higgins,06,Codegua,06102,14096.0,1161.0
O’Higgins,06,Coinco,06103,7831.0,607.0
O’Higgins,06,Coltauco,06104,21263.0,1512.0
O’Higgins,06,Donihue,06105,22700.0,1927.0
O’Higgins,06,Graneros,06106,36504.0,3336.0
O’Higgins,06,La Estrella,06202,3114.0,205.0
O’Higgins,06,Las Cabras,06107,26749.0,2618.0
O’Higgins,06,Litueche,06203,6765.0,610.0
O’Higgins,06,Lolol,06304,7289.0,312.0
O’Higgins,06,Machali,06108,59913.0,4139.0
O’Higgins,06,Malloa,06109,14163.0,1158.0
O’Higgins,06,Marchihue,06204,7632.0,531.0
O’Higgins,06,Mostazal,06110,27462.0,2205.0
O’Higgins,06,Nancagua,06305,19141.0,1516.0
O’Higgins,06,Navidad,06205,6904.0,543.0
O’Higgins,06,Olivar,06111,14624.0,1464.0
O’Higgins,06,Palmilla,06306,13299.0,926.0
O’Higgins,06,Paredones,06206,6349.0,539.0
O’Higgins,06,Peralillo,06307,11848.0,931.0
O’Higgins,06,Peumo,06112,14952.0,1247.0
O’Higgins,06,Pichidegua,06113,20743.0,1841.0
O’Higgins,06,Pichilemu,06201,17882.0,1251.0
O’Higgins,06,Placilla,06308,9164.0,795.0
O’Higgins,06,Pumanque,06309,3531.0,254.0
O’Higgins,06,Quinta de Tilcoco,06114,13877.0,920.0
O’Higgins,06,Rancagua,06101,265211.0,25794.0
O’Higgins,06,Rengo,06115,63710.0,5932.0
O’Higgins,06,Requinoa,06116,30371.0,2598.0
O’Higgins,06,San Fernando,06301,78642.0,7042.0
O’Higgins,06,San Vicente,06117,50617.0,4396.0
O’Higgins,06,Santa Cruz,06310,41096.0,2702.0
O’Higgins,06,Desconocido O’Higgins,,,370.0
Maule,07,Cauquenes,07201,44143.0,3211.0
Maule,07,Chanco,07202,9331.0,560.0
Maule,07,Colbun,07402,22565.0,2404.0
Maule,07,Constitucion,07102,50348.0,5106.0
Maule,07,Curepto,07103,9426.0,670.0
Maule,07,Curico,07301,163626.0,20084.0
Maule,07,Empedrado,07104,4206.0,356.0
Maule,07,Hualane,07302,10222.0,911.0
Maule,07,Licanten,07303,6989.0,709.0
Maule,07,Linares,07401,101073.0,9940.0
Maule,07,Longavi,07403,32810.0,3665.0
Maule,07,Maule,07105,60000.0,5327.0
Maule,07,Molina,07304,49800.0,5131.0
Maule,07,Parral,07404,44544.0,4593.0
Maule,07,Pelarco,07106,9083.0,885.0
Maule,07,Pelluhue,07203,8092.0,763.0
Maule,07,Pencahue,07107,8601.0,806.0
Maule,07,Rauco,07305,11248.0,1366.0
Maule,07,Retiro,07405,21071.0,1912.0
Maule,07,Rio Claro,07108,14753.0,1518.0
Maule,07,Romeral,07306,16170.0,2016.0
Maule,07,Sagrada Familia,07307,19469.0,1553.0
Maule,07,San Clemente,07109,46292.0,4708.0
Maule,07,San Javier,07406,49451.0,5182.0
Maule,07,San Rafael,07110,9959.0,1214.0
Maule,07,Talca,07101,236724.0,21989.0
Maule,07,Teno,07308,30850.0,3274.0
Maule,07,Vichuquen,07309,4381.0,407.0
Maule,07,Villa Alegre,07407,17512.0,1423.0
Maule,07,Yerbas Buenas,07408,19200.0,1963.0
Maule,07,Desconocido Maule,,,86.0
Ñuble,16,Bulnes,16102,22607.0,2262.0
Ñuble,16,Chillan,16101,198624.0,19673.0
Ñuble,16,Chillan Viejo,16103,33827.0,2839.0
Ñuble,16,Cobquecura,16202,5275.0,265.0
Ñuble,16,Coelemu,16203,16845.0,1105.0
Ñuble,16,Coihueco,16302,28375.0,2546.0
Ñuble,16,El Carmen,16104,12334.0,815.0
Ñuble,16,Ninhue,16204,5414.0,468.0
Ñuble,16,Niquen,16303,11567.0,1170.0
Ñuble,16,Pemuco,16105,8639.0,759.0
Ñuble,16,Pinto,16106,11880.0,814.0
Ñuble,16,Portezuelo,16205,4940.0,332.0
Ñuble,16,Quillon,16107,18777.0,1568.0
Ñuble,16,Quirihue,16201,12192.0,877.0
Ñuble,16,Ranquil,16206,6261.0,461.0
Ñuble,16,San Carlos,16301,56252.0,6001.0
Ñuble,16,San Fabian,16304,4654.0,369.0
Ñuble,16,San Ignacio,16108,16624.0,1277.0
Ñuble,16,San Nicolas,16305,12172.0,1252.0
Ñuble,16,Treguaco,16207,5696.0,489.0
Ñuble,16,Yungay,16109,18596.0,1326.0
Ñuble,16,Desconocido Nuble,,,55.0
Biobío,08,Alto Biobio,08314,6775.0,1045.0
Biobío,08,Antuco,08302,4306.0,385.0
Biobío,08,Arauco,08202,38679.0,5141.0
Biobío,08,Cabrero,08303,30725.0,3092.0
Biobío,08,Canete,08203,37003.0,3965.0
Biobío,08,Chiguayante,08103,91180.0,9861.0
Biobío,08,Concepcion,08101,238092.0,25198.0
Biobío,08,Contulmo,08204,6330.0,711.0
Biobío,08,Coronel,08102,125829.0,16045.0
Biobío,08,Curanilahue,08205,33892.0,4138.0
Biobío,08,Florida,08104,11841.0,1125.0
Biobío,08,Hualpen,08112,97273.0,11495.0
Biobío,08,Hualqui,08105,26201.0,2898.0
Biobío,08,Laja,08304,23873.0,2674.0
Biobío,08,Lebu,08201,27100.0,2493.0
Biobío,08,Los Alamos,08206,22524.0,2433.0
Biobío,08,Los Angeles,08301,218515.0,25895.0
Biobío,08,Lota,08106,45750.0,6105.0
Biobío,08,Mulchen,08305,31041.0,3956.0
Biobío,08,Nacimiento,08306,27944.0,3056.0
Biobío,08,Negrete,08307,10429.0,1403.0
Biobío,08,Penco,08107,49865.0,6035.0
Biobío,08,Quilaco,08308,4179.0,402.0
Biobío,08,Quilleco,08309,10032.0,1098.0
Biobío,08,San Pedro de la Paz,08108,145906.0,14794.0
Biobío,08,San Rosendo,08310,3611.0,339.0
Biobío,08,Santa Barbara,08311,14592.0,1552.0
Biobío,08,Santa Juana,08109,14779.0,1669.0
Biobío,08,Talcahuano,08110,158345.0,17728.0
Biobío,08,Tirua,08207,11019.0,1383.0
Biobío,08,Tome,08111,58729.0,5692.0
Biobío,08,Tucapel,08312,15205.0,1224.0
Biobío,08,Yumbel,08313,22132.0,2139.0
Biobío,08,Desconocido Biobio,,,430.0
Araucanía,09,Angol,09201,56058.0,6125.0
Araucanía,09,Carahue,09102,25486.0,2704.0
Araucanía,09,Cholchol,09121,12341.0,1177.0
Araucanía,09,Collipulli,09202,26148.0,3459.0
Araucanía,09,Cunco,09103,18055.0,1729.0
Araucanía,09,Curacautin,09203,18178.0,1435.0
Araucanía,09,Curarrehue,09104,7802.0,997.0
Araucanía,09,Ercilla,09204,8458.0,1326.0
Araucanía,09,Freire,09105,25446.0,2617.0
Araucanía,09,Galvarino,09106,12633.0,2390.0
Araucanía,09,Gorbea,09107,15148.0,1465.0
Araucanía,09,Lautaro,09108,40746.0,4575.0
Araucanía,09,Loncoche,09109,24739.0,2310.0
Araucanía,09,Lonquimay,09205,11049.0,1110.0
Araucanía,09,Los Sauces,09206,7517.0,914.0
Araucanía,09,Lumaco,09207,10050.0,1157.0
Araucanía,09,Melipeuco,09110,6265.0,537.0
Araucanía,09,Nueva Imperial,09111,33777.0,3317.0
Araucanía,09,Padre Las Casas,09112,82110.0,9514.0
Araucanía,09,Perquenco,09113,7223.0,1087.0
Araucanía,09,Pitrufquen,09114,26096.0,2762.0
Araucanía,09,Pucon,09115,29782.0,3277.0
Araucanía,09,Puren,09208,12188.0,1065.0
Araucanía,09,Renaico,09209,10833.0,1758.0
Araucanía,09,Saavedra,09116,12793.0,1639.0
Araucanía,09,Temuco,09101,302931.0,31690.0
Araucanía,09,Teodoro Schmidt,09117,15786.0,1573.0
Araucanía,09,Tolten,09118,10055.0,1226.0
Araucanía,09,Traiguen,09210,19314.0,2007.0
Araucanía,09,Victoria,09211,35467.0,3545.0
Araucanía,09,Vilcun,09119,30766.0,3522.0
Araucanía,09,Villarrica,09120,59103.0,6138.0
Araucanía,09,Desconocido Araucania,,,40.0
Los Ríos,14,Corral,14102,5447.0,752.0
Los Ríos,14,Futrono,14202,15261.0,2885.0
Los Ríos,14,La Union,14201,39538.0,5323.0
Los Ríos,14,Lago Ranco,14203,10292.0,1835.0
Los Ríos,14,Lanco,14103,17652.0,2515.0
Los Ríos,14,Los Lagos,14104,20518.0,3689.0
Los Ríos,14,Mafil,14105,7389.0,1158.0
Los Ríos,14,Mariquina,14106,23250.0,3317.0
Los Ríos,14,Paillaco,14107,20798.0,2683.0
Los Ríos,14,Panguipulli,14108,35991.0,5987.0
Los Ríos,14,Rio Bueno,14204,32925.0,3724.0
Los Ríos,14,Valdivia,14101,176774.0,22080.0
Los Ríos,14,Desconocido Los Rios,,,79.0
Los Lagos,10,Ancud,10202,42458.0,4512.0
Los Lagos,10,Calbuco,10102,36744.0,4810.0
Los Lagos,10,Castro,10201,47607.0,5000.0
Los Lagos,10,Chaiten,10401,5020.0,256.0
Los Lagos,10,Chonchi,10203,16013.0,1902.0
Los Lagos,10,Cochamo,10103,4006.0,415.0
Los Lagos,10,Curaco de Velez,10204,4066.0,432.0
Los Lagos,10,Dalcahue,10205,15069.0,1864.0
Los Lagos,10,Fresia,10104,12656.0,1537.0
Los Lagos,10,Frutillar,10105,20223.0,2756.0
Los Lagos,10,Futaleufu,10402,2806.0,138.0
Los Lagos,10,Hualaihue,10403,9525.0,1251.0
Los Lagos,10,Llanquihue,10107,18621.0,2586.0
Los Lagos,10,Los Muermos,10106,17817.0,2217.0
Los Lagos,10,Maullin,10108,14894.0,2375.0
Los Lagos,10,Osorno,10301,173410.0,20473.0
Los Lagos,10,Palena,10404,1827.0,184.0
Los Lagos,10,Puerto Montt,10101,269398.0,31472.0
Los Lagos,10,Puerto Octay,10302,9192.0,1036.0
Los Lagos,10,Puerto Varas,10109,48620.0,4861.0
Los Lagos,10,Puqueldon,10206,4201.0,658.0
Los Lagos,10,Purranque,10303,21080.0,2654.0
Los Lagos,10,Puyehue,10304,11787.0,1346.0
Los Lagos,10,Queilen,10207,5543.0,533.0
Los Lagos,10,Quellon,10208,29309.0,2731.0
Los Lagos,10,Quemchi,10209,8783.0,957.0
Los Lagos,10,Quinchao,10210,8298.0,886.0
Los Lagos,10,Rio Negro,10305,14275.0,1988.0
Los Lagos,10,San Juan de la Costa,10306,7639.0,1344.0
Los Lagos,10,San Pablo,10307,10553.0,1270.0
Los Lagos,10,Desconocido Los Lagos,,,140.0
Aysén,11,Aysen,11201,25002.0,2010.0
Aysén,11,Chile Chico,11401,5121.0,458.0
Aysén,11,Cisnes,11202,5828.0,667.0
Aysén,11,Cochrane,11301,3685.0,260.0
Aysén,11,Coyhaique,11101,61210.0,6131.0
Aysén,11,Guaitecas,11203,1599.0,204.0
Aysén,11,Lago Verde,11102,920.0,44.0
Aysén,11,OHiggins,11302,661.0,10.0
Aysén,11,Rio Ibanez,11402,2699.0,223.0
Aysén,11,Tortel,11303,572.0,27.0
Aysén,11,Desconocido Aysen,,,9.0
Magallanes,12,Antartica,12202,137.0,59.0
Magallanes,12,Cabo de Hornos,12201,1983.0,370.0
Magallanes,12,Laguna Blanca,12102,264.0,24.0
Magallanes,12,Natales,12401,23782.0,5602.0
Magallanes,12,Porvenir,12301,7323.0,1267.0
Magallanes,12,Primavera,12302,694.0,65.0
Magallanes,12,Punta Arenas,12101,141984.0,25188.0
Magallanes,12,Rio Verde,12103,211.0,17.0
Magallanes,12,San Gregorio,12104,681.0,74.0
Magallanes,12,Timaukel,12303,282.0,42.0
Magallanes,12,Torres del Paine,12402,1021.0,22.0
Magallanes,12,Desconocido Magallanes,,,15.0
