NOME DO MUNICÍPIO,COD. MUNIC,POPULAÇÃO ESTIMADA
Turilândia/MA,2112456,26112.00
Formosa do Rio Preto/BA,2911105,26111.00
Lagoa Grande/PE,2608750,26090.00
Mimoso do Sul/ES,3203403,26079.00
Bom Jesus de Goiás/GO,5203500,26069.00
São João dos Patos/MA,2111102,26063.00
Solânea/PB,2516003,26051.00
Encruzilhada do Sul/RS,4306908,26039.00
Ocara/CE,2309458,25958.00
São Domingos do Araguaia/PA,1507151,25945.00
Pirajuí/SP,3538907,25939.00
Santa Quitéria do Maranhão/MA,2110104,25884.00
Carandaí/MG,3113206,25831.00
Umbaúba/SE,2807600,25800.00
Piraí do Sul/PR,4119400,25779.00
Miguel Calmon/BA,2921203,25771.00
Novo Progresso/PA,1505031,25769.00
Soure/PA,1507904,25752.00
Iraquara/BA,2914406,25728.00
Angatuba/SP,3502200,25724.00
Pereira Barreto/SP,3537404,25685.00
São Gonçalo do Sapucaí/MG,3162005,25670.00
Viçosa/AL,2709400,25655.00
Monte Aprazível/SP,3531407,25651.00
Miguel Pereira/RJ,3302908,25622.00
Ituporanga/SC,4208500,25619.00
Cedro/CE,2303808,25612.00
João Dourado/BA,2918357,25606.00
Brodowski/SP,3507803,25605.00
Potim/SP,3540754,25603.00
Itapuranga/GO,5211206,25597.00
Igaci/AL,2703106,25596.00
Bom Jesus/PI,2201903,25584.00
Cambará/PR,4103602,25569.00
Macaparana/PE,2609006,25565.00
Pinheiral/RJ,3303955,25563.00
Pedro do Rosário/MA,2108256,25560.00
Jequitinhonha/MG,3135803,25555.00
Quissamã/RJ,3304151,25535.00
Luzilândia/PI,2205805,25521.00
Ibiá/MG,3129509,25511.00
Governador Nunes Freire/MA,2104677,25502.00
Santa Luzia do Paruá/MA,2110039,25487.00
Itaporã/MS,5004502,25478.00
Capivari de Baixo/SC,4203956,25477.00
Tupaciguara/MG,3169604,25466.00
Capão do Leão/RS,4304663,25462.00
Queimadas/BA,2925808,25428.00
Senador Pompeu/CE,2312700,25418.00
Conde/PB,2504603,25341.00
Anastácio/MS,5000708,25336.00
Piranhas/AL,2707107,25324.00
Ribas do Rio Pardo/MS,5007109,25310.00
Espera Feliz/MG,3124203,25287.00
Agrestina/PE,2600302,25240.00
Pirenópolis/GO,5217302,25218.00
Mata Grande/AL,2705002,25200.00
Buritis/MG,3109303,25179.00
Ibiapina/CE,2305308,25165.00
Piritiba/BA,2924801,25162.00
Santa Maria do Pará/PA,1506609,25127.00
Cruz/CE,2304251,25121.00
Aimorés/MG,3101102,25116.00
Cordeirópolis/SP,3512407,25116.00
Álvares Machado/SP,3501301,25078.00
Ivoti/RS,4310801,25068.00
São João da Ponte/MG,3162401,25033.00
Sarandi/RS,4320107,25024.00
Amélia Rodrigues/BA,2901106,24997.00
Iracemápolis/SP,3521408,24982.00
Tapejara/RS,4320909,24973.00
Itaporanga/PB,2507002,24960.00
Jucás/CE,2307403,24949.00
Guabiruba/SC,4206306,24922.00
Cândido Sales/BA,2906709,24921.00
Brotas/SP,3507902,24862.00
Paraopeba/MG,3147402,24854.00
Bela Vista/MS,5002100,24842.00
Igaraçu do Tietê/SP,3520004,24821.00
Canhotinho/PE,2603702,24743.00
Junqueiro/AL,2704005,24716.00
Forquilha/CE,2304350,24680.00
Igreja Nova/AL,2703205,24670.00
Matriz de Camaragibe/AL,2705101,24627.00
São Jerônimo/RS,4318408,24569.00
Aurora/CE,2301703,24567.00
São Geraldo do Araguaia/PA,1507458,24566.00
Piracanjuba/GO,5217104,24543.00
São Lourenço do Oeste/SC,4216909,24501.00
São José da Lapa/MG,3162955,24490.00
Irauçuba/CE,2306108,24450.00
Santo Antônio/RN,2411502,24422.00
Craíbas/AL,2702355,24396.00
Salvaterra/PA,1506302,24392.00
Balneário Piçarras/SC,4212809,24385.00
Itabaiana/PB,2506905,24363.00
Cachoeira do Arari/PA,1502004,24355.00
Pedra Azul/MG,3148707,24333.00
Pão de Açúcar/AL,2706406,24307.00
Porto Franco/MA,2109007,24294.00
Colorado/PR,4105904,24271.00
Rio Tinto/PB,2512903,24258.00
Quatro Barras/PR,4120804,24253.00
Monte Sião/MG,3143401,24247.00
Cupira/PE,2605004,24237.00
Carambeí/PR,4104659,24225.00
Laje/BA,2918803,24214.00
Tupanciretã/RS,4322202,24182.00
Chaves/PA,1502509,24175.00
Joaquim Gomes/AL,2703809,24167.00
Carolina/MA,2102804,24151.00
Carutapera/MA,2102903,24095.00
Apiaí/SP,3502705,24081.00
Garopaba/SC,4205704,24070.00
São José da Laje/AL,2708303,24064.00
Ladário/MS,5005202,24040.00
Inajá/PE,2607000,24034.00
Inhapim/MG,3130903,24020.00
Poço Verde/SE,2805505,24003.00
Buriti Bravo/MA,2102309,23993.00
Uauá/BA,2932002,23991.00
Orobó/PE,2609709,23985.00
Bambuí/MG,3105103,23964.00
Iaçu/BA,2911907,23950.00
Santa Terezinha de Itaipu/PR,4124053,23927.00
Santo Amaro da Imperatriz/SC,4215703,23907.00
Caraí/MG,3113008,23872.00
Santa Teresa/ES,3204609,23853.00
Tamandaré/PE,2614857,23852.00
Itapaci/GO,5210901,23850.00
Três de Maio/RS,4321808,23846.00
Três Passos/RS,4321907,23799.00
São João do Paraíso/MG,3162708,23797.00
São Miguel/RN,2412500,23789.00
Princesa Isabel/PB,2512309,23749.00
Santo Antônio de Posse/SP,3548005,23742.00
Imbé/RS,4310330,23721.00
Rio Formoso/PE,2611903,23719.00
João Lisboa/MA,2105500,23677.00
Raul Soares/MG,3154002,23663.00
Bataguassu/MS,5001904,23620.00
Corinto/MG,3119104,23607.00
Matinha/MA,2106508,23591.00
Conceição de Macabu/RJ,3301405,23561.00
Belmonte/BA,2903409,23540.00
Assaré/CE,2301604,23537.00
Peritoró/MA,2108454,23530.00
São Sepé/RS,4319604,23492.00
Senador Guiomard/AC,1200450,23446.00
São João de Pirabas/PA,1507474,23440.00
Ibirapitanga/BA,2912707,23433.00
Pancas/ES,3204005,23426.00
Caculé/BA,2905008,23407.00
Teodoro Sampaio/SP,3554300,23395.00
Dom Pedro/MA,2103802,23393.00
Loanda/PR,4113502,23393.00
Mandaguaçu/PR,4114104,23373.00
Araçariguama/SP,3502754,23343.00
Coreaú/CE,2304004,23340.00
Taquarituba/SP,3553807,23292.00
Ivinhema/MS,5004700,23277.00
Sobradinho/BA,2930774,23274.00
Abaeté/MG,3100203,23263.00
Tambaú/SP,3553302,23255.00
Paranatinga/MT,5106307,23250.00
Capinzal/SC,4203907,23218.00
Itaocara/RJ,3302106,23211.00
Itambacuri/MG,3132701,23207.00
Orleans/SC,4211702,23161.00
São Miguel do Guaporé/RO,1100320,23147.00
Aripuanã/MT,5101407,23067.00
Encantado/RS,4306809,23047.00
Caridade/CE,2303006,23011.00
São João/PE,2613206,23002.00
Altinho/PE,2600807,22996.00
Conselheiro Pena/MG,3118403,22975.00
Nova Alvorada do Sul/MS,5006002,22967.00
Conceição da Feira/BA,2908200,22933.00
Porto Grande/AP,1600535,22927.00
Amaraji/PE,2600906,22910.00
Carmo do Cajuru/MG,3114204,22900.00
Manhumirim/MG,3139508,22894.00
Barro/CE,2302008,22834.00
Morrinhos/CE,2308906,22830.00
Tocantinópolis/TO,1721208,22820.00
Herval d'Oeste/SC,4206702,22820.00
Ecoporanga/ES,3202108,22748.00
Medeiros Neto/BA,2921104,22741.00
Apuí/AM,1300144,22739.00
Terenos/MS,5008008,22721.00
Pedra/PE,2610806,22716.00
Barreira/CE,2301950,22715.00
Acreúna/GO,5200134,22710.00
Dianópolis/TO,1707009,22704.00
Monte Alegre/RN,2407807,22698.00
Rafael Jambeiro/BA,2925956,22643.00
Caracaraí/RR,1400209,22635.00
Flores/PE,2605608,22612.00
Schroeder/SC,4217402,22605.00
Teofilândia/BA,2931509,22590.00
Hidrolândia/GO,5209705,22533.00
Quaraí/RS,4315305,22531.00
Chapada dos Guimarães/MT,5103007,22521.00
Alta Floresta D'Oeste/RO,1100015,22516.00
Alcobaça/BA,2900801,22509.00
Areia/PB,2501104,22493.00
Miguelópolis/SP,3529708,22480.00
Itambé/BA,2915809,22474.00
Mazagão/AP,1600402,22468.00
Porto Belo/SC,4213500,22466.00
São Vicente Ferrer/MA,2111706,22452.00
Itaparica/BA,2916104,22440.00
Quixeré/CE,2311504,22432.00
Ceres/GO,5205406,22407.00
Bonito/MS,5002209,22401.00
Carira/SE,2801405,22393.00
Coração de Maria/BA,2908903,22391.00
Piúma/ES,3204203,22388.00
Fundão/ES,3202207,22379.00
Feira Nova/PE,2605400,22360.00
Mutuípe/BA,2922409,22340.00
Riachão das Neves/BA,2926202,22330.00
Pompéia/SP,3540002,22326.00
Palmital/SP,3535309,22322.00
Diamantino/MT,5103502,22311.00
Altônia/PR,4100509,22293.00
Alto Paraíso/RO,1100403,22258.00
Santa Maria das Barreiras/PA,1506583,22244.00
Pradópolis/SP,3540903,22239.00
Cantanhede/MA,2102705,22236.00
Trizidela do Vale/MA,2112233,22223.00
Uruburetama/CE,2313807,22223.00
Parnamirim/PE,2610400,22198.00
Feira Grande/AL,2702603,22192.00
Caravelas/BA,2906907,22166.00
Cordeiro/RJ,3301504,22152.00
Nova Hartz/RS,4313060,22147.00
Alcântara/MA,2100204,22126.00
Goiás/GO,5208905,22122.00
Anicuns/GO,5201306,22113.00
Manari/PE,2609154,22110.00
Canarana/MT,5102702,22101.00
Guapiaçu/SP,3517505,22087.00
Caaporã/PB,2503001,22079.00
Cassilândia/MS,5002902,22063.00
Centro Novo do Maranhão/MA,2103174,22056.00
São José do Vale do Rio Preto/RJ,3305158,22032.00
Lucélia/SP,3527405,22022.00
Itatira/CE,2306603,22018.00
Anori/AM,1300102,21937.00
Colônia Leopoldina/AL,2702108,21935.00
Chã Grande/PE,2604502,21929.00
Mari/PB,2509107,21895.00
Itaiópolis/SC,4208104,21889.00
Nova Granada/SP,3533007,21871.00
São Francisco de Paula/RS,4318200,21871.00
São José da Coroa Grande/PE,2613404,21868.00
São Miguel do Araguaia/GO,5220207,21849.00
Palmas de Monte Alto/BA,2923407,21840.00
Camanducaia/MG,3110509,21831.00
Santa Bárbara do Pará/PA,1506351,21811.00
Oliveira dos Brejinhos/BA,2923209,21797.00
Aquidabã/SE,2800209,21796.00
Ortigueira/PR,4117305,21783.00
Vargem Alta/ES,3205036,21778.00
Paramirim/BA,2923605,21777.00
Silva Jardim/RJ,3305604,21775.00
Maracaçumé/MA,2106326,21773.00
Itapoá/SC,4208450,21766.00
Itapecerica/MG,3133501,21760.00
São Marcos/RS,4319000,21756.00
Madre de Deus/BA,2919926,21754.00
Uruçuí/PI,2211209,21746.00
Nova Petrópolis/RS,4313201,21717.00
Engenheiro Coelho/SP,3515152,21712.00
Nhamundá/AM,1303007,21710.00
Araripe/CE,2301307,21707.00
Nova Xavantina/MT,5106257,21695.00
Paraguaçu/MG,3147204,21693.00
Olho d'Água das Flores/AL,2705705,21690.00
Parelhas/RN,2408904,21611.00
Itaquiraí/MS,5004601,21604.00
Rolante/RS,4316006,21591.00
Perdões/MG,3149903,21577.00
Paraibano/MA,2107704,21571.00
Caxambu/MG,3115508,21566.00
Castilho/SP,3511003,21521.00
Nova Esperança do Piriá/PA,1504950,21519.00
Monte Santo de Minas/MG,3143203,21504.00
Lagoa de Itaenga/PE,2608503,21490.00
Boquira/BA,2904100,21486.00
Siqueira Campos/PR,4126603,21476.00
Costa Rica/MS,5003256,21456.00
São Joaquim do Monte/PE,2613305,21439.00
Taperoá/BA,2931202,21421.00
Urussanga/SC,4219002,21419.00
Cajueiro/AL,2701308,21397.00
Guará/SP,3517703,21394.00
Buritirama/BA,2904753,21374.00
Cunha/SP,3513603,21373.00
Paraisópolis/MG,3147303,21353.00
São José do Rio Claro/MT,5107305,21351.00
Monte Alegre de Minas/MG,3142809,21349.00
Orós/CE,2309508,21342.00
Canto do Buriti/PI,2202307,21326.00
São Simão/GO,5220405,21318.00
Bequimão/MA,2101905,21317.00
Carmo do Rio Claro/MG,3114402,21310.00
Jandaia do Sul/PR,4112108,21281.00
Pio XII/MA,2108702,21274.00
Capela do Alto/SP,3510302,21257.00
Comodoro/MT,5103304,21249.00
Quiterianópolis/CE,2311264,21246.00
Anagé/BA,2901205,21229.00
Nova Olinda do Maranhão/MA,2107357,21228.00
Bananeiras/PB,2501500,21220.00
Crisópolis/BA,2909604,21219.00
Vertentes/PE,2616209,21172.00
Itatinga/SP,3523503,21139.00
Arroio do Meio/RS,4301008,21121.00
Pinhalzinho/SC,4212908,21103.00
Paulo Ramos/MA,2108108,21092.00
São Francisco do Guaporé/RO,1101492,21088.00
Ibicaraí/BA,2912103,21083.00
São Felipe/BA,2929107,21083.00
Campestre/MG,3111002,21052.00
Mirador/MA,2106706,21045.00
Catarina/CE,2303600,21041.00
Itaobim/MG,3133303,20997.00
Lambari/MG,3137809,20995.00
Alagoa Nova/PB,2500403,20992.00
Barroso/MG,3105905,20981.00
Junqueirópolis/SP,3526001,20978.00
Santa Bárbara/BA,2927507,20971.00
Pindoretama/CE,2310852,20964.00
Butiá/RS,4302709,20963.00
Cruzeiro do Oeste/PR,4106605,20962.00
Bastos/SP,3505807,20952.00
Valença do Piauí/PI,2211308,20940.00
Silvânia/GO,5220603,20938.00
Araçoiaba/PE,2601052,20936.00
Serro/MG,3167103,20915.00
Santo Antônio do Içá/AM,1303700,20889.00
Bombinhas/SC,4202453,20889.00
Abadiânia/GO,5200100,20873.00
Atalaia do Norte/AM,1300201,20868.00
Wenceslau Guimarães/BA,2933505,20862.00
Santo Anastácio/SP,3547700,20855.00
Nova Olímpia/MT,5106232,20820.00
Ubiratã/PR,4128005,20809.00
Governador Mangabeira/BA,2911600,20800.00
Cocalzinho de Goiás/GO,5205513,20771.00
Envira/AM,1301506,20748.00
Riacho das Almas/PE,2611705,20744.00
Piratini/RS,4314605,20743.00
Floresta do Araguaia/PA,1503044,20742.00
São João Batista/MA,2111003,20736.00
Belém do São Francisco/PE,2601607,20730.00
São João do Piauí/PI,2210003,20720.00
Cotriguaçu/MT,5103379,20717.00
Medina/MG,3141405,20701.00
Vazante/MG,3171006,20692.00
Tibagi/PR,4127502,20688.00
Jaboticatubas/MG,3134608,20683.00
Maraú/BA,2920700,20664.00
Itapiúna/CE,2306504,20653.00
Cachoeirinha/PE,2603108,20618.00
Araruna/PB,2501005,20610.00
Abaré/BA,2900207,20594.00
Caraúbas/RN,2402303,20588.00
Paranapanema/SP,3535804,20588.00
Paulistana/PI,2207801,20583.00
Brasnorte/MT,5101902,20571.00
Guaratinga/BA,2911808,20565.00
Jaguaruna/SC,4208807,20547.00
Monte Azul/MG,3142908,20544.00
Regente Feijó/SP,3542404,20523.00
Muzambinho/MG,3144102,20522.00
Nova Brasilândia D'Oeste/RO,1100148,20504.00
Beruri/AM,1300631,20503.00
Ibirubá/RS,4310009,20474.00
Baixa Grande/BA,2902609,20431.00
Coronel Vivida/PR,4106506,20430.00
Aragarças/GO,5201702,20410.00
São José de Piranhas/PB,2514503,20406.00
Novo Airão/AM,1303205,20395.00
Itororó/BA,2917102,20394.00
Cerqueira César/SP,3511409,20391.00
Tanhaçu/BA,2931004,20383.00
Cândido Mendes/MA,2102606,20376.00
Santo Antônio do Sudoeste/PR,4124400,20354.00
Jijoca de Jericoacoara/CE,2307254,20351.00
Padre Paraíso/MG,3146305,20346.00
Cuité/PB,2505105,20331.00
Uruçuca/BA,2932705,20312.00
Itajuípe/BA,2915502,20309.00
Riachão/MA,2109502,20288.00
Chorozinho/CE,2303956,20286.00
Turmalina/MG,3169703,20280.00
Água Branca/AL,2700102,20263.00
Porto Real/RJ,3304110,20254.00
Magalhães de Almeida/MA,2106300,20228.00
Barra da Estiva/BA,2902807,20198.00
Icapuí/CE,2305357,20183.00
Cantagalo/RJ,3301108,20163.00
Taquarana/AL,2709103,20162.00
Porto Real do Colégio/AL,2707503,20158.00
Sonora/MS,5007935,20158.00
Plácido de Castro/AC,1200385,20147.00
Ipanema/MG,3131208,20133.00
Hidrolândia/CE,2305209,20126.00
Campos Belos/GO,5204904,20124.00
Pacaraima/RR,1400456,20108.00
Alpinópolis/MG,3101904,20059.00
Salgado/SE,2806206,20051.00
Buri/SP,3508009,20050.00
Capoeiras/PE,2603801,20048.00
Pindobaçu/BA,2924603,20048.00
Boa Vista do Ramos/AM,1300680,20040.00
Madalena/CE,2307635,20031.00
Rio Verde de Mato Grosso/MS,5007406,20025.00
Divino/MG,3122009,20020.00
Rubiataba/GO,5218904,20012.00
Santa Vitória/MG,3159803,19997.00
Ibicoara/BA,2912202,19990.00
Afrânio/PE,2600203,19981.00
Umirim/CE,2313757,19976.00
Remígio/PB,2512705,19973.00
Maracás/BA,2920502,19973.00
Itarantim/BA,2916807,19937.00
Major Isidoro/AL,2704401,19923.00
Lajinha/MG,3137700,19914.00
Xapuri/AC,1200708,19866.00
Alhandra/PB,2500601,19865.00
Ubaíra/BA,2932101,19860.00
Palmeirândia/MA,2107605,19840.00
Santa Luzia do Pará/PA,1506559,19839.00
Simonésia/MG,3167608,19834.00
Buriti dos Lopes/PI,2202000,19832.00
Andirá/PR,4101101,19823.00
Riachão do Dantas/SE,2805802,19813.00
Borda da Mata/MG,3108305,19809.00
Pariquera-Açu/SP,3536208,19797.00
Rodrigues Alves/AC,1200427,19767.00
Campina Verde/MG,3111101,19759.00
Carmópolis de Minas/MG,3114501,19756.00
Marechal Thaumaturgo/AC,1200351,19727.00
Castelo do Piauí/PI,2202604,19716.00
Alto Araguaia/MT,5100300,19714.00
Morros/MA,2107100,19708.00
Pastos Bons/MA,2108009,19693.00
Presidente Olegário/MG,3153400,19680.00
Carnaíba/PE,2603900,19666.00
Antas/BA,2901601,19659.00
Mâncio Lima/AC,1200336,19643.00
Pauini/AM,1303502,19616.00
Olho d'Água das Cunhãs/MA,2107407,19616.00
Umburanas/BA,2932457,19573.00
Tejuçuoca/CE,2313351,19551.00
Cajari/MA,2102507,19521.00
Papanduva/SC,4212205,19521.00
Miracatu/SP,3529906,19511.00
Pitimbu/PB,2511905,19478.00
Ampére/PR,4101002,19466.00
Três Barras/SC,4218301,19455.00
Pirapora do Bom Jesus/SP,3539103,19453.00
Horizontina/RS,4309605,19446.00
Sengés/PR,4126306,19441.00
Formosa da Serra Negra/MA,2104099,19425.00
Rio Bananal/ES,3204351,19398.00
Quitandinha/PR,4121208,19388.00
Wenceslau Braz/PR,4128500,19358.00
Trairão/PA,1508050,19344.00
Farias Brito/CE,2304301,19330.00
Utinga/BA,2932804,19330.00
Caiapônia/GO,5204409,19304.00
Varzelândia/MG,3170909,19290.00
Águas Formosas/MG,3100906,19285.00
Iati/PE,2606507,19284.00
Cantá/RR,1400175,19257.00
Costa Marques/RO,1100080,19255.00
Passagem Franca/MA,2107902,19253.00
Baependi/MG,3104908,19249.00
Dormentes/PE,2605152,19246.00
Guareí/SP,3518503,19244.00
Ibirama/SC,4206900,19238.00
Jaicós/PI,2205201,19233.00
Itanhém/BA,2916005,19231.00
Serrita/PE,2614006,19226.00
Presidente Sarney/MA,2109270,19217.00
Otacílio Costa/SC,4211751,19201.00
Capanema/PR,4104501,19172.00
Jaguaripe/BA,2917805,19162.00
Carmo/RJ,3301207,19161.00
Júlio de Castilhos/RS,4311205,19159.00
Fátima do Sul/MS,5003801,19152.00
Porto Acre/AC,1200807,19141.00
Viradouro/SP,3556800,19133.00
Matipó/MG,3140902,19098.00
Ituaçu/BA,2917201,19095.00
São Raimundo das Mangabeiras/MA,2111607,19090.00
Chopinzinho/PR,4105409,19083.00
Contenda/PR,4106209,19082.00
Aroeiras/PB,2501302,19081.00
Porciúncula/RJ,3304102,19068.00
Japaratuba/SE,2803302,19067.00
Terra Santa/PA,1507979,19063.00
Macarani/BA,2919702,19056.00
Tonantins/AM,1304237,19038.00
Camocim de São Félix/PE,2603504,19032.00
Caconde/SP,3508702,19031.00
Conceição/PB,2504405,19030.00
Barão de Grajaú/MA,2101509,19026.00
Ervália/MG,3124005,19019.00
Guaranésia/MG,3128303,19014.00
Cabaceiras do Paraguaçu/BA,2904852,19010.00
Epitaciolândia/AC,1200252,18979.00
Itapororoca/PB,2507101,18978.00
Montanha/ES,3203502,18954.00
Monte Azul Paulista/SP,3531506,18928.00
Ipaba/MG,3131158,18926.00
Antonina/PR,4101200,18919.00
Águas de Lindóia/SP,3500501,18908.00
Alumínio/SP,3501152,18903.00
Ribeirópolis/SE,2806008,18891.00
Augustinópolis/TO,1702554,18870.00
Fronteira/MG,3127008,18866.00
Nazaré Paulista/SP,3532405,18866.00
Pocinhos/PB,2512002,18848.00
Venturosa/PE,2616001,18835.00
Cocos/BA,2908101,18835.00
Areia Branca/SE,2800506,18825.00
Garuva/SC,4205803,18816.00
Pirapemas/MA,2108801,18814.00
São José dos Quatro Marcos/MT,5107107,18788.00
São Gabriel/BA,2929255,18785.00
Cafelândia/PR,4103453,18783.00
Cruz Machado/PR,4106803,18772.00
São Benedito do Rio Preto/MA,2110401,18769.00
São João do Soter/MA,2111078,18746.00
Governador Edison Lobão/MA,2104552,18740.00
Picuí/PB,2511400,18737.00
Bacuri/MA,2101301,18726.00
Cariús/CE,2303303,18700.00
Santo Antônio do Amparo/MG,3159902,18697.00
Neópolis/SE,2804409,18688.00
Mendes/RJ,3302809,18681.00
Rio Claro/RJ,3304409,18677.00
Cairu/BA,2905404,18666.00
Ubaitaba/BA,2932200,18647.00
Juquiá/SP,3526100,18627.00
Itirapina/SP,3523602,18610.00
Mirangaba/BA,2921401,18603.00
Colina/SP,3512001,18601.00
São Luís Gonzaga do Maranhão/MA,2111409,18600.00
Cesário Lange/SP,3511607,18595.00
Cafarnaum/BA,2905305,18585.00
Mundo Novo/MS,5005681,18578.00
Taió/SC,4217808,18576.00
Malacacheta/MG,3139201,18556.00
Mairi/BA,2920106,18535.00
Varjota/CE,2313955,18520.00
Carlos Chagas/MG,3113701,18516.00
Pio IX/PI,2208205,18492.00
Boa Vista do Tupim/BA,2903805,18491.00
Mucajaí/RR,1400308,18482.00
Cariré/CE,2303105,18470.00
Batalha/AL,2700706,18440.00
Lagoa do Carro/PE,2608453,18429.00
Juazeirinho/PB,2507705,18422.00
Ibipeba/BA,2912400,18421.00
Mirante do Paranapanema/SP,3530201,18415.00
Inhapi/AL,2703304,18398.00
Solonópole/CE,2313005,18389.00
Querência/MT,5107065,18386.00
Formoso do Araguaia/TO,1708205,18358.00
Indiaroba/SE,2802809,18337.00
Jucurutu/RN,2406106,18335.00
Correntes/PE,2604700,18327.00
Campo do Brito/SE,2801009,18325.00
Banabuiú/CE,2301851,18313.00
Estrela de Alagoas/AL,2702553,18304.00
Paraibuna/SP,3535606,18302.00
Maraã/AM,1302801,18298.00
Luz/MG,3138807,18297.00
Reriutaba/CE,2311702,18279.00
Ladainha/MG,3137007,18272.00
Sapucaia/RJ,3305406,18270.00
Buerarema/BA,2904704,18269.00
Matelândia/PR,4115606,18266.00
Jussara/GO,5212204,18266.00
Sítio Novo/MA,2111805,18237.00
Tartarugalzinho/AP,1600709,18217.00
Rio Maria/PA,1506161,18208.00
São Caetano de Odivelas/PA,1507102,18207.00
Croatá/CE,2304236,18201.00
Messias/AL,2705200,18201.00
Arroio Grande/RS,4301305,18185.00
Ingá/PB,2506806,18184.00
Cristinápolis/SE,2801702,18181.00
Itacarambi/MG,3132107,18175.00
Lagoa Formosa/MG,3137502,18168.00
Presidente Médici/RO,1100254,18165.00
São Vicente Férrer/PE,2613800,18150.00
Conchas/SP,3512308,18138.00
Jaguaretama/CE,2306702,18133.00
Una/BA,2932507,18108.00
Elias Fausto/SP,3514908,18095.00
Morro da Fumaça/SC,4211207,18095.00
São Francisco de Assis/RS,4318101,18081.00
Ourém/PA,1505403,18079.00
Serafina Corrêa/RS,4320404,18074.00
Manga/MG,3139300,18051.00
São João do Rio do Peixe/PB,2500700,18020.00
Abelardo Luz/SC,4200101,18015.00
Bady Bassitt/SP,3504602,18013.00
Rio Pomba/MG,3155801,18007.00
Regeneração/PI,2208809,17979.00
Presidente Getúlio/SC,4214003,17973.00
Pouso Redondo/SC,4213708,17965.00
Gonçalves Dias/MA,2104404,17953.00
Belterra/PA,1501451,17944.00
Boqueirão/PB,2502508,17934.00
Cafelândia/SP,3508801,17917.00
Jacupiranga/SP,3524600,17911.00
Pontalina/GO,5217708,17899.00
Não-Me-Toque/RS,4312658,17886.00
Cerro Azul/PR,4105201,17884.00
Piaçabuçu/AL,2706802,17868.00
São Paulo do Potengi/RN,2412609,17858.00
Arinos/MG,3104502,17850.00
Aporá/BA,2901908,17840.00
Capistrano/CE,2302909,17830.00
Severínia/SP,3551900,17820.00
Fortuna/MA,2104206,17812.00
Fátima/BA,2910750,17801.00
Curionópolis/PA,1502772,17764.00
Carnaubal/CE,2303402,17763.00
Itariri/SP,3523305,17754.00
Cássia/MG,3115102,17741.00
Belém/PB,2501906,17733.00
Santana do Cariri/CE,2312106,17726.00
Canapi/AL,2701605,17715.00
Lagoa da Canoa/AL,2704104,17692.00
Potirendaba/SP,3540804,17668.00
Piranga/MG,3150802,17641.00
Miracema do Tocantins/TO,1713205,17628.00
Pedra Branca do Amapari/AP,1600154,17625.00
São Miguel do Tapuio/PI,2210409,17617.00
Bom Sucesso/MG,3108008,17612.00
Seara/SC,4217501,17610.00
Amarante/PI,2200509,17609.00
Cruz do Espírito Santo/PB,2504900,17599.00
Aiuaba/CE,2300408,17584.00
Apicum-Açu/MA,2100832,17582.00
Ourolândia/BA,2923357,17567.00
Terra Roxa/PR,4127403,17562.00
Pedra Preta/MT,5106372,17547.00
Charqueada/SP,3511706,17539.00
Peçanha/MG,3148608,17534.00
Água Branca/PI,2200202,17525.00
Nova Era/MG,3144706,17524.00
Tanque Novo/BA,2931053,17518.00
Anadia/AL,2700201,17507.00
Urucuia/MG,3170529,17470.00
Porto Murtinho/MS,5006903,17460.00
Bacabeira/MA,2101251,17446.00
Conceição do Mato Dentro/MG,3117504,17438.00
Sapeaçu/BA,2929602,17421.00
Flores de Goiás/GO,5207907,17415.00
Buritama/SP,3508108,17414.00
Itaberá/SP,3521705,17405.00
Cipó/BA,2907905,17402.00
Resplendor/MG,3154309,17396.00
Faxinal/PR,4107603,17379.00
Pindorama/SP,3538105,17378.00
Salesópolis/SP,3545001,17363.00
Tapes/RS,4321105,17363.00
Sátiro Dias/BA,2929701,17330.00
Massaranduba/SC,4210605,17330.00
Maruim/SE,2804003,17328.00
Poção de Pedras/MA,2108900,17321.00
Matões do Norte/MA,2106631,17316.00
Jataúba/PE,2608008,17305.00
Terra Boa/PR,4127205,17304.00
São Domingos do Prata/MG,3161007,17296.00
Tijucas do Sul/PR,4127601,17295.00
Central/BA,2907608,17293.00
Monsenhor Tabosa/CE,2308609,17264.00
Macatuba/SP,3528007,17263.00
Serra Dourada/BA,2930303,17261.00
Bom Jesus do Tocantins/PA,1501576,17254.00
Carmópolis/SE,2801504,17232.00
Piquet Carneiro/CE,2310902,17210.00
Adustina/BA,2900355,17209.00
Santo Antônio do Leverger/MT,5107800,17188.00
Muniz Freire/ES,3203700,17176.00
Cacimba de Dentro/PB,2503506,17169.00
Corbélia/PR,4106308,17162.00
Marechal Floriano/ES,3203346,17141.00
Itapiranga/SC,4208401,17139.00
Crixás/GO,5206404,17136.00
Xangri-lá/RS,4323804,17126.00
Jenipapo dos Vieiras/MA,2105476,17123.00
Mata Roma/MA,2106409,17122.00
Souto Soares/BA,2930808,17118.00
Condeúba/BA,2908705,17113.00
Sumé/PB,2516300,17096.00
Água Fria/BA,2900405,17096.00
Conceição do Almeida/BA,2908309,17087.00
Araputanga/MT,5101258,17078.00
Itaquitinga/PE,2607802,17056.00
Terra Rica/PR,4127304,17054.00
Ibititá/BA,2913101,17048.00
Nova Ipixuna/PA,1504976,17027.00
