NOME DO MUNICÍPIO,COD. MUNIC,POPULAÇÃO ESTIMADA
Alvorada/RS,4300604,212352.00
Cachoeiro de Itapemirim/ES,3201209,212172.00
Cabo de Santo Agostinho/PE,2602902,210796.00
Angra dos Reis/RJ,3300100,210171.00
Rio Claro/SP,3543907,209548.00
Passo Fundo/RS,4314100,206103.00
Castanhal/PA,1502400,205667.00
Lauro de Freitas/BA,2919207,204669.00
Araçatuba/SP,3502804,199210.00
Ferraz de Vasconcelos/SP,3515707,198661.00
Santa Bárbara d'Oeste/SP,3545803,195278.00
Nova Friburgo/RJ,3303401,191664.00
Nossa Senhora do Socorro/SE,2804805,187733.00
Araguaína/TO,1702109,186245.00
Teresópolis/RJ,3305802,185820.00
Barra Mansa/RJ,3300407,185237.00
Jaraguá do Sul/SC,4208906,184579.00
Ibirité/MG,3129806,184030.00
Guarapuava/PR,4109401,183755.00
São José de Ribamar/MA,2111201,180345.00
Linhares/ES,3203205,179755.00
Itapecerica da Serra/SP,3522208,179574.00
Francisco Morato/SP,3516309,179372.00
Palhoça/SC,4211900,178679.00
Itu/SP,3523909,177150.00
Mesquita/RJ,3302858,177016.00
Valparaíso de Goiás/GO,5221858,175720.00
Bragança Paulista/SP,3507605,172346.00
Pindamonhangaba/SP,3538006,171885.00
Timon/MA,2112209,171317.00
Poços de Caldas/MG,3151800,169838.00
Maricá/RJ,3302700,167668.00
Itapetininga/SP,3522307,167106.00
Caxias/MA,2103000,166159.00
Teixeira de Freitas/BA,2931350,164290.00
Nilópolis/RJ,3303203,162893.00
São Caetano do Sul/SP,3548807,162763.00
Abaetetuba/PA,1500107,160439.00
Camaragibe/PE,2603454,159945.00
Rio das Ostras/RJ,3304524,159529.00
Franco da Rocha/SP,3516408,158438.00
Barreiras/BA,2903201,158432.00
Ilhéus/BA,2913606,157639.00
Paranaguá/PR,4118204,157378.00
Lages/SC,4209300,157158.00
Jequié/BA,2918001,156277.00
Patos de Minas/MG,3148004,154641.00
Pouso Alegre/MG,3152501,154293.00
Mogi Guaçu/SP,3530706,154146.00
Parnaíba/PI,2207702,153863.00
Jaú/SP,3525300,153463.00
Alagoinhas/BA,2900702,153023.00
Porto Seguro/BA,2925303,152529.00
Queimados/RJ,3304144,152311.00
Botucatu/SP,3507506,149718.00
Balneário Camboriú/SC,4202008,149227.00
Sinop/MT,5107909,148960.00
Araucária/PR,4101804,148522.00
Atibaia/SP,3504107,145378.00
Santana de Parnaíba/SP,3547304,145073.00
Toledo/PR,4127700,144601.00
Sapucaia do Sul/RS,4320008,142508.00
Garanhuns/PE,2606002,141347.00
Teófilo Otoni/MG,3168606,141269.00
Cametá/PA,1502103,140814.00
Brusque/SC,4202909,140597.00
Vitória de Santo Antão/PE,2616407,140389.00
